type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20
Type00, L, 240, 59.969800, 245.113358, 50.110558, 246.836733, 26.079974, 232.232440, 25.381068, 198.043992, 20.338483, 167.967465, 12.852533, 135.784675, 3.503178, 105.560577, 0.000000, 72.670636, 11.264742, 42.049623, 24.934328, 9.573086, 62.971104, 0.000000, 82.877387, 31.418513, 87.001204, 64.202977, 84.671205, 95.007552, 82.508077, 126.443162, 86.695671, 160.139090, 86.006131, 190.707483, 83.852497, 223.405168, 74.079708, 244.742791, 58.430870, 245.192860
Type00, L, 245, 60.675690, 249.139175, 47.836940, 250.263583, 30.558022, 232.138877, 23.069590, 198.886987, 16.946291, 167.323028, 10.164791, 135.744268, 1.889949, 103.728169, 0.000000, 70.615267, 10.307680, 39.407148, 25.940399, 6.209712, 66.203671, 0.000000, 83.078963, 33.622725, 87.301708, 65.028739, 86.045961, 97.462810, 81.377294, 130.826562, 88.591944, 162.518872, 84.600950, 195.177569, 87.682094, 228.146338, 73.774186, 249.860352, 59.351619, 248.848177
Type00, L, 255, 62.416949, 258.697484, 51.586116, 260.314044, 27.746175, 244.559459, 26.345415, 208.028686, 19.987969, 175.465934, 14.604933, 140.267059, 1.456169, 107.823518, 0.000000, 73.227113, 9.002663, 42.103685, 24.164016, 6.267291, 65.137479, 0.000000, 84.826470, 34.695409, 89.120617, 67.983574, 84.831503, 102.527180, 79.373077, 134.920736, 85.284695, 169.053273, 85.195770, 201.446806, 91.749304, 236.697450, 75.299290, 257.960664, 61.375718, 258.682397
Type00, L, 265, 70.650975, 271.410266, 58.651270, 275.180822, 33.316664, 261.874869, 27.063039, 223.487888, 21.141910, 189.791987, 13.775594, 153.914881, 4.107284, 119.598582, 0.000000, 83.420171, 10.770170, 50.468766, 23.803464, 14.603447, 65.193040, 0.000000, 88.276623, 35.560877, 94.947591, 69.918761, 91.772147, 105.287294, 86.196343, 140.789165, 92.164892, 175.925982, 92.407489, 210.131074, 96.534588, 245.914675, 84.188203, 269.366494, 69.797245, 272.028602
Type00, L, 270, 65.509061, 275.176478, 80.067190, 274.181050, 95.473764, 250.553097, 90.281973, 214.323720, 90.045077, 179.524798, 87.371663, 143.600450, 85.917299, 108.790254, 94.856375, 73.142221, 87.561098, 38.851335, 68.762928, 0.000000, 25.206041, 8.859294, 10.236059, 47.813987, 0.000000, 79.013214, 2.938317, 115.090476, 13.275058, 149.045061, 23.102423, 185.824684, 29.577318, 219.650758, 32.693132, 257.155427, 53.196397, 277.426156, 67.103915, 274.399427
Type00, L, 275, 64.543251, 278.462338, 51.339095, 279.058354, 30.215000, 258.767493, 27.798628, 222.006519, 21.456064, 186.715210, 13.055952, 150.428198, 4.467650, 115.512151, 0.000000, 77.839061, 13.006059, 43.850589, 28.217445, 5.091721, 74.332616, 0.000000, 91.168431, 39.509679, 97.596874, 73.342326, 92.863281, 111.400481, 91.405548, 146.326645, 97.640299, 184.051713, 94.646829, 219.192476, 97.738222, 256.648240, 77.833966, 279.960889, 64.045562, 277.848072
Type01, L, 230, 46.669193, 230.939501, 35.586506, 232.519953, 16.613374, 216.382765, 14.834680, 184.428787, 10.742951, 154.502337, 6.827141, 123.908230, 0.000000, 93.734708, 0.885064, 60.697852, 7.832577, 33.678725, 23.866467, 0.891103, 60.695522, 0.000000, 77.067486, 32.548331, 79.269031, 61.605104, 78.208277, 94.844984, 79.169591, 122.475877, 77.827387, 154.271654, 74.732076, 183.201546, 76.328121, 215.454817, 57.774599, 232.312885, 45.614695, 230.425899
Type01, L, 240, 54.540615, 243.756697, 44.113192, 245.935224, 21.054798, 232.301162, 19.357676, 198.044587, 15.325683, 167.165086, 8.418487, 134.686653, 2.345802, 103.990142, 0.000000, 69.710725, 6.011195, 40.043247, 21.793931, 6.765388, 58.048201, 0.000000, 80.812477, 32.074423, 81.544436, 62.982593, 80.768137, 95.164062, 80.948066, 128.444983, 81.783140, 160.137180, 80.808312, 191.946009, 80.938307, 224.520417, 66.977426, 244.359477, 53.310413, 243.751783
Type01, L, 250, 51.954969, 251.973770, 39.708630, 254.367694, 20.308409, 235.440940, 16.120485, 202.086121, 13.215795, 168.421367, 6.217652, 135.550313, 0.234282, 102.664716, 0.000000, 68.938021, 6.035953, 37.889851, 23.698313, 2.742769, 64.346800, 0.000000, 82.102995, 34.212310, 82.892762, 67.209457, 82.347460, 100.054106, 81.824287, 131.777698, 83.116799, 166.803429, 82.373202, 199.826977, 83.815004, 235.355161, 64.508648, 253.518160, 50.850653, 251.432424
Type01, L, 260, 61.268838, 265.596838, 48.377397, 267.675277, 27.215323, 250.517003, 22.932253, 213.781512, 16.575138, 181.567095, 9.261934, 146.091461, 2.855137, 113.733102, 0.000000, 78.413483, 11.890865, 46.287653, 25.962186, 10.536974, 66.821912, 0.000000, 86.290935, 36.744463, 90.353300, 70.178830, 86.511833, 103.998186, 84.918778, 139.269232, 90.238613, 172.603375, 87.869921, 208.948079, 90.776785, 243.869803, 74.951266, 265.920824, 59.782780, 265.320124
