type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21
Type00, L, 240, 60.891073, 245.729578, 51.921666, 247.282949, 28.552738, 234.508735, 26.055039, 202.336810, 22.747052, 173.486667, 15.191894, 143.740601, 7.726932, 114.207247, 0.000000, 84.783703, 8.083350, 53.901967, 17.819078, 24.989101, 43.612927, 0.000000, 76.603328, 12.582604, 85.331743, 45.195695, 88.415312, 75.275147, 84.165365, 103.953210, 84.398236, 134.647967, 88.006821, 165.938197, 86.523398, 194.743898, 84.765143, 226.023478, 73.930891, 245.466625, 59.634981, 245.733534
Type00, L, 245, 61.778384, 251.468076, 49.672009, 252.615805, 32.866814, 236.315725, 24.659180, 204.815045, 19.332308, 174.985356, 12.568777, 145.000635, 5.668127, 115.204752, 0.000000, 83.820656, 7.346173, 53.947331, 17.965427, 23.009437, 46.017727, 0.000000, 79.130659, 15.622420, 84.897861, 48.874876, 89.773674, 77.761876, 84.645743, 109.244622, 84.125099, 140.219095, 89.524213, 170.288020, 85.620147, 201.121491, 88.628540, 232.474546, 73.658072, 252.345070, 60.721371, 251.093543
Type00, L, 255, 63.965532, 262.053865, 54.271793, 263.367929, 30.597403, 249.827857, 28.135584, 215.093930, 22.749802, 184.397988, 17.741393, 151.246619, 7.062036, 120.122728, 0.000000, 88.144029, 7.610955, 57.200008, 16.366177, 25.860040, 45.421923, 0.000000, 79.325120, 17.642340, 88.182573, 50.956806, 90.729677, 83.041704, 84.004349, 114.643028, 82.014443, 145.951643, 87.395996, 177.660612, 87.108677, 208.624961, 93.332101, 241.924573, 75.503197, 261.481730, 63.467676, 261.880369
Type00, L, 265, 70.219591, 270.420680, 59.424454, 273.769412, 34.360775, 262.640391, 27.347589, 226.536593, 21.710679, 194.361778, 15.510525, 160.951711, 6.260704, 127.852805, 0.000000, 94.842965, 5.240524, 61.397467, 16.861025, 30.568353, 41.070436, 0.000000, 80.532646, 12.413144, 89.102653, 48.633981, 96.646863, 80.305939, 87.562762, 114.218804, 88.056326, 147.542331, 91.407945, 180.661090, 92.952168, 212.891393, 95.448005, 247.050533, 83.211270, 268.552025, 69.405573, 270.941030
Type00, L, 270, 66.240708, 277.797121, 79.800774, 277.151050, 95.467469, 255.281479, 91.764536, 221.040942, 90.282974, 187.939004, 89.585595, 154.366765, 85.139097, 121.050281, 94.074890, 87.657646, 91.296148, 55.342684, 81.546597, 18.620012, 46.705997, 0.000000, 16.699627, 29.599044, 6.902544, 62.455022, 0.000000, 93.609206, 6.489707, 127.265771, 16.204546, 159.750298, 25.150181, 194.365133, 30.495728, 226.213563, 34.406349, 262.036932, 54.974329, 279.972901, 67.589713, 277.082935
Type00, L, 275, 65.122781, 283.192770, 52.952051, 283.900600, 32.055904, 265.482349, 28.467326, 230.818847, 23.640056, 197.350443, 15.208820, 163.262744, 8.126392, 129.949858, 0.000000, 95.340186, 8.655145, 61.437346, 19.644856, 27.442118, 50.657616, 0.000000, 87.342806, 21.619531, 93.003158, 57.502825, 99.295257, 90.759794, 90.608852, 125.912787, 94.735629, 159.352123, 97.258757, 194.852513, 96.070626, 227.879499, 97.155917, 263.710835, 77.651344, 284.729358, 64.718098, 282.552898
Type01, L, 230, 47.233691, 236.826133, 37.251336, 238.179644, 18.144069, 224.111512, 15.720471, 193.537205, 12.081769, 165.592407, 8.547209, 136.220721, 2.571137, 108.478525, 0.000000, 77.085532, 6.051748, 50.014659, 14.627751, 21.363230, 42.859455, 0.000000, 71.710503, 20.376752, 78.856235, 49.054176, 79.963043, 79.059514, 78.685725, 108.267029, 80.182179, 135.285741, 77.586302, 165.095976, 75.824861, 192.387872, 76.030604, 223.168451, 57.543029, 238.015464, 46.434485, 236.313106
Type01, L, 240, 54.539807, 245.935224, 45.067296, 247.708606, 22.494003, 236.244574, 19.306156, 203.651450, 16.464929, 174.641225, 9.926623, 143.765824, 4.128885, 114.876544, 0.000000, 83.181378, 3.241131, 53.413698, 12.788925, 23.743727, 38.866442, 0.000000, 71.534847, 14.659739, 82.082319, 46.938238, 81.237192, 75.196718, 80.837134, 106.811956, 81.215885, 137.523587, 81.805787, 167.604557, 80.874747, 197.551927, 80.516720, 228.542260, 66.056287, 246.526225, 53.549702, 245.809789
Type01, L, 250, 52.773809, 256.876341, 41.372884, 259.329244, 22.406634, 242.143291, 17.056569, 210.813543, 14.887680, 178.839461, 8.630360, 147.873783, 2.611066, 116.698004, 0.000000, 85.107200, 4.377491, 54.825760, 13.871426, 23.197364, 44.391224, 0.000000, 77.000730, 19.501237, 83.187484, 51.725211, 84.031995, 83.727698, 82.690578, 113.199919, 83.074179, 144.757686, 83.869763, 177.092718, 83.415239, 208.749564, 83.913721, 242.052583, 64.174011, 258.490782, 51.981066, 256.292117
Type01, L, 260, 61.850580, 266.850406, 49.996602, 268.717299, 29.051441, 253.725368, 23.877752, 218.845909, 18.541558, 188.270103, 11.308321, 155.205348, 5.595904, 123.757399, 0.000000, 91.814822, 7.778838, 59.329034, 18.410782, 28.462309, 45.605379, 0.000000, 80.243932, 15.785141, 88.301507, 51.713531, 91.157654, 82.352105, 85.274662, 115.068128, 87.271771, 147.954691, 90.518854, 179.710230, 88.779737, 214.160798, 90.916990, 247.017163, 74.455054, 267.352258, 60.639498, 266.418181
