type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22
Type00, L, 240, 59.306589, 244.443690, 51.079143, 245.821256, 28.466173, 234.639516, 24.347281, 204.354580, 22.178250, 176.609061, 15.165444, 148.947185, 8.445927, 120.235436, 0.000000, 93.412212, 2.346914, 63.292490, 12.227110, 36.422765, 26.887692, 8.183961, 59.776359, 0.000000, 80.414525, 25.245316, 85.484570, 54.819404, 85.722750, 83.362994, 82.304806, 110.261935, 83.418475, 140.155350, 86.836324, 169.202824, 84.405869, 196.574249, 83.254889, 226.482933, 71.226872, 244.253801, 58.399926, 244.377702
Type00, L, 245, 60.947100, 248.714332, 49.525951, 249.886443, 33.147406, 235.138875, 24.387426, 205.337400, 19.525307, 176.978711, 13.042678, 148.476358, 6.965526, 120.516579, 0.000000, 90.894066, 2.886871, 62.171246, 12.366075, 33.453653, 28.828171, 5.629830, 63.700073, 0.000000, 82.026405, 27.540265, 86.152998, 56.538426, 88.151420, 84.919500, 82.573761, 114.761824, 84.836801, 143.778799, 88.247425, 172.434597, 84.933521, 201.597250, 87.397474, 231.516027, 71.843158, 249.681553, 60.095301, 248.287416
Type00, L, 255, 63.212192, 258.429257, 54.388389, 259.481832, 31.233668, 247.805257, 27.477313, 214.869269, 23.108542, 185.684832, 18.124277, 154.525063, 9.794436, 124.518326, 0.000000, 94.759926, 3.574520, 64.515835, 11.454839, 36.064420, 27.840882, 5.559774, 63.384582, 0.000000, 83.787559, 28.633629, 89.292673, 58.572319, 88.254002, 89.934675, 82.089362, 118.744854, 82.266217, 149.304952, 87.022468, 178.640395, 86.734644, 208.520704, 92.369227, 239.887701, 73.563969, 258.021024, 63.165042, 258.100166
Type00, L, 265, 68.566037, 270.557156, 58.772948, 273.504746, 34.167966, 264.253250, 26.358543, 230.290522, 20.909144, 199.522105, 15.650774, 168.122980, 6.932119, 136.525827, 0.064152, 105.553380, 0.000000, 73.406262, 10.898414, 43.989202, 24.370380, 12.759878, 60.271133, 0.000000, 84.706010, 28.423830, 90.329873, 60.012904, 93.828409, 91.251284, 84.228930, 122.983221, 88.072555, 154.671094, 89.581994, 185.853210, 92.084873, 216.432474, 93.128989, 249.042664, 81.030032, 268.828743, 67.784434, 270.982594
Type00, L, 270, 64.760555, 274.578636, 77.307455, 274.258336, 93.349793, 253.867070, 90.673746, 221.595188, 88.838545, 189.785186, 88.384389, 158.586234, 84.459943, 126.282048, 88.757179, 95.460349, 93.085530, 63.560099, 84.258109, 32.050758, 65.463484, 0.000000, 26.678351, 7.957227, 11.452702, 41.231289, 1.190697, 70.257314, 0.000000, 101.269631, 7.212768, 132.485354, 16.852521, 163.938903, 24.550292, 196.282276, 29.262059, 226.671001, 33.838172, 260.703140, 54.422164, 276.718375, 65.831648, 273.905497
Type00, L, 275, 62.925710, 278.215121, 51.727791, 279.017724, 31.019330, 262.205132, 26.540146, 229.543458, 22.504920, 197.607557, 14.925318, 165.586679, 7.839476, 133.609312, 0.000000, 101.658886, 1.415378, 68.459680, 13.505765, 37.509050, 29.534654, 4.693255, 69.739302, 0.000000, 88.539104, 33.088760, 93.828831, 63.918196, 95.272090, 97.494394, 87.867167, 129.397706, 94.346967, 162.034861, 94.347160, 195.123523, 94.595450, 226.568230, 93.793012, 260.719336, 74.816693, 279.786793, 62.606202, 277.543753
Type01, L, 230, 47.095701, 231.261706, 38.075183, 232.408036, 18.974025, 220.108880, 15.904890, 190.928869, 12.567312, 164.586445, 9.426989, 136.582011, 4.149353, 110.449136, 0.000000, 81.363293, 3.314959, 53.918798, 10.198643, 28.501995, 26.876546, 1.329138, 58.954002, 0.000000, 76.045431, 27.984326, 79.587975, 53.434476, 79.484581, 83.627066, 78.881094, 109.286898, 80.065622, 136.114881, 76.873152, 163.807247, 76.123757, 189.883946, 74.984772, 219.133450, 56.720259, 232.292852, 46.516016, 230.745881
Type01, L, 240, 53.548818, 243.189958, 44.875856, 244.600404, 22.909595, 234.974690, 18.339833, 204.038247, 16.283982, 176.559425, 10.407965, 147.340908, 4.637173, 119.660690, 0.000000, 90.708038, 0.278918, 60.907031, 7.048132, 34.159579, 23.197012, 5.527669, 54.848628, 0.000000, 77.384477, 25.579492, 81.118087, 54.599885, 80.016824, 82.076915, 80.012557, 112.290291, 80.410858, 140.994165, 80.812098, 169.564140, 79.928370, 197.901405, 79.028770, 227.410863, 64.239814, 243.745811, 52.768347, 242.964667
Type01, L, 250, 52.437263, 251.882674, 41.809808, 254.308915, 23.263449, 238.749877, 16.975505, 209.184161, 15.104474, 178.805364, 9.822662, 149.499106, 3.707641, 119.810150, 0.000000, 90.265548, 1.917466, 60.633608, 8.505452, 32.157931, 26.907639, 2.658069, 62.163965, 0.000000, 81.072569, 28.779841, 83.368225, 57.988493, 83.309987, 88.759994, 82.406829, 115.807348, 82.928459, 146.973179, 83.574199, 176.874324, 83.219263, 207.374711, 82.830119, 238.578076, 62.811428, 253.524475, 51.950144, 251.248128
Type01, L, 260, 60.191000, 264.955134, 49.287794, 266.634092, 28.558492, 253.471787, 22.700981, 220.451008, 17.837352, 191.170039, 11.391042, 160.379178, 5.244496, 129.829572, 0.000000, 100.368130, 1.520546, 68.911052, 12.969385, 40.053800, 27.344234, 9.210351, 63.318550, 0.000000, 83.387870, 29.818737, 88.488502, 60.864532, 88.022517, 90.725433, 83.229978, 121.878774, 86.891198, 152.630878, 88.596930, 183.197975, 87.426269, 215.707995, 88.745063, 246.881570, 71.834301, 265.524466, 59.250662, 264.429169
