type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25
Type00, L, 240, 58.863249, 243.002436, 52.067549, 243.749649, 32.252383, 236.520339, 23.955424, 210.734812, 23.320540, 186.628717, 18.610947, 162.185687, 12.717506, 138.628698, 6.384556, 113.420829, 0.000000, 90.786058, 1.404828, 64.163321, 9.871995, 41.317960, 19.804181, 16.278567, 42.205121, 0.000000, 68.969192, 5.642886, 81.014012, 31.145237, 85.331989, 55.362916, 85.356055, 80.918910, 82.113800, 103.379142, 82.939972, 129.345804, 84.294588, 154.326753, 86.700949, 179.094594, 82.630369, 202.775233, 82.590713, 229.222291, 67.790813, 242.792411, 58.936217, 242.789676
Type00, L, 245, 60.711772, 248.788233, 51.169783, 250.108013, 35.676943, 238.634326, 26.252205, 213.819177, 21.240158, 188.387096, 16.652552, 164.405253, 10.819491, 139.531098, 5.590795, 115.443813, 0.000000, 89.651587, 2.569358, 64.927109, 9.726240, 40.194514, 21.871092, 15.320498, 44.877205, 0.000000, 73.200208, 8.630637, 81.860349, 34.811167, 87.038684, 58.927636, 87.161729, 84.056538, 84.030655, 109.166782, 82.742069, 135.065640, 87.772575, 159.205760, 86.171311, 184.741527, 85.820899, 209.569093, 85.061001, 236.012785, 69.725671, 249.768538, 60.177354, 248.358829
Type00, L, 255, 62.637693, 259.521835, 55.364983, 260.050639, 34.886489, 252.301879, 27.000668, 224.632229, 24.991462, 198.673687, 20.021592, 172.582619, 15.563514, 145.843042, 7.063966, 120.217570, 0.000000, 94.239756, 2.577089, 68.456452, 9.111156, 43.333415, 20.042609, 17.629952, 44.257967, 0.000000, 72.691770, 10.435238, 84.147577, 36.559745, 89.139264, 62.399714, 87.453841, 89.461501, 82.810587, 114.550523, 81.029782, 140.470394, 84.601717, 166.487112, 86.353664, 191.675025, 87.782214, 218.046568, 89.661079, 245.027768, 70.658660, 259.247350, 63.242346, 258.992478
Type00, L, 265, 68.410900, 267.823135, 60.486620, 269.814305, 38.421675, 264.626130, 27.643097, 236.517406, 23.206269, 209.288214, 18.505340, 182.305771, 13.069052, 155.288240, 5.364487, 127.960376, 0.149430, 101.176789, 0.000000, 73.602903, 8.011351, 47.530478, 18.862546, 21.508748, 40.342754, 0.000000, 72.013889, 5.576472, 85.443808, 33.297847, 91.002193, 59.634055, 93.409245, 87.250308, 85.646428, 114.049138, 86.443953, 142.023741, 89.112427, 168.603504, 90.318583, 195.690775, 92.766637, 222.116707, 91.418719, 250.778537, 79.034467, 266.343041, 67.846982, 268.047468
Type00, L, 270, 64.590241, 274.518542, 74.840726, 274.669637, 90.970221, 258.274836, 91.423718, 230.542112, 89.101077, 202.501563, 88.363277, 175.962462, 86.952702, 148.081585, 84.550989, 120.813596, 88.492438, 93.984017, 93.043158, 66.395259, 85.192593, 39.591713, 74.773740, 10.363395, 44.784692, 0.000000, 19.445851, 20.024455, 8.893476, 47.911214, 0.574677, 73.125509, 0.000000, 99.779574, 5.354564, 127.030276, 13.480572, 153.598226, 21.017320, 181.999565, 26.384155, 208.444380, 29.781592, 235.992574, 36.658985, 264.660099, 56.312427, 276.553572, 65.095457, 273.829670
Type00, L, 275, 62.452242, 279.939332, 53.457938, 280.828788, 33.898478, 267.887596, 26.987053, 240.323252, 24.038040, 212.231591, 18.997998, 184.999486, 12.207493, 157.005972, 6.057103, 129.671317, 0.000000, 101.822895, 0.587831, 73.278014, 10.824419, 46.281827, 21.659789, 18.108085, 48.653026, 0.000000, 79.004202, 12.799201, 88.840794, 42.116616, 94.102985, 68.640701, 94.634197, 97.715914, 88.697050, 125.387808, 91.537814, 153.288396, 94.875657, 181.938445, 93.469284, 209.804499, 94.999749, 237.320431, 90.262854, 267.185765, 72.618582, 281.330009, 62.418406, 279.281006
Type01, L, 230, 46.509411, 234.308261, 39.573673, 234.995998, 21.329338, 226.530705, 16.142261, 201.596824, 13.425665, 178.412978, 10.959888, 154.811847, 7.384388, 131.136383, 2.819870, 108.329073, 0.000000, 82.963628, 2.365833, 59.456303, 8.441603, 37.211640, 18.728871, 13.908507, 42.560732, 0.000000, 66.380779, 12.723598, 76.607657, 36.706394, 79.207870, 59.166490, 79.095297, 85.168919, 78.495559, 107.579182, 79.434768, 130.490913, 78.151892, 154.152434, 75.739410, 177.572275, 76.040533, 200.475797, 71.746983, 225.772780, 54.434202, 234.801902, 46.442903, 233.909192
Type01, L, 240, 53.317373, 243.779885, 46.301287, 244.342278, 26.632636, 238.718293, 18.544319, 212.506672, 17.376529, 188.517302, 13.595087, 163.475312, 8.382040, 139.087550, 3.541768, 114.788842, 0.014943, 89.804677, 0.000000, 64.034063, 5.293292, 40.678973, 15.878784, 16.089203, 38.329589, 0.000000, 64.541725, 8.534373, 78.488494, 32.837342, 80.861619, 57.434448, 79.927027, 81.320326, 79.852457, 107.208502, 80.134215, 132.407991, 80.529422, 156.911436, 80.378608, 181.707371, 79.729296, 206.152855, 76.938178, 231.831837, 62.057148, 244.132857, 52.953374, 243.376354
Type01, L, 250, 52.118330, 254.172453, 43.386218, 256.011996, 26.126366, 245.111056, 17.873570, 219.134123, 15.669548, 193.714650, 12.870662, 167.436107, 7.484679, 142.379538, 2.731112, 116.602285, 0.000000, 91.123414, 1.433969, 65.516033, 6.708915, 40.908646, 18.475297, 15.108425, 43.925553, 0.000000, 71.108303, 11.776127, 81.209355, 37.805373, 83.396988, 62.842882, 83.000640, 89.714194, 82.296748, 112.810960, 82.586266, 139.347881, 83.013802, 165.445286, 83.304352, 191.552083, 83.184328, 218.001954, 79.912121, 244.641326, 60.239475, 255.363730, 52.321969, 253.546494
Type01, L, 260, 59.758900, 264.128370, 50.820875, 265.302339, 31.633963, 256.273799, 23.421356, 228.385682, 19.652295, 202.126164, 14.679496, 176.517441, 9.004342, 149.505628, 3.840907, 123.728746, 0.000000, 97.860271, 0.674161, 71.048947, 10.409059, 45.474159, 20.274734, 19.651658, 44.299567, 0.000000, 72.514650, 8.442111, 84.066671, 36.450232, 88.357337, 62.366150, 87.589804, 88.834124, 83.612916, 114.825405, 85.123796, 142.567426, 87.850219, 167.698864, 87.796918, 196.075765, 87.479047, 222.928764, 86.477768, 250.590655, 68.966262, 264.463749, 59.484920, 263.576163
Type01, L, 280, 59.484033, 285.459411, 50.070827, 287.118695, 29.049361, 275.930504, 23.387462, 245.876777, 19.305687, 217.510352, 14.840028, 189.032025, 9.370422, 160.287320, 3.480009, 132.628303, 0.000000, 103.505327, 2.297569, 75.236135, 10.155014, 48.608247, 22.428618, 21.122530, 48.899671, 0.000000, 80.370616, 13.897227, 87.726669, 44.048844, 92.096389, 71.059276, 89.716844, 100.228458, 87.172391, 128.165824, 87.361657, 157.670391, 92.008650, 185.429077, 89.898566, 213.604220, 89.986985, 243.510042, 88.142367, 270.607552, 69.632795, 287.097558, 59.490353, 284.329829
Type01, L, 290, 60.373908, 295.541093, 51.242234, 297.328368, 28.834712, 285.074125, 24.716143, 254.324529, 19.410174, 225.745570, 16.031548, 195.885252, 11.484736, 167.292026, 4.239880, 137.239843, 0.000000, 107.646164, 1.489967, 77.472201, 10.222665, 48.542793, 23.722540, 20.688914, 50.727270, 0.000000, 82.604579, 14.323879, 89.887479, 45.854580, 95.833472, 73.758603, 92.573249, 105.032454, 91.613942, 132.233471, 92.984284, 164.344794, 94.132951, 191.947206, 95.003334, 222.957975, 92.571315, 250.316203, 89.625056, 281.815643, 71.345882, 296.424725, 60.062440, 295.017211
Type02, L, 230, 63.511348, 232.627139, 55.856834, 233.426098, 38.388351, 224.608119, 31.806739, 200.040694, 26.985283, 176.841648, 21.632570, 153.169068, 14.442971, 129.760012, 5.254244, 107.361916, 0.000000, 82.884284, 1.499947, 59.348333, 7.455658, 35.836639, 20.688051, 13.108707, 43.555984, 0.000000, 69.507086, 6.104842, 80.992405, 31.231242, 85.114464, 53.573419, 88.839724, 78.257347, 79.013352, 101.073698, 70.716283, 125.531994, 74.555575, 149.836638, 82.280666, 173.341523, 87.619970, 195.222631, 87.593456, 221.184479, 71.486676, 233.773263, 63.381975, 232.250211
Type02, L, 250, 65.144455, 254.084256, 75.124615, 254.995326, 89.884728, 240.610373, 88.521695, 213.986259, 80.549617, 189.751569, 73.213573, 164.652555, 69.288325, 138.907142, 77.876019, 113.262516, 90.420213, 88.483615, 86.736639, 62.134127, 82.764757, 37.928441, 74.097678, 9.980731, 45.182909, 0.000000, 20.859105, 17.307190, 7.941562, 41.852751, 0.000000, 67.109438, 0.795202, 92.540501, 7.536767, 116.318704, 14.836950, 142.115180, 22.973819, 167.507241, 28.789910, 192.944257, 33.127440, 218.998789, 38.578878, 243.946890, 56.527177, 256.997453, 65.558759, 253.019063
Type02, L, 260, 66.892448, 264.260853, 58.458338, 265.357995, 40.366579, 252.762716, 32.853106, 226.000137, 29.400639, 198.911389, 23.565110, 173.901733, 15.007022, 146.688431, 5.703569, 120.707956, 0.000000, 93.753256, 1.680913, 67.422622, 8.238155, 41.323404, 23.026279, 16.390532, 48.382531, 0.000000, 77.269877, 10.955716, 86.434143, 39.089834, 91.291509, 64.326847, 95.140758, 91.858261, 81.856225, 116.496168, 75.323403, 143.169490, 78.325285, 170.370936, 84.437807, 196.168822, 93.330184, 222.670735, 93.792057, 250.614024, 75.942793, 265.082178, 66.666133, 263.653843
Type02, L, 270, 69.031558, 274.852983, 59.561720, 276.052202, 39.816907, 263.936701, 34.009145, 235.497587, 28.734470, 207.859930, 21.151558, 180.485481, 14.717417, 153.441128, 5.968456, 127.125868, 0.000000, 99.831542, 0.960183, 71.506115, 9.556019, 44.418411, 24.878600, 18.421223, 50.973309, 0.000000, 81.321438, 12.309989, 89.932812, 42.187977, 94.186302, 67.803807, 98.404594, 97.532222, 82.355130, 123.493670, 77.077283, 151.147409, 81.376065, 179.266366, 88.539666, 205.921276, 96.498505, 232.132150, 97.211793, 262.024888, 77.840208, 275.976542, 68.881606, 274.146930
Type03, L, 230, 50.746276, 233.903473, 43.162679, 234.562456, 26.689899, 225.339053, 19.949118, 200.503502, 17.046085, 177.807433, 12.880992, 152.642413, 7.596821, 130.156728, 2.795453, 106.876303, 0.000000, 84.080963, 0.681374, 60.675279, 6.744255, 37.687953, 18.723307, 14.913814, 40.816666, 0.000000, 65.608976, 9.506633, 75.994168, 33.847950, 78.631667, 58.020260, 79.101745, 81.471775, 75.605307, 105.279053, 70.787833, 128.724206, 73.786586, 152.812738, 76.998342, 175.518024, 79.672644, 200.597207, 76.650953, 224.689167, 57.409797, 234.602963, 51.535061, 233.491453
Type03, L, 235, 53.686014, 238.875522, 46.105131, 240.081451, 28.434473, 232.587446, 20.019143, 208.101622, 17.340351, 184.334228, 14.306014, 159.959479, 8.761767, 136.224969, 3.399547, 112.511870, 0.000000, 88.201953, 0.888414, 63.797775, 5.843549, 39.646578, 17.361698, 17.234259, 38.743842, 0.000000, 64.910580, 9.457513, 76.471582, 33.698667, 79.678053, 57.007905, 80.455683, 81.843537, 77.919612, 105.925281, 75.159984, 130.336474, 75.662395, 155.666033, 77.468518, 180.103032, 80.840171, 202.878444, 78.460858, 227.725970, 61.989915, 239.566020, 53.721550, 238.638153
Type03, L, 245, 54.027536, 249.617514, 45.286900, 250.405863, 28.107885, 241.032603, 20.470531, 215.152801, 17.689789, 189.290346, 13.350101, 164.729809, 7.772596, 139.047727, 2.708335, 113.236900, 0.000000, 88.477363, 0.941638, 62.256376, 8.477624, 38.657005, 19.586096, 14.114786, 44.424812, 0.000000, 70.359037, 13.892284, 79.457414, 39.750644, 82.039449, 64.348248, 84.283143, 89.554946, 79.351703, 114.203199, 75.842945, 138.944137, 78.231694, 164.639458, 81.590306, 188.498236, 84.189780, 213.943601, 80.585876, 239.504050, 62.401181, 251.208613, 54.108828, 248.687785
Type03, L, 250, 52.531659, 254.932861, 44.343027, 255.901727, 25.397988, 245.497607, 20.041553, 219.533031, 16.277466, 194.073874, 12.402224, 167.601907, 7.552746, 141.541051, 3.610154, 116.521778, 0.000000, 89.856511, 0.156684, 65.101502, 6.541232, 39.254536, 20.446324, 14.487666, 45.015444, 0.000000, 71.425357, 15.690967, 79.780377, 41.543471, 83.782134, 67.688768, 83.720943, 92.089262, 80.018252, 117.845093, 78.824118, 143.094214, 80.170261, 167.565858, 80.242331, 193.531044, 82.773265, 218.718292, 80.045770, 244.490859, 60.748240, 256.615115, 53.161564, 254.086998
Type03, L, 255, 56.128225, 259.210914, 48.506884, 260.081503, 27.598424, 253.116269, 19.943452, 225.672146, 16.509081, 199.663231, 12.617863, 174.009325, 8.871991, 147.798069, 4.443983, 122.452216, 0.457435, 95.883898, 0.000000, 69.689256, 6.367318, 44.088670, 17.116993, 18.623265, 39.991404, 0.000000, 69.235609, 9.104917, 80.189453, 35.656404, 84.218242, 62.177186, 84.248076, 88.993671, 81.531087, 115.291751, 79.321747, 142.364753, 79.923126, 167.943584, 82.049795, 195.575554, 84.913057, 219.502608, 82.400789, 248.059338, 65.034307, 259.645813, 55.724858, 258.867391
Type03, L, 260, 54.379881, 265.220976, 46.094025, 265.453281, 26.242450, 255.432657, 21.052755, 227.111258, 19.877252, 201.611158, 14.781154, 174.483442, 10.081597, 147.298351, 4.399768, 119.654706, 0.000000, 92.340802, 1.340113, 65.734760, 9.894282, 40.775959, 22.022142, 15.067530, 48.670244, 0.000000, 75.283983, 14.987345, 83.480151, 42.921266, 86.398417, 68.758198, 84.983342, 95.517797, 83.101320, 120.904080, 81.441972, 148.381574, 82.412870, 174.350494, 83.790688, 200.827584, 86.562132, 226.679802, 83.746930, 254.460946, 62.829423, 265.374528, 55.057150, 264.923082
Type03, L, 265, 51.758750, 270.371908, 43.440655, 270.622265, 23.122122, 261.095840, 18.240441, 232.420078, 16.143159, 205.762860, 12.645352, 178.194452, 8.212614, 151.713743, 3.593111, 123.682842, 0.000000, 97.910125, 0.029210, 69.857000, 8.447295, 44.457703, 19.035749, 17.750646, 44.238429, 0.000000, 74.418616, 13.052664, 81.255856, 41.194733, 86.959175, 68.320006, 87.275549, 96.754116, 85.658691, 123.240436, 82.146213, 151.490799, 81.988742, 177.711705, 83.489881, 205.733935, 84.442194, 232.153586, 81.744618, 259.996810, 60.358782, 270.913403, 52.299738, 269.753628
Type03, L, 270, 59.739848, 275.702663, 50.053839, 277.115732, 30.637109, 265.977897, 24.226024, 236.383672, 20.289911, 209.383179, 15.684227, 180.952073, 9.953897, 153.245790, 4.137514, 127.022685, 1.005128, 99.365007, 0.000000, 72.188442, 8.416511, 44.707192, 20.959397, 17.730642, 47.593188, 0.000000, 75.967418, 15.816918, 83.427846, 44.936872, 89.157183, 71.890267, 88.352157, 98.123028, 86.491896, 126.064240, 85.252148, 154.856259, 85.349778, 178.631901, 87.941146, 209.046321, 88.510238, 234.734196, 88.845857, 263.492192, 69.478297, 277.248695, 59.808725, 274.932217
Type03, L, 275, 58.637325, 280.638964, 48.484398, 281.371553, 29.749565, 270.448113, 23.197488, 240.045736, 19.275301, 212.071035, 15.278618, 183.823793, 8.763248, 154.991773, 3.432126, 128.622131, 0.000000, 101.263297, 0.472666, 72.445788, 7.389756, 46.047748, 18.122399, 17.843364, 44.879206, 0.000000, 73.894766, 15.301556, 82.674257, 45.426116, 88.505665, 70.915245, 89.991442, 99.777842, 87.641374, 127.449554, 82.783045, 155.719310, 85.557693, 183.902514, 87.485526, 212.700865, 89.893378, 240.616282, 88.225666, 269.069117, 67.272544, 281.892964, 58.867873, 279.940185
Type03, L, 280, 66.206285, 282.830563, 76.541690, 282.083859, 92.130309, 264.429746, 90.198011, 235.902385, 89.511000, 207.419192, 87.197527, 178.553211, 85.450252, 149.406773, 89.732887, 120.703075, 91.805122, 92.923786, 87.741844, 62.915174, 84.203181, 35.065834, 70.484803, 5.545382, 37.240689, 0.000000, 15.023698, 24.106945, 5.076789, 52.422055, 0.000000, 79.997740, 0.740071, 107.940396, 5.549627, 138.675305, 12.011148, 166.632410, 17.857352, 192.789950, 21.856846, 223.045281, 23.744852, 249.272795, 35.417231, 279.684451, 57.995931, 285.352820, 65.748776, 282.625726
Type04, L, 230, 55.283844, 233.229545, 48.607053, 234.470243, 28.461860, 228.130567, 22.675850, 202.165541, 19.697469, 179.081526, 14.942662, 154.766847, 9.961089, 131.354502, 4.728276, 107.984562, 0.000000, 84.201340, 1.489520, 59.803047, 8.486924, 36.592919, 20.912598, 13.011257, 43.616607, 0.000000, 69.669027, 7.600189, 82.351399, 31.334851, 82.989395, 55.339336, 80.217992, 79.879169, 78.234905, 103.019356, 76.508789, 127.174603, 79.682434, 150.686633, 81.778470, 174.498899, 82.998581, 197.968985, 80.818863, 222.976100, 63.378518, 233.872069, 55.721371, 232.492114
Type04, L, 235, 56.045086, 238.459969, 48.151610, 240.274693, 30.437355, 231.586636, 21.621934, 207.914375, 18.827410, 184.171521, 14.879157, 160.253211, 9.373643, 135.858932, 4.289679, 111.971855, 0.000000, 87.544277, 0.372927, 63.354948, 6.490871, 39.818059, 17.938727, 16.016642, 40.401368, 0.000000, 67.158749, 7.919425, 79.776483, 31.882849, 82.835053, 55.042561, 82.554519, 80.012994, 78.928176, 104.326221, 76.840100, 129.600295, 78.385737, 154.000714, 81.558881, 178.064934, 83.330516, 202.988441, 80.318684, 228.093815, 63.641956, 239.747230, 56.012837, 237.877230
