type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26
Type00, L, 240, 59.505998, 243.358602, 52.982676, 243.977221, 34.209013, 237.643514, 24.713694, 213.323014, 24.272650, 190.111420, 20.080670, 166.674724, 14.822530, 144.271471, 8.500836, 120.079205, 2.620728, 98.281351, 0.000000, 73.687452, 7.600505, 50.448836, 14.824938, 27.552880, 31.185379, 6.284795, 55.764955, 0.000000, 77.341081, 16.393808, 82.779263, 40.996143, 87.312712, 64.808167, 84.324922, 87.995314, 83.057825, 110.378922, 83.605743, 135.122287, 85.549217, 159.092866, 86.990725, 182.432193, 83.100284, 205.403143, 82.853443, 230.583865, 67.692684, 243.205762, 59.786126, 243.074841
Type00, L, 245, 59.851462, 247.872140, 50.844770, 249.202919, 35.620085, 238.591402, 26.109707, 215.213715, 20.892220, 190.605458, 16.806018, 167.858763, 11.115607, 143.798386, 6.312900, 121.105840, 0.416199, 96.448099, 0.000000, 72.630677, 5.909406, 49.004052, 14.770796, 24.962324, 31.685006, 4.539358, 58.490699, 0.000000, 78.255545, 18.878762, 82.621961, 43.304013, 87.223534, 66.894432, 85.293066, 90.518107, 82.477134, 115.254168, 82.808940, 139.318308, 87.188511, 162.756083, 84.954254, 187.055009, 85.231290, 210.927005, 83.471621, 236.195296, 68.387163, 248.858363, 59.400584, 247.421847
Type00, L, 255, 61.928745, 257.626885, 54.951281, 258.052696, 35.512419, 251.200849, 26.384948, 225.182382, 24.828154, 200.068813, 19.999674, 175.289078, 16.104326, 149.705168, 8.715669, 124.935038, 0.831535, 100.269737, 0.000000, 75.514695, 5.873117, 51.082323, 13.373119, 27.130506, 30.527102, 4.086034, 57.979550, 0.000000, 78.994452, 19.472773, 85.259697, 44.825275, 89.025491, 69.775839, 84.878407, 95.512122, 81.538135, 119.069873, 80.557767, 144.467261, 84.688751, 168.817153, 85.425722, 193.245197, 87.667362, 218.406379, 87.918744, 244.291938, 69.508759, 257.312107, 62.561682, 257.102861
Type00, L, 265, 69.088022, 269.034401, 61.548458, 270.802134, 40.481015, 266.527035, 28.771548, 240.232763, 24.568603, 213.958993, 19.881327, 188.187698, 15.220581, 162.369799, 7.959876, 136.243114, 2.087799, 110.512844, 0.000000, 84.430133, 4.826035, 58.625059, 14.680220, 34.248951, 28.575885, 9.778075, 56.801463, 0.000000, 80.934807, 18.227115, 87.877455, 44.865651, 93.844140, 70.448256, 91.768260, 96.471273, 85.711428, 122.627490, 87.938636, 148.949555, 89.918498, 174.564168, 91.348251, 200.247039, 93.497392, 225.790077, 91.594969, 253.087678, 79.134786, 267.685222, 68.591453, 269.166965
Type00, L, 270, 65.062308, 273.647275, 74.767986, 273.807743, 90.629349, 258.675479, 92.168627, 232.025992, 89.679843, 205.282756, 89.045123, 179.690656, 87.659034, 153.295358, 85.726532, 127.054726, 86.553457, 101.148652, 93.541972, 75.337030, 88.769116, 49.041554, 81.312625, 22.276009, 61.146427, 0.000000, 30.946251, 6.685858, 14.704046, 31.234554, 5.656738, 57.224957, 0.000000, 81.120460, 1.673307, 107.397035, 7.839247, 132.985082, 15.681490, 158.822530, 22.541571, 185.900802, 27.339416, 210.991371, 30.544815, 237.683267, 38.128565, 264.799663, 57.311456, 275.588730, 65.445783, 272.952505
Type00, L, 275, 63.449783, 277.666215, 54.990157, 278.517955, 35.962468, 266.668298, 28.309370, 240.484992, 25.502142, 213.563804, 21.043086, 187.508706, 14.744407, 160.773525, 8.579803, 134.509481, 2.858141, 108.159133, 0.000000, 80.778015, 7.779275, 54.615893, 17.143428, 27.966694, 34.703376, 4.024391, 65.799011, 0.000000, 86.206518, 23.519223, 91.658789, 49.992526, 96.414572, 76.481360, 93.760210, 103.951286, 89.551117, 130.304919, 93.856192, 157.238939, 95.596497, 184.555157, 94.645161, 211.103166, 95.968843, 237.551947, 90.368247, 266.145990, 73.095687, 278.947674, 63.511514, 277.024955
Type01, L, 230, 46.015649, 231.400580, 39.551763, 231.948298, 21.807503, 224.462030, 15.887978, 200.805580, 13.322108, 178.482102, 10.954232, 156.023960, 7.783947, 133.273604, 3.575550, 111.421311, 0.000000, 87.924907, 0.520279, 64.266152, 5.489993, 43.212035, 12.621948, 20.873334, 29.446185, 1.636798, 54.714592, 0.000000, 71.698160, 20.735099, 77.628794, 41.982462, 78.824288, 65.469516, 78.440781, 89.229558, 78.117740, 110.526438, 79.065557, 132.657072, 77.072751, 155.358800, 75.313013, 177.576466, 75.469187, 199.713291, 70.430788, 223.730543, 53.454077, 231.750909, 46.081334, 231.032162
Type01, L, 240, 53.859617, 242.353209, 47.219628, 242.742035, 28.376258, 237.988298, 19.352724, 213.346818, 18.145799, 190.163057, 14.946907, 166.401217, 10.085559, 142.887107, 5.268641, 119.667054, 1.468954, 96.120187, 0.000000, 71.391453, 3.361954, 48.194560, 10.814726, 25.517979, 26.927585, 3.931820, 51.888635, 0.000000, 73.029863, 16.805606, 80.553661, 41.493056, 81.252676, 63.891133, 80.273539, 87.868827, 80.518993, 112.250842, 80.749264, 136.423736, 81.116154, 159.654571, 80.832427, 183.510264, 80.230207, 206.850865, 76.798476, 231.429372, 62.091428, 242.632104, 53.577975, 241.929922
Type01, L, 250, 51.741962, 251.635593, 43.517796, 253.187793, 26.698062, 243.721791, 17.983401, 218.556524, 15.504693, 194.758910, 13.200785, 169.072178, 8.369076, 145.525237, 3.458403, 120.512464, 0.267311, 96.483388, 0.000000, 71.620913, 4.132050, 48.081132, 11.525095, 23.575360, 30.294349, 2.279415, 57.497776, 0.000000, 77.275779, 20.409062, 81.652966, 44.859235, 83.422953, 69.734505, 82.109409, 94.309718, 82.146331, 116.818508, 82.207081, 142.572995, 82.829372, 167.337714, 82.870575, 192.434046, 82.869110, 217.707284, 78.580022, 243.079260, 59.348905, 252.618367, 52.089262, 251.029131
Type01, L, 260, 60.484706, 263.893596, 51.980249, 264.893773, 33.491646, 256.962653, 24.484152, 230.527416, 20.991816, 205.247108, 16.238295, 180.734288, 11.099695, 155.161359, 5.660928, 130.031590, 1.952334, 105.645632, 0.000000, 80.048862, 7.177272, 55.087274, 16.116812, 30.731964, 31.600307, 7.235279, 59.777235, 0.000000, 79.901999, 20.094579, 86.820373, 46.360609, 89.402090, 71.458073, 87.098602, 96.215864, 84.076211, 121.985074, 86.767553, 147.722415, 88.574030, 172.241921, 88.507362, 199.424076, 88.243155, 224.997035, 86.524573, 251.484860, 69.023608, 264.165284, 60.379550, 263.318802
