type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29
Type00, L, 240, 59.267824, 241.590969, 53.350909, 242.067171, 37.375382, 237.416898, 25.388157, 217.468465, 24.381934, 196.061664, 21.883855, 175.952058, 17.683702, 155.138569, 12.610496, 135.379793, 7.026338, 113.777839, 2.077066, 94.775711, 0.000000, 72.908004, 5.948580, 51.965849, 12.611058, 32.390903, 23.373782, 11.588184, 43.073223, 0.000000, 64.586127, 2.344030, 79.424715, 21.849957, 82.910839, 42.452940, 87.020889, 64.098423, 84.163745, 84.500562, 83.017031, 103.992722, 82.973122, 125.995950, 84.371991, 146.888922, 86.246750, 168.520764, 85.538551, 188.191386, 82.650436, 209.637825, 81.052126, 231.138739, 65.815134, 241.690822, 59.947280, 241.095890
Type00, L, 245, 59.673754, 247.199601, 51.974993, 248.268793, 37.657473, 240.248907, 27.908386, 219.941548, 22.261524, 198.388811, 18.760704, 177.578268, 14.264964, 157.036982, 9.509318, 136.016010, 5.061092, 115.803394, 0.188782, 93.783112, 0.000000, 72.979588, 4.824578, 51.717135, 11.869253, 31.034571, 24.382149, 10.552292, 44.131445, 0.000000, 67.954588, 4.550074, 79.246685, 25.415145, 83.515857, 45.801151, 86.847047, 67.307836, 85.251983, 87.939568, 83.163772, 109.695114, 81.753027, 131.423429, 85.847527, 151.942052, 86.085113, 173.353303, 84.780709, 194.520447, 85.132177, 216.024519, 81.451730, 238.110150, 66.851378, 248.083328, 59.546420, 246.660860
Type00, L, 255, 61.867996, 257.984060, 55.506276, 258.262355, 38.989382, 253.263142, 27.071603, 231.793527, 25.704627, 208.887059, 21.956286, 187.201921, 18.410261, 164.789047, 13.930971, 142.334485, 6.942345, 120.609767, 0.612256, 98.641207, 0.000000, 76.860620, 4.795792, 55.115242, 10.959321, 34.037856, 22.712273, 12.619349, 43.750782, 0.000000, 67.291766, 6.489523, 81.033711, 26.762357, 85.795010, 48.917159, 88.647010, 71.169224, 85.092412, 93.835365, 82.023111, 114.929619, 80.438740, 136.843537, 82.532933, 159.099752, 85.570992, 180.192723, 85.287390, 202.417641, 88.801338, 224.545614, 84.762122, 247.494164, 68.553160, 257.533400, 62.400890, 257.539369
Type00, L, 265, 68.847154, 266.278687, 62.098573, 267.573216, 43.954423, 265.190180, 30.061184, 243.797541, 25.947466, 220.092154, 21.545643, 197.309661, 17.930483, 174.435229, 12.706200, 151.550373, 6.480821, 128.453542, 1.574875, 105.692839, 0.000000, 82.668762, 3.498819, 59.659513, 11.733324, 38.140782, 21.998751, 15.896558, 41.485575, 0.000000, 67.237095, 2.037452, 83.156615, 23.032926, 88.447010, 45.716663, 93.394136, 68.750403, 91.799540, 91.705229, 86.335146, 114.603401, 86.596998, 138.313298, 89.142483, 160.659991, 90.000107, 183.910858, 92.086795, 205.938388, 93.025270, 229.480419, 89.927437, 252.881774, 77.325699, 265.372902, 68.555821, 266.104950
Type00, L, 270, 64.793052, 272.792475, 73.102412, 272.701291, 88.130871, 261.168667, 92.136067, 236.809940, 90.087969, 214.073616, 88.953524, 190.014101, 88.243640, 168.205352, 86.708372, 143.798217, 85.285783, 121.522638, 86.896886, 97.939152, 92.622763, 75.717130, 89.590070, 51.784520, 83.004814, 29.140119, 70.310557, 5.765114, 45.296970, 0.000000, 22.962990, 14.514420, 12.070693, 37.520513, 4.060076, 59.956707, 0.000000, 81.233865, 1.132372, 104.477606, 6.211033, 127.143284, 12.912635, 149.869152, 19.492184, 173.590259, 24.582115, 196.614939, 28.202220, 219.187996, 31.282939, 243.047475, 40.683156, 266.467419, 58.238662, 274.238206, 64.913748, 272.176807
Type00, L, 275, 63.038831, 278.118410, 55.798721, 278.672501, 38.496276, 269.806577, 29.016205, 246.815555, 26.115631, 223.447588, 22.981916, 199.737929, 18.025925, 176.750165, 12.486357, 152.987011, 7.051022, 129.889153, 2.196324, 106.420584, 0.000000, 82.309744, 5.867351, 58.886742, 14.372049, 35.794712, 26.135740, 12.635289, 49.522464, 0.000000, 75.095819, 7.753694, 87.479775, 31.587944, 92.199412, 54.131410, 95.751103, 78.136237, 93.723845, 102.099370, 89.750767, 125.773694, 91.765084, 149.142470, 95.139083, 173.572922, 94.534826, 197.130363, 94.814928, 220.710200, 95.009433, 244.337038, 87.500284, 269.547105, 71.347336, 278.987246, 63.340360, 277.548346
Type01, L, 230, 46.015134, 232.833572, 40.479935, 233.006805, 24.625681, 227.834625, 16.556186, 207.585825, 14.360352, 187.561848, 11.969137, 167.754612, 9.812838, 147.765537, 6.507497, 127.830543, 2.835194, 108.434922, 0.000000, 87.352405, 0.668374, 66.641323, 4.563960, 47.717504, 10.573145, 28.415263, 21.805587, 9.547908, 42.105756, 0.000000, 62.424310, 8.216213, 73.696632, 28.193230, 77.957793, 46.645923, 78.760033, 67.892989, 78.509154, 88.698833, 78.178412, 107.844740, 78.757993, 127.123212, 78.322260, 147.091744, 75.895658, 167.073142, 75.500983, 186.477117, 74.919551, 206.624028, 67.997263, 227.132841, 52.303481, 232.818121, 46.295840, 232.556038
Type01, L, 240, 53.627365, 242.587673, 47.773624, 242.698816, 31.385743, 239.611600, 20.183877, 219.481797, 18.376924, 198.143299, 16.368426, 177.787584, 12.722321, 156.422332, 8.303074, 136.061466, 4.252825, 115.274690, 1.039936, 94.446174, 0.000000, 72.547893, 2.312523, 51.871864, 8.473856, 31.940444, 19.280166, 11.747460, 39.053073, 0.000000, 60.536659, 5.453623, 75.677488, 23.515222, 80.377608, 45.286578, 81.012215, 64.921017, 80.035548, 86.257877, 80.284456, 107.719328, 80.354633, 129.245876, 80.788259, 150.010538, 80.783364, 170.859784, 80.373146, 191.730958, 79.675144, 212.735602, 74.512675, 233.973896, 60.636798, 242.804429, 53.479686, 242.081985
Type01, L, 250, 51.577905, 252.839738, 44.607503, 253.673935, 29.068973, 247.584418, 19.408845, 224.883033, 15.946490, 204.745601, 14.456203, 181.381914, 11.134347, 160.659830, 6.714543, 138.545995, 2.628791, 117.245163, 0.136177, 95.451864, 0.000000, 73.813977, 3.283655, 52.650469, 9.076671, 31.453391, 21.835939, 10.599631, 43.627692, 0.000000, 66.390586, 7.667665, 78.857526, 28.250919, 81.857963, 49.695136, 83.220203, 71.682389, 82.117540, 93.723507, 82.014215, 113.221183, 82.077159, 135.886987, 82.423869, 157.910690, 82.859577, 179.884855, 82.685897, 202.439675, 82.529483, 224.461270, 75.653838, 246.722230, 58.031731, 253.140299, 52.219098, 252.424639
Type01, L, 260, 60.167140, 262.540359, 52.630016, 263.067896, 36.243240, 257.769129, 25.351169, 235.099252, 22.042301, 212.672665, 18.043891, 190.376184, 13.873992, 168.817671, 8.967720, 145.694007, 4.588083, 124.060821, 1.374758, 102.170524, 0.000000, 79.653538, 5.382111, 57.412279, 13.537597, 35.984842, 24.020677, 14.229670, 44.939564, 0.000000, 68.669348, 4.370650, 81.707707, 26.185253, 87.146867, 48.583262, 88.773434, 71.014389, 87.056393, 93.000710, 84.151766, 115.308508, 85.318676, 138.780036, 87.799039, 160.063046, 88.232139, 183.434009, 88.038306, 206.876909, 87.959910, 229.642020, 83.949318, 252.751169, 67.207209, 262.657321, 60.363207, 261.892889
