type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32
Type00, L, 240, 59.091478, 241.882342, 53.549625, 242.235175, 39.963678, 238.762230, 26.582887, 222.204028, 24.409119, 202.815840, 22.837367, 184.626288, 19.765406, 166.097163, 15.562978, 147.951368, 10.854944, 129.794117, 5.874884, 110.587047, 1.653829, 93.688851, 0.000000, 73.878104, 4.662591, 55.114270, 10.952861, 37.409879, 18.446172, 18.923517, 33.801210, 4.125121, 52.227488, 0.000000, 70.855200, 8.164351, 80.040369, 27.584660, 83.398854, 45.398160, 86.560304, 65.204398, 84.138478, 83.391596, 82.970710, 100.751136, 82.580901, 120.275125, 83.621033, 139.188351, 84.998676, 158.432221, 86.307427, 177.033390, 84.045375, 194.899749, 82.601415, 214.515445, 78.806796, 233.267035, 64.786500, 242.048310, 59.791603, 241.283513
Type00, L, 245, 59.577406, 246.809396, 52.857828, 247.418598, 39.493807, 241.765989, 29.585404, 223.424638, 23.672126, 205.015318, 20.166610, 185.216853, 16.605783, 167.615495, 12.393819, 148.252363, 8.207671, 130.212250, 4.162538, 111.432000, 0.000000, 91.953297, 0.151516, 73.166775, 3.808699, 54.211119, 10.243376, 35.527688, 18.987059, 16.903633, 35.101405, 2.923290, 54.407600, 0.000000, 73.717268, 10.491554, 79.612479, 30.138286, 84.460720, 48.159787, 86.390442, 67.569304, 85.443789, 86.088909, 83.447621, 105.338409, 81.831572, 125.160637, 83.971812, 143.581835, 86.595504, 162.557462, 85.165504, 181.633729, 84.910064, 200.685806, 84.761355, 220.115114, 79.580255, 239.625369, 65.771505, 247.451866, 59.663119, 246.225549
Type00, L, 255, 61.829084, 256.733114, 55.874471, 257.006942, 41.817957, 253.058774, 28.309651, 235.428802, 26.156177, 214.535528, 23.437959, 195.008325, 20.151905, 175.130879, 16.810960, 155.094998, 11.990341, 134.923685, 5.648935, 115.735934, 0.431529, 95.812696, 0.000000, 76.369292, 3.971176, 56.941692, 9.250441, 37.750013, 17.799223, 18.798341, 33.615071, 2.783313, 54.389082, 0.000000, 73.204136, 11.639070, 82.086245, 30.921925, 86.328440, 50.716766, 88.268892, 70.740216, 85.265410, 90.979741, 82.477254, 110.152052, 80.495673, 129.380882, 81.461504, 149.558366, 84.085445, 168.783360, 85.618281, 187.995277, 85.754416, 208.135877, 89.100732, 227.963220, 81.965295, 248.318859, 67.972401, 256.182112, 62.145779, 256.393531
Type00, L, 265, 68.793513, 267.255087, 62.524993, 268.256393, 46.978985, 266.990689, 31.773270, 249.579986, 27.144466, 228.325815, 23.139069, 207.649948, 19.733863, 187.228995, 16.036752, 166.719485, 10.833246, 146.122245, 5.452024, 125.460781, 1.343214, 105.081840, 0.000000, 84.364796, 2.824020, 63.842873, 9.365328, 44.116470, 18.154513, 24.676446, 31.396872, 6.710697, 53.200007, 0.000000, 73.759576, 9.212977, 84.560736, 29.712623, 89.076264, 49.721999, 93.083098, 70.507378, 91.982361, 91.129688, 86.915763, 111.479000, 86.237019, 132.843313, 87.933250, 153.121145, 89.755855, 173.593523, 90.432889, 194.117735, 92.643695, 213.910471, 92.498964, 235.527093, 88.465154, 255.792154, 76.025926, 266.696389, 68.659388, 266.828220
Type00, L, 270, 64.608957, 272.439004, 71.829303, 272.176542, 85.995236, 263.212110, 91.632592, 241.147128, 90.633824, 221.056536, 88.991650, 199.242563, 88.492626, 179.267106, 87.451885, 158.585486, 86.046447, 137.131244, 85.076851, 117.169336, 87.240901, 95.937333, 91.843189, 76.147031, 90.316045, 54.590939, 84.009007, 34.371229, 75.961846, 12.877701, 56.461838, 0.000000, 34.445966, 4.719871, 18.013706, 21.909829, 10.095353, 42.608591, 2.931129, 62.530598, 0.000000, 81.596017, 0.773469, 102.589507, 4.990988, 122.680213, 10.817749, 143.420862, 16.810628, 163.807979, 22.092828, 185.640143, 25.934646, 205.078552, 28.875817, 226.497771, 32.328138, 247.304970, 42.982205, 268.157054, 58.881926, 273.252237, 64.574194, 272.105360
Type00, L, 275, 62.735103, 276.981984, 56.270195, 277.170783, 40.802374, 270.713148, 29.905869, 250.142667, 26.699518, 229.890570, 24.004073, 207.890396, 20.514215, 187.863508, 15.536182, 166.169594, 10.711751, 145.680453, 5.847415, 124.453236, 1.663019, 103.678614, 0.000000, 81.884431, 4.380445, 60.896691, 12.273500, 40.247257, 20.729192, 19.054934, 38.123329, 3.067133, 60.993259, 0.000000, 80.548136, 14.526408, 88.127748, 35.787977, 92.649180, 56.275287, 95.202628, 77.712653, 93.607705, 99.255283, 90.095699, 120.520598, 90.377858, 141.420758, 93.963240, 163.098109, 94.641845, 184.637715, 94.145665, 205.636712, 94.840089, 226.819322, 93.722662, 248.297280, 85.046790, 270.437922, 69.962271, 277.490556, 63.218951, 276.469465
Type01, L, 230, 46.042665, 231.168731, 40.984212, 231.035786, 27.190516, 227.507004, 17.346021, 210.067271, 15.218170, 192.104554, 12.731634, 174.135821, 11.132113, 156.457736, 8.521761, 138.423243, 5.554547, 120.740899, 2.224325, 103.198623, 0.000000, 84.116981, 0.786228, 65.698893, 3.770098, 48.529498, 9.229625, 31.496656, 16.920709, 13.883959, 32.693096, 1.418795, 51.531201, 0.000000, 67.270118, 13.385034, 74.847521, 30.822147, 78.202198, 47.833417, 78.670828, 66.872157, 78.541436, 85.537732, 78.224513, 102.872504, 78.498427, 119.994941, 78.789970, 137.776256, 76.940379, 155.755782, 75.647490, 173.351561, 75.360734, 190.951813, 74.219793, 209.212649, 65.626846, 226.831799, 51.631939, 230.843855, 46.277227, 231.000233
Type01, L, 240, 53.531813, 241.761935, 48.120808, 241.729780, 34.042699, 239.625408, 21.379542, 223.173781, 18.776587, 203.733682, 17.056514, 185.473800, 14.718734, 166.579330, 10.834750, 147.822555, 7.044315, 129.507089, 3.500354, 110.841410, 0.797263, 92.108286, 0.000000, 72.434354, 1.669478, 53.893494, 6.790777, 35.863398, 14.587093, 17.754553, 29.680394, 3.038249, 48.476162, 0.000000, 66.741066, 10.300938, 76.901611, 27.810177, 80.500416, 47.313249, 80.753346, 64.730322, 79.960291, 83.964923, 80.144785, 103.192249, 80.102094, 122.402300, 80.580948, 141.476795, 80.594359, 159.719492, 80.605769, 178.882064, 79.964556, 197.159214, 79.070126, 216.507086, 72.416720, 234.727778, 59.691059, 241.983909, 53.373138, 241.173403
Type01, L, 250, 51.489789, 251.306418, 45.421834, 251.817385, 31.164666, 247.604795, 20.909682, 227.936520, 16.620291, 209.480576, 15.120797, 189.620623, 12.926638, 169.441340, 9.487086, 151.070873, 5.407833, 130.766671, 2.113360, 112.135346, 0.000000, 92.242699, 0.106742, 73.068530, 2.529339, 53.909018, 7.672542, 35.113059, 16.229476, 15.807456, 33.644236, 1.829451, 53.785289, 0.000000, 72.128540, 12.912587, 79.430199, 31.716474, 82.246682, 51.301117, 82.963240, 70.644210, 82.207766, 90.943981, 81.926135, 107.812793, 82.003745, 128.478987, 82.205021, 147.437544, 82.619417, 168.311123, 82.786157, 186.989493, 82.586326, 208.262297, 81.858507, 227.103350, 73.011612, 247.159844, 57.221738, 250.923557, 52.231954, 251.282948
Type01, L, 260, 59.942718, 262.566552, 53.037080, 262.841967, 38.617523, 259.135958, 26.508666, 239.914139, 22.815194, 219.624845, 19.425212, 199.435982, 15.840492, 180.135038, 11.763119, 159.950461, 7.416344, 139.724306, 3.737840, 120.209698, 0.936257, 100.718349, 0.000000, 80.273678, 4.020928, 60.640257, 11.544584, 40.917973, 19.259149, 21.827351, 34.706914, 4.933863, 55.448096, 0.000000, 74.244406, 11.192953, 82.653097, 31.680740, 87.444689, 51.703553, 88.255738, 71.649352, 86.966822, 91.654398, 84.379369, 111.147975, 84.318439, 132.634183, 86.886645, 151.792649, 87.727928, 172.066153, 88.054402, 193.157262, 87.583165, 213.968893, 87.570728, 234.397857, 81.387639, 254.761059, 66.036586, 262.493793, 60.206609, 261.955938
