type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33
Type00, L, 240, 59.274717, 240.980748, 53.827730, 241.291538, 40.949049, 238.145669, 27.276678, 222.519665, 24.699210, 203.848155, 23.234197, 186.092762, 20.579220, 168.323831, 16.552033, 150.604864, 12.233447, 133.240647, 7.231010, 114.685433, 3.129276, 97.841802, 0.000000, 79.855429, 2.767149, 60.757162, 8.533042, 43.653319, 14.962144, 26.092731, 25.735879, 9.061502, 43.351026, 0.000000, 61.167546, 1.138853, 76.636663, 15.268045, 81.274937, 34.035949, 85.283599, 51.408069, 86.175314, 70.839625, 83.732484, 87.405432, 83.012159, 105.042580, 82.832326, 123.801924, 84.112948, 142.092475, 85.380766, 160.733514, 86.431218, 178.456749, 83.847871, 195.922308, 82.828472, 214.897751, 78.267816, 232.899132, 64.801355, 241.135993, 59.923596, 240.368692
Type00, L, 245, 59.934356, 246.419573, 53.481862, 246.886815, 40.443287, 241.897104, 30.487403, 224.143061, 24.527207, 206.619359, 20.945696, 187.253713, 17.616475, 170.230691, 13.629928, 151.725964, 9.487068, 133.856587, 5.707747, 116.312812, 1.362136, 97.159189, 0.000000, 79.138121, 2.520793, 60.676594, 7.849770, 42.543358, 14.964241, 24.602808, 27.261691, 7.756266, 44.749243, 0.000000, 64.721820, 2.452765, 77.837231, 18.757491, 81.612269, 36.745672, 86.172801, 54.942310, 86.493981, 73.327374, 85.330023, 91.332713, 83.217159, 110.279099, 82.319687, 129.097573, 85.138540, 146.912755, 86.808176, 165.329765, 85.433071, 183.752201, 85.274161, 202.202097, 85.013220, 221.011603, 79.332005, 239.760820, 65.891307, 246.974811, 60.048503, 245.835555
Type00, L, 255, 62.492238, 256.910343, 56.651264, 257.190783, 43.306073, 253.502027, 29.472097, 236.967277, 26.977676, 216.763249, 24.448864, 197.745938, 21.436159, 178.733243, 18.038724, 159.162231, 14.094032, 139.939482, 7.832222, 120.807610, 2.534560, 102.254776, 0.000000, 82.710574, 3.136237, 64.531365, 7.433001, 45.279827, 14.306343, 27.472247, 25.802747, 9.237175, 44.626900, 0.000000, 64.393487, 3.977612, 78.990849, 20.079366, 84.365568, 38.857869, 88.283840, 58.353835, 88.184749, 77.547136, 84.935155, 97.176003, 82.518700, 115.220883, 81.062703, 134.385269, 82.633089, 153.564214, 85.111671, 172.187728, 86.240419, 190.796299, 86.678519, 210.331225, 89.693319, 229.494337, 81.835785, 249.057625, 68.477631, 256.331911, 62.744615, 256.605033
Type00, L, 265, 68.831876, 265.358617, 62.683361, 266.290186, 47.920307, 265.285625, 32.424738, 249.015806, 27.587170, 228.561087, 23.625568, 208.453304, 20.350759, 188.768272, 16.832559, 168.887293, 12.210270, 149.076372, 6.775405, 129.011685, 2.483781, 109.338169, 0.000000, 89.351349, 1.476069, 69.461004, 6.293432, 49.908712, 14.341820, 31.424714, 24.100103, 12.307183, 41.847253, 0.000000, 63.503252, 0.263987, 79.718025, 15.958382, 86.557735, 35.841201, 90.682077, 55.306077, 93.554259, 75.678515, 90.331612, 95.116905, 86.401326, 115.388701, 86.496425, 135.674492, 88.464850, 155.305385, 89.811661, 175.132928, 90.765018, 194.866485, 92.730621, 214.083832, 92.405018, 235.079028, 87.998620, 254.442801, 75.745525, 264.895753, 68.716017, 264.859227
Type00, L, 270, 64.777246, 271.784641, 71.690398, 271.506323, 85.569224, 263.168372, 91.615442, 241.931168, 91.011590, 222.424258, 89.269128, 201.513206, 88.757968, 181.786940, 87.844546, 162.338881, 86.547900, 141.166837, 85.348481, 122.117285, 86.328514, 101.352708, 90.634068, 82.331395, 92.022501, 61.763314, 86.523440, 41.742714, 80.678613, 21.619664, 66.611823, 3.279395, 45.536044, 0.000000, 25.640879, 11.054151, 14.468928, 30.230226, 7.099341, 50.135213, 1.603429, 68.684402, 0.000000, 87.906285, 1.959985, 107.998219, 6.623253, 127.516115, 12.388309, 147.497513, 18.113255, 167.473146, 22.959129, 188.376792, 26.523539, 207.088536, 29.297049, 228.040277, 32.947353, 247.989595, 43.898306, 268.047169, 59.272368, 272.418894, 64.707671, 271.552658
Type00, L, 275, 62.742664, 277.015900, 56.475178, 277.121192, 41.598087, 271.267943, 30.334366, 251.510288, 26.988201, 232.024976, 24.335863, 210.771214, 21.247823, 191.233407, 16.505073, 170.568315, 11.891267, 150.408963, 7.054393, 130.193191, 2.888546, 109.922244, 0.000000, 89.226732, 2.173673, 68.504655, 9.098436, 48.500901, 16.568502, 28.350383, 28.875566, 9.171866, 49.350805, 0.000000, 71.278557, 4.691778, 84.856774, 24.136595, 89.936964, 43.705532, 93.987272, 64.240579, 95.049317, 84.848811, 92.556025, 105.721776, 89.612512, 126.112567, 91.271828, 146.411226, 94.292083, 167.493919, 94.577743, 188.157662, 94.145874, 208.471527, 94.921369, 228.959134, 93.326547, 249.817189, 84.420511, 271.006301, 69.643877, 277.427848, 63.289090, 276.527322
Type01, L, 230, 45.714036, 231.937427, 40.761744, 231.717043, 27.624690, 228.628492, 17.317700, 212.004206, 15.115491, 194.703287, 12.648612, 177.190924, 11.095931, 160.263181, 8.748203, 142.680247, 5.916231, 125.678347, 2.799504, 108.592100, 0.016270, 90.837345, 0.000000, 72.220498, 1.963053, 55.717914, 6.666863, 38.925990, 12.498726, 22.353832, 24.259405, 6.805299, 41.678424, 0.000000, 59.416325, 5.519654, 70.913341, 21.951108, 76.223639, 38.179250, 78.211772, 55.392156, 78.304751, 74.059476, 78.089107, 91.509779, 77.892320, 108.199942, 78.282062, 124.843675, 78.255039, 142.096384, 76.205718, 159.521204, 75.322998, 176.376690, 74.915967, 193.545325, 73.619055, 211.177234, 64.535747, 227.964439, 51.142470, 231.520638, 45.895086, 231.808752
Type01, L, 240, 53.614949, 241.676929, 48.311247, 241.609696, 34.937610, 239.752285, 21.931094, 224.330874, 19.054471, 205.573025, 17.295879, 187.776002, 15.343136, 169.726253, 11.644301, 151.363812, 8.049307, 133.793050, 4.389949, 115.622612, 1.636087, 97.850868, 0.000000, 78.737695, 0.924188, 60.634648, 4.336879, 42.810268, 10.979377, 25.675744, 21.590598, 8.723840, 39.295210, 0.000000, 57.253596, 3.245671, 72.519212, 17.542245, 78.677023, 35.387835, 81.075324, 53.926340, 80.413192, 70.627298, 80.089984, 89.883198, 80.178387, 108.091910, 80.265527, 126.869233, 80.690321, 145.035903, 80.655059, 162.769821, 80.633496, 181.293335, 79.953901, 198.933682, 78.931487, 217.713059, 71.883366, 235.095859, 59.539513, 241.877379, 53.442377, 241.083151
Type01, L, 250, 51.607651, 251.935349, 45.775107, 252.387746, 31.950170, 248.597276, 21.533297, 229.942820, 17.039451, 211.871321, 15.405100, 193.071997, 13.511303, 173.189176, 10.368072, 155.554310, 6.448978, 135.998760, 3.052324, 117.792674, 0.553556, 98.832106, 0.000000, 80.024531, 1.435258, 61.572853, 5.553033, 43.212027, 11.834598, 24.798479, 24.814316, 7.752046, 43.822710, 0.000000, 63.195076, 5.104967, 76.657745, 21.690262, 80.743263, 40.024867, 82.938318, 59.033294, 82.861638, 78.102935, 82.165470, 96.802855, 82.070888, 113.563960, 82.149919, 133.771901, 82.407589, 152.045349, 82.789743, 172.204598, 82.899253, 190.289345, 82.679616, 210.906755, 81.713176, 229.011045, 72.334761, 248.252185, 57.165246, 251.408260, 52.348428, 252.010917
Type01, L, 260, 59.980783, 261.443027, 53.236118, 261.684175, 39.427375, 258.315297, 27.034138, 240.207828, 23.153082, 220.455121, 19.903935, 201.049973, 16.480280, 182.117613, 12.645815, 163.052703, 8.416216, 143.126024, 4.675157, 124.343710, 1.693749, 105.477053, 0.000000, 85.916931, 1.931456, 66.812701, 8.575129, 47.377338, 15.551399, 29.318194, 26.446602, 10.506891, 44.917073, 0.000000, 65.059949, 1.899533, 78.932828, 19.040646, 84.756990, 38.421689, 88.242009, 57.966726, 87.941155, 77.241803, 86.285846, 96.244586, 83.968797, 115.755667, 84.948202, 136.102632, 87.193606, 154.600774, 87.815290, 174.425426, 88.049887, 194.844686, 87.580148, 214.879858, 87.473319, 234.650393, 80.692818, 254.179039, 65.825648, 261.318558, 60.244797, 260.856075
