type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34
Type00, L, 240, 58.665960, 241.598208, 53.308105, 241.868241, 41.084618, 239.021146, 27.201583, 224.246757, 24.216294, 206.297223, 22.797074, 188.913447, 20.518927, 171.871938, 16.704942, 154.585018, 12.659104, 137.798923, 7.854457, 120.188110, 3.667197, 103.023148, 0.000000, 86.794287, 0.569351, 67.753927, 5.568996, 50.965178, 11.570435, 34.065370, 19.211620, 17.049073, 34.030986, 3.682626, 51.151963, 0.000000, 68.615378, 6.633623, 78.732678, 24.078578, 82.003901, 41.138636, 85.682331, 58.963551, 84.682675, 77.061969, 82.798788, 92.844983, 82.269406, 110.550258, 82.387615, 128.548354, 83.781083, 146.275790, 84.950520, 164.325260, 85.697980, 181.239040, 82.908187, 198.368063, 82.242532, 216.695970, 76.947217, 234.019378, 64.061378, 241.728989, 59.247046, 240.983701
Type00, L, 245, 60.007783, 246.525568, 53.796650, 246.864498, 41.086822, 242.468175, 31.083088, 225.293590, 25.097493, 208.563590, 21.411115, 189.680080, 18.294997, 173.114914, 14.487433, 155.439111, 10.492385, 137.823383, 6.771666, 121.153930, 2.673533, 102.656552, 0.000000, 85.152692, 1.477787, 67.160248, 5.490715, 49.772640, 11.983707, 32.075975, 20.706100, 15.066519, 36.344098, 2.452801, 54.040335, 0.000000, 72.644247, 8.589064, 79.387785, 26.807442, 83.816552, 43.582619, 86.632348, 61.698939, 86.363165, 79.187063, 84.771853, 96.771742, 82.897642, 115.386204, 82.705261, 133.164492, 85.915018, 150.555808, 86.627991, 168.379318, 85.489527, 186.209074, 85.321437, 204.100778, 84.974812, 222.314758, 78.800259, 240.351052, 65.764164, 246.991562, 60.131533, 245.950819
Type00, L, 255, 62.361437, 256.505620, 56.636456, 256.800558, 43.930966, 253.324665, 29.882302, 237.823639, 26.995371, 218.275842, 24.637669, 199.763991, 21.871116, 181.489094, 18.445739, 162.433289, 15.143668, 144.049143, 9.211746, 125.057326, 3.920879, 107.558859, 0.000000, 88.320862, 1.642215, 70.785846, 5.430490, 52.163143, 10.989004, 34.598285, 19.567915, 16.767539, 34.900241, 2.522869, 54.153992, 0.000000, 72.022856, 9.896830, 81.627044, 27.589235, 85.886704, 45.914843, 88.652729, 64.807711, 87.063459, 83.462351, 83.993865, 102.191514, 81.842512, 119.528123, 81.053232, 138.476227, 82.979244, 156.722466, 85.289139, 174.800115, 86.056929, 192.874394, 86.838471, 211.799872, 89.413928, 230.369609, 80.980955, 249.151751, 68.191637, 255.911130, 62.561342, 256.229096
Type00, L, 265, 68.371428, 266.835789, 62.334191, 267.711379, 48.302090, 266.920155, 32.590603, 251.716503, 27.527854, 232.036867, 23.578864, 212.470204, 20.448085, 193.451291, 17.025625, 174.176927, 12.944215, 155.066704, 7.612841, 135.638341, 3.158161, 116.512867, 0.000000, 97.316524, 0.069588, 77.937669, 3.582081, 58.910041, 10.284542, 40.554623, 18.747813, 22.403678, 31.736158, 6.021973, 51.981036, 0.000000, 71.447722, 7.370070, 82.840325, 25.913978, 87.734003, 44.822241, 91.525870, 63.867074, 92.744777, 83.665903, 88.271924, 102.195376, 85.780824, 122.280281, 86.284836, 141.548442, 88.460898, 160.608290, 89.330756, 179.824698, 90.628972, 198.808518, 92.263956, 217.523387, 91.820070, 237.897423, 87.027363, 256.433194, 75.006016, 266.456524, 68.261520, 266.272826
Type00, L, 270, 64.548100, 272.109366, 71.179969, 271.825236, 84.769260, 264.035826, 91.176356, 243.622130, 90.963984, 224.624436, 89.168849, 204.579929, 88.614234, 185.147000, 87.804641, 166.618329, 86.626893, 146.131346, 85.352400, 127.407361, 85.431989, 107.666251, 88.919347, 88.787615, 92.022170, 69.475937, 88.855339, 49.688908, 82.911533, 30.593644, 74.297282, 10.819117, 55.496503, 0.000000, 35.285533, 4.201591, 19.118688, 19.781568, 11.314047, 38.811997, 4.173720, 57.959196, 0.518292, 75.456821, 0.000000, 94.881363, 2.908776, 113.886302, 7.836910, 133.065255, 13.456311, 152.203677, 18.917087, 171.923668, 23.341129, 191.763165, 26.681059, 209.992882, 29.315698, 230.382302, 33.182590, 249.586027, 44.381176, 268.842481, 59.243635, 272.590238, 64.452143, 271.970457
Type00, L, 275, 62.197554, 276.749419, 56.108141, 276.791367, 41.797527, 271.452583, 30.226172, 252.517306, 26.712603, 233.677205, 24.094558, 213.242917, 21.316943, 194.009357, 16.882626, 174.463158, 12.404868, 154.475745, 7.697999, 135.327442, 3.534086, 115.364933, 0.000000, 95.855915, 0.294970, 75.341840, 5.486832, 56.053763, 13.012859, 36.537733, 21.502834, 16.989599, 38.504199, 2.744276, 59.518586, 0.000000, 78.444658, 12.398353, 86.665761, 32.217837, 91.139233, 51.278667, 94.219878, 71.217180, 93.949743, 91.370590, 90.997677, 111.364034, 88.985634, 131.069283, 91.607025, 150.832126, 93.895415, 171.279000, 93.979544, 191.153958, 93.605480, 210.828135, 94.420724, 230.672366, 92.359270, 250.943305, 83.273760, 271.219173, 68.792833, 277.075214, 62.805491, 276.287386
Type01, L, 230, 46.030602, 231.133405, 41.167069, 230.839231, 28.663071, 228.131983, 17.954969, 212.291404, 15.643321, 195.608423, 13.204214, 178.543503, 11.674176, 162.277196, 9.543810, 145.166516, 6.890150, 128.773393, 3.912459, 112.090978, 0.980062, 95.446796, 0.000000, 77.135154, 1.390946, 60.797971, 4.853280, 44.465765, 10.210273, 28.715916, 18.179529, 12.252848, 33.371204, 1.443843, 50.756886, 0.000000, 65.936521, 11.782125, 73.818432, 27.957829, 77.668564, 43.879764, 78.582671, 61.089890, 78.591949, 79.096874, 78.265572, 95.540415, 78.277143, 111.620486, 78.653713, 127.943644, 78.298077, 144.581135, 76.181409, 161.528239, 75.654679, 177.679210, 75.101473, 194.464486, 73.644944, 211.481356, 64.119417, 227.484771, 51.321754, 230.635566, 46.147189, 231.043851
Type01, L, 240, 53.373907, 241.575012, 48.170332, 241.482465, 35.452298, 239.831155, 22.182197, 225.369280, 19.014036, 207.286877, 17.199616, 189.906527, 15.551534, 172.625830, 12.096169, 154.717901, 8.651165, 137.700459, 4.982389, 120.181731, 2.161563, 102.974238, 0.000000, 84.829634, 0.166631, 66.853152, 2.314975, 49.531510, 7.791865, 32.811420, 15.558839, 15.892930, 30.239289, 2.798108, 47.609755, 0.000000, 64.880373, 8.782436, 75.528056, 24.673742, 79.733042, 42.696061, 80.743397, 59.629667, 79.938180, 76.644151, 79.885949, 95.109147, 79.901940, 112.820704, 80.118661, 130.919434, 80.450298, 148.364495, 80.397830, 165.616320, 80.326723, 183.502300, 79.625535, 200.602677, 78.445834, 218.794301, 71.057145, 235.424329, 59.081606, 241.740904, 53.187907, 240.990317
Type01, L, 250, 51.655736, 251.177118, 46.030737, 251.580859, 32.639744, 248.154822, 22.072041, 230.471172, 17.410537, 212.774854, 15.593405, 194.892156, 13.974721, 175.479582, 11.065774, 158.244592, 7.416917, 139.700983, 3.886884, 121.629129, 1.213630, 103.680413, 0.000000, 85.244328, 0.770389, 67.369302, 3.690121, 49.494367, 8.968845, 31.876889, 17.849926, 14.023012, 34.583195, 1.703605, 53.195443, 0.000000, 70.759492, 11.208062, 78.807344, 28.491926, 81.931485, 46.742720, 83.078901, 64.770490, 82.708773, 83.839970, 82.108239, 100.580321, 82.153520, 118.065726, 82.227262, 137.064544, 82.545396, 155.253390, 82.864942, 174.307997, 82.946767, 192.182227, 82.685240, 211.930924, 81.472839, 229.513789, 71.616577, 247.846209, 57.065388, 250.562701, 52.379812, 251.316750
Type01, L, 260, 59.665810, 262.216289, 53.062416, 262.435604, 39.843042, 259.344345, 27.211305, 242.304525, 23.137091, 223.052088, 19.982387, 204.408252, 16.729992, 185.783635, 13.086227, 167.754682, 9.033224, 148.168402, 5.247099, 130.107165, 2.145012, 111.558877, 0.000000, 93.266923, 0.372256, 74.092209, 5.363200, 55.827789, 12.379991, 37.490566, 20.157548, 19.659932, 35.210413, 4.411358, 54.333342, 0.000000, 72.378674, 9.244791, 81.268159, 28.033596, 86.287842, 46.839034, 87.969913, 65.426564, 87.263156, 84.395063, 85.167770, 102.316528, 83.548078, 122.052013, 85.213731, 140.963747, 87.051559, 159.190992, 87.546050, 178.434235, 87.676845, 198.253006, 87.234204, 217.553893, 86.987891, 236.711113, 79.672295, 255.443968, 65.286829, 262.043596, 59.921923, 261.656002
