type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36
Type00, L, 240, 59.209336, 241.391670, 54.025135, 241.590181, 42.952937, 239.255584, 28.868443, 225.991073, 25.066838, 209.455607, 23.611533, 192.704274, 21.937462, 177.024140, 18.626759, 160.465925, 14.941193, 144.797238, 10.783574, 128.627738, 6.279283, 111.858174, 2.742211, 96.729608, 0.000000, 80.194807, 2.386247, 62.840656, 7.232398, 47.195709, 13.139679, 31.252542, 20.846355, 15.445306, 35.150443, 3.376895, 51.132284, 0.000000, 67.550034, 5.480585, 78.234586, 21.031740, 81.837765, 37.447019, 85.372051, 53.639028, 85.940914, 71.121255, 83.865729, 86.353469, 82.963659, 102.126193, 82.731540, 119.073215, 83.393853, 135.913000, 84.804723, 152.541044, 85.760455, 169.446585, 85.852132, 184.983836, 82.940188, 201.540220, 82.747516, 218.589460, 76.132862, 234.732238, 64.420495, 241.444440, 59.624986, 240.799960
Type00, L, 245, 59.832102, 246.282091, 54.044266, 246.413366, 41.978148, 242.996845, 31.905393, 226.988369, 25.884715, 211.575542, 21.992852, 193.779366, 19.159161, 177.907036, 15.696137, 161.606685, 12.068953, 145.003038, 8.326306, 128.887484, 4.846725, 112.725806, 1.058009, 95.236656, 0.000000, 79.030156, 2.239775, 62.032777, 6.531797, 45.792133, 13.005887, 29.130881, 21.740904, 13.485578, 36.832002, 2.071517, 53.225616, 0.000000, 70.994030, 7.033357, 78.580600, 23.890633, 82.622336, 39.581424, 86.050197, 56.593165, 86.392676, 72.995041, 85.388979, 89.622323, 83.453086, 106.472773, 82.380277, 123.976444, 83.617841, 140.147482, 86.587269, 156.773113, 85.915007, 173.513196, 85.356977, 190.218017, 85.059785, 207.166526, 84.519843, 224.216286, 77.460311, 240.983806, 65.257956, 246.559496, 59.944257, 245.760360
Type00, L, 255, 62.367243, 256.293555, 56.894726, 256.638932, 45.247227, 253.466802, 31.085303, 239.878930, 27.266395, 221.511204, 25.269298, 204.104262, 22.759243, 186.779464, 19.642996, 169.219192, 16.713951, 151.655340, 12.229890, 133.952782, 6.671548, 116.965301, 2.055690, 99.812023, 0.000000, 82.157059, 2.683440, 65.622617, 6.367830, 48.113781, 12.145206, 31.749463, 20.736863, 15.061080, 35.553630, 2.273168, 53.529253, 0.000000, 70.453486, 8.438578, 80.618837, 24.688024, 85.010618, 41.710921, 88.167433, 59.545580, 87.962740, 76.944006, 85.056130, 94.789413, 82.821691, 111.410914, 81.083022, 128.388910, 81.755354, 146.143979, 83.794720, 163.105780, 85.756305, 179.992862, 85.991467, 197.291356, 87.449801, 214.930267, 88.943096, 232.533116, 79.722792, 249.763084, 67.895782, 255.707215, 62.497282, 256.050751
Type00, L, 265, 68.744086, 266.445970, 62.924643, 267.248934, 50.177591, 266.756757, 34.261700, 253.496188, 28.684897, 235.270703, 24.724542, 216.758749, 21.846717, 198.848261, 18.533219, 180.767241, 15.263398, 162.832352, 10.498234, 144.652411, 5.842447, 126.525004, 2.054113, 108.601639, 0.000000, 90.465012, 1.151816, 72.297814, 5.127706, 54.607109, 11.882728, 37.401001, 20.067354, 20.428008, 32.768385, 5.401284, 51.689896, 0.000000, 70.082975, 5.809831, 81.923568, 22.684488, 87.181785, 40.345497, 90.895635, 58.290468, 93.190169, 76.703953, 90.684875, 94.478859, 86.707112, 112.720430, 86.274454, 131.280016, 87.362104, 149.300261, 89.447535, 167.128017, 89.757688, 185.291263, 91.597957, 202.883176, 92.557793, 220.772228, 91.921980, 239.899375, 86.412217, 256.992492, 74.900070, 266.193623, 68.635934, 265.788112
Type00, L, 270, 64.797533, 271.824054, 70.939978, 271.551400, 83.937741, 264.664933, 90.959214, 245.865736, 91.479927, 227.719146, 89.727791, 209.268636, 89.022873, 190.574778, 88.335143, 173.141359, 87.446760, 154.708882, 86.127719, 135.832212, 85.383644, 118.568350, 86.696324, 99.502213, 90.595527, 82.434978, 91.886569, 63.617014, 87.831702, 45.389051, 82.176546, 27.296659, 73.018804, 9.120381, 55.014303, 0.000000, 36.282906, 3.782964, 20.508577, 17.926393, 12.699973, 35.563629, 5.711995, 53.770849, 1.564081, 70.303817, 0.000000, 88.031488, 1.802888, 106.217378, 5.624723, 123.935068, 10.843058, 142.189298, 16.010557, 160.030079, 20.934157, 179.125872, 24.632618, 196.902244, 27.602213, 214.566993, 30.074665, 233.683277, 34.379398, 251.650143, 45.962646, 269.314180, 59.833453, 272.063409, 64.676975, 271.846760
Type00, L, 275, 62.686990, 276.530140, 56.908249, 276.478859, 43.651916, 271.982609, 31.628674, 254.637450, 27.716658, 236.889183, 25.155522, 218.059341, 22.760044, 199.349885, 19.074227, 181.673095, 14.727590, 162.386392, 10.515476, 144.636365, 6.146689, 125.832470, 2.544176, 107.624523, 0.000000, 88.688653, 1.929538, 69.839728, 7.468234, 51.652071, 14.657043, 33.352159, 23.241115, 15.189235, 39.763554, 2.469193, 59.212740, 0.000000, 77.468231, 10.583014, 86.182393, 29.112150, 90.794392, 46.834617, 93.976587, 65.618298, 94.925744, 84.333166, 92.699918, 103.318574, 90.039853, 121.913023, 90.297952, 140.310451, 93.432981, 159.303544, 94.442147, 178.296672, 94.368650, 196.898130, 94.170074, 215.376643, 94.876943, 234.078669, 91.994671, 253.250382, 82.625744, 271.817270, 68.742290, 276.706632, 63.401843, 276.124734
Type01, L, 230, 45.808634, 231.086307, 41.088844, 230.693914, 29.761941, 228.568231, 18.432897, 214.247881, 15.812072, 198.621102, 13.445078, 182.531174, 11.905440, 167.214485, 10.117553, 151.269632, 7.819052, 135.682747, 5.101829, 120.071469, 2.293909, 104.580721, 0.000000, 88.239840, 0.101418, 71.345487, 1.833138, 56.423063, 5.696829, 40.926792, 10.909518, 26.243675, 19.158933, 10.885774, 33.716138, 1.451489, 49.889984, 0.000000, 64.478140, 10.423439, 72.600414, 25.430446, 76.819367, 40.430854, 78.228541, 56.126902, 78.352351, 73.219235, 78.171015, 88.962291, 77.921449, 104.431501, 78.241070, 119.208534, 78.378317, 135.104799, 77.386994, 150.529460, 75.512682, 166.523471, 75.426186, 181.526724, 74.609098, 197.547830, 72.776054, 213.449110, 62.543239, 227.961864, 50.869157, 230.478688, 45.783082, 231.057680
Type01, L, 240, 53.613614, 241.383603, 48.604757, 241.271324, 37.039394, 239.916843, 23.472856, 227.204198, 19.665965, 210.409084, 17.736312, 193.813274, 16.447552, 177.804768, 13.628324, 160.957255, 10.328202, 144.693492, 6.967328, 128.569877, 3.810865, 112.062852, 1.431057, 95.877159, 0.000000, 78.413785, 0.845440, 62.024525, 3.414686, 45.672183, 9.122638, 30.115223, 16.853089, 14.286394, 31.096185, 2.560074, 47.254859, 0.000000, 63.571050, 7.457043, 74.544243, 22.042738, 79.271287, 38.473628, 80.938553, 55.189443, 80.420895, 70.318813, 80.036805, 87.932418, 80.157455, 104.384396, 80.149649, 121.523043, 80.525525, 138.154266, 80.659815, 154.406936, 80.608790, 170.880768, 80.419998, 187.402667, 79.701174, 203.749105, 78.140716, 220.662072, 70.221507, 236.056749, 58.931662, 241.432469, 53.407976, 240.869679
Type01, L, 250, 51.561603, 251.022430, 46.287496, 251.349614, 33.745500, 248.518865, 22.929818, 232.633509, 17.994111, 215.691628, 15.773346, 199.265314, 14.536587, 181.124588, 12.046148, 164.161381, 9.004946, 147.748788, 5.343499, 129.854980, 2.537422, 113.602633, 0.409148, 96.100117, 0.000000, 79.141854, 1.273382, 62.325250, 4.573795, 45.576749, 9.954316, 28.993269, 19.111913, 12.495361, 35.118358, 1.532933, 52.481472, 0.000000, 69.200930, 9.678981, 77.892243, 25.762758, 81.301388, 42.510706, 82.805958, 59.898571, 82.861626, 77.031959, 82.141295, 94.452772, 82.045148, 109.163475, 82.067129, 127.709478, 82.235946, 144.041464, 82.609698, 162.557617, 82.775863, 179.107894, 82.860312, 197.093183, 82.452942, 214.828816, 80.740832, 231.767895, 70.079962, 248.154779, 56.740268, 250.353056, 52.215496, 251.212008
Type01, L, 260, 59.943101, 261.891246, 53.577304, 262.073930, 41.465261, 259.446035, 28.480263, 244.323525, 24.021057, 226.096838, 20.932813, 208.722903, 18.038276, 190.879861, 14.650567, 174.236106, 11.051311, 156.008782, 7.236300, 138.560146, 4.009306, 121.251439, 1.419596, 104.223693, 0.000000, 86.354812, 1.630995, 68.954524, 7.094943, 51.389736, 13.658709, 34.603015, 21.552803, 17.704136, 36.127925, 3.967868, 53.924363, 0.000000, 71.134339, 7.554315, 80.499927, 24.959487, 85.603354, 42.340023, 88.042348, 60.212570, 87.875072, 77.594392, 86.340508, 95.120217, 84.267543, 112.356661, 84.299570, 131.342098, 86.434480, 148.119008, 87.514232, 165.860267, 87.880024, 184.084738, 87.828618, 202.628202, 87.455136, 220.734786, 86.840735, 238.682173, 78.619910, 256.000250, 65.182857, 261.605462, 60.162760, 261.404562
