type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37
Type00, L, 240, 58.647904, 240.562800, 53.551861, 240.737420, 42.978438, 238.605819, 28.888951, 226.036629, 24.687439, 210.149826, 23.164750, 193.732196, 21.726398, 178.615544, 18.657341, 162.421327, 15.183530, 147.308206, 11.212209, 131.528133, 6.864497, 115.572154, 3.165493, 100.071334, 0.000000, 85.191672, 0.434074, 67.774006, 4.757712, 52.433332, 9.974305, 36.913234, 16.462362, 21.601718, 27.019439, 7.253099, 42.829072, 0.000000, 58.122203, 0.421623, 72.983122, 10.821033, 79.361650, 27.197169, 82.613669, 42.597452, 85.547299, 59.033951, 84.657007, 75.456117, 82.945235, 89.916296, 82.264166, 105.821054, 82.234756, 122.164599, 83.088021, 138.542303, 84.450002, 154.684033, 85.280637, 170.982774, 85.048823, 185.994374, 82.195268, 202.258578, 82.117233, 218.707796, 74.939719, 234.317159, 63.790541, 240.572605, 58.975561, 239.991024
Type00, L, 245, 59.864372, 245.941414, 54.265184, 245.997868, 42.506023, 242.965047, 32.420861, 227.562364, 26.374417, 212.664216, 22.410536, 195.490451, 19.623829, 179.839201, 16.364785, 164.170337, 12.878015, 148.106620, 9.190242, 132.156845, 5.868664, 116.961373, 2.085003, 99.756977, 0.000000, 84.150618, 1.232645, 67.432995, 4.679300, 51.881078, 10.225374, 35.372568, 17.337931, 20.121640, 29.253921, 5.869064, 44.922108, 0.000000, 61.949343, 1.316307, 75.761938, 13.924630, 79.991863, 29.986780, 84.397280, 45.691828, 86.367489, 62.053052, 86.260438, 78.048665, 84.858748, 94.079504, 83.082521, 110.867438, 82.448944, 127.437894, 84.318191, 143.210494, 86.747466, 159.340331, 85.751340, 175.662035, 85.400689, 191.795829, 85.055079, 208.363584, 84.373228, 224.836130, 76.949894, 241.044181, 65.144754, 246.120763, 59.965943, 245.464007
Type00, L, 255, 62.268022, 256.289108, 56.929465, 256.661055, 45.716418, 253.606836, 31.622303, 240.882150, 27.301590, 223.070625, 25.469532, 206.222564, 23.004863, 189.201629, 20.162292, 172.509169, 17.155511, 155.072357, 13.464870, 138.314608, 7.885573, 121.189178, 3.295966, 105.164872, 0.000000, 87.592288, 1.386092, 71.626268, 4.771472, 54.726257, 9.338659, 38.417836, 16.417485, 22.484568, 27.638348, 7.209007, 44.529866, 0.000000, 61.600048, 2.593677, 76.017767, 15.345402, 82.409471, 31.564854, 86.435240, 48.570354, 88.333761, 65.668964, 87.073208, 82.717833, 84.147254, 99.838592, 82.232872, 115.723437, 80.860183, 132.659734, 82.080493, 149.600253, 84.054503, 166.164130, 85.800228, 182.426328, 85.904603, 199.434918, 87.631374, 216.427547, 88.543439, 233.625049, 79.066845, 250.099205, 67.652934, 255.719710, 62.375828, 256.052919
Type00, L, 265, 68.403916, 265.484956, 62.699143, 266.269644, 50.499073, 265.871092, 34.596099, 253.500986, 28.722106, 235.948592, 24.767099, 217.963799, 21.958994, 200.502393, 18.726788, 183.020063, 15.694950, 165.559225, 11.319927, 147.984211, 6.671408, 130.353359, 2.694072, 112.909746, 0.080641, 95.403250, 0.000000, 77.709069, 3.040540, 60.406222, 8.403787, 43.353914, 16.053453, 27.174138, 25.429783, 10.568321, 41.673969, 0.757497, 60.258144, 0.000000, 76.092470, 11.902552, 84.021213, 28.839715, 88.409378, 46.443568, 91.573074, 63.530376, 92.638620, 81.866355, 88.894601, 98.512407, 86.018151, 116.916792, 86.061562, 134.467658, 87.461420, 152.075288, 89.246665, 169.333648, 89.544920, 186.973178, 91.484346, 203.975599, 92.179130, 221.488761, 91.420605, 240.011423, 85.612895, 256.469558, 74.345276, 265.279808, 68.301939, 264.793789
Type00, L, 270, 64.523503, 271.010225, 70.456495, 270.755985, 83.147940, 264.231183, 90.441512, 246.229207, 91.284386, 228.425795, 89.636031, 210.733701, 88.816841, 192.403547, 88.187085, 175.395371, 87.399712, 157.871190, 86.135122, 139.209543, 85.229232, 122.547339, 85.692037, 104.087652, 89.053137, 87.317751, 91.671642, 69.340532, 89.647132, 51.680152, 84.033412, 33.769635, 78.015289, 16.262359, 63.571782, 1.616966, 45.420828, 0.000000, 27.665610, 8.470559, 16.265153, 25.052931, 9.523197, 42.081550, 3.444168, 59.574246, 0.464254, 75.429079, 0.000000, 93.218844, 2.482048, 110.592224, 6.674038, 127.930051, 11.792882, 145.596575, 16.794924, 163.037811, 21.385694, 181.633208, 24.828299, 198.569629, 27.610801, 216.008081, 30.075008, 234.483551, 34.578434, 251.914514, 46.316197, 268.806889, 59.701073, 271.154540, 64.406431, 271.104846
Type00, L, 275, 62.214032, 276.263612, 56.571498, 276.173564, 43.805079, 272.035064, 31.623969, 255.431206, 27.499085, 238.185959, 24.946559, 220.061950, 22.675492, 201.710518, 19.336188, 184.633381, 15.111339, 166.026585, 11.073543, 148.521240, 6.742813, 130.608580, 3.119067, 112.606288, 0.000000, 94.755392, 0.316600, 75.945519, 4.510608, 58.539039, 11.308157, 40.387651, 18.264488, 23.042721, 30.782115, 6.805782, 48.857113, 0.000000, 68.014600, 2.781318, 81.876756, 18.675081, 87.726824, 35.848644, 91.680409, 53.924277, 94.205215, 71.731007, 93.914005, 90.374901, 91.383904, 108.423197, 89.212189, 126.602131, 90.538424, 144.371937, 93.345141, 163.028477, 93.973406, 181.289813, 93.829685, 199.355051, 93.773146, 217.288991, 94.317803, 235.472689, 91.105421, 254.130590, 81.605933, 271.897083, 68.038385, 276.375639, 62.969134, 275.885720
Type01, L, 230, 46.018362, 231.391541, 41.360122, 230.972084, 30.572586, 229.058614, 19.018335, 215.475549, 16.208025, 200.295934, 13.877585, 184.730091, 12.318777, 169.732106, 10.663624, 154.441149, 8.514159, 139.124202, 5.967306, 124.084766, 3.213822, 108.953763, 0.732458, 93.536125, 0.000000, 76.909318, 1.296891, 61.959421, 4.117526, 47.144803, 8.941563, 32.584184, 14.911423, 17.838194, 26.684048, 5.167946, 41.850650, 0.000000, 57.593031, 3.848851, 68.879897, 17.461269, 74.879848, 31.750499, 77.801844, 46.706994, 78.517499, 62.294785, 78.519654, 78.891614, 78.264298, 93.717493, 78.153337, 108.729632, 78.522172, 123.137349, 78.482477, 138.614076, 77.223228, 153.655173, 75.607614, 169.045450, 75.599498, 183.672619, 74.687635, 199.255719, 72.629825, 214.685723, 62.136904, 228.464107, 50.976230, 230.761782, 45.922091, 231.376838
Type01, L, 240, 53.361761, 241.117254, 48.451871, 241.009685, 37.384018, 239.751782, 23.773845, 227.843663, 19.627279, 211.647004, 17.641215, 195.445417, 16.439684, 179.950247, 13.942206, 163.649809, 10.729976, 147.738899, 7.533757, 132.135209, 4.291373, 116.145329, 1.842356, 100.438738, 0.000000, 83.831370, 0.073941, 67.428754, 1.946405, 51.662136, 6.156821, 36.175137, 12.865420, 21.021803, 23.252689, 6.818076, 39.160864, 0.000000, 54.587614, 1.968336, 69.267953, 13.355390, 76.519996, 28.241312, 80.067155, 44.926366, 80.546283, 60.081948, 79.989372, 75.700085, 79.794451, 92.532410, 79.890266, 108.668291, 79.958549, 125.171713, 80.320449, 141.306004, 80.394401, 156.946237, 80.338997, 173.163846, 80.091855, 188.943070, 79.369260, 205.062022, 77.593718, 221.288482, 69.479008, 236.188119, 58.502515, 241.085699, 53.152078, 240.664401
Type01, L, 250, 51.587330, 251.349596, 46.464805, 251.648663, 34.327888, 249.056680, 23.423434, 234.007162, 18.360926, 217.434696, 15.959095, 201.613377, 14.797158, 184.127196, 12.550048, 167.324676, 9.733605, 151.650824, 6.166232, 134.215364, 3.279204, 118.348165, 0.904441, 101.506973, 0.000000, 84.999752, 0.652533, 68.492513, 3.089832, 52.359936, 7.551181, 36.107210, 14.344868, 19.960565, 27.038186, 5.936724, 43.908969, 0.000000, 60.654904, 3.500856, 74.300286, 17.037500, 79.387730, 32.717432, 82.240450, 49.702008, 82.879770, 66.005030, 82.714327, 83.332616, 82.047811, 99.038461, 82.082877, 114.126705, 82.123051, 132.165547, 82.306447, 147.851027, 82.710163, 166.144769, 82.783711, 181.762332, 82.894286, 199.723199, 82.382828, 216.531828, 80.423976, 233.201310, 69.430653, 248.647829, 56.676786, 250.679693, 52.191876, 251.547359
Type01, L, 260, 59.677255, 260.695807, 53.413744, 260.856695, 41.817002, 258.437956, 28.711443, 244.152522, 24.065581, 226.477749, 20.961256, 209.587583, 18.238789, 192.262077, 14.944908, 175.976165, 11.575962, 158.690686, 7.788079, 141.253018, 4.558057, 124.826115, 1.800642, 107.805371, 0.000000, 91.301855, 0.324724, 73.469227, 4.436203, 57.308924, 10.689268, 39.828845, 17.315636, 24.386547, 28.155413, 7.957237, 44.743158, 0.000000, 62.053036, 0.387809, 76.129484, 14.043234, 82.318583, 30.556195, 86.781585, 48.347421, 87.773347, 64.834423, 87.282056, 82.370330, 85.380883, 98.694285, 83.725392, 116.303272, 84.469947, 134.139861, 86.485303, 150.538584, 87.316538, 167.782932, 87.611536, 185.690756, 87.510623, 203.513331, 87.153130, 221.170470, 86.330989, 238.504034, 77.728623, 255.205312, 64.756022, 260.342112, 59.869576, 260.256999
