Model,Cluster_ID,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,1,8.71490,7.94892,2.64708,0.85509,2.74877,0.62431,0.97200,250.32769,0.95928,0.97918,0.00000
PCA_KRR,2,8.51030,7.82730,1.41950,0.55910,3.15893,0.73335,0.39755,238.27442,0.97121,0.98537,0.00000
PCA_KRR,3,8.49563,7.80344,1.04932,0.36445,3.52657,0.65048,0.71109,203.47192,0.98088,0.99035,0.00000
PCA_KRR,4,8.72209,8.03124,1.08979,0.27544,3.11581,0.55418,0.22672,211.18698,0.98682,0.99337,0.00000
PCA_LINEAR,1,9.09347,8.28294,5.04649,1.74705,2.07531,0.75348,0.52713,453.63863,0.92926,0.96322,0.00000
PCA_LINEAR,2,9.18573,8.38889,7.24514,2.04389,17.43001,1.70571,5.41542,715.87954,0.91658,0.95639,0.00000
PCA_LINEAR,3,9.22101,8.49011,4.18641,1.54098,3.95313,1.37833,0.68858,289.67573,0.93146,0.96444,0.00000
PCA_LINEAR,4,19.10962,18.86411,21.04598,5.11220,56.85073,4.56359,21.04598,1908.33330,0.83494,0.91002,0.00000
PCA_SVR,1,8.81856,8.06738,2.90454,0.88373,4.75644,0.70362,1.59467,232.03621,0.95914,0.97909,0.00000
PCA_SVR,2,8.46412,7.80047,1.81035,0.52197,4.46886,0.50937,1.03910,227.31632,0.97385,0.98673,0.00000
PCA_SVR,3,8.28308,7.60909,3.25810,0.74824,7.51742,0.64434,1.39984,314.91730,0.96690,0.98307,0.00000
PCA_SVR,4,8.95161,8.34089,1.54628,0.44063,3.83181,0.46052,1.53043,153.26641,0.97726,0.98850,0.00000
PURE_GPR,1,8.62678,7.85989,2.65116,0.90284,2.67683,0.61251,0.71313,231.00091,0.95789,0.97845,0.00000
PURE_GPR,2,8.50556,7.82485,1.64798,0.63052,3.26364,0.79010,0.39850,246.45678,0.96848,0.98396,0.00000
PURE_GPR,3,8.47698,7.77446,1.15849,0.40227,3.60735,0.77244,0.44583,213.20579,0.97890,0.98933,0.00000
PURE_GPR,4,8.71753,8.02216,1.07995,0.24470,3.10447,0.55521,0.00001,211.68478,0.98831,0.99412,0.00000
PURE_KRR,1,8.60615,7.83573,2.55983,0.86236,2.68916,0.57931,0.73319,227.46527,0.96022,0.97966,0.00000
PURE_KRR,2,8.49852,7.81639,1.38133,0.53518,3.15215,0.70234,0.32318,237.35213,0.97244,0.98600,0.00000
PURE_KRR,3,8.49548,7.79822,0.97385,0.33728,3.50792,0.64078,0.58777,201.72176,0.98173,0.99078,0.00000
PURE_KRR,4,8.72000,8.02789,1.08926,0.25966,3.09170,0.55497,0.18250,211.52652,0.98728,0.99360,0.00000
PURE_SVR,1,8.75635,7.96937,2.60971,0.84385,2.88979,0.60160,0.60727,239.27784,0.96248,0.98081,0.00000
PURE_SVR,2,8.56849,7.88066,1.53325,0.51984,3.22748,0.73579,0.22706,282.01217,0.97460,0.98710,0.00000
PURE_SVR,3,8.57892,7.90921,1.00895,0.31217,2.73397,0.61596,0.40691,193.74073,0.98296,0.99141,0.00000
PURE_SVR,4,8.72151,8.02884,1.08306,0.25811,2.95698,0.58567,0.11336,200.27120,0.98723,0.99357,0.00000
RATIO_CTRL,1,3.60018,3.29726,4.61382,1.68971,3.41965,3.08748,0.64086,630.23322,0.94050,0.96926,0.00000
RATIO_CTRL,2,2.91365,2.57385,4.88436,1.73157,4.49877,2.98763,0.41145,691.89165,0.93727,0.96737,0.00000
RATIO_CTRL,3,4.42638,3.65541,7.26139,2.99375,8.12449,5.94974,0.32824,1340.67388,0.89152,0.94264,0.00000
RATIO_CTRL,4,1.61853,1.47115,2.64725,0.89570,1.86471,1.31983,0.22188,412.68156,0.96494,0.98196,0.00000
