type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41
Type00, L, 240, 58.921079, 240.279323, 54.217156, 240.467094, 45.151816, 238.760518, 31.576806, 228.823206, 25.813857, 214.880175, 23.975096, 200.415634, 22.842177, 186.160666, 20.951995, 172.512048, 17.996422, 158.028391, 14.840104, 144.657919, 11.200200, 130.299161, 7.404272, 116.303241, 3.905978, 101.977636, 1.088850, 89.187805, 0.000000, 73.730448, 2.859147, 59.403930, 7.102654, 45.600792, 12.133717, 31.803481, 18.642232, 18.146050, 28.876468, 6.035051, 43.179043, 0.002125, 56.551798, 0.000000, 70.574070, 7.834368, 77.958841, 21.672107, 81.662329, 35.929304, 84.296347, 49.911294, 85.895949, 64.990866, 84.292556, 79.029550, 83.119760, 92.042402, 82.492593, 106.479199, 82.500558, 120.955162, 83.185266, 135.778065, 84.314782, 150.040315, 85.330392, 164.855996, 85.549320, 178.613720, 84.244692, 192.383883, 82.128067, 207.306820, 81.766823, 221.714945, 73.083544, 235.399529, 63.824633, 240.146386, 58.944893, 239.808054
Type00, L, 245, 59.482619, 245.695333, 54.508101, 245.611807, 43.897478, 243.548438, 33.854533, 230.657782, 27.698027, 217.112027, 23.581020, 202.639374, 20.628656, 187.494735, 18.166696, 174.037145, 15.007229, 159.536087, 11.967333, 145.415320, 8.603808, 131.018354, 5.681022, 117.547146, 2.286875, 102.144231, 0.000000, 88.018334, 0.108653, 73.317430, 2.557289, 58.934476, 6.393533, 44.737137, 11.994596, 30.140345, 19.097567, 16.743457, 30.545439, 4.757949, 44.667940, 0.000000, 59.527436, 0.836887, 73.181948, 10.427031, 78.398762, 24.838879, 82.261407, 38.619672, 85.184908, 53.294715, 86.099688, 67.584649, 85.552824, 82.099578, 84.205297, 96.329474, 82.635047, 111.552742, 82.186676, 126.275926, 83.468325, 140.421358, 85.972355, 154.896643, 85.829826, 169.240237, 85.094249, 184.069092, 84.911937, 198.277547, 84.569331, 213.486911, 83.042021, 227.909031, 74.681077, 242.124036, 64.245456, 245.529395, 59.545800, 245.442608
Type00, L, 255, 61.710475, 255.896774, 56.900685, 256.266279, 47.030092, 253.786098, 33.621285, 243.615812, 27.502521, 228.331873, 25.834545, 212.923017, 23.675009, 197.667364, 21.519171, 182.831181, 18.739581, 167.388264, 16.120596, 152.141594, 12.568949, 136.972196, 7.612882, 121.681464, 3.493899, 107.410841, 0.040856, 91.730079, 0.000000, 77.132017, 2.546243, 62.367725, 5.947731, 47.419866, 10.808334, 32.967332, 17.924638, 18.770420, 28.814223, 5.804265, 44.019869, 0.000000, 59.157200, 1.759028, 72.813366, 11.876132, 80.230327, 26.021536, 84.284910, 40.934067, 87.024745, 56.332178, 87.592102, 71.516711, 85.712578, 86.902745, 83.256309, 101.945715, 81.609696, 116.277699, 80.378401, 131.289115, 81.284785, 146.672787, 82.934435, 161.293536, 84.713556, 176.192276, 85.370658, 190.764983, 85.786678, 206.372700, 87.835478, 221.316827, 86.593815, 236.942572, 76.625285, 250.805664, 66.589496, 255.356033, 61.760464, 255.682355
Type00, L, 265, 68.660845, 265.473829, 63.482651, 266.267712, 52.867127, 265.988833, 37.676750, 256.702389, 30.389359, 241.537544, 26.625116, 225.587406, 23.643361, 209.599802, 21.040982, 194.171516, 18.190585, 178.337089, 15.312838, 162.892294, 11.299979, 146.994285, 7.181695, 131.346260, 3.539710, 115.645581, 0.904659, 100.019840, 0.000000, 84.309705, 1.627670, 68.442557, 5.313891, 53.358622, 10.959271, 38.067983, 18.104730, 23.768898, 27.235146, 9.252880, 42.085390, 1.115034, 58.432366, 0.000000, 73.400267, 8.735998, 82.210745, 23.609696, 86.980500, 38.827663, 90.220733, 54.751086, 92.567976, 70.053257, 92.118065, 86.537291, 88.529279, 101.171652, 86.325436, 118.022710, 86.323399, 133.415771, 87.399881, 149.449507, 89.174346, 164.662547, 89.593763, 180.617110, 90.792626, 195.879295, 92.156268, 211.304136, 92.364904, 227.335508, 90.857717, 243.639731, 84.295332, 258.012213, 73.842985, 265.360633, 68.648822, 264.736871
Type00, L, 270, 64.621227, 270.546457, 69.906050, 270.379362, 81.330076, 264.958313, 89.546044, 249.865831, 91.375181, 233.263483, 90.520001, 218.104479, 89.193124, 201.256936, 88.765210, 185.843089, 88.042310, 170.257430, 87.352669, 154.554108, 86.151410, 137.862857, 85.410681, 122.907737, 85.649728, 106.656808, 88.082831, 91.092703, 91.196469, 75.718928, 91.035327, 59.488144, 87.642018, 43.693701, 82.280461, 27.790073, 75.741817, 12.298027, 61.555983, 0.743779, 45.600948, 0.000000, 29.655701, 6.781102, 18.271820, 21.148868, 11.827748, 35.960678, 5.745695, 52.166157, 2.041551, 66.299042, 0.000000, 81.673112, 0.720711, 97.209600, 3.122332, 112.969658, 7.099059, 128.340168, 11.610424, 144.266422, 16.084629, 159.751084, 20.385537, 176.335048, 23.668599, 191.974167, 26.534183, 207.139602, 28.618421, 223.345145, 31.391863, 239.593977, 36.532224, 255.168577, 48.686935, 269.217819, 60.220525, 270.430323, 64.604654, 270.869332
Type00, L, 275, 62.506727, 275.873252, 57.321015, 275.667300, 46.275044, 272.645856, 33.815373, 258.657737, 28.847937, 243.260379, 26.178724, 227.338045, 24.214202, 210.932443, 21.791444, 194.903937, 18.525082, 179.513818, 14.718427, 162.687634, 11.111239, 147.259440, 7.254123, 131.095396, 3.911077, 115.043341, 1.044612, 99.087436, 0.000000, 82.447413, 2.595530, 66.287469, 7.411921, 50.565206, 13.801766, 34.403432, 20.637652, 19.052673, 33.014120, 5.411566, 49.183121, 0.000000, 66.106664, 1.827574, 79.870202, 14.537618, 86.268513, 30.120878, 90.561688, 45.736627, 93.150789, 62.056545, 94.767366, 78.048834, 93.483214, 94.839641, 91.279684, 110.809239, 89.557619, 127.176710, 90.708181, 142.987277, 93.233019, 159.708704, 94.134753, 176.046225, 94.239076, 192.373299, 93.902985, 208.298928, 94.432755, 224.569179, 93.915074, 240.871888, 89.827001, 257.672326, 79.849124, 272.580281, 67.625624, 275.780272, 63.340663, 275.600868
Type01, L, 230, 46.081603, 231.049006, 41.638887, 230.596222, 32.690211, 229.225319, 20.688554, 218.292083, 17.040848, 204.675122, 14.715132, 191.045140, 13.208558, 177.079398, 11.684651, 163.962043, 10.190786, 149.882405, 8.099360, 136.509196, 5.861590, 122.860270, 3.340779, 109.444833, 1.159492, 95.609235, 0.000000, 80.980726, 0.760305, 66.903476, 2.579380, 53.942875, 6.043606, 40.523592, 10.686048, 27.687918, 16.976648, 14.490290, 28.410126, 4.147870, 41.810039, 0.000000, 55.977678, 2.827337, 66.803184, 14.080695, 73.303061, 26.861979, 76.808523, 40.012139, 78.297686, 53.624565, 78.543466, 68.082445, 78.480678, 82.560316, 78.245287, 95.662592, 78.179431, 109.226632, 78.532777, 121.887272, 78.484694, 136.018646, 77.708440, 149.100367, 76.068026, 163.285998, 75.572808, 176.196500, 75.357549, 189.967555, 74.224499, 203.671131, 71.117828, 217.607088, 60.122141, 228.592546, 50.663570, 230.487281, 45.739182, 230.984963
Type01, L, 240, 53.485098, 240.792148, 49.005181, 240.782321, 39.442025, 239.634516, 26.225357, 230.596392, 20.646735, 216.402274, 18.491904, 202.002145, 17.233968, 187.734494, 15.716832, 173.724352, 13.251592, 159.089780, 10.304303, 144.993001, 7.498167, 130.951947, 4.554442, 116.746149, 2.349698, 102.516715, 0.492187, 88.084272, 0.000000, 72.940392, 1.005912, 58.933256, 3.566591, 44.697735, 8.244956, 31.144880, 14.856747, 17.522283, 25.005927, 5.627871, 39.332159, 0.000000, 52.924268, 1.331630, 66.665768, 10.242482, 74.706257, 23.195327, 79.012221, 37.420233, 80.569115, 52.134614, 80.499885, 65.164664, 79.974472, 80.034752, 79.950920, 94.607030, 79.986791, 109.352489, 80.071741, 123.953374, 80.374724, 138.403035, 80.505795, 152.727766, 80.464459, 166.513137, 80.377562, 181.620648, 79.899406, 194.965581, 79.161218, 210.241605, 76.433301, 223.997636, 67.932329, 237.204557, 57.993764, 240.453242, 53.312713, 240.626080
Type01, L, 250, 51.412400, 251.053548, 46.774570, 251.265168, 36.129842, 249.399304, 25.049058, 237.218246, 19.554874, 222.183907, 16.566124, 208.152543, 15.218421, 193.005867, 13.926351, 177.602145, 11.581271, 162.794527, 9.060327, 148.762354, 5.760316, 132.947809, 3.304321, 118.982367, 1.003507, 103.759868, 0.000000, 89.150376, 0.034943, 74.113366, 1.613126, 59.815813, 4.571304, 45.108622, 9.257965, 30.764276, 16.473765, 16.389137, 28.627781, 4.878863, 43.777423, 0.000000, 58.551749, 2.688745, 71.774451, 13.499393, 77.854212, 27.525830, 81.118389, 42.036759, 82.388285, 57.331663, 82.788338, 71.850164, 82.251081, 87.467715, 81.902695, 100.963856, 81.871023, 114.819900, 81.929442, 130.921299, 82.107869, 145.000800, 82.363988, 161.043117, 82.665292, 175.817461, 82.555441, 190.647333, 82.683328, 206.778729, 81.704381, 221.313109, 78.742815, 236.522588, 66.887334, 248.887755, 56.234933, 250.372050, 51.777826, 251.299172
Type01, L, 260, 59.813177, 260.474723, 53.907105, 260.545041, 44.082660, 258.825638, 30.839027, 247.269384, 25.474142, 231.861759, 22.157229, 216.392121, 19.879058, 201.202015, 17.069548, 185.910182, 14.190975, 171.344873, 11.044334, 155.642508, 7.696556, 140.143915, 4.832546, 125.537619, 2.265989, 110.092405, 0.504207, 95.695200, 0.000000, 79.475658, 2.226527, 65.033551, 7.130180, 49.420094, 12.725090, 34.859281, 19.381784, 20.512323, 29.909786, 6.710531, 44.944951, 0.046897, 60.129077, 0.000000, 73.805180, 10.368454, 80.608513, 25.218884, 85.306686, 40.458702, 87.490305, 56.104146, 87.856246, 70.917861, 86.862735, 86.561571, 85.178239, 101.141875, 83.854207, 116.998999, 84.492789, 133.061720, 86.292986, 147.550222, 87.194429, 163.168830, 87.672722, 178.593485, 87.606997, 195.094894, 87.508755, 210.536421, 87.073637, 226.575133, 85.331851, 241.795508, 75.642491, 256.247118, 64.382471, 259.897148, 59.873061, 260.211549
