Type,Cluster_ID,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
Type00,2,240,PCA_KRR,7.76845,7.20486,1.35831,0.43668,0.61453,0.39876,0.84060,4.19751,0.98020,0.99000,0.00000
Type00,2,240,PCA_LINEAR,6.38474,5.59707,10.21700,2.39783,34.92706,2.85926,10.08384,1165.86967,0.90929,0.95249,0.00000
Type00,2,240,PCA_SVR,7.81181,7.34110,1.37076,0.41372,1.49384,0.13778,1.37076,25.71566,0.97791,0.98883,0.00000
Type00,2,240,PURE_GPR,7.57146,7.02026,1.37057,0.45655,1.67152,0.58576,0.61436,71.88261,0.97676,0.98824,0.00000
Type00,2,240,PURE_KRR,7.70396,7.14300,1.30466,0.42401,0.87130,0.38743,0.74291,8.91801,0.98105,0.99043,0.00000
Type00,2,240,PURE_SVR,7.43745,6.90050,0.88714,0.26264,0.33033,0.36211,0.72724,104.65346,0.98478,0.99233,0.00000
Type00,2,240,RATIO_CTRL,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
Type00,2,245,PCA_KRR,7.02635,6.42095,1.52158,0.70272,4.60397,0.77810,0.58139,418.61650,0.97031,0.98493,0.00000
Type00,2,245,PCA_LINEAR,6.67224,5.81542,10.48153,2.58926,35.36350,2.67275,10.48153,1350.26103,0.90336,0.94923,0.00000
Type00,2,245,PCA_SVR,6.85471,6.26235,1.45149,0.50932,7.09794,0.89880,1.31451,359.15959,0.97525,0.98747,0.00000
Type00,2,245,PURE_GPR,7.03472,6.45856,1.63463,0.69485,3.48811,0.63986,0.49012,403.11271,0.97100,0.98529,0.00000
Type00,2,245,PURE_KRR,7.03858,6.44580,1.45824,0.67558,4.44866,0.78658,0.51721,408.65584,0.97048,0.98502,0.00000
Type00,2,245,PURE_SVR,7.17385,6.59112,2.62134,0.92844,3.36084,0.90522,0.11531,523.40386,0.96296,0.98113,0.00000
Type00,2,245,RATIO_CTRL,2.44386,2.29138,2.77773,1.18487,0.27629,0.77442,0.36837,33.82981,0.95331,0.97610,0.00000
Type00,2,255,PCA_KRR,7.86042,7.08067,1.49586,0.66779,4.07067,0.14523,0.40453,43.03746,0.96731,0.98339,0.00000
Type00,2,255,PCA_LINEAR,6.77475,6.01599,10.71823,2.83181,35.92528,1.84234,10.71823,746.82418,0.89895,0.94678,0.00000
Type00,2,255,PCA_SVR,7.55630,6.83453,1.20313,0.38211,5.55494,0.63934,0.86247,226.69400,0.97909,0.98943,0.00000
Type00,2,255,PURE_GPR,7.95784,7.24070,2.23038,0.80788,3.07597,0.08328,0.09806,131.98593,0.96074,0.97998,0.00000
Type00,2,255,PURE_KRR,7.85826,7.10008,1.44948,0.63864,3.79050,0.15077,0.31373,44.20719,0.96802,0.98375,0.00000
Type00,2,255,PURE_SVR,7.92605,7.25478,1.15626,0.31456,2.96889,0.39659,0.02458,70.81966,0.98147,0.99065,0.00000
Type00,2,255,RATIO_CTRL,3.51914,2.85600,7.27873,2.21439,1.00046,2.73760,0.53869,883.78314,0.92129,0.95903,0.00000
Type00,2,265,PCA_KRR,8.77784,8.01656,2.18698,1.08125,4.30565,1.70612,0.48167,645.98285,0.95092,0.97484,0.00000
Type00,2,265,PCA_LINEAR,8.03939,6.83941,10.79597,2.85741,38.45343,3.79076,10.79597,1612.47279,0.90033,0.94755,0.00000
Type00,2,265,PCA_SVR,7.67223,6.90871,1.63469,0.52848,7.78589,0.96035,1.37433,397.10174,0.97532,0.98751,0.00000
Type00,2,265,PURE_GPR,8.99501,8.31518,2.42777,1.04537,4.71379,1.70556,0.75012,604.59464,0.95363,0.97627,0.00000
Type00,2,265,PURE_KRR,8.67080,7.93380,2.21482,1.08614,4.52482,1.70208,0.36995,658.69713,0.95209,0.97546,0.00000
Type00,2,265,PURE_SVR,8.88792,7.99755,2.16802,1.08153,3.85228,1.65552,0.21398,611.93888,0.95334,0.97611,0.00000
Type00,2,265,RATIO_CTRL,3.61776,3.50032,4.77673,1.85428,0.41078,1.89029,0.55805,349.71398,0.93484,0.96632,0.00000
