type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45
Type00, L, 240, 58.976880, 240.341748, 54.698451, 240.546519, 46.574002, 239.105107, 34.002925, 231.173322, 26.948722, 218.914918, 24.664335, 206.189318, 23.381667, 192.690798, 22.262153, 180.691178, 20.016823, 167.497852, 17.355399, 155.057499, 14.366718, 142.616666, 11.062464, 129.701678, 7.695654, 117.112502, 4.348252, 103.919068, 1.903743, 92.491845, 0.000000, 78.968983, 1.523016, 65.501665, 4.806046, 52.862388, 9.041966, 40.467854, 13.843039, 27.880189, 20.452437, 15.790201, 30.246850, 5.379836, 43.279518, 0.273669, 55.215564, 0.000000, 68.215490, 5.999142, 76.257959, 17.590551, 80.606307, 30.673170, 82.941017, 43.195814, 85.482149, 56.455769, 85.407211, 69.838980, 84.102464, 82.226659, 83.008169, 94.071057, 82.589444, 107.300549, 82.544650, 120.281357, 83.124910, 133.800409, 84.089450, 146.609713, 85.090618, 160.127504, 85.593460, 172.731790, 85.204373, 185.287013, 83.328168, 197.967779, 82.193329, 211.639589, 80.753265, 224.401726, 71.617696, 236.458847, 63.587702, 240.084173, 58.837533, 239.974350
Type00, L, 245, 59.599797, 245.579185, 55.063972, 245.458211, 45.548837, 243.912537, 35.547138, 233.243590, 29.445881, 220.752868, 25.067244, 208.286124, 22.099371, 194.388332, 19.673748, 181.605158, 17.283776, 169.152244, 14.368635, 156.006070, 11.610399, 143.257841, 8.573794, 130.261914, 5.914112, 118.025217, 2.906676, 104.299702, 0.500639, 91.111177, 0.000000, 78.283754, 1.426976, 64.763699, 4.376188, 52.232222, 8.470716, 38.920139, 13.997030, 26.179607, 21.111095, 14.128921, 32.029783, 4.089589, 44.837953, 0.000000, 58.067406, 0.672730, 71.126381, 7.902711, 77.320322, 20.740065, 80.917607, 33.114852, 84.062047, 46.183466, 85.866689, 59.382653, 86.108391, 72.167375, 85.379240, 85.519473, 84.074779, 98.203732, 82.716994, 112.261259, 82.350280, 125.360337, 83.298498, 138.352072, 85.564488, 151.266591, 86.184945, 164.354816, 85.439779, 177.596481, 85.115850, 190.698513, 84.900049, 203.909954, 84.471510, 217.551764, 82.020331, 230.552061, 73.257133, 242.865928, 63.938971, 245.213123, 59.610590, 245.503241
Type00, L, 255, 61.966576, 255.651300, 57.636333, 255.913680, 48.715172, 254.085902, 36.246977, 245.474269, 28.917295, 232.797027, 26.702746, 218.206061, 24.983305, 204.994870, 23.044778, 190.668573, 20.896442, 177.841879, 18.342159, 163.152082, 15.967659, 149.953944, 12.551369, 135.847814, 8.122618, 122.208850, 4.352639, 109.192263, 0.974745, 95.252397, 0.000000, 81.583088, 1.557308, 68.616764, 4.392532, 54.830080, 7.844239, 41.734962, 12.949309, 28.545251, 20.002494, 15.945563, 30.532480, 4.797484, 44.264732, 0.000000, 57.990075, 1.250817, 70.618588, 9.285268, 78.891313, 21.716208, 83.004481, 34.839492, 86.253426, 48.816184, 87.676289, 62.550757, 87.443049, 76.364783, 85.319472, 90.316100, 83.277001, 103.676919, 81.813545, 116.813041, 80.709053, 130.203988, 81.378622, 144.378951, 82.762136, 157.390532, 84.443643, 171.154407, 85.452934, 184.054295, 85.731894, 198.045634, 86.754300, 211.726978, 88.266863, 225.572423, 85.362652, 239.446825, 75.395242, 251.458939, 66.433692, 255.021053, 61.978919, 255.536254
Type00, L, 265, 68.474438, 265.327834, 63.871395, 266.193708, 54.166715, 265.819834, 40.282093, 258.935663, 31.616661, 245.774561, 28.003834, 231.666370, 24.641343, 217.013793, 22.515597, 202.822202, 19.819972, 188.885773, 17.438889, 174.406922, 14.559213, 160.636304, 10.954083, 146.012788, 7.190540, 132.099363, 3.902438, 117.618076, 1.242408, 103.788957, 0.000000, 89.280318, 0.479523, 75.239430, 3.086860, 60.978126, 7.095095, 47.492453, 12.761825, 33.766306, 19.501157, 20.849014, 28.389243, 8.197955, 41.996010, 1.182719, 56.666398, 0.000000, 70.567778, 6.314097, 79.993806, 19.318265, 85.154476, 32.654415, 88.634097, 47.274062, 91.146460, 60.972260, 92.601622, 75.571444, 91.154157, 89.879350, 87.937817, 103.401930, 86.208183, 118.682510, 86.124594, 132.496773, 87.086138, 147.139880, 88.543619, 160.827905, 89.454091, 175.250913, 89.855784, 189.187341, 91.481163, 203.165482, 92.075917, 217.086891, 92.028327, 232.084749, 89.750533, 246.207356, 82.803179, 259.269803, 73.065670, 265.090979, 68.581831, 264.746571
Type00, L, 270, 64.669176, 270.382180, 69.497451, 270.179601, 79.723075, 265.796020, 88.550494, 252.717903, 91.109222, 237.772297, 91.127773, 223.715461, 89.748491, 209.191876, 89.075877, 194.304903, 88.597015, 180.545758, 87.937531, 166.378085, 87.271356, 151.952933, 86.140833, 137.082399, 85.563818, 123.242998, 85.565354, 109.140555, 87.502422, 94.108553, 90.265413, 81.266609, 91.603984, 65.759402, 89.687927, 52.217294, 85.733681, 37.100501, 80.764678, 23.400571, 73.450893, 9.334217, 60.022322, 0.481021, 45.679857, 0.000000, 31.239162, 5.875292, 20.189582, 17.994198, 13.580041, 31.648561, 8.089335, 45.647967, 3.557046, 59.730432, 1.138760, 72.367597, 0.000000, 86.811624, 1.340606, 100.746777, 3.660185, 114.992700, 7.420602, 128.937848, 11.423603, 143.318527, 15.531979, 157.368752, 19.430072, 172.150941, 22.744619, 186.759882, 25.352718, 200.350271, 27.703377, 214.624987, 29.522908, 229.431998, 32.717188, 243.848901, 38.390009, 257.959863, 50.610679, 269.471495, 60.559859, 270.172679, 64.817410, 270.786351
Type00, L, 275, 62.463058, 275.678804, 57.648801, 275.444898, 47.967942, 273.082940, 35.645290, 261.361500, 29.930535, 247.420934, 26.998892, 233.333114, 25.098054, 218.492575, 23.171256, 203.818179, 20.715081, 189.592720, 17.553070, 175.373166, 14.136873, 160.190935, 10.858863, 146.350695, 7.384313, 131.609303, 4.297204, 117.195532, 1.637046, 102.616809, 0.000000, 87.953282, 1.146145, 72.758935, 4.635028, 58.807733, 9.730687, 44.038723, 15.550306, 29.883176, 22.582303, 15.959312, 34.519410, 4.598741, 49.161003, 0.000000, 64.329283, 1.375560, 77.618705, 11.436192, 84.595837, 25.648387, 89.109127, 39.327578, 91.830674, 54.286805, 94.070753, 68.505242, 94.399486, 83.566120, 92.942567, 98.395143, 90.883930, 112.977378, 89.584754, 127.709188, 90.576151, 142.049932, 92.814082, 157.100052, 93.973635, 171.993694, 94.135651, 186.725567, 94.028728, 201.282976, 93.946645, 215.855706, 94.480024, 230.491263, 92.926416, 245.536351, 88.292056, 260.465605, 78.035903, 273.199629, 67.098860, 275.384770, 63.306463, 275.571217
Type01, L, 230, 46.000576, 230.811484, 41.801228, 230.358089, 34.147263, 229.315897, 22.348588, 220.418024, 17.752234, 208.359489, 15.371509, 195.987429, 13.854890, 183.510249, 12.375054, 171.130728, 11.160346, 159.156810, 9.578622, 146.338363, 7.688063, 134.394242, 5.635942, 121.926659, 3.333669, 109.892458, 1.394058, 97.294010, 0.000000, 84.346670, 0.353706, 71.128182, 1.494629, 59.335133, 4.060562, 47.270756, 7.528448, 35.374806, 12.240078, 23.685638, 18.706093, 11.997548, 29.693621, 3.430456, 41.653547, 0.000000, 54.553155, 2.136221, 64.823660, 11.505473, 71.626031, 22.950055, 75.552939, 34.701555, 77.656132, 46.895213, 78.346824, 59.417811, 78.439612, 72.847536, 78.306249, 85.406459, 78.131667, 97.372444, 78.075162, 109.616394, 78.424809, 120.958982, 78.364571, 133.915340, 77.900816, 145.545995, 76.439279, 158.496117, 75.609812, 170.361753, 75.373495, 182.452671, 74.938444, 195.020754, 73.510853, 207.314349, 69.379839, 219.881756, 58.475387, 228.588162, 50.238723, 230.401292, 45.490936, 230.619109
Type01, L, 240, 53.406567, 240.544076, 49.389252, 240.644405, 40.745033, 239.470133, 28.492261, 232.625672, 21.566611, 220.149774, 19.294045, 207.483559, 17.555633, 193.989124, 16.732278, 181.788941, 14.795402, 168.433921, 12.542206, 155.586192, 9.795009, 142.709997, 7.311057, 130.050060, 4.607722, 117.231676, 2.603392, 104.224566, 0.791274, 91.481453, 0.000000, 77.558078, 0.312606, 64.812157, 2.067336, 51.787708, 4.990165, 39.358779, 10.007208, 26.953615, 16.414618, 14.883200, 26.330636, 4.714790, 39.256121, 0.000000, 51.494731, 0.892236, 64.159848, 7.949475, 72.736733, 19.227550, 77.518511, 31.551354, 80.021808, 45.083962, 80.520159, 57.541437, 80.277665, 69.581070, 79.840312, 83.590751, 79.911152, 96.184828, 79.910956, 110.074205, 79.992656, 122.799966, 80.275767, 136.311840, 80.394977, 148.977375, 80.443856, 161.671788, 80.320880, 175.009668, 80.166161, 187.649606, 79.530111, 200.568123, 78.647457, 213.999868, 75.023583, 226.394326, 66.541492, 237.718067, 57.385144, 240.115434, 53.331170, 240.514354
Type01, L, 250, 51.553463, 250.861977, 47.253274, 250.966402, 37.928481, 249.693624, 26.832048, 239.569188, 21.112015, 226.345022, 17.529296, 213.144362, 16.001167, 200.290743, 14.761153, 186.013938, 13.414930, 172.513402, 11.041687, 159.153723, 8.786351, 146.442853, 5.709831, 131.984488, 3.594251, 119.497064, 1.383697, 105.694526, 0.332486, 92.452033, 0.000000, 78.872870, 0.956886, 65.746325, 2.964695, 52.602336, 6.358483, 39.428727, 11.128262, 26.418762, 18.708814, 13.725065, 30.180003, 4.125118, 43.908683, 0.000000, 57.229957, 2.158427, 69.613739, 10.856806, 76.702612, 23.374812, 80.046974, 36.083330, 82.165788, 50.021256, 82.639876, 63.180069, 82.881189, 76.982880, 82.169318, 90.509079, 82.078557, 102.724201, 81.959667, 115.372423, 82.063213, 129.936829, 82.200818, 142.839425, 82.410712, 156.799162, 82.707826, 171.099940, 82.749961, 183.610145, 82.707756, 198.433806, 82.615557, 212.026638, 81.212649, 225.468193, 77.220087, 239.005966, 65.182908, 249.026848, 56.141336, 250.205448, 51.692497, 251.113519
Type01, L, 260, 59.918578, 260.388907, 54.359905, 260.401095, 45.830288, 259.149119, 32.924668, 249.669678, 26.881366, 236.306541, 23.259816, 222.069158, 21.135846, 208.454544, 18.716789, 194.410427, 16.225253, 181.045216, 13.519340, 167.527478, 10.648871, 153.329106, 7.612975, 139.356675, 5.081071, 126.122362, 2.636758, 112.245239, 1.014117, 98.937954, 0.000000, 85.029502, 1.131204, 70.758941, 4.397951, 57.878113, 9.379763, 43.414731, 14.496285, 30.875702, 21.238982, 17.531303, 31.384341, 5.923956, 45.051540, 0.056359, 58.696472, 0.000000, 71.542127, 7.569646, 79.120664, 21.224514, 83.632703, 34.046799, 86.891802, 49.067419, 87.728886, 61.958917, 87.786218, 76.335477, 86.490226, 89.760984, 85.053664, 103.407128, 83.954468, 117.558981, 84.542929, 132.341458, 86.107910, 145.202939, 87.105372, 159.544123, 87.613107, 173.088859, 87.755840, 188.138843, 87.616151, 202.225177, 87.470753, 216.669733, 86.880257, 230.782172, 84.113835, 244.656924, 73.984085, 256.902512, 64.088914, 259.760886, 59.876920, 260.187817
