type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45, x46, y46, x47, y47
Type00, L, 240, 58.758633, 240.350529, 54.687731, 240.526588, 46.906008, 239.270411, 34.895445, 232.027748, 27.355529, 220.710906, 24.777917, 208.478552, 23.405628, 195.805243, 22.397769, 183.826523, 20.659566, 171.920515, 18.028825, 159.314446, 15.548058, 147.959171, 12.214967, 135.389791, 9.332073, 123.623264, 5.755278, 110.888021, 3.196719, 99.308448, 0.729511, 87.769188, 0.000000, 74.561952, 2.087205, 62.062301, 5.524522, 49.994138, 9.636561, 38.243455, 14.422501, 26.159934, 21.027243, 14.787385, 30.619666, 5.091564, 43.054513, 0.353497, 54.451682, 0.000000, 66.847235, 5.248461, 75.230755, 15.899617, 79.695050, 28.279407, 82.288465, 40.406819, 84.581116, 52.707143, 85.565309, 65.717853, 84.277954, 77.768861, 83.258095, 89.259963, 82.437344, 101.048553, 82.364372, 114.008555, 82.469969, 126.200634, 83.332732, 139.296680, 84.207412, 151.294050, 85.149657, 164.387316, 85.325052, 176.067476, 84.701587, 188.145224, 82.729864, 200.449661, 81.998197, 213.414164, 79.906518, 225.560700, 70.814141, 236.825611, 63.197514, 240.058299, 58.588196, 240.005817
Type00, L, 245, 59.456466, 245.544175, 55.094797, 245.418420, 46.090717, 244.047642, 36.123008, 234.335473, 30.081194, 222.369506, 25.562942, 210.623375, 22.621737, 197.511303, 20.091122, 184.923232, 18.013948, 173.177793, 15.220735, 160.733778, 12.655069, 148.424376, 9.762637, 136.139420, 7.091518, 124.029159, 4.446842, 112.049640, 1.588555, 98.524021, 0.000000, 86.672237, 0.091473, 73.786412, 2.019981, 61.353350, 5.038044, 49.189436, 9.254475, 36.515321, 14.719144, 24.475510, 21.833668, 13.065356, 32.480736, 3.836578, 44.702865, 0.000000, 57.267888, 0.648317, 69.944797, 6.896172, 76.551561, 19.021075, 80.153851, 30.705689, 83.244019, 43.270536, 85.384867, 55.630660, 85.993931, 68.201867, 85.567918, 80.490123, 84.500021, 93.078646, 83.144601, 105.667483, 82.221929, 118.946875, 82.492118, 131.225220, 84.007868, 143.528297, 85.947913, 156.088786, 85.775695, 168.380774, 85.182175, 181.297829, 84.916413, 193.512239, 84.701075, 206.437788, 84.159971, 219.265466, 81.282585, 231.726251, 72.448457, 243.126860, 63.612572, 245.124496, 59.437573, 245.529451
Type00, L, 255, 61.680071, 255.560310, 57.567458, 255.789850, 49.027609, 254.193236, 37.046195, 246.267422, 29.318612, 234.608808, 26.700093, 220.692608, 25.125872, 207.928468, 23.305490, 194.457920, 21.303267, 181.802045, 19.061293, 168.553236, 16.578223, 155.007425, 14.097136, 142.455831, 9.982441, 128.616922, 6.089711, 116.384398, 2.590385, 103.368261, 0.000000, 90.156725, 0.052987, 77.328418, 1.970674, 64.835672, 4.840140, 51.670804, 8.363859, 39.283243, 13.534753, 26.671872, 20.557191, 14.768405, 30.882134, 4.408963, 43.968547, 0.000000, 57.102933, 1.075219, 69.218985, 8.246506, 77.774495, 19.908046, 82.016490, 32.253885, 85.384529, 45.597508, 87.086487, 58.651847, 87.494992, 71.931953, 85.847768, 85.100519, 83.789445, 98.219712, 82.147630, 110.768618, 80.877078, 123.233380, 80.525805, 136.712830, 81.664794, 149.530355, 83.056849, 162.361447, 84.602917, 175.164809, 85.263620, 187.670182, 85.563727, 201.156001, 86.831440, 214.060699, 87.871849, 227.446496, 84.355192, 240.493584, 74.465115, 251.747588, 65.976856, 254.878716, 61.668897, 255.513367
Type00, L, 265, 68.521396, 265.245151, 64.186896, 266.153982, 54.821265, 265.698303, 41.616601, 259.807235, 32.440913, 247.506823, 28.745352, 234.313830, 25.301415, 220.143554, 23.207308, 206.684189, 20.720329, 193.209464, 18.354118, 179.620665, 15.896024, 166.205061, 12.690272, 152.573789, 9.117210, 139.040902, 5.684495, 125.334687, 2.770959, 112.024485, 0.695140, 98.318230, 0.000000, 84.867096, 1.117994, 71.135222, 3.922672, 57.918840, 8.120934, 44.836059, 13.666022, 31.980122, 20.290584, 19.530220, 29.021479, 7.778864, 42.080231, 1.166215, 56.051043, 0.000000, 69.411807, 5.369301, 79.029518, 17.427859, 84.401094, 30.099459, 88.001657, 43.843533, 90.555890, 57.287828, 92.406371, 70.597715, 92.047241, 84.981758, 89.293797, 97.417455, 86.822233, 111.909597, 86.070879, 125.370652, 86.559327, 139.218771, 87.680175, 152.625779, 89.105210, 165.964076, 89.509817, 179.712184, 90.371164, 192.843957, 91.726287, 206.325486, 92.196320, 219.595021, 91.904866, 234.115950, 89.353311, 247.247141, 82.244977, 259.816725, 72.883304, 264.901849, 68.668516, 264.792406
Type00, L, 270, 64.591781, 270.329136, 69.234905, 270.079155, 78.913920, 266.194101, 87.936056, 253.864433, 90.808008, 239.845198, 91.214613, 226.039786, 89.958950, 212.677293, 89.143158, 198.041276, 88.696424, 185.020691, 88.097261, 171.316978, 87.528836, 158.050529, 86.561393, 143.562205, 85.746652, 130.102857, 85.324676, 116.941804, 86.136216, 102.688073, 88.368884, 89.543713, 90.974233, 76.230628, 91.160758, 62.008974, 88.929001, 48.749331, 84.700430, 34.473420, 79.995100, 21.431309, 72.220523, 8.195970, 59.320509, 0.389452, 45.588469, 0.000000, 31.835995, 5.535982, 20.993401, 16.649075, 14.268185, 29.849773, 9.055559, 42.798952, 4.289576, 56.851820, 1.698470, 68.478212, 0.000000, 82.416712, 0.695583, 95.345285, 2.440794, 109.338164, 5.604701, 122.372973, 9.286708, 136.131546, 13.279698, 149.634003, 17.039861, 163.236190, 20.690268, 177.552364, 23.510938, 191.013941, 25.981873, 204.139295, 28.036900, 217.863554, 29.913013, 232.093880, 33.265379, 245.655380, 39.201769, 259.168998, 51.325766, 269.502676, 60.610256, 270.132780, 64.822311, 270.715205
Type00, L, 275, 62.411165, 275.609311, 57.762647, 275.373450, 48.652569, 273.248928, 36.497073, 262.502801, 30.471524, 249.240418, 27.365315, 235.892077, 25.455774, 221.761274, 23.662445, 207.805622, 21.505263, 193.883850, 18.700757, 180.688053, 15.465221, 166.213620, 12.287336, 152.534322, 9.080419, 139.016139, 5.841372, 124.907606, 3.119504, 111.204230, 0.793477, 97.249678, 0.000000, 83.033408, 1.908964, 68.792845, 5.609455, 55.484283, 10.734992, 41.293052, 16.307765, 27.941974, 23.473912, 14.686680, 35.132956, 4.290575, 49.108537, 0.000000, 63.563180, 1.219690, 76.489495, 10.202199, 83.803358, 23.680864, 88.299823, 36.695503, 91.259649, 50.817676, 93.440575, 64.577291, 94.498366, 78.610619, 93.484840, 93.032921, 91.707333, 106.891885, 89.893608, 120.985643, 89.776061, 134.799414, 91.540009, 148.734434, 93.391124, 163.210295, 94.014756, 177.217449, 94.080398, 191.404931, 93.879789, 205.054354, 94.033987, 219.224114, 94.313926, 233.026084, 92.388662, 247.606097, 87.505329, 261.618856, 77.214989, 273.462147, 66.849343, 275.219885, 63.254288, 275.595469
Type01, L, 230, 46.052733, 230.714187, 41.999264, 230.277604, 34.799623, 229.325664, 23.302357, 221.296104, 18.201068, 209.946025, 15.821223, 198.120838, 14.198973, 186.314761, 12.833861, 174.267803, 11.578211, 163.041571, 10.261649, 150.780360, 8.520279, 139.223398, 6.646255, 127.497925, 4.529850, 115.784527, 2.454758, 104.154509, 0.753500, 91.958970, 0.000000, 79.346046, 0.730695, 67.224508, 2.063501, 55.963314, 4.893457, 44.454824, 8.306605, 33.147726, 13.075931, 21.975347, 19.607569, 10.975388, 30.332605, 3.147599, 41.685092, 0.000000, 54.026821, 1.857862, 64.020941, 10.468197, 70.901026, 21.230830, 75.008408, 32.498589, 77.344090, 43.942797, 78.300219, 55.918566, 78.458818, 68.358318, 78.452228, 80.998707, 78.205073, 92.224272, 78.156420, 104.136281, 78.237668, 115.050790, 78.549449, 126.757532, 78.253015, 138.610639, 77.517383, 150.088333, 76.074232, 162.263485, 75.608106, 173.547026, 75.350810, 185.126345, 74.794999, 197.256456, 73.220129, 208.862217, 68.597950, 220.835322, 57.910797, 228.545737, 50.113552, 230.406368, 45.502373, 230.427544
Type01, L, 240, 53.363528, 240.448774, 49.559648, 240.564371, 41.270940, 239.445276, 29.539713, 233.366152, 22.113125, 221.826722, 19.660073, 209.738173, 17.763310, 196.892983, 17.035453, 185.061617, 15.362511, 172.593315, 13.453095, 160.178147, 10.805626, 147.807931, 8.466782, 135.783234, 5.853042, 123.500101, 3.618405, 111.272527, 1.794032, 98.923428, 0.302226, 86.403782, 0.000000, 73.264813, 0.584418, 61.242929, 2.639045, 48.778485, 5.697991, 37.050159, 10.807936, 25.160142, 17.127879, 13.786178, 26.901080, 4.343982, 39.210275, 0.000000, 50.879494, 0.720224, 63.029055, 7.038989, 71.744749, 17.551745, 76.755056, 29.075366, 79.592369, 42.025889, 80.442609, 54.008741, 80.364542, 65.750382, 79.930473, 78.087024, 79.795838, 91.274802, 79.925000, 103.426227, 79.838915, 116.411013, 80.126161, 129.018157, 80.270702, 141.106378, 80.405257, 153.930454, 80.366159, 165.290665, 80.258631, 178.891903, 80.018910, 190.070773, 79.358778, 203.163539, 78.322824, 215.505332, 74.333232, 227.479785, 65.929718, 237.849961, 57.112314, 240.027468, 53.340870, 240.432500
Type01, L, 250, 51.414242, 250.778093, 47.260214, 250.844638, 38.499271, 249.786746, 27.482866, 240.530242, 21.653574, 228.140638, 17.858572, 215.336368, 16.169898, 203.286405, 14.902015, 189.773480, 13.826411, 176.700230, 11.737368, 163.846993, 9.656277, 151.640214, 6.929617, 138.523616, 4.438779, 125.427215, 2.426103, 113.428346, 0.661303, 99.930773, 0.000000, 87.636241, 0.014438, 74.408004, 1.289784, 62.202691, 3.454237, 49.437422, 7.015732, 37.013490, 11.816542, 24.534585, 19.536181, 12.637440, 30.645789, 3.809483, 43.760166, 0.000000, 56.479589, 1.931572, 68.401075, 9.811144, 75.887365, 21.535769, 79.319921, 33.658514, 81.723786, 46.685190, 82.369236, 59.657733, 82.754957, 72.272576, 82.293111, 85.770961, 81.891670, 97.659832, 81.909642, 109.301505, 81.798045, 122.614682, 82.021963, 135.784387, 82.086903, 148.287717, 82.409407, 162.072508, 82.577611, 174.963792, 82.600679, 187.447469, 82.561999, 201.541569, 82.316615, 214.388106, 80.723148, 227.197734, 76.220679, 240.071747, 64.300400, 248.997097, 55.874039, 250.199335, 51.469281, 250.971103
Type01, L, 260, 59.782373, 260.350541, 54.414749, 260.353628, 46.349269, 259.249805, 33.778870, 250.661606, 27.377921, 238.164135, 23.653878, 224.612342, 21.480762, 211.480095, 19.218304, 198.242235, 16.934155, 185.147635, 14.332869, 172.530709, 11.742404, 159.115799, 8.804324, 145.556969, 6.179263, 132.746014, 3.778570, 119.778668, 1.761872, 106.680436, 0.376954, 94.078736, 0.000000, 80.166245, 1.682582, 67.422876, 5.342547, 54.405795, 10.133982, 41.127244, 15.173954, 28.991540, 21.894889, 16.360754, 31.869614, 5.561723, 44.901341, 0.076787, 57.932010, 0.000000, 70.306935, 6.488753, 78.200957, 19.434323, 82.687850, 31.460527, 86.232699, 45.767525, 87.411186, 58.358069, 87.798291, 71.697393, 86.828344, 84.905957, 85.560930, 97.774828, 84.125100, 110.881985, 83.972063, 125.158874, 85.044944, 138.077963, 86.508598, 151.020009, 87.142338, 164.414151, 87.575408, 177.730414, 87.568959, 192.083383, 87.459903, 205.359681, 87.248981, 219.295131, 86.558018, 232.596161, 83.283620, 245.865042, 73.117043, 257.146235, 63.775344, 259.712018, 59.713073, 260.177127
