type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45, x46, y46, x47, y47, x48, y48
Type00, L, 240, 58.899413, 240.652413, 54.929680, 240.809593, 47.295889, 239.650148, 35.570105, 232.698654, 27.822724, 221.852256, 25.097721, 209.819071, 23.656474, 197.591733, 22.700802, 185.571835, 21.139399, 174.257130, 18.633868, 161.679377, 16.239540, 150.629745, 13.088285, 138.472266, 10.207199, 126.770085, 6.846225, 114.679373, 3.971432, 102.718207, 1.662274, 91.898041, 0.000000, 79.298024, 1.329935, 66.661753, 4.229303, 54.874970, 8.111004, 43.214644, 12.397261, 31.568854, 17.955763, 20.042614, 25.860067, 9.499477, 37.015061, 2.349698, 48.896628, 0.000000, 60.265234, 1.935536, 71.570994, 9.912815, 77.336644, 21.324019, 81.214658, 33.560052, 83.094641, 45.177784, 85.532291, 57.698264, 85.250355, 70.116553, 84.148553, 81.694781, 83.058832, 92.831618, 82.554769, 104.815457, 82.475821, 117.272420, 82.768325, 129.422651, 83.655730, 141.996822, 84.519566, 153.921941, 85.384768, 166.536980, 85.422375, 177.995944, 84.680177, 189.736538, 82.716669, 201.943799, 82.137126, 214.511990, 79.724750, 226.409834, 70.693607, 237.273082, 63.249915, 240.353907, 58.721989, 240.308488
Type00, L, 245, 59.562291, 245.556322, 55.281240, 245.430107, 46.517427, 244.132704, 36.577957, 234.861621, 30.561098, 223.160117, 25.988459, 211.720669, 23.042885, 199.004312, 20.480711, 186.537146, 18.485694, 175.044123, 15.816514, 162.981866, 13.283690, 150.868042, 10.512349, 138.911855, 7.824522, 126.914628, 5.282787, 115.421777, 2.483428, 102.381535, 0.400395, 90.307676, 0.000000, 78.216832, 1.262047, 65.636506, 3.890562, 53.896301, 7.549681, 41.560743, 12.334534, 29.502816, 18.520258, 18.030927, 27.150318, 7.720744, 38.894964, 1.136199, 50.747773, 0.000000, 63.663163, 2.543168, 73.734038, 12.175357, 78.242973, 23.906015, 81.552657, 35.775957, 84.324671, 47.837848, 85.839568, 60.279594, 86.046605, 72.111889, 85.390564, 84.637415, 84.213137, 96.441414, 82.926244, 109.444375, 82.285094, 121.853830, 82.820484, 134.085668, 84.567284, 145.934992, 86.155481, 158.385082, 85.762303, 170.299209, 85.239016, 183.034201, 84.999898, 194.873243, 84.775641, 207.639780, 84.169167, 220.094522, 81.089135, 232.296894, 72.245570, 243.267572, 63.632635, 245.114104, 59.528836, 245.570689
Type00, L, 255, 61.892239, 255.623308, 57.882304, 255.841520, 49.516918, 254.338968, 37.774646, 246.740899, 29.893829, 235.524642, 27.057798, 222.000613, 25.536371, 209.354268, 23.758555, 196.397668, 21.844798, 183.693579, 19.712152, 171.188907, 17.236322, 157.536009, 15.003427, 145.514769, 11.236741, 131.917673, 7.295625, 119.710179, 3.793147, 107.248027, 0.795504, 94.348553, 0.000000, 81.526160, 1.348120, 69.484785, 3.936495, 56.610268, 7.005133, 44.314543, 11.396529, 32.010636, 17.333299, 20.070409, 25.872990, 8.842307, 37.583968, 1.443159, 50.745816, 0.000000, 63.108005, 3.680747, 73.896404, 13.308505, 80.020808, 25.073362, 83.672316, 37.619878, 86.432165, 50.598263, 87.615513, 63.456197, 87.332680, 76.318432, 85.405901, 89.375768, 83.458053, 101.840175, 82.026644, 114.240576, 80.844841, 126.393609, 80.935582, 139.834333, 82.134781, 152.014611, 83.569442, 164.806970, 84.968209, 177.113111, 85.522645, 189.507389, 85.847480, 202.690457, 87.215582, 215.267984, 87.989218, 228.422372, 84.216916, 241.081364, 74.375226, 251.981456, 66.111830, 254.918778, 61.867152, 255.610891
Type00, L, 265, 68.396001, 265.148944, 64.186534, 266.075898, 54.978720, 265.584054, 42.097772, 260.132260, 32.727206, 248.246580, 28.940477, 235.487414, 25.492784, 221.541008, 23.370902, 208.463102, 20.993482, 195.111771, 18.637867, 182.074381, 16.315551, 168.644757, 13.325464, 155.690069, 9.889028, 142.080642, 6.416273, 129.069677, 3.469232, 115.593762, 1.055061, 102.683140, 0.000000, 89.088605, 0.325884, 76.087391, 2.664040, 62.595768, 6.073128, 50.153138, 11.158078, 37.093706, 17.012164, 25.106005, 24.471095, 12.788506, 35.082083, 3.547495, 48.960791, 0.000000, 62.221346, 1.334663, 74.288308, 10.344906, 81.416466, 22.620931, 85.912039, 35.412312, 88.900606, 48.958430, 91.221891, 61.784573, 92.459827, 75.354749, 91.237826, 88.887322, 88.286459, 101.230460, 86.388491, 115.672431, 85.955304, 128.484079, 86.677444, 142.251517, 87.822890, 155.132858, 89.169571, 168.317451, 89.396886, 181.716541, 90.495724, 194.498075, 91.658842, 207.741039, 92.106066, 220.722154, 91.676495, 234.995954, 89.008308, 247.669640, 81.829101, 260.012892, 72.654988, 264.747690, 68.558676, 264.767103
Type00, L, 270, 64.623009, 270.886216, 69.181385, 270.613305, 78.601623, 266.957734, 87.696526, 254.970704, 90.715324, 241.398747, 91.301563, 227.716412, 90.129012, 214.844727, 89.264201, 200.436618, 88.787456, 187.639680, 88.264241, 174.252353, 87.659770, 161.372407, 86.872407, 147.249873, 85.891965, 133.992822, 85.479979, 120.848586, 85.689521, 107.708597, 87.701278, 93.643602, 90.139688, 81.812611, 91.592391, 67.165552, 89.875041, 54.629113, 86.769857, 40.547167, 81.831921, 27.522268, 76.672564, 14.435695, 65.416500, 3.623349, 52.595681, 0.000000, 38.615722, 2.574956, 26.393234, 10.713418, 17.612240, 23.137209, 12.116961, 35.708147, 6.999749, 49.119775, 3.156932, 61.841370, 1.006319, 73.834160, 0.000000, 87.303918, 1.231384, 100.272143, 3.219142, 113.634667, 6.637158, 126.596997, 10.258084, 139.980733, 14.187086, 153.193964, 17.815447, 166.604900, 21.293573, 180.608027, 23.928267, 193.557380, 26.330754, 206.525119, 28.254082, 219.952967, 30.185238, 233.916797, 33.606651, 247.075287, 39.670786, 260.307388, 51.721189, 270.082944, 60.702646, 270.707108, 64.893403, 271.253010
Type00, L, 275, 62.397551, 275.798754, 57.828512, 275.561996, 48.978651, 273.543848, 36.925023, 263.242126, 30.760535, 250.320327, 27.559191, 237.283980, 25.640863, 223.529363, 23.889217, 209.868658, 21.861311, 196.163086, 19.222906, 183.292927, 16.104523, 169.327028, 12.961372, 155.635943, 9.876058, 142.647105, 6.638137, 128.763947, 3.868116, 115.422632, 1.410095, 101.732098, 0.000000, 88.080950, 0.943813, 73.869959, 4.049980, 60.783940, 8.521932, 47.150747, 13.966787, 33.671424, 19.778737, 20.766157, 29.271903, 8.617124, 42.068526, 1.679388, 56.237808, 0.000000, 69.942124, 4.668677, 80.469514, 16.307500, 85.703653, 29.364767, 89.761998, 42.397285, 91.997120, 56.342881, 94.097515, 69.592073, 94.253984, 83.695829, 92.988770, 97.525148, 91.089334, 111.144646, 89.656867, 124.900585, 90.058142, 138.333997, 92.016004, 152.133082, 93.579130, 166.248492, 94.018769, 179.878876, 94.060294, 193.800684, 93.827233, 207.043344, 94.096293, 221.013415, 94.209697, 234.441723, 92.132550, 248.787844, 87.128077, 262.371680, 76.843423, 273.794222, 66.745094, 275.369247, 63.240323, 275.827444
Type01, L, 230, 46.004324, 230.758310, 42.028622, 230.335914, 35.016357, 229.408558, 23.705324, 221.791146, 18.354279, 210.761867, 15.976181, 199.224039, 14.285120, 187.683379, 12.987941, 175.881770, 11.693804, 164.864301, 10.490265, 153.012040, 8.830090, 141.537273, 7.021139, 130.199502, 5.030785, 118.622809, 2.907000, 107.405395, 1.175621, 95.486832, 0.000000, 83.442680, 0.367872, 71.071152, 1.417541, 60.098158, 3.656679, 48.798778, 6.786490, 37.728458, 10.892237, 26.687870, 16.226971, 15.876395, 24.949642, 6.128391, 36.078564, 1.267684, 47.615159, 0.000000, 59.119735, 5.466176, 67.316409, 15.129693, 72.887480, 26.090959, 76.047920, 36.999204, 77.789489, 48.538786, 78.351703, 60.235217, 78.426952, 72.779843, 78.328344, 84.558251, 78.133429, 95.660063, 78.087225, 107.241297, 78.297768, 117.736172, 78.457081, 129.622293, 78.129798, 140.788678, 77.201069, 152.416327, 75.898734, 164.005746, 75.523478, 175.183955, 75.275628, 186.444577, 74.632758, 198.399467, 72.998715, 209.670249, 68.132565, 221.357106, 57.591458, 228.611354, 49.972278, 230.502816, 45.446259, 230.421740
Type01, L, 240, 53.384696, 240.744299, 49.678658, 240.856714, 41.558505, 239.786422, 30.074339, 234.013437, 22.458034, 222.964427, 19.864835, 211.089547, 17.943502, 198.645206, 17.169641, 186.867658, 15.679627, 174.913201, 13.861144, 162.628678, 11.358285, 150.576364, 9.006238, 138.754087, 6.525689, 126.777719, 4.180955, 114.902757, 2.320368, 102.670188, 0.715729, 90.814183, 0.000000, 77.742102, 0.280609, 65.888256, 1.749781, 53.699738, 4.327546, 42.035959, 8.464645, 30.455580, 14.172445, 19.055219, 21.781719, 8.582749, 33.293345, 1.803844, 44.844446, 0.000000, 56.732072, 3.353710, 67.440960, 11.677820, 74.207849, 22.675609, 78.132013, 34.403387, 80.126188, 47.026619, 80.487558, 58.510126, 80.257770, 69.841396, 79.858378, 82.842894, 79.862535, 94.682706, 79.930050, 107.607147, 79.899779, 119.368185, 80.202979, 132.428709, 80.320719, 143.608934, 80.433534, 156.551276, 80.372956, 167.412842, 80.265221, 180.937955, 79.982909, 191.616677, 79.316409, 204.673118, 78.187481, 216.562963, 74.038480, 228.306158, 65.682755, 238.252404, 57.026747, 240.318573, 53.387239, 240.740004
Type01, L, 250, 51.542103, 250.562105, 47.458968, 250.616075, 38.953417, 249.641613, 28.001210, 240.797449, 22.109540, 228.787191, 18.239724, 216.211171, 16.440574, 204.460732, 15.185256, 191.377486, 14.143238, 178.472170, 12.292309, 165.922912, 10.175019, 153.786336, 7.746269, 141.438372, 5.046390, 128.121337, 3.150647, 116.649932, 1.146260, 103.471420, 0.298740, 91.334056, 0.000000, 78.524252, 0.850097, 66.335315, 2.656914, 54.045950, 5.533370, 41.753088, 9.760639, 29.569442, 15.736101, 17.558356, 25.308439, 7.150752, 37.326546, 1.035455, 50.258873, 0.000000, 62.313732, 4.748655, 72.624519, 14.587414, 77.594251, 26.447197, 80.614041, 38.488307, 82.195557, 51.547177, 82.661428, 63.733454, 82.826111, 76.711248, 82.206915, 89.273704, 82.041806, 100.881111, 81.979869, 112.318779, 81.971793, 125.879146, 82.165743, 138.215670, 82.255069, 150.770658, 82.588868, 164.321091, 82.705888, 176.532245, 82.722382, 189.163966, 82.686128, 202.740262, 82.348428, 215.349964, 80.671451, 227.806326, 75.914726, 240.393004, 64.098108, 248.786259, 55.932398, 250.036813, 51.565853, 250.710662
Type01, L, 260, 59.909113, 260.732812, 54.642940, 260.734029, 46.765469, 259.690785, 34.400887, 251.512414, 27.811679, 239.418678, 24.061866, 226.212508, 21.821374, 213.282014, 19.652255, 200.441496, 17.438903, 187.479541, 14.909721, 175.230651, 12.415971, 162.183199, 9.588789, 148.954720, 6.888223, 136.184201, 4.570380, 123.674072, 2.354954, 110.848739, 0.937499, 98.293006, 0.000000, 85.483154, 1.056440, 71.862492, 3.811096, 60.194642, 8.392338, 46.384286, 13.007631, 34.722091, 18.806782, 22.184559, 26.829676, 10.680158, 38.511906, 2.273267, 51.465774, 0.000000, 64.027380, 2.249832, 74.640690, 12.519362, 80.329998, 24.843212, 84.418887, 37.401609, 87.044016, 51.186508, 87.711830, 63.214358, 87.760198, 76.700399, 86.538063, 89.162969, 85.272424, 102.004488, 84.038889, 114.878259, 84.288712, 129.005668, 85.518763, 141.109856, 86.807866, 154.215399, 87.362443, 167.037880, 87.721223, 180.376848, 87.676722, 194.261741, 87.576518, 207.258098, 87.332155, 220.898438, 86.579508, 233.853306, 83.062330, 246.814068, 72.910148, 257.658902, 63.818005, 260.086402, 59.831630, 260.577395
