type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45, x46, y46, x47, y47, x48, y48, x49, y49, x50, y50
Type03, L,230,50.358697,230.467559,46.867373,230.076813,39.709639,228.952206,29.417712,221.768743,24.121092,211.172704,20.662975,200.226679,18.650842,189.24214,17.202313,178.45244,15.557378,166.951978,13.581814,155.453086,11.357862,144.387372,8.913048,133.750634,6.641427,122.905873,4.311845,112.047214,2.394763,101.259066,0.941797,90.936877,0.104737,79.491922,0,69.075725,0.953833,58.141719,2.931907,47.121176,6.255773,36.492945,10.832116,25.785013,17.021146,15.707814,25.051476,6.839532,35.633152,0.759648,46.444272,0,57.133885,2.793304,66.56243,11.128512,71.656715,21.601961,75.281583,32.397372,77.162301,44.126638,78.151365,55.400988,78.399466,66.319313,78.408575,77.071008,77.150192,88.826485,75.358256,99.376301,73.394532,110.63743,71.962895,121.430539,71.371916,132.967504,72.72429,143.94792,74.374781,154.857717,75.931351,165.490829,77.085278,177.024642,78.060208,188.20246,78.658181,200.132267,77.64475,210.897713,71.336832,221.305188,61.225765,228.736967,54.466366,229.996049,50.06142,230.509503
Type03, L,235,53.282425,235.676679,49.547622,235.679656,42.085614,234.923008,31.560264,229.044613,24.689031,218.642744,21.047815,208.048702,18.813653,196.702374,17.326888,185.42448,16.035842,174.182589,14.559033,162.622842,12.456087,151.737473,10.233665,140.397053,7.344344,129.105033,5.129687,118.332371,2.805088,107.045909,1.062307,95.475229,0.068985,84.269455,0,73.120269,0.912568,61.129815,2.460096,50.347999,5.427754,38.810377,9.623338,28.281296,15.610385,17.856921,23.59119,8.761278,33.095576,1.8557,45.077203,0,56.043035,3.232467,65.508128,11.313896,71.803768,21.587362,75.599876,32.572882,77.870844,43.616523,78.952329,54.898767,79.642214,66.381077,79.527721,77.701938,78.895392,89.183077,77.6136,100.632332,76.393176,111.716198,75.381763,123.438508,74.893091,135.084259,75.145248,146.720654,75.700939,158.467573,76.58754,170.080744,77.825038,180.719224,78.894268,191.920474,79.81327,202.719416,78.798488,214.293028,73.976011,224.645348,65.012359,233.72382,57.086386,235.496502,53.211806,235.418407
Type03, L,245,53.651819,245.495184,49.202958,245.097774,41.815426,244.188214,30.800291,236.637744,24.946495,225.589403,21.463144,214.592718,18.983518,201.763716,17.745164,189.884225,16.066902,178.394702,13.985993,166.477486,11.579782,154.809967,9.208237,143.031088,6.591946,130.742502,4.21669,118.75748,2.309291,106.945069,0.745709,95.200396,0.056146,83.186254,0,71.521295,1.275346,59.250861,3.737821,47.887336,7.431259,36.550738,12.167573,25.511466,18.224177,14.904476,26.712395,5.135339,38.232363,0.599067,50.31427,0,61.519126,5.408795,70.495281,14.940303,75.810363,25.998687,78.572441,37.598188,80.591793,49.863818,81.615759,61.146159,82.821901,72.590299,82.809519,84.701276,81.650827,96.281899,79.555132,107.851877,77.462903,119.121211,76.33434,130.972774,76.381834,142.897951,77.30696,154.82983,78.600817,166.146982,80.340972,177.627873,81.496204,189.010226,82.823905,201.15516,82.796727,212.867806,81.415091,224.308769,75.958444,235.974232,65.673815,244.119385,57.574924,244.965418,53.625086,245.488881
Type03, L,250,52.545665,250.536909,48.378449,250.187033,40.704312,249.02796,29.312138,241.173888,23.530037,229.846863,20.728751,218.203897,18.694939,206.499194,17.013327,194.14557,15.029527,181.865741,13.443736,169.987322,11.094798,157.148506,9.217812,145.475013,6.869044,133.045911,5.092398,121.415922,3.289628,109.65162,1.537073,96.883348,0.445069,84.899568,0,73.210013,0.796257,61.446347,2.833686,49.304284,6.464124,37.235476,11.671236,25.911743,18.498029,14.803449,27.965316,5.365413,39.651425,0,50.897224,0.769563,62.921194,5.981444,72.015643,16.137913,76.452523,27.927647,79.797936,39.480089,82.024587,51.599406,83.343799,64.167487,83.569958,75.390746,83.166938,87.324027,82.086433,98.505433,80.639577,111.182391,79.27669,122.913819,79.159896,134.480557,79.376496,146.297367,79.731921,157.668311,79.981764,169.880287,80.327656,181.257777,80.792175,193.784326,81.696094,205.685332,82.111235,217.398232,80.647293,228.861027,75.643691,240.785118,64.470616,249.159788,56.763566,249.898249,53.035929,250.879781
Type03, L,255,55.966186,255.667182,51.746937,255.613603,43.910903,254.786482,31.935238,248.722376,24.004905,237.711304,20.980719,225.821958,18.539145,212.988988,16.759936,201.324397,14.89451,188.191654,13.451116,177.662499,11.316577,163.936204,9.67963,152.876111,7.88121,140.55974,5.678265,127.954436,3.790144,116.422402,1.972462,104.5547,0.332471,91.265085,0,79.258159,0.411317,67.472629,2.39417,54.947669,5.496329,43.033439,10.026236,31.205689,15.926026,19.882816,23.52507,9.207092,34.409421,1.794531,47.350374,0,58.976158,2.525224,69.914112,11.289164,75.896878,22.363632,79.459919,34.698113,82.154263,47.108338,83.418134,59.63138,83.879459,72.294656,83.475075,84.691412,82.689503,96.766132,81.426904,109.659329,80.279551,121.854693,79.513024,134.557722,79.218794,146.853669,79.386208,158.695337,80.21771,171.489252,81.151244,184.234101,82.218414,196.02165,83.380923,207.792251,84.02514,219.994038,82.590889,232.380448,78.119349,244.554942,68.10119,253.469146,59.596247,255.062213,55.602217,255.98552
Type03, L,260,53.99228,260.611539,49.25626,260.296482,41.651315,258.576493,30.133591,250.47963,23.594487,238.959591,21.212944,226.096241,20.323072,213.924926,19.263464,201.699809,17.505757,189.051955,15.499576,176.918054,13.268541,163.77947,10.818596,151.343293,8.492912,138.283688,6.04656,125.597188,3.424471,112.570766,1.34716,99.811336,0.105064,87.072502,0,74.621579,1.477977,62.326822,4.400483,50.373662,8.51258,38.479337,13.748342,26.855136,20.267697,15.485987,29.629109,5.494823,41.692689,0.676106,54.319965,0,66.33445,5.332939,74.834067,16.365619,79.697669,28.119848,82.796075,40.589751,84.557909,52.739417,85.134512,65.60929,84.982277,77.535533,84.344128,90.172824,83.533732,101.826591,82.581695,114.456637,81.821065,126.594192,81.241253,139.415266,81.186277,151.950138,81.513566,164.079773,82.107954,176.356249,82.887958,188.788939,83.892172,200.938697,84.466321,213.200752,85.367356,225.657133,84.176069,238.302544,77.81753,249.647809,66.584909,258.332796,58.471181,260.152344,53.488609,260.546673
Type03, L,265,51.946215,265.289994,47.624029,264.996348,39.517855,263.494882,27.775809,255.400982,21.364876,244.075573,19.179017,231.050031,17.662352,218.145549,16.472283,205.762187,15.287491,192.907009,13.453351,179.80569,11.820372,167.499262,9.668456,155.361323,7.506908,141.643353,5.541271,129.493258,3.393724,116.622118,1.694413,104.070091,0.498917,91.683878,0,79.263691,1.333772,66.091668,3.51526,53.899143,7.604739,41.481116,12.576416,29.729821,18.429482,18.336477,26.652375,6.524546,38.432087,0.278553,52.101341,0,64.45369,3.440411,74.596472,13.631989,78.424962,26.401898,82.050399,38.381645,84.69127,51.457106,86.289601,64.469211,87.171989,78.062462,87.043677,90.371494,86.790393,103.450454,85.546979,115.788741,84.37656,129.240561,82.947702,141.645789,82.316082,154.678595,82.030117,167.072718,82.622583,179.831993,83.016096,192.366443,83.849521,205.918862,83.944169,217.72642,83.984101,230.792207,82.670539,243.254121,76.694709,254.808606,64.680682,263.368006,56.57934,264.804198,51.612021,265.056274
Type03, L,270,59.018873,270.469312,54.543932,270.271659,45.812215,269.422313,33.677125,260.441008,28.006846,248.093287,24.51223,234.973744,22.235365,221.85188,20.200948,208.890796,18.459867,196.005475,16.378416,182.787639,13.519195,169.407037,11.117817,156.937589,8.456095,143.810236,5.880073,131.457386,3.435873,119.053309,1.627263,106.527864,0.603172,92.976058,0,80.629747,0.469281,68.25924,2.947512,54.493414,6.969828,42.242409,12.58399,29.549706,19.257565,17.785524,28.181084,6.343156,41.030009,0.545001,53.268222,0,67.038883,4.929879,74.956142,16.637772,79.688563,29.150376,83.644973,41.775799,86.119301,54.920074,87.617436,67.241955,87.928238,80.351156,87.723318,92.037187,86.918549,104.68472,85.996534,119.135941,85.381449,130.673592,84.827031,145.52075,84.712862,156.496259,84.801422,168.134011,85.495389,181.739744,86.382082,194.606033,87.288517,208.122132,87.833104,220.838093,87.910174,233.340246,87.395863,245.463781,83.847457,259.431559,72.323409,268.291273,63.785856,269.992339,59.309262,270.808845
Type03, L,275,58.254919,275.471247,53.630811,275.123965,44.837641,274.032079,32.84668,264.670183,27.527484,252.432977,23.884001,239.207684,21.548012,224.958372,19.508833,211.89402,18.269204,199.33825,15.763821,185.270389,13.571802,172.682524,10.387592,158.675754,7.926773,145.564682,5.256034,134.164627,2.973139,120.373747,1.254002,107.977918,0.190714,95.37813,0,81.824529,0.997009,68.511506,3.041204,56.045673,6.640547,43.024361,11.136725,30.592493,17.121096,18.393554,25.87488,6.754724,38.791036,0.361421,51.26486,0,64.473527,5.163336,74.07219,16.592636,78.870333,28.667911,82.951532,42.315571,85.818529,55.158537,87.614875,67.105395,89.074938,80.048529,89.165851,93.62136,88.6964,107.151884,87.303288,119.745303,85.361451,132.748571,83.950253,146.014464,83.505036,159.961128,84.446309,171.904422,85.852661,186.437684,86.892752,199.123581,87.503726,212.67868,88.569915,225.795675,89.42586,239.109047,88.142722,251.783273,82.896256,264.338377,71.423614,273.734507,62.268352,274.9926,58.971199,275.567986
Type03, L,280,65.900254,280.203681,70.246282,279.517653,79.36149,275.737591,87.67264,263.210746,90.443396,250.10368,90.321515,236.873269,89.42095,223.588367,89.135943,209.877626,88.389843,197.023939,87.372648,183.00215,86.301026,169.633995,85.853862,156.112501,85.984138,142.376633,87.514579,129.008076,89.426537,115.597819,90.362413,102.916779,90.339305,88.900237,89.479459,75.86267,87.786979,61.493115,85.591956,48.604032,82.837725,34.839204,79.227679,21.825614,71.47117,9.460364,58.700939,1.433665,45.599852,0,32.187355,4.222284,21.082516,14.065146,13.812139,26.726789,8.447727,39.25863,4.345806,52.551707,1.691327,65.836204,0.288379,78.149803,0,91.714131,0.79342,105.228511,2.337585,118.441277,4.891857,133.416297,7.711384,147.090632,10.382491,158.365694,13.562082,173.366231,16.030754,184.481452,18.277853,197.799764,20.45395,211.626082,21.422281,225.385449,22.940093,237.820578,25.610673,250.713465,30.26187,264.111882,39.5319,275.757821,53.028162,281.146244,61.155923,280.810065,66.189915,280.801096
