type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45, x46, y46, x47, y47, x48, y48, x49, y49, x50, y50, x51, y51, x52, y52, x53, y53, x54, y54, x55, y55, x56, y56, x57, y57, x58, y58, x59, y59, x60, y60, x61, y61, x62, y62, x63, y63, x64, y64, x65, y65, x66, y66, x67, y67, x68, y68, x69, y69, x70, y70, x71, y71, x72, y72, x73, y73, x74, y74, x75, y75, x76, y76, x77, y77, x78, y78, x79, y79, x80, y80
Type00, L, 240, 58.599260, 240.162682, 56.114830, 239.995187, 51.950765, 240.156748, 44.760971, 237.571006, 38.458747, 233.958455, 32.478711, 228.390892, 28.444165, 222.195728, 26.229574, 215.189748, 24.606002, 208.075050, 23.871127, 201.276461, 23.035524, 193.723589, 22.637517, 187.039311, 21.555478, 180.154892, 20.823978, 173.637018, 19.254568, 165.882875, 17.975956, 159.516285, 16.332236, 152.505173, 14.922790, 145.860420, 12.997137, 138.777667, 11.179177, 131.921359, 9.615459, 124.794456, 7.523690, 118.191534, 5.790404, 110.679479, 4.034440, 103.997943, 2.698067, 97.467176, 1.312627, 90.927841, 0.353840, 83.503444, 0.000000, 76.561496, 0.803440, 68.734668, 2.032202, 61.950101, 3.812599, 55.031617, 6.050107, 48.005199, 8.243784, 41.380750, 10.853186, 34.618507, 13.648850, 27.629362, 17.072857, 21.087080, 21.148035, 14.761041, 26.327179, 8.956676, 32.431002, 4.465602, 39.154443, 1.543760, 46.241023, 0.000000, 52.687158, 0.216074, 59.587546, 1.872525, 66.148588, 5.666833, 71.677628, 11.071809, 75.397750, 17.551706, 78.183211, 24.450855, 80.274624, 31.549709, 81.854646, 38.497548, 82.914706, 45.405552, 84.305878, 52.484425, 85.106851, 60.144587, 84.981042, 66.843129, 84.468188, 74.445906, 83.895358, 80.501336, 83.193713, 87.656176, 82.732486, 93.908894, 82.335172, 101.061466, 82.237252, 108.145625, 82.219979, 115.574475, 82.221457, 122.398748, 82.634433, 129.832696, 82.962941, 137.092011, 83.569170, 144.252711, 84.054763, 151.109326, 84.520103, 158.596144, 85.019066, 165.892675, 85.046661, 172.204851, 85.026709, 179.523248, 84.461064, 186.307564, 83.743875, 192.877907, 82.723480, 200.521705, 82.012952, 207.590504, 81.562643, 214.861765, 80.228212, 221.826128, 76.990014, 228.673023, 71.877966, 234.476123, 65.741131, 239.100400, 61.072703, 239.248538, 58.398455, 241.105612
Type00, L, 245, 59.427007, 245.281885, 56.929380, 245.219830, 51.812675, 244.748735, 44.868953, 241.942774, 38.895751, 236.970203, 34.445343, 230.500463, 31.060642, 223.934697, 27.961043, 217.009126, 25.798153, 210.287088, 23.820062, 202.817732, 22.218478, 195.533672, 20.825840, 188.231757, 19.426448, 181.366328, 18.296200, 174.513478, 16.725815, 167.657994, 15.257856, 160.394473, 13.683736, 153.566319, 12.223300, 146.272452, 10.536498, 139.546731, 8.966252, 132.272621, 7.474521, 125.638695, 5.879537, 118.584469, 4.417329, 111.574488, 2.768652, 104.216928, 1.410405, 96.500957, 0.406211, 89.883177, 0.000000, 82.679144, 0.230982, 75.378113, 0.729848, 68.252381, 2.214318, 61.063819, 3.675055, 54.191331, 5.615108, 47.083323, 8.109848, 39.870172, 10.773517, 32.865955, 13.894531, 25.926923, 17.837401, 19.357800, 22.161293, 13.009207, 27.749254, 7.526694, 34.431991, 3.342435, 41.051346, 0.796509, 48.321248, 0.000000, 55.444459, 0.686046, 62.682918, 2.864028, 69.222709, 7.343146, 73.814294, 13.575380, 76.775931, 20.398834, 79.164776, 27.050631, 80.995392, 34.137450, 82.655138, 41.194714, 84.217488, 48.315769, 85.161073, 55.280621, 85.667474, 62.748122, 85.903619, 69.597398, 85.624609, 76.673682, 85.199432, 83.816255, 84.669048, 91.287079, 83.804396, 97.896787, 83.216139, 105.513137, 82.550598, 113.265522, 82.296823, 120.163413, 82.383534, 127.456272, 82.926356, 134.602477, 83.750692, 141.467998, 84.826753, 148.710013, 85.713119, 155.589943, 85.771793, 163.218842, 85.684954, 169.685746, 85.291709, 177.481934, 85.112891, 184.490309, 84.861941, 191.565595, 84.867088, 198.738577, 84.563936, 206.261523, 84.413331, 213.417571, 83.562025, 220.824845, 82.050888, 227.898257, 78.552129, 234.714750, 73.651248, 240.835289, 66.366658, 244.218899, 62.430077, 244.967906, 57.886385, 245.466033
Type00, L, 255, 61.674552, 255.332335, 59.344808, 255.387698, 54.582371, 255.064932, 47.232727, 252.567509, 40.705124, 248.172858, 34.760819, 242.747298, 30.662650, 235.858783, 28.310004, 228.384176, 26.680804, 220.682641, 25.873545, 213.036137, 24.893096, 205.675032, 23.702364, 198.328958, 22.846860, 190.358767, 21.582959, 183.415100, 20.248654, 175.900067, 19.155217, 168.363175, 17.577971, 160.377563, 16.224518, 153.130760, 14.847641, 145.860393, 12.865215, 138.059714, 10.535182, 130.555199, 8.408974, 123.089634, 6.106936, 116.063976, 4.010256, 108.702084, 2.433810, 101.251778, 0.573525, 93.627450, 0.241205, 86.409535, 0.000000, 78.668385, 0.962941, 72.021402, 2.008142, 64.346696, 3.669507, 57.099065, 5.333226, 49.745427, 7.408526, 42.516477, 9.846167, 35.475162, 12.908042, 28.234815, 16.519369, 21.345695, 20.909013, 14.658413, 26.449225, 8.645512, 32.924441, 3.737457, 40.147641, 1.190117, 47.796751, 0.000000, 55.162553, 1.073421, 62.340804, 3.842760, 68.715170, 8.413206, 74.376972, 14.804821, 77.890640, 21.297022, 81.056133, 28.601510, 82.809468, 35.805636, 84.898457, 43.407877, 86.123385, 51.006726, 86.926710, 58.377412, 87.354521, 66.003225, 87.159587, 73.653471, 86.317450, 80.938840, 85.236450, 88.689587, 84.172748, 96.161761, 83.028990, 103.223675, 82.167856, 110.485671, 81.528449, 117.826264, 80.769344, 124.876277, 80.692567, 132.495074, 80.889111, 140.264272, 81.471574, 147.477039, 82.331352, 154.633345, 82.994376, 162.252223, 84.018894, 169.397972, 84.636334, 176.636983, 85.043921, 183.974068, 85.367463, 191.201261, 85.616456, 199.014760, 86.034546, 206.375085, 86.845205, 214.017411, 87.453017, 221.245113, 87.147160, 229.251628, 85.250163, 236.375938, 81.523293, 243.534907, 75.666603, 249.495061, 69.118486, 253.692365, 64.018686, 254.712838, 61.895608, 255.715472
Type00, L, 265, 68.310521, 264.676648, 65.895189, 265.322241, 60.674646, 265.430866, 52.675950, 264.044681, 45.401011, 260.929559, 38.734919, 255.595861, 33.792112, 248.702188, 30.758595, 241.277582, 28.501062, 233.772377, 26.611593, 225.541378, 24.799216, 217.691347, 23.747949, 210.182069, 22.142232, 202.104208, 20.951390, 194.558047, 19.542230, 186.956531, 18.053868, 179.117030, 16.877503, 171.238718, 15.070497, 163.765756, 13.542888, 156.064419, 11.338739, 148.016272, 9.548829, 140.366500, 7.369786, 132.752110, 5.575719, 124.865706, 3.809986, 116.970831, 2.356581, 109.629793, 1.029352, 101.775374, 0.375211, 93.774492, 0.000000, 86.286115, 0.222182, 78.459211, 1.128799, 70.635312, 2.510711, 63.025520, 4.438639, 55.415270, 6.639085, 48.255480, 9.592562, 40.402686, 12.769409, 33.354679, 16.205114, 26.120167, 20.353279, 19.097385, 25.100429, 12.086958, 30.900925, 6.790256, 38.087240, 2.317321, 45.917459, 0.469813, 53.922190, 0.000000, 61.468764, 1.558626, 68.821227, 5.611650, 74.858450, 11.711139, 79.280200, 18.722441, 82.656171, 25.823047, 85.314338, 33.685656, 87.093461, 41.153408, 89.045447, 49.146617, 90.189584, 56.722431, 91.459587, 64.283499, 92.049581, 72.247409, 91.927830, 80.235416, 90.998998, 87.900522, 89.573100, 95.385453, 87.967400, 102.879885, 86.812744, 111.290048, 86.233632, 119.189161, 85.981959, 126.692140, 86.183595, 134.714580, 86.775340, 142.581151, 87.247804, 150.064465, 88.210795, 157.819939, 88.635902, 165.552212, 89.307206, 173.107563, 89.424398, 181.112510, 89.794644, 188.571066, 90.757488, 196.098406, 91.200629, 203.841459, 91.730259, 211.489604, 91.944852, 219.189078, 91.826467, 227.341414, 91.250917, 235.211831, 89.797686, 243.319495, 87.127632, 249.883716, 82.671756, 257.494097, 76.125320, 262.538381, 70.710008, 264.197494, 68.842795, 264.783384
Type00, L, 270, 64.260918, 270.353287, 67.208280, 270.130048, 72.177712, 268.921077, 79.747696, 263.969670, 85.006962, 257.627718, 88.382683, 249.454607, 89.937181, 242.470474, 90.814172, 233.331105, 90.670771, 226.458156, 90.253928, 218.389944, 89.555779, 210.395679, 89.127640, 202.439027, 88.708530, 194.196782, 88.477504, 187.039510, 88.134033, 178.967956, 87.889910, 171.576153, 87.370240, 163.588897, 87.183861, 156.016508, 86.509294, 147.780820, 86.080000, 139.570211, 85.538767, 132.292440, 85.316234, 124.425851, 85.209755, 116.472274, 85.415912, 109.448821, 86.235869, 100.522473, 87.569972, 93.192493, 88.730321, 85.885385, 90.177126, 78.440945, 90.868626, 69.507686, 90.621147, 62.586768, 89.503106, 54.345412, 88.036327, 46.589902, 85.589274, 38.675059, 83.178255, 30.767279, 79.967415, 23.246970, 76.637544, 15.812235, 71.476796, 8.811109, 64.234548, 3.597695, 57.251258, 0.888464, 49.377112, 0.000000, 41.013564, 1.817629, 33.961404, 4.942141, 26.712013, 10.322498, 21.211554, 16.908408, 16.840965, 24.165535, 13.307504, 31.727110, 10.255035, 39.112023, 7.413333, 46.915270, 4.804510, 54.615188, 2.861439, 61.980438, 1.536295, 68.692576, 0.401129, 76.342466, 0.000000, 84.515241, 0.112864, 91.301213, 1.021511, 99.631883, 1.916319, 107.364764, 3.537245, 114.699015, 5.336971, 122.616838, 7.471497, 130.265325, 9.558095, 138.008439, 11.837198, 145.787902, 14.111344, 153.584413, 16.149625, 161.311117, 18.391674, 169.384601, 20.254371, 177.528191, 22.076102, 185.158949, 23.501825, 193.066360, 25.069718, 200.200592, 26.151283, 208.208450, 27.635158, 216.005210, 28.323119, 223.815435, 30.014209, 232.144828, 31.356047, 239.844014, 34.023046, 247.644721, 37.335523, 255.150740, 42.388865, 262.259520, 49.432223, 267.555501, 57.040156, 269.775537, 62.027572, 270.832947, 64.842160, 269.575214
Type00, L, 275, 62.109348, 275.451644, 59.474097, 275.170339, 54.169712, 274.686383, 46.722039, 270.969676, 39.720352, 265.589741, 34.545991, 258.356061, 31.239206, 250.983775, 28.746223, 243.512518, 27.220111, 235.256299, 26.008595, 228.158542, 24.858516, 219.156030, 23.879338, 211.866855, 22.765730, 203.610225, 21.448941, 195.633230, 20.029177, 188.194357, 18.358431, 180.338565, 16.517708, 172.153949, 14.773776, 164.304759, 12.825556, 156.084634, 11.136820, 148.607334, 9.179188, 140.761522, 7.447448, 132.731579, 5.526087, 124.773698, 4.060889, 116.981454, 2.449122, 108.973212, 1.202618, 101.024191, 0.257553, 93.096939, 0.000000, 84.812375, 0.423455, 76.825717, 1.880202, 68.622228, 3.662373, 61.121576, 6.122001, 53.169070, 9.010529, 45.197155, 11.941119, 37.339320, 15.412475, 29.685207, 18.942700, 21.998386, 23.715943, 14.985409, 29.779882, 8.363485, 37.030357, 3.874393, 44.653704, 1.221010, 53.078538, 0.000000, 61.122157, 1.490470, 68.767110, 4.692509, 75.580412, 10.565878, 80.480064, 17.750160, 83.985015, 25.306404, 86.607763, 32.774001, 88.932856, 40.740152, 90.488957, 48.343079, 91.855823, 56.829483, 93.004593, 64.212308, 93.852674, 72.565337, 93.844935, 80.381128, 93.519693, 88.904516, 92.685424, 96.622707, 91.587581, 104.911213, 90.728770, 112.633879, 89.658984, 120.891503, 89.604426, 128.596011, 89.807792, 136.756849, 90.659746, 144.432301, 91.872264, 152.837940, 92.704747, 160.893920, 93.366361, 168.974885, 93.702824, 177.244286, 93.688257, 184.970365, 93.770429, 193.128345, 93.659863, 201.293713, 93.618851, 208.544030, 93.661521, 217.287661, 93.973261, 224.816495, 93.666925, 233.042035, 93.004305, 241.070995, 91.218055, 249.506974, 88.537209, 257.344354, 84.183663, 264.865268, 78.226473, 271.144850, 69.992121, 274.403202, 65.385044, 275.337057, 62.011039, 275.093171
Type01, L, 230, 45.827294, 230.363797, 43.617991, 230.063653, 39.171407, 229.733233, 32.854407, 227.321930, 26.612721, 223.442726, 21.605746, 217.499635, 18.885498, 211.198462, 16.976913, 204.639890, 15.738787, 197.657973, 14.594673, 191.137858, 13.883756, 184.043014, 13.006575, 177.661809, 12.275972, 170.439044, 11.505166, 164.419484, 10.881424, 157.399208, 9.976846, 150.438572, 9.041941, 143.934067, 8.100825, 137.122870, 6.913414, 130.479768, 5.867462, 123.889846, 4.635962, 117.013253, 3.416427, 110.501297, 2.281737, 103.788998, 1.311996, 96.763996, 0.467191, 89.757362, 0.000000, 82.768029, 0.091524, 75.434695, 0.381879, 68.518085, 1.107391, 62.367249, 2.102812, 55.254353, 3.295736, 49.284615, 5.401382, 42.363344, 6.978588, 36.068643, 9.592558, 29.646680, 12.227634, 23.157601, 15.628063, 16.923845, 19.938683, 11.062154, 25.391253, 5.982529, 31.881598, 2.587870, 38.190309, 0.799194, 45.082532, 0.000000, 51.863587, 1.659895, 58.198469, 5.219110, 63.471108, 10.293246, 67.708777, 16.317395, 71.222646, 22.379718, 73.577759, 29.176101, 75.418128, 35.153955, 76.850561, 42.170161, 77.402801, 48.635637, 78.147226, 55.635398, 78.095135, 62.754835, 78.310615, 69.572571, 78.194971, 77.473317, 78.227140, 83.275543, 77.983746, 90.828688, 78.044985, 96.577358, 77.909531, 103.954633, 78.047231, 109.833437, 78.031425, 116.626646, 78.312042, 122.827728, 78.220813, 129.904359, 78.040473, 136.679097, 77.796944, 142.968382, 77.209475, 149.848094, 76.470846, 156.837971, 75.891944, 163.405194, 75.493371, 169.880023, 75.388480, 176.598405, 75.105696, 183.277565, 74.930706, 189.708635, 74.574438, 197.038815, 73.536584, 203.505340, 72.302928, 210.230505, 69.698182, 216.987585, 65.106509, 222.672151, 59.337690, 226.866660, 52.568963, 229.329543, 48.096690, 230.325175, 45.007484, 229.437844
Type01, L, 240, 53.220388, 240.309142, 51.040153, 240.134519, 46.528468, 240.207696, 39.394344, 238.112612, 32.918199, 234.856947, 27.263552, 229.815452, 23.235045, 223.325310, 21.023935, 216.457773, 19.469134, 209.334329, 18.492285, 202.474521, 17.597985, 194.938375, 16.997045, 188.180344, 16.501817, 181.416464, 15.410729, 174.259993, 14.369116, 166.887037, 13.344772, 160.223634, 11.656640, 152.775904, 10.473999, 146.028206, 8.932598, 138.985160, 7.527966, 132.066713, 6.277709, 125.224593, 4.477841, 117.800068, 3.845948, 111.483165, 2.137388, 103.628488, 1.643771, 97.182578, 0.555906, 89.810177, 0.056278, 82.341023, 0.000000, 75.074691, 0.032089, 67.945486, 0.718617, 61.030428, 1.448845, 53.891149, 3.156037, 46.986980, 4.557615, 40.269829, 7.167315, 33.364000, 9.910683, 26.823350, 13.388389, 20.013126, 17.400993, 13.839747, 22.459370, 8.243455, 28.738300, 3.691935, 35.461312, 1.237142, 42.506080, 0.000000, 48.897743, 0.730413, 56.194387, 3.210995, 62.356381, 7.393371, 67.961028, 12.723655, 72.116923, 19.116679, 75.183543, 25.678598, 77.383875, 32.608892, 78.957568, 39.785573, 79.827899, 47.253847, 80.201173, 53.625488, 80.254404, 60.507672, 80.165101, 67.623630, 79.893252, 74.055453, 79.781036, 81.768486, 79.664816, 89.520472, 79.749794, 95.955228, 79.690821, 103.033723, 79.833448, 111.463691, 79.672097, 117.633444, 79.948986, 124.782326, 80.022700, 132.921167, 80.077834, 139.141323, 80.227215, 146.118479, 80.237002, 153.737532, 80.221768, 160.431361, 80.241246, 166.992842, 80.122343, 174.685443, 80.058036, 182.216972, 79.909544, 187.936245, 79.547092, 195.899489, 79.270985, 202.721111, 78.517289, 210.026566, 77.566978, 217.082185, 75.228415, 223.858422, 71.771453, 230.229221, 66.729205, 235.853069, 60.174914, 239.152555, 55.225558, 239.907470, 53.485885, 240.559439
Type01, L, 250, 51.455558, 250.122919, 49.083428, 249.934591, 44.155929, 250.064826, 37.106295, 247.218647, 30.676848, 242.590144, 25.961686, 236.274851, 22.643737, 229.031126, 19.993776, 222.247113, 18.172298, 214.470478, 16.908353, 207.939069, 16.046596, 200.531439, 15.293341, 192.954327, 14.705481, 185.374500, 13.840513, 177.941723, 13.109673, 170.384972, 11.715127, 163.389896, 10.567233, 156.083083, 9.315692, 148.962132, 7.728694, 141.853326, 6.301141, 133.843045, 4.773533, 126.727302, 3.692575, 119.699979, 2.491764, 112.494451, 1.389380, 105.064287, 0.702936, 97.546392, 0.260986, 90.456080, 0.000000, 83.184853, 0.121523, 75.563780, 0.650028, 68.623081, 1.318027, 61.392340, 2.683024, 54.208376, 3.987053, 47.060771, 6.079156, 39.798794, 8.411456, 32.859809, 11.378902, 25.549455, 15.073003, 18.808513, 19.948812, 12.330419, 25.949723, 6.732484, 32.648273, 2.999249, 39.980771, 0.342764, 47.483976, 0.000000, 54.691668, 1.243131, 61.587313, 4.572250, 67.957071, 9.597350, 72.833746, 15.749357, 76.136177, 22.627866, 78.403423, 29.560700, 80.027495, 36.600127, 81.378975, 44.329917, 81.974501, 51.290186, 82.432419, 59.256943, 82.615871, 65.918396, 82.676798, 73.616076, 82.481749, 81.377314, 82.233651, 88.291540, 81.944957, 95.238675, 82.030660, 102.067724, 81.853999, 108.860660, 81.950333, 116.004674, 81.815529, 123.865754, 82.086896, 131.583002, 81.971019, 138.284618, 82.232265, 146.092037, 82.181442, 153.636114, 82.489803, 160.797415, 82.512761, 169.453320, 82.633966, 175.514042, 82.626043, 183.418848, 82.603418, 190.748069, 82.676798, 198.950516, 82.365916, 206.190011, 82.389940, 213.647991, 81.282502, 221.293150, 80.078558, 228.143971, 77.467980, 235.654095, 72.667319, 242.018590, 66.096882, 246.632741, 58.862749, 249.014620, 54.071609, 250.139964, 51.459494, 249.472365
Type01, L, 260, 59.623875, 260.204657, 56.885799, 260.465475, 51.120388, 259.637814, 44.519201, 257.739475, 37.376558, 252.858561, 31.914147, 246.994860, 28.214006, 239.778386, 25.825417, 232.183330, 23.602969, 224.694773, 22.338945, 216.814651, 21.019040, 209.575838, 19.829697, 201.950141, 18.348817, 194.281494, 17.262833, 187.036769, 15.634012, 179.540579, 14.210226, 172.435340, 12.856100, 164.693261, 11.073904, 156.999978, 9.622677, 149.513148, 7.945331, 141.659522, 6.404870, 134.407151, 5.107005, 127.273226, 3.703359, 119.472367, 2.478430, 112.234512, 1.515217, 104.922440, 0.695203, 97.345194, 0.164522, 89.950926, 0.000000, 82.535379, 0.664203, 74.037631, 1.798685, 67.471207, 3.580837, 60.113294, 6.038215, 52.111150, 8.655173, 44.880974, 11.470597, 37.617757, 14.373320, 30.625126, 17.996713, 23.356548, 22.158051, 16.493032, 27.360591, 10.096690, 33.885223, 4.910525, 41.051841, 1.549605, 48.366659, 0.000000, 56.248050, 0.357435, 62.804497, 2.434381, 69.929066, 7.164570, 74.707373, 13.797921, 78.515212, 20.893185, 81.336080, 28.007015, 83.632675, 35.512814, 85.360917, 43.401345, 86.819957, 51.210175, 87.107188, 58.207166, 87.543390, 65.947855, 87.537417, 73.365332, 86.931511, 81.150343, 86.433325, 88.407150, 85.548865, 95.749010, 84.901848, 103.399139, 84.121864, 110.928038, 83.933090, 118.766812, 84.066131, 126.881613, 84.680778, 134.441165, 85.275549, 141.459842, 86.277093, 149.142476, 86.572403, 156.706434, 87.034125, 164.268858, 87.357836, 171.861223, 87.339832, 179.785006, 87.557619, 187.841566, 87.380020, 195.702569, 87.370333, 203.467897, 87.277120, 211.144401, 87.109544, 219.152969, 86.694931, 226.817589, 85.944722, 234.283902, 83.941764, 242.082493, 80.268259, 248.826611, 74.185365, 255.164249, 67.163217, 258.654551, 61.635141, 259.843497, 60.262850, 260.038460
