Type,size,GPR_RMSE,GPR_Hausdorff_max,GPR_Length_Error,GPR_Chamfer_mean,GPR_A_to_B_mean,GPR_A_to_B_median,GPR_A_to_B_p90,GPR_A_to_B_p95,GPR_A_to_B_max,GPR_B_to_A_mean,GPR_B_to_A_median,GPR_B_to_A_p90,GPR_B_to_A_p95,GPR_B_to_A_max,PCA_RMSE,PCA_Hausdorff_max,PCA_Length_Error,PCA_Chamfer_mean,PCA_A_to_B_mean,PCA_A_to_B_median,PCA_A_to_B_p90,PCA_A_to_B_p95,PCA_A_to_B_max,PCA_B_to_A_mean,PCA_B_to_A_median,PCA_B_to_A_p90,PCA_B_to_A_p95,PCA_B_to_A_max,RATIO_RMSE,RATIO_Hausdorff_max,RATIO_Length_Error,RATIO_Chamfer_mean,RATIO_A_to_B_mean,RATIO_A_to_B_median,RATIO_A_to_B_p90,RATIO_A_to_B_p95,RATIO_A_to_B_max,RATIO_B_to_A_mean,RATIO_B_to_A_median,RATIO_B_to_A_p90,RATIO_B_to_A_p95,RATIO_B_to_A_max
Type00,240,13.348791,4.321060,14.977549,1.369831,1.395357,0.929749,3.535767,3.842255,4.321060,1.344304,0.873139,3.487404,3.803119,4.314681,,,,,,,,,,,,,,,13.779443,5.288308,15.357655,1.202538,1.258648,0.843180,2.925058,3.095329,5.288308,1.146428,0.803935,2.773431,3.038873,5.282186
Type00,245,12.816194,5.875098,16.270337,1.841258,1.875645,1.637717,3.524407,3.987703,5.875098,1.806871,1.618549,3.323870,3.851106,5.868823,,,,,,,,,,,,,,,13.617415,5.930123,13.956897,1.646643,1.686123,1.518866,2.896464,3.777011,5.930123,1.607163,1.516439,2.581562,3.150335,5.919027
Type00,255,14.117149,6.020247,19.066800,2.132947,2.208450,1.870234,4.844084,5.411480,6.020247,2.057443,1.673194,4.471127,5.261481,6.020014,,,,,,,,,,,,,,,14.683329,5.628964,14.334916,2.121082,2.165790,1.965016,4.628207,5.296818,5.628964,2.076373,1.860392,4.383429,5.212893,5.628964
Type00,265,15.826411,8.087601,25.176082,2.757563,2.862380,1.630289,7.100131,7.772367,8.087601,2.652747,1.524047,6.427880,7.741290,8.086347,,,,,,,,,,,,,,,15.509043,8.071258,21.961274,2.083116,2.185231,1.160133,5.013470,6.635171,8.071258,1.981000,1.102148,4.939367,5.308230,8.069825
Type00,270,69.712111,6.018171,16.708739,2.291916,2.333141,1.796274,4.803033,5.277038,6.018171,2.250691,1.545013,4.754497,5.278820,6.018171,,,,,,,,,,,,,,,69.926607,6.100958,14.657905,1.815208,1.868903,1.487893,4.117333,4.520352,6.100958,1.761512,1.399273,3.958462,4.268032,6.093417
Type00,275,16.340253,8.989146,15.942841,2.796050,2.853644,1.831629,7.003415,8.439048,8.989146,2.738456,1.623046,7.049258,8.486556,8.989146,,,,,,,,,,,,,,,16.390180,6.814330,14.346578,2.485886,2.569370,1.624573,5.730644,6.230653,6.814330,2.402402,1.406691,5.461703,6.089763,6.810024
Type01,230,13.577729,3.777070,9.446484,0.988918,1.046224,0.781148,2.304618,3.269123,3.777070,0.931612,0.750714,1.984571,2.464886,3.775031,13.968931,3.990780,9.328836,0.952041,1.019687,0.766967,2.411911,3.328292,3.990780,0.884396,0.743193,1.474867,2.538861,3.988260,13.968931,3.990780,9.328836,0.952041,1.019687,0.766967,2.411911,3.328292,3.990780,0.884396,0.743193,1.474867,2.538861,3.988260
Type01,240,14.068501,6.141660,17.905888,2.410610,2.446942,2.450389,4.590313,4.766363,6.141660,2.374279,2.435586,4.491466,4.683807,6.140527,14.488490,6.363113,16.352429,2.047598,2.101517,1.961250,4.133452,4.752703,6.363113,1.993680,1.913470,3.945561,4.206707,6.358321,14.488490,6.363113,16.352429,2.047598,2.101517,1.961250,4.133452,4.752703,6.363113,1.993680,1.913470,3.945561,4.206707,6.358321
Type01,250,13.692173,5.569361,16.541966,2.249234,2.287724,2.199795,4.474815,5.116676,5.569361,2.210744,2.171039,4.211089,5.050728,5.567997,14.251104,5.897025,14.424769,1.658206,1.717831,1.326497,3.385796,4.795196,5.897025,1.598581,1.280575,3.294228,3.984358,5.887863,14.251104,5.897025,14.424769,1.658206,1.717831,1.326497,3.385796,4.795196,5.897025,1.598581,1.280575,3.294228,3.984358,5.887863
Type01,260,14.225622,9.210333,20.802457,3.894797,3.962377,3.892872,8.661679,8.889634,9.210333,3.827216,3.748195,8.402718,8.873558,9.210072,14.736774,9.212883,18.592732,3.263184,3.366919,3.063294,6.575260,8.161782,9.212883,3.159449,2.787248,6.216024,7.338899,9.208680,14.736774,9.212883,18.592732,3.263184,3.366919,3.063294,6.575260,8.161782,9.212883,3.159449,2.787248,6.216024,7.338899,9.208680
