Type,size,GPR_RMSE,GPR_Hausdorff_max,GPR_Length_Error,GPR_Chamfer_mean,GPR_A_to_B_mean,GPR_A_to_B_median,GPR_A_to_B_p90,GPR_A_to_B_p95,GPR_A_to_B_max,GPR_B_to_A_mean,GPR_B_to_A_median,GPR_B_to_A_p90,GPR_B_to_A_p95,GPR_B_to_A_max,PCA_RMSE,PCA_Hausdorff_max,PCA_Length_Error,PCA_Chamfer_mean,PCA_A_to_B_mean,PCA_A_to_B_median,PCA_A_to_B_p90,PCA_A_to_B_p95,PCA_A_to_B_max,PCA_B_to_A_mean,PCA_B_to_A_median,PCA_B_to_A_p90,PCA_B_to_A_p95,PCA_B_to_A_max,RATIO_RMSE,RATIO_Hausdorff_max,RATIO_Length_Error,RATIO_Chamfer_mean,RATIO_A_to_B_mean,RATIO_A_to_B_median,RATIO_A_to_B_p90,RATIO_A_to_B_p95,RATIO_A_to_B_max,RATIO_B_to_A_mean,RATIO_B_to_A_median,RATIO_B_to_A_p90,RATIO_B_to_A_p95,RATIO_B_to_A_max
Type00,240,7.643219,1.445948,3.463441,0.427020,0.431528,0.352858,0.869950,1.023215,1.445948,0.422511,0.346461,0.862176,1.006013,1.445948,7.579810,1.440825,4.766523,0.601057,0.605766,0.599079,1.091399,1.222096,1.440825,0.596349,0.588674,1.073435,1.202413,1.429910,7.521981,1.268674,4.025955,0.455096,0.460792,0.455233,0.818784,0.971637,1.268674,0.449399,0.452661,0.809281,0.957251,1.241113
Type00,245,6.821841,2.858426,6.964761,1.118471,1.117263,0.988148,2.135268,2.612426,2.858426,1.119679,0.984014,2.144019,2.625557,2.858426,7.443716,2.894713,4.682623,1.008498,1.013694,0.734357,2.268921,2.700543,2.894499,1.003302,0.729442,2.284753,2.709046,2.894713,7.425671,2.798878,4.272129,0.938490,0.943529,0.622357,2.193618,2.616350,2.798878,0.933451,0.605537,2.221046,2.626387,2.798878
Type00,255,7.385959,5.662591,10.969280,1.537576,1.538080,1.159983,3.451746,4.974340,5.662591,1.537072,1.178530,3.413586,4.951739,5.662591,8.291491,5.008304,4.990850,1.184730,1.190969,0.530712,3.676464,4.535481,5.008304,1.178491,0.510988,3.679387,4.539405,5.008304,8.293940,4.940632,5.248498,1.180973,1.187899,0.580932,3.586136,4.455324,4.940632,1.174048,0.563060,3.587479,4.473124,4.940632
Type00,265,9.568311,7.324791,11.595976,2.462586,2.448920,2.167197,4.868937,5.452624,7.324791,2.476252,2.228869,4.909181,5.657811,7.324791,9.264468,3.269324,7.614122,1.450050,1.453726,1.128200,2.941919,3.122021,3.269324,1.446375,1.102439,2.959243,3.134489,3.269324,9.379722,3.771555,8.522356,1.577665,1.580854,1.318960,3.183918,3.509675,3.771555,1.574477,1.306523,3.204435,3.517919,3.771555
Type00,270,68.910164,8.301681,5.245621,1.877229,1.877908,1.139336,5.029452,7.118853,8.301681,1.876550,1.117718,5.057007,7.098779,8.301681,69.420541,5.893435,2.651909,1.315086,1.312221,0.695516,3.557197,5.180075,5.893435,1.317951,0.680217,3.562171,5.177765,5.893435,69.121749,5.479699,3.879391,1.243422,1.244687,0.690002,3.109749,4.770102,5.479699,1.242158,0.669871,3.127122,4.777786,5.479699
Type00,275,10.212337,8.511319,4.633009,2.507253,2.502682,1.858576,5.155326,7.022379,8.511319,2.511824,1.835803,5.189403,7.204180,8.511319,9.439897,2.669244,3.396839,1.318840,1.317691,1.117583,2.315839,2.505587,2.669240,1.319989,1.117222,2.322413,2.516773,2.669244,9.475418,3.275404,4.939794,1.611153,1.607307,1.605448,2.791910,3.093561,3.275404,1.614999,1.622945,2.812439,3.100914,3.275404
Type01,230,6.380905,1.063937,3.130631,0.317265,0.318050,0.224446,0.659504,0.922876,1.062103,0.316480,0.220380,0.696948,0.934534,1.063937,7.036621,1.031921,1.487860,0.414023,0.412539,0.322155,0.871212,0.932987,1.030589,0.415506,0.318602,0.875826,0.936516,1.031921,7.036621,1.031921,1.487860,0.414023,0.412539,0.322155,0.871212,0.932987,1.030589,0.415506,0.318602,0.875826,0.936516,1.031921
Type01,240,8.037073,4.117878,6.324037,1.948321,1.933182,1.878069,3.421680,3.841961,4.117878,1.963459,1.900874,3.497584,3.860260,4.117878,7.832896,3.783270,4.960868,1.585997,1.582411,1.436946,3.151530,3.502303,3.783270,1.589584,1.437733,3.201442,3.511762,3.783270,7.832896,3.783270,4.960868,1.585997,1.582411,1.436946,3.151530,3.502303,3.783270,1.589584,1.437733,3.201442,3.511762,3.783270
Type01,250,7.466560,5.775283,5.702433,2.067031,2.049840,1.844293,4.466506,5.454598,5.775283,2.084221,1.926887,4.597986,5.482539,5.775283,7.315251,3.857042,5.377529,1.418521,1.414604,1.173152,2.778641,3.436819,3.857042,1.422437,1.191314,2.778937,3.417729,3.857042,7.315251,3.857042,5.377529,1.418521,1.414604,1.173152,2.778641,3.436819,3.857042,1.422437,1.191314,2.778937,3.417729,3.857042
Type01,260,8.562026,8.397547,6.528850,3.327369,3.305387,2.757507,7.747924,8.216534,8.397533,3.349351,2.757734,7.856603,8.242508,8.397547,8.152517,6.807168,5.935032,2.913099,2.900007,2.766553,5.932592,6.431283,6.807014,2.926190,2.797265,5.992847,6.470892,6.807168,8.152517,6.807168,5.935032,2.913099,2.900007,2.766553,5.932592,6.431283,6.807014,2.926190,2.797265,5.992847,6.470892,6.807168
