Type,size,GPR_RMSE,GPR_Hausdorff_max,GPR_Chamfer_mean,GPR_Length_Error,KRR_RMSE,KRR_Hausdorff_max,KRR_Chamfer_mean,KRR_Length_Error,PCA_RMSE,PCA_Hausdorff_max,PCA_Chamfer_mean,PCA_Length_Error,RATIO_CTRL_RMSE,RATIO_CTRL_Hausdorff_max,RATIO_CTRL_Chamfer_mean,RATIO_CTRL_Length_Error,RATIO_OUTLINE_RMSE,RATIO_OUTLINE_Hausdorff_max,RATIO_OUTLINE_Chamfer_mean,RATIO_OUTLINE_Length_Error,SVR_RMSE,SVR_Hausdorff_max,SVR_Chamfer_mean,SVR_Length_Error
Type00,240,2.94724,3.16239,0.96694,5.11848,2.40381,2.87700,0.56517,5.00927,3.20422,3.35803,0.77651,7.38440,0.00000,0.00000,0.00000,0.00000,4.12526,4.02214,0.83957,12.31088,2.50343,3.03365,0.56037,5.41133
Type00,245,1.71444,3.12026,0.95776,10.32169,2.17702,3.05399,1.04200,9.69002,3.89880,4.04015,1.17492,4.80248,3.32191,3.24967,1.33154,3.42479,6.60822,3.35364,0.92109,9.14256,2.19508,3.07883,1.03476,9.51351
Type00,255,3.18212,6.60404,1.46344,13.70441,3.66034,7.10877,1.50530,13.86522,4.91419,4.73432,1.40062,2.17551,4.31221,6.56828,2.14535,7.68628,7.16175,6.55004,1.99227,5.39402,3.75797,7.46829,1.50330,13.05127
Type00,265,6.58510,9.03410,2.31677,11.64054,7.38426,9.36565,2.41761,9.96688,6.66078,4.78818,1.63642,7.91781,4.16954,4.42816,1.88021,3.51635,5.32163,4.55276,1.73327,10.07691,7.44751,9.44796,2.40660,10.46480
Type00,270,68.23178,7.93789,1.98828,2.21447,67.99120,7.98403,1.94949,4.43066,68.76679,5.28071,1.52321,1.38586,70.13741,6.87273,2.85678,13.58495,70.86264,7.09611,2.76334,0.26479,67.90793,8.10166,1.88767,3.48830
Type00,275,5.72027,10.69289,2.52911,1.31682,5.59452,11.48011,2.47975,3.58461,5.33340,4.91036,1.69315,3.56793,5.39978,5.42921,2.13308,9.38292,8.80362,4.36914,1.79030,4.72330,5.58953,11.57327,2.43417,2.74445
Type01,230,2.38106,2.91552,0.45673,2.91754,2.60383,0.84876,0.23374,1.43086,2.40632,1.33756,0.37014,0.97527,0.00000,0.00000,0.00000,0.00000,5.23507,3.05697,0.12419,6.77978,2.35262,0.64491,0.16359,0.58410
Type01,240,4.71646,4.35788,1.91997,2.63554,4.62950,4.01582,1.81442,2.49332,4.69838,4.04393,1.56330,1.73562,4.24889,3.34296,1.31125,1.07184,5.05012,3.29913,1.32657,8.14639,4.79676,4.02012,1.80330,2.79354
Type01,250,3.37393,6.14510,2.07410,0.62480,3.46125,5.93161,1.98297,1.75068,2.93339,3.60298,1.32597,1.90844,2.10249,3.00270,1.17273,0.30272,5.12837,3.36296,1.18977,7.06661,3.75870,5.77703,1.97559,1.24244
Type01,260,7.09814,10.03720,3.93564,4.04464,7.24554,10.54210,4.02554,4.78099,6.25306,7.63320,2.92048,1.72712,5.19760,6.33190,2.11510,1.94296,5.31506,6.13187,2.13282,5.72113,7.37419,9.91159,3.97704,5.05668
