type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45, x46, y46, x47, y47, x48, y48, x49, y49, x50, y50, x51, y51, x52, y52, x53, y53, x54, y54, x55, y55, x56, y56, x57, y57, x58, y58, x59, y59, x60, y60, x61, y61, x62, y62, x63, y63, x64, y64, x65, y65, x66, y66, x67, y67, x68, y68, x69, y69, x70, y70, x71, y71, x72, y72, x73, y73, x74, y74, x75, y75, x76, y76, x77, y77, x78, y78, x79, y79, x80, y80, x81, y81, x82, y82, x83, y83, x84, y84, x85, y85, x86, y86, x87, y87, x88, y88, x89, y89, x90, y90, x91, y91, x92, y92, x93, y93, x94, y94, x95, y95, x96, y96, x97, y97, x98, y98, x99, y99, x100, y100
Type00, L, 240, 58.446791, 240.182009, 56.418679, 240.024839, 53.134461, 240.166153, 47.550332, 238.780800, 42.169112, 236.266175, 37.215647, 233.034688, 32.669457, 228.546494, 29.060575, 223.693945, 27.135987, 218.386368, 25.334030, 212.647158, 24.451524, 207.181097, 23.698171, 201.627869, 23.135265, 195.841498, 22.629254, 190.113925, 22.222540, 184.943936, 21.245450, 179.377607, 20.799650, 174.293282, 19.490755, 168.172992, 18.562239, 162.731023, 17.262507, 157.532322, 16.139594, 151.983635, 14.877535, 146.685183, 13.550784, 141.170607, 11.916037, 135.564319, 10.674344, 130.140002, 9.325430, 124.518860, 7.667170, 119.111650, 6.296545, 113.614417, 4.834273, 107.521807, 3.583526, 102.774052, 2.498631, 97.132943, 1.436761, 92.383686, 0.533351, 86.245016, 0.000000, 80.879228, 0.000869, 74.957189, 0.649247, 68.967655, 1.624925, 63.333005, 2.833610, 58.092476, 4.519910, 52.341175, 6.228111, 47.009404, 8.019673, 41.591258, 10.060833, 36.404131, 12.177974, 30.730148, 14.645839, 25.465799, 17.455098, 20.226641, 20.719430, 15.248399, 24.716023, 10.604072, 29.240949, 6.492399, 34.351665, 3.595498, 39.741206, 1.345052, 45.329653, 0.290202, 50.566577, 0.000000, 55.833577, 1.039933, 61.308261, 2.763462, 66.373280, 6.205046, 70.740347, 10.314097, 74.108010, 15.355168, 76.484494, 20.680612, 78.623937, 26.200479, 80.116855, 31.922715, 81.480151, 37.244598, 82.349751, 43.033847, 83.347967, 48.214682, 84.357621, 54.290496, 84.888479, 60.134190, 84.881524, 65.541621, 84.508981, 71.446883, 84.111884, 76.878166, 83.609461, 81.829625, 83.030271, 87.448614, 82.750697, 92.605029, 82.249562, 97.833709, 82.219646, 103.732369, 82.013865, 109.280615, 82.116182, 115.150998, 82.022871, 120.775582, 82.295917, 126.214555, 82.589871, 132.427032, 82.853508, 137.876473, 83.429195, 143.741408, 83.662247, 149.121608, 84.245794, 154.873620, 84.423263, 160.865809, 84.930966, 166.404460, 84.841798, 171.655054, 84.923400, 177.002093, 84.604363, 183.000946, 84.157892, 187.903108, 83.439140, 193.524916, 82.849738, 199.328617, 81.921337, 205.239662, 81.824414, 210.744553, 81.040099, 216.603667, 79.922513, 222.023368, 77.448290, 227.489514, 73.697082, 232.374389, 69.329509, 236.453987, 64.007894, 239.504351, 60.701357, 238.802894, 57.083205, 243.908971
Type00, L, 245, 59.410662, 245.196181, 57.513501, 245.148263, 53.284706, 244.848448, 47.747244, 243.130108, 42.453780, 240.098535, 38.112402, 235.733055, 34.634600, 230.594787, 31.788220, 225.463028, 29.356806, 219.942267, 27.076740, 214.633883, 25.585001, 209.041049, 23.866103, 203.352560, 22.697358, 197.171924, 21.409329, 191.870662, 20.412354, 185.679360, 19.246691, 180.706813, 18.432216, 174.930104, 17.136105, 169.725929, 16.035708, 163.918571, 14.761265, 158.369188, 13.568147, 152.852334, 12.398676, 147.112286, 11.053944, 141.652712, 9.842227, 136.155086, 8.503891, 130.374353, 7.452133, 125.284293, 6.038114, 119.480526, 5.009793, 114.138041, 3.641230, 108.240688, 2.459589, 102.426529, 1.403734, 96.330025, 0.546276, 90.962752, 0.158436, 85.537523, 0.000000, 79.569364, 0.357614, 73.928636, 0.735227, 68.271865, 1.880160, 62.444223, 3.045337, 57.124244, 4.339396, 51.371629, 6.017305, 45.890741, 8.016171, 40.043192, 10.072932, 34.531429, 12.453590, 28.974947, 15.164619, 23.585538, 18.425804, 18.431740, 21.866629, 13.392221, 26.126402, 8.951973, 31.158762, 5.169921, 36.466098, 2.404366, 41.791405, 0.660313, 47.563816, 0.000000, 53.229577, 0.360955, 58.929432, 1.497966, 64.607327, 3.989435, 69.369654, 7.680201, 73.404628, 12.789394, 75.514585, 17.786272, 78.197574, 23.551569, 79.357325, 28.531225, 81.200470, 34.421204, 82.317215, 39.973685, 83.631685, 45.509928, 84.681702, 51.247117, 85.239382, 56.773747, 85.636845, 62.674688, 85.889538, 68.277342, 85.705661, 73.584416, 85.478377, 79.529236, 85.079890, 85.017866, 84.664924, 91.038136, 83.979394, 96.363461, 83.454361, 101.980621, 82.975136, 108.357978, 82.469419, 114.162613, 82.345371, 119.812980, 82.298198, 125.414971, 82.678756, 131.266224, 83.145879, 136.794820, 83.883007, 142.197533, 84.744861, 148.180055, 85.422491, 153.301242, 85.814782, 159.559711, 85.718541, 164.959527, 85.606091, 170.403306, 85.404857, 176.473429, 85.043466, 182.207308, 85.100984, 187.724556, 84.747081, 193.422801, 84.899132, 199.118262, 84.556858, 205.081096, 84.489971, 210.855592, 84.055245, 216.572616, 83.241877, 222.473409, 81.830861, 227.978674, 79.189816, 233.458792, 75.589394, 238.475581, 70.783833, 242.373179, 64.877280, 244.303102, 62.313468, 245.083819, 55.193896, 245.045856
Type00, L, 255, 61.838886, 255.133223, 60.112296, 255.065885, 56.073097, 255.117709, 50.573991, 253.415612, 44.709553, 250.848844, 39.951844, 246.955706, 35.116288, 242.699370, 31.791130, 237.273692, 29.422096, 231.546359, 27.900370, 225.458105, 26.715875, 219.393223, 26.115146, 213.280638, 25.303709, 207.454048, 24.475062, 201.636415, 23.547884, 195.554510, 22.912543, 189.377053, 21.853453, 183.864802, 20.808658, 177.908557, 19.905037, 172.020031, 18.841546, 165.822558, 17.718478, 159.608662, 16.436705, 153.786452, 15.638213, 148.102841, 13.998631, 142.023063, 12.525796, 135.917305, 10.581169, 129.960101, 8.860452, 124.047793, 7.200785, 118.360884, 5.264387, 112.733909, 3.828429, 106.757416, 2.659885, 100.918295, 0.859306, 94.813720, 0.790065, 89.023692, 0.000000, 83.137990, 0.563677, 77.072313, 0.995746, 71.900746, 2.020227, 65.771387, 3.061927, 59.948554, 4.514097, 54.174030, 5.772749, 48.348754, 7.584202, 42.579856, 9.313983, 37.076838, 11.747507, 31.233128, 14.184327, 25.736875, 17.359759, 20.183634, 20.719832, 15.004256, 25.113522, 10.037886, 29.823947, 5.844856, 35.391724, 2.605378, 41.006341, 0.893049, 47.324440, 0.000000, 52.880300, 0.338959, 59.015196, 2.238062, 64.199832, 4.712240, 69.324920, 8.802719, 73.794174, 13.696208, 76.879295, 18.871844, 79.591542, 24.363811, 81.657186, 30.202145, 83.088238, 35.884585, 84.717900, 42.009436, 85.878432, 47.907928, 86.657360, 53.989973, 87.206537, 59.779291, 87.460743, 65.851072, 87.443302, 72.044791, 86.764652, 77.667820, 86.174676, 83.880893, 85.102035, 89.798089, 84.466368, 95.797394, 83.350183, 101.463690, 82.807412, 107.042504, 82.004871, 113.015272, 81.633397, 118.639272, 81.022876, 124.388941, 80.776303, 130.243880, 81.083235, 136.521728, 81.102395, 142.435927, 81.850000, 148.141217, 82.376971, 153.876484, 82.990888, 159.802279, 83.661564, 165.720464, 84.417018, 171.320376, 84.818872, 177.104244, 85.187080, 182.979415, 85.416658, 188.606893, 85.684484, 194.747512, 85.862492, 200.759380, 86.278227, 206.655389, 86.901370, 212.722609, 87.413883, 218.459412, 87.593559, 224.610606, 86.910042, 230.752264, 85.211162, 236.348382, 82.409443, 242.172301, 78.092303, 246.939918, 73.262873, 251.361321, 67.581929, 253.513069, 63.987734, 255.241125, 61.181926, 253.609585
Type00, L, 265, 68.323908, 264.710780, 66.395966, 265.303898, 62.366081, 265.408571, 55.919416, 264.798729, 49.922076, 262.967739, 44.210405, 260.101429, 39.014649, 255.662640, 34.990843, 250.508505, 31.930337, 244.502107, 30.063203, 238.809775, 28.165721, 232.562549, 26.809027, 226.104747, 25.230611, 219.863351, 24.284200, 213.717752, 23.258689, 207.727644, 22.014584, 201.244314, 21.086682, 195.288987, 19.970126, 189.327280, 18.836125, 183.058508, 17.689344, 176.937220, 16.797293, 170.631115, 15.224699, 164.739821, 14.169209, 158.658587, 12.472489, 152.384369, 10.943695, 146.041171, 9.371510, 140.056484, 7.830492, 133.919955, 6.075980, 127.825482, 4.993016, 121.396416, 3.336531, 115.405131, 2.443169, 109.432993, 1.260027, 103.325656, 0.596824, 96.901465, 0.263964, 90.796094, 0.000000, 84.839866, 0.302469, 78.487505, 0.922608, 72.509106, 1.912948, 66.106654, 3.215899, 60.384590, 4.822991, 54.170798, 6.574005, 48.609110, 8.883745, 42.393903, 11.317383, 36.517753, 13.931566, 30.994367, 16.794443, 25.183556, 20.041833, 19.655846, 23.838012, 14.065596, 27.942943, 9.258783, 33.148891, 5.456361, 38.899983, 2.112633, 45.115261, 0.817179, 51.507457, 0.000000, 57.558759, 0.774374, 63.613012, 2.510481, 69.197586, 6.249964, 74.080954, 10.865212, 77.863496, 16.383132, 80.854496, 21.970021, 83.390353, 27.745889, 85.313804, 34.116719, 86.891042, 39.814415, 88.269940, 46.403955, 89.653411, 52.218373, 90.422773, 58.546799, 91.469506, 64.326399, 91.965053, 70.761265, 92.013650, 77.092544, 91.648964, 83.226506, 90.736975, 89.431654, 89.587180, 95.141305, 88.411075, 101.379499, 87.198216, 107.439253, 86.689131, 114.469240, 86.138850, 120.169182, 86.064129, 126.510719, 86.120617, 132.581232, 86.499682, 139.056461, 86.962011, 145.071758, 87.367973, 151.031711, 88.144694, 157.317170, 88.533296, 163.205952, 88.982275, 169.589728, 89.392852, 175.377170, 89.469986, 181.892551, 89.741564, 187.851672, 90.524002, 193.533234, 90.938965, 200.030072, 91.406251, 205.733631, 91.729485, 212.172284, 91.917726, 217.968374, 91.935916, 224.661657, 91.581235, 230.755726, 91.000689, 237.247622, 89.632962, 243.525439, 87.660387, 248.663558, 84.461937, 254.805894, 80.145782, 259.635711, 74.415825, 263.391943, 70.301891, 263.827354, 68.948159, 266.672268
Type00, L, 270, 64.276574, 270.050527, 66.688291, 269.957465, 70.610376, 268.938193, 76.723438, 265.977592, 81.931585, 261.193823, 85.605339, 256.023841, 88.226830, 249.344934, 89.641859, 243.948369, 90.453313, 237.017173, 90.879493, 230.588690, 90.570694, 225.022958, 90.337899, 218.518474, 89.728089, 212.353090, 89.363464, 205.817383, 89.002087, 199.556751, 88.689887, 193.080751, 88.565992, 187.367740, 88.176710, 181.141690, 88.126148, 174.909045, 87.688948, 169.090790, 87.435488, 162.579227, 87.180497, 156.726164, 86.796090, 150.150308, 86.282079, 143.705750, 86.004072, 137.317851, 85.504435, 131.617721, 85.436771, 125.322826, 85.184906, 119.052984, 85.351503, 113.067263, 85.578980, 107.263575, 86.284562, 100.046681, 87.418716, 94.299808, 88.176899, 88.406278, 89.450166, 82.664735, 90.271544, 76.430948, 90.881738, 69.276629, 90.684545, 63.962045, 90.059373, 57.389462, 88.976006, 51.273390, 87.700465, 44.908596, 85.657445, 38.755547, 83.862254, 32.374203, 81.432400, 26.395976, 78.896731, 20.360738, 76.007439, 14.585445, 71.740479, 9.111174, 66.432122, 4.567180, 60.483978, 1.891125, 55.053733, 0.104472, 48.418441, 0.000000, 41.912280, 1.332794, 36.225225, 3.582979, 30.334606, 7.139065, 25.204560, 11.828001, 20.899929, 17.163598, 17.481991, 22.861986, 14.475418, 28.904739, 11.927482, 34.713822, 9.568174, 40.807866, 7.347472, 46.824023, 5.218168, 53.203635, 3.616459, 58.789300, 2.248100, 64.692317, 1.323220, 69.957519, 0.488174, 76.020405, 0.000000, 82.964310, 0.174043, 87.863998, 0.327552, 94.544841, 1.323877, 100.557950, 1.861938, 107.072830, 3.251467, 112.553391, 4.498319, 119.043850, 6.165690, 124.960323, 7.796124, 131.238400, 9.462227, 137.288683, 11.310816, 143.469264, 13.018282, 149.700219, 14.879220, 155.792696, 16.404100, 162.082632, 18.212420, 168.283322, 19.793565, 175.102121, 21.138495, 180.840940, 22.600264, 187.475157, 23.614190, 193.183128, 24.941131, 199.352022, 25.816240, 205.052862, 26.859669, 211.909936, 27.897192, 217.554403, 28.415107, 224.194244, 29.845608, 230.569760, 30.828452, 236.885184, 32.528370, 242.998717, 34.780437, 249.139346, 37.579862, 255.048618, 41.543269, 260.727417, 46.605920, 265.356795, 52.706056, 268.371597, 58.405143, 269.651921, 62.969700, 270.809992, 63.649489, 267.551753
Type00, L, 275, 62.066065, 275.333389, 60.076608, 275.008094, 55.640927, 274.850886, 49.842663, 272.455957, 43.853399, 268.925965, 38.855230, 264.179250, 34.610571, 258.461772, 32.146298, 252.596227, 29.521698, 246.745631, 28.362471, 240.479097, 26.864730, 234.137940, 26.091569, 228.355321, 25.173874, 221.577867, 24.204767, 214.948168, 23.590256, 209.356476, 22.537296, 202.455723, 21.494335, 196.243771, 20.533161, 190.408320, 19.030645, 184.053804, 17.939061, 177.990245, 16.229610, 171.320345, 15.016050, 165.130464, 13.383301, 158.736226, 12.049205, 152.375866, 10.554855, 146.570191, 9.086513, 140.115493, 7.676782, 133.981636, 6.164990, 127.350240, 4.839275, 121.433784, 3.674657, 114.932173, 2.385078, 108.734075, 1.409502, 102.392784, 0.548578, 96.012817, 0.093020, 89.751176, 0.000000, 83.033510, 0.492417, 76.810436, 1.431059, 70.274114, 2.941936, 64.124618, 4.409097, 58.102249, 6.636256, 51.702105, 8.809962, 45.420705, 11.196324, 39.141839, 13.765057, 33.039664, 16.570808, 26.917287, 19.517913, 20.973992, 23.397975, 15.291583, 27.979065, 10.185827, 33.439677, 5.605232, 39.342467, 3.008693, 45.483703, 0.929319, 52.165877, 0.000000, 58.623963, 0.928103, 64.811056, 2.641067, 70.684008, 6.232158, 75.861531, 10.926297, 79.752391, 16.709648, 82.870370, 22.555001, 85.110113, 28.624810, 87.193377, 34.551310, 88.948317, 40.936550, 90.125282, 47.008779, 91.434660, 53.447063, 92.205683, 60.020167, 93.240793, 65.683425, 93.750821, 72.681072, 93.786929, 78.552178, 93.699492, 85.505223, 93.116344, 91.708456, 92.496552, 98.115956, 91.535111, 104.509627, 90.939716, 110.851668, 90.017390, 117.076258, 89.587081, 123.679707, 89.584363, 129.609107, 89.793021, 136.335646, 90.372539, 142.162913, 91.283644, 148.952040, 92.116346, 155.259185, 92.783935, 161.868497, 93.185542, 168.094098, 93.706065, 174.839834, 93.541010, 180.936311, 93.762351, 187.340422, 93.690462, 193.725400, 93.610134, 200.240722, 93.659164, 206.117246, 93.510286, 212.459778, 93.767896, 219.317985, 93.892231, 225.115048, 93.627857, 231.820661, 93.321260, 238.031993, 92.148469, 244.767554, 90.656337, 251.194464, 88.242771, 257.502394, 84.947325, 263.340003, 80.563113, 268.835015, 74.905685, 272.445261, 68.318045, 274.709090, 65.156771, 274.994998, 60.337330, 275.595033
Type01, L, 230, 45.766299, 230.259990, 43.998608, 229.984358, 40.512713, 229.780224, 35.344940, 228.289820, 30.452155, 225.852477, 25.551980, 222.295901, 21.921135, 217.563266, 19.262188, 212.595269, 17.915166, 207.468408, 16.269802, 202.074783, 15.661433, 196.661041, 14.526790, 191.312909, 14.054471, 185.995268, 13.344776, 180.400477, 12.726574, 175.400096, 12.078081, 169.626445, 11.619034, 164.737422, 10.863595, 159.657638, 10.543498, 153.545948, 9.518717, 148.661091, 8.973444, 143.184451, 8.142760, 137.795253, 7.215105, 132.741474, 6.415498, 127.088656, 5.448564, 122.237474, 4.545726, 116.418811, 3.517107, 111.498708, 2.659521, 106.068513, 1.741554, 100.682687, 1.102361, 95.040603, 0.391510, 89.545107, 0.010588, 83.909517, 0.000000, 78.271806, 0.099726, 72.440695, 0.494612, 67.251572, 0.995504, 62.273449, 1.913733, 56.658195, 2.581445, 51.724504, 4.101506, 46.615476, 5.526417, 41.233489, 6.942750, 36.180902, 8.832470, 31.188612, 10.989229, 25.932171, 13.239150, 20.968584, 16.184102, 15.976720, 19.555250, 11.469155, 23.820656, 7.170361, 28.576616, 4.088638, 33.854565, 1.810730, 38.778763, 0.665948, 44.349960, 0.000000, 49.691632, 0.938762, 54.927813, 3.180572, 59.658081, 6.463995, 63.664487, 10.688277, 67.116732, 15.333999, 69.954171, 20.292352, 72.365842, 25.224300, 73.912229, 30.679840, 75.430395, 35.313035, 76.574398, 40.879678, 77.112438, 46.234752, 77.705785, 51.311697, 78.068287, 57.221819, 78.048036, 62.595925, 78.217527, 68.209909, 78.179917, 74.099103, 78.148270, 79.856911, 78.107897, 84.411085, 77.992721, 90.496677, 77.874889, 95.337669, 78.029829, 100.304496, 77.761952, 106.418963, 78.104509, 110.437979, 77.866048, 116.340414, 78.292663, 121.053807, 78.119806, 126.481054, 78.175449, 132.092507, 77.914168, 137.316051, 77.743169, 142.387659, 77.370660, 147.699844, 76.714972, 153.324124, 76.284279, 158.707081, 75.760240, 163.836929, 75.494171, 169.182340, 75.359106, 174.135926, 75.193573, 179.888570, 75.010256, 184.728478, 74.805297, 190.150918, 74.636631, 195.878607, 73.762943, 201.102469, 73.055658, 206.413487, 71.623308, 211.702601, 69.432218, 217.043352, 65.868880, 221.554477, 61.527210, 225.281163, 56.545079, 227.836724, 51.061234, 229.586189, 47.635595, 230.145846, 44.189193, 229.037469
Type01, L, 240, 53.210665, 240.096269, 51.604581, 239.758470, 47.791167, 240.209339, 42.446603, 238.676542, 36.780585, 236.862085, 31.970273, 233.667293, 27.487888, 229.752370, 24.138225, 224.615696, 21.918983, 219.343117, 20.476171, 213.698716, 19.282449, 208.128595, 18.632365, 202.698582, 17.726279, 196.649610, 17.375626, 191.216301, 16.746084, 185.749127, 16.456765, 180.365665, 15.446581, 174.815488, 14.731752, 168.640112, 13.829102, 163.606303, 12.911468, 157.666622, 11.551771, 152.115035, 10.580630, 146.614542, 9.526942, 141.056008, 8.169272, 135.586749, 7.281263, 130.054379, 6.145163, 124.599719, 4.729571, 118.771893, 4.120593, 113.442418, 3.087506, 108.044544, 2.001155, 101.786589, 1.618040, 96.764102, 0.728681, 91.136049, 0.244783, 84.742754, 0.002277, 79.517558, 0.000000, 73.150282, 0.085093, 68.054865, 0.525080, 62.082072, 1.160220, 56.904907, 1.990601, 50.891529, 3.445025, 45.796181, 4.504069, 40.250489, 6.521195, 34.851454, 8.636827, 29.582415, 11.055787, 24.259527, 13.929966, 18.976968, 17.128690, 14.053847, 21.027516, 9.588701, 25.596079, 5.528506, 30.875782, 2.663018, 36.072410, 0.862020, 41.972805, 0.000000, 46.631724, 0.112142, 52.714563, 1.684225, 57.725189, 4.024916, 62.888600, 7.632819, 67.130625, 11.769999, 70.793919, 16.675854, 73.551905, 21.883833, 75.776683, 27.138470, 77.363477, 32.685532, 78.794936, 38.404239, 79.424507, 44.231952, 80.113042, 49.816130, 80.153348, 54.821295, 80.241946, 60.389385, 80.254353, 66.029251, 79.888244, 71.197318, 79.967521, 76.810880, 79.639469, 83.031464, 79.787773, 88.969298, 79.609890, 94.491504, 79.843240, 99.398492, 79.616747, 106.093229, 79.906508, 112.074450, 79.623289, 117.155622, 79.918566, 122.717020, 79.969906, 128.842759, 80.055702, 134.941744, 80.079064, 139.690955, 80.224686, 145.303226, 80.237438, 151.430769, 80.204784, 156.813184, 80.256321, 162.251638, 80.223545, 167.431541, 80.094768, 173.608218, 80.156152, 179.625354, 79.902259, 184.773326, 79.907165, 189.674106, 79.449320, 196.180031, 79.378460, 201.466275, 78.737251, 207.237552, 78.168735, 212.967518, 77.057294, 218.468603, 75.042262, 223.783775, 72.433932, 228.960563, 68.675156, 233.448606, 64.197957, 237.308441, 58.472376, 238.911010, 55.081618, 240.267045, 52.693044, 238.756721
Type01, L, 250, 51.426643, 250.156809, 49.682584, 250.016348, 45.472327, 250.047566, 40.135283, 248.630903, 34.419632, 245.524105, 29.904883, 241.581355, 26.105352, 236.410626, 23.371446, 230.852774, 21.145499, 225.227075, 19.229876, 219.647617, 18.041468, 213.510173, 16.900295, 208.343505, 16.325133, 202.642689, 15.541740, 196.484516, 15.153023, 190.659533, 14.517515, 184.502247, 13.974131, 178.698425, 13.223777, 172.660191, 12.529473, 166.948439, 11.241046, 161.296352, 10.525495, 155.631597, 9.385218, 149.684754, 8.287308, 144.525628, 6.985005, 137.909864, 5.926901, 132.241015, 4.688463, 126.228393, 3.824726, 120.975403, 2.941619, 114.993464, 1.927088, 109.459121, 1.245215, 103.292876, 0.649154, 97.496924, 0.343893, 91.808615, 0.048218, 86.058844, 0.000000, 80.186639, 0.227132, 74.205502, 0.564079, 68.714845, 1.245901, 63.023024, 1.933662, 57.247002, 3.260444, 51.603963, 4.197952, 45.912727, 6.058342, 40.106355, 7.741319, 34.670515, 10.013745, 28.842991, 12.532747, 23.308099, 15.724258, 17.940302, 19.594234, 12.894486, 24.235150, 8.234317, 29.313437, 4.786951, 34.896902, 2.103478, 40.744099, 0.434305, 46.629635, 0.000000, 52.545196, 0.936700, 57.925299, 2.633437, 63.467270, 6.065188, 68.197593, 10.032202, 72.159717, 15.020760, 75.093818, 20.229200, 77.128684, 25.905698, 78.863892, 31.231907, 79.992998, 37.038847, 81.171014, 43.061550, 81.741674, 48.780919, 82.158958, 54.579100, 82.443896, 60.891130, 82.618112, 65.977184, 82.586289, 72.180106, 82.630054, 78.301757, 82.276863, 84.156422, 82.221088, 89.642224, 81.913000, 95.027307, 81.988653, 100.734415, 81.929003, 105.722951, 81.833457, 111.651561, 81.925898, 117.131277, 81.809413, 123.494301, 81.984181, 129.745892, 82.029424, 135.107979, 81.991379, 140.911682, 82.245216, 147.061342, 82.117295, 153.022807, 82.437550, 158.772078, 82.432714, 165.155158, 82.563783, 171.464465, 82.587497, 176.213073, 82.609858, 182.584404, 82.591532, 188.440558, 82.606285, 194.624601, 82.605264, 200.993289, 82.315240, 206.700000, 82.403260, 212.522768, 81.635676, 218.795428, 80.785001, 224.255509, 79.489591, 230.041578, 77.196224, 235.783565, 73.519001, 240.987034, 68.652600, 244.998480, 63.091953, 247.780567, 57.380031, 249.347825, 53.483201, 250.290015, 51.560301, 248.735109
Type01, L, 260, 59.617337, 260.060898, 57.520380, 260.310133, 52.762663, 259.719785, 47.271293, 258.529668, 41.751704, 255.850535, 36.351900, 251.679051, 32.246518, 246.984341, 28.886077, 241.355292, 27.020101, 235.439326, 24.848886, 229.365959, 23.545749, 223.474294, 22.319093, 217.103498, 21.430157, 211.444978, 20.336761, 205.353336, 19.403357, 199.439325, 18.189843, 193.227035, 17.352767, 187.643322, 16.147495, 181.544994, 14.863248, 175.972606, 13.873501, 169.987580, 12.640462, 163.999489, 11.351069, 157.704774, 10.030904, 151.974284, 8.898314, 145.582318, 7.513778, 139.731527, 6.306986, 133.863967, 5.394711, 128.193226, 4.064278, 122.238544, 3.300277, 116.052376, 2.123513, 110.549154, 1.589715, 104.509920, 0.774035, 98.705150, 0.406633, 92.590780, 0.000000, 86.958226, 0.176186, 80.610400, 0.591472, 74.243223, 1.653490, 68.482641, 2.644087, 63.423459, 4.577569, 56.750652, 6.397194, 50.920195, 8.567308, 44.963241, 10.786732, 39.278602, 12.986297, 33.659280, 15.606481, 28.013202, 18.512657, 22.253994, 21.909389, 16.932194, 25.835550, 11.595910, 30.679030, 7.302108, 36.029634, 3.526999, 41.905968, 1.352694, 47.436400, 0.000000, 54.065509, 0.037917, 59.206924, 1.091306, 64.973414, 3.481315, 70.133408, 7.594198, 74.059267, 12.710373, 77.331132, 18.372202, 79.738453, 23.928968, 82.010376, 29.728316, 83.595342, 35.684186, 85.130906, 41.985690, 86.262152, 48.135396, 87.033378, 54.130564, 87.139759, 59.607528, 87.535402, 65.955980, 87.555869, 71.723590, 87.154960, 77.859530, 86.755374, 83.945772, 86.252971, 89.512079, 85.586138, 95.576011, 85.018421, 101.405454, 84.479787, 107.634060, 83.975176, 113.486072, 83.972444, 119.968162, 84.075495, 126.217535, 84.478559, 132.465137, 85.018018, 137.942263, 85.582907, 143.943316, 86.276046, 149.816683, 86.644031, 156.062581, 86.732971, 161.807299, 87.390889, 168.078734, 87.194565, 173.972223, 87.476143, 180.429175, 87.424295, 186.815763, 87.529922, 192.955286, 87.270402, 199.378159, 87.435882, 205.227393, 87.149863, 211.677613, 87.276980, 217.622111, 86.652594, 224.288798, 86.596577, 229.677058, 85.372143, 236.235097, 83.796791, 241.948331, 80.962411, 247.587091, 76.518462, 252.621328, 71.434103, 256.716104, 65.318998, 258.726406, 61.396958, 260.070296, 59.987472, 258.782275
