type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45, x46, y46, x47, y47, x48, y48, x49, y49, x50, y50, x51, y51, x52, y52, x53, y53, x54, y54, x55, y55, x56, y56, x57, y57, x58, y58, x59, y59, x60, y60, x61, y61, x62, y62, x63, y63, x64, y64, x65, y65, x66, y66, x67, y67, x68, y68, x69, y69, x70, y70, x71, y71, x72, y72, x73, y73, x74, y74, x75, y75, x76, y76, x77, y77, x78, y78, x79, y79, x80, y80, x81, y81, x82, y82, x83, y83, x84, y84, x85, y85, x86, y86, x87, y87, x88, y88, x89, y89, x90, y90, x91, y91, x92, y92, x93, y93, x94, y94, x95, y95, x96, y96, x97, y97, x98, y98, x99, y99, x100, y100
Type00, L, 240, 58.363213, 240.000000, 53.099732, 239.724377, 47.823314, 238.555667, 42.608000, 236.234397, 37.715598, 233.133546, 33.324285, 229.017856, 29.767306, 224.354753, 27.398207, 219.233053, 25.770769, 213.884874, 24.668276, 208.507226, 23.841407, 203.015411, 23.152349, 197.580680, 22.738914, 191.917615, 22.290687, 186.770609, 21.636421, 181.504820, 20.809552, 176.241338, 20.115492, 170.882481, 18.866144, 165.223162, 17.906270, 160.128940, 16.687493, 154.913626, 15.549443, 149.779040, 14.347384, 144.442633, 12.954290, 139.111554, 11.467985, 133.648728, 10.287410, 128.393050, 8.819942, 122.978610, 7.304015, 117.772212, 5.925899, 112.166230, 4.547783, 106.674415, 3.352800, 101.751381, 2.312198, 96.576431, 1.240304, 91.568973, 0.551246, 85.905908, 0.000000, 80.528260, 0.000000, 74.922279, 0.551246, 69.087963, 1.458920, 63.589254, 2.677697, 58.373940, 4.236107, 52.956805, 5.908684, 47.701127, 7.581261, 42.445449, 9.509000, 37.335826, 11.576174, 32.015262, 13.798931, 26.718778, 16.509992, 21.664920, 19.513395, 16.732154, 23.141848, 12.139020, 27.281182, 7.999686, 32.052492, 4.606492, 37.106350, 2.171055, 42.362028, 0.498478, 47.819527, 0.000000, 52.728230, 0.207816, 57.967607, 1.465949, 63.142557, 3.884667, 67.776055, 7.415672, 71.680130, 11.733183, 74.683534, 16.665948, 77.004804, 21.881263, 78.828235, 27.262425, 80.219071, 32.675168, 81.446656, 37.960637, 82.428293, 43.428709, 83.376018, 48.715933, 84.231006, 54.464799, 84.754134, 60.042063, 84.754134, 65.419711, 84.446106, 71.079480, 84.065076, 76.346258, 83.592903, 81.389016, 83.100395, 86.587803, 82.686960, 91.794200, 82.273525, 96.772264, 82.135714, 102.321162, 81.995891, 107.909592, 81.997902, 113.476042, 81.997902, 118.967857, 82.135714, 124.402589, 82.411337, 130.122737, 82.686960, 135.614552, 83.100395, 141.163450, 83.513830, 146.598182, 83.880607, 152.053951, 84.202888, 157.753062, 84.616322, 163.187793, 84.754134, 168.622525, 84.813171, 173.722490, 84.754134, 179.263654, 84.423711, 184.476031, 83.865780, 189.691345, 83.134239, 195.108480, 82.436138, 200.767799, 81.901417, 206.346390, 81.557742, 211.844253, 80.769722, 217.342116, 79.267792, 222.678522, 76.761061, 227.776652, 73.163538, 232.503689, 68.805664, 236.310318, 63.832534, 238.665027
Type00, L, 245, 59.297359, 245.000000, 53.458565, 244.442865, 47.992363, 242.887727, 42.934842, 239.985787, 38.578796, 235.981267, 35.108668, 231.118302, 32.206682, 226.176186, 29.808919, 220.943624, 27.610321, 215.710156, 25.871110, 210.320199, 24.267512, 204.840273, 23.050470, 199.003254, 21.760406, 193.508845, 20.753169, 187.931081, 19.671151, 182.581269, 18.696165, 177.377101, 17.670944, 171.995943, 16.498928, 166.684230, 15.341828, 161.209336, 14.211854, 155.816033, 12.985534, 150.317781, 11.853632, 144.907041, 10.478428, 139.563284, 9.364158, 134.186036, 8.110605, 128.751095, 6.996335, 123.604620, 5.742782, 118.169678, 4.628513, 112.792430, 3.374960, 107.126716, 2.185984, 101.393458, 1.230161, 95.673793, 0.454187, 90.321285, 0.090625, 85.091162, 0.000000, 79.289907, 0.287211, 73.774218, 0.728570, 68.389809, 1.667220, 62.783635, 2.817825, 57.462233, 4.071378, 52.027292, 5.603499, 46.592350, 7.525274, 41.047241, 9.503442, 35.607081, 11.731981, 30.229833, 14.291586, 24.948922, 17.303328, 19.936883, 20.542423, 14.937425, 24.430403, 10.492311, 28.973878, 6.546333, 34.017049, 3.412771, 39.151443, 1.253553, 44.528691, 0.139284, 50.079018, 0.000000, 55.629346, 0.696418, 61.146746, 2.406522, 66.254482, 5.285720, 70.618006, 9.370676, 73.931952, 14.216743, 76.220326, 19.297638, 78.309582, 24.617193, 79.702418, 29.763669, 81.234539, 35.313996, 82.354775, 40.734511, 83.598430, 46.168610, 84.575450, 51.602708, 85.134482, 57.169148, 85.479915, 62.674881, 85.719722, 68.068184, 85.552333, 73.358585, 85.346735, 78.977177, 84.995198, 84.459241, 84.577347, 90.124955, 84.020213, 95.502203, 83.456560, 100.917547, 82.905943, 106.949017, 82.488092, 112.614731, 82.209525, 118.222752, 82.209525, 123.600000, 82.488092, 129.323408, 82.905943, 134.642963, 83.471041, 140.057707, 84.332675, 145.654987, 84.995198, 150.832400, 85.552333, 156.555807, 85.575435, 162.079668, 85.635163, 167.432176, 85.413049, 172.976018, 85.139072, 178.626735, 84.975746, 184.183219, 84.774844, 189.576522, 84.716631, 195.119635, 84.628691, 200.689491, 84.438064, 206.451063, 84.298780, 212.001391, 83.741645, 217.609412, 82.866257, 223.241789, 81.233613, 228.635093, 78.551393, 233.824420, 74.901186, 238.449613, 70.136709, 241.960536, 64.963073, 244.025014
Type00, L, 255, 61.620961, 255.000000, 56.110871, 254.751925, 50.579222, 253.269074, 45.195807, 250.776541, 40.263131, 247.212628, 35.726310, 243.088525, 32.264458, 238.073016, 29.771925, 232.574885, 28.068347, 226.709401, 26.786029, 220.874846, 26.028106, 214.837500, 25.340755, 209.320491, 24.545259, 203.452297, 23.679066, 197.865367, 22.848222, 191.793659, 22.155851, 186.238170, 21.186533, 180.567966, 20.217214, 174.897762, 19.247896, 168.998127, 18.001629, 162.983776, 17.032311, 157.084141, 15.924518, 151.471295, 14.678251, 145.801091, 13.293511, 139.958813, 11.704169, 134.046010, 9.970133, 128.274258, 8.308444, 122.661412, 6.498056, 117.069601, 4.784124, 111.478395, 3.461852, 105.765516, 2.215585, 100.095312, 0.844370, 94.218079, 0.415422, 88.697546, 0.000000, 82.912627, 0.298889, 77.038879, 0.776395, 71.853254, 1.661689, 66.074088, 2.769481, 60.346527, 4.027072, 54.755171, 5.400489, 49.063477, 6.923704, 43.507988, 8.723866, 38.067216, 10.899601, 32.512020, 13.282145, 27.083047, 16.137469, 21.735189, 19.384457, 16.549564, 23.259499, 11.705204, 27.647879, 7.316824, 32.711830, 3.776088, 38.181362, 1.491460, 43.938876, 0.276948, 49.666438, 0.000000, 55.401119, 0.911573, 60.830093, 3.017169, 65.975160, 6.085125, 70.599930, 10.294473, 74.515530, 15.040917, 77.407005, 20.218527, 79.868114, 25.655516, 81.679962, 31.206164, 83.222916, 36.942349, 84.711782, 42.753599, 85.727884, 48.547596, 86.496256, 54.301035, 86.987680, 60.054473, 87.238664, 65.866947, 87.100190, 71.766583, 86.602872, 77.558138, 85.853923, 83.393780, 85.023079, 89.121342, 84.216639, 94.899570, 83.333552, 100.490776, 82.669020, 105.902522, 81.976649, 111.572726, 81.498333, 117.142721, 80.926637, 122.815043, 80.604016, 128.446807, 80.730383, 134.310900, 80.918252, 140.115917, 81.311760, 145.909914, 81.976649, 151.436227, 82.442923, 157.011210, 83.113380, 162.805207, 83.834106, 168.396413, 84.406775, 174.068735, 84.769566, 179.416593, 85.160032, 185.210590, 85.300027, 190.955581, 85.576975, 196.797859, 85.853923, 202.525420, 86.269346, 208.310340, 86.823242, 214.037902, 87.263974, 219.852896, 87.211510, 225.809125, 86.269346, 231.450019, 84.452258, 237.153770, 81.499017, 242.461069, 77.330228, 247.183755, 72.641141, 251.041998, 67.252725, 253.522458
Type00, L, 265, 65.359848, 265.000000, 59.367501, 264.860247, 53.226353, 263.638932, 47.598643, 261.530012, 42.192591, 258.165563, 37.666398, 253.639370, 33.987223, 248.403546, 31.322467, 242.667807, 29.448354, 236.982702, 27.862416, 230.879832, 26.365241, 224.700330, 25.008082, 218.651714, 24.051425, 212.735967, 22.973773, 206.803127, 21.863702, 200.679510, 20.918984, 194.834945, 19.832113, 188.976373, 18.743258, 182.966003, 17.669669, 177.022200, 16.661734, 170.978312, 15.268831, 165.093883, 14.115626, 159.262787, 12.618451, 153.196040, 11.121276, 147.129292, 9.624100, 141.175300, 8.126925, 135.334061, 6.629750, 129.380069, 5.152884, 123.265044, 3.872735, 117.221156, 2.726014, 111.496187, 1.614843, 105.571893, 0.777156, 99.497350, 0.322058, 93.484117, 0.081680, 87.599688, 0.000000, 81.635530, 0.480781, 75.631507, 1.216502, 69.587619, 2.274332, 63.717017, 3.650366, 57.898490, 5.252266, 52.213385, 7.126380, 46.528280, 9.351887, 40.690328, 11.770978, 35.078341, 14.302274, 29.552695, 17.202025, 24.066913, 20.470232, 18.620997, 24.187531, 13.400965, 28.344363, 8.841371, 33.342094, 5.068601, 38.904435, 2.177709, 44.911628, 0.648339, 51.037929, 0.000000, 57.048299, 0.544427, 62.843968, 2.247859, 68.223380, 5.580380, 73.104804, 9.922666, 76.894086, 15.073016, 79.991332, 20.437128, 82.577362, 26.052857, 84.618964, 32.006850, 86.279525, 37.933031, 87.613315, 43.802080, 89.048819, 49.821483, 89.927131, 55.766443, 90.879879, 61.494927, 91.560413, 67.561674, 91.832626, 73.572044, 91.696520, 79.864301, 91.145179, 85.686163, 90.120732, 91.610457, 89.077991, 97.215832, 87.885528, 103.342008, 86.932780, 109.521510, 86.388353, 115.870144, 85.980033, 121.485872, 85.980033, 127.608997, 86.116140, 133.675744, 86.476792, 139.802101, 86.908748, 145.726395, 87.357104, 151.570959, 87.933933, 157.495253, 88.446525, 163.379681, 88.973136, 169.383705, 89.216008, 175.268134, 89.382703, 181.307686, 89.692799, 187.116721, 90.205844, 192.801826, 90.743772, 198.887778, 91.138300, 204.650413, 91.560413, 210.683009, 91.731811, 216.578730, 91.749514, 222.821942, 91.560413, 228.939628, 91.015985, 234.949998, 89.847588, 241.192794, 88.196150, 246.519116, 85.488883, 252.084627, 81.795842, 257.274842, 76.873192, 261.325116, 71.201086, 263.775039
Type00, L, 270, 64.156101, 270.000000, 70.315862, 268.740131, 76.123364, 265.871924, 81.130011, 261.565204, 84.943944, 256.395439, 87.582770, 250.492924, 89.143508, 244.689723, 90.130005, 238.566662, 90.610289, 231.927018, 90.543363, 226.609295, 90.263392, 220.582485, 89.815809, 214.468134, 89.417528, 207.910491, 89.072715, 201.967861, 88.648067, 195.533221, 88.443581, 189.810614, 88.303595, 184.189692, 88.121426, 178.197339, 87.836198, 172.172706, 87.463683, 165.993295, 87.183712, 160.082453, 86.903741, 154.171612, 86.483784, 147.970850, 86.164054, 141.803541, 85.770889, 135.696907, 85.414173, 129.754277, 85.223915, 123.805628, 85.096680, 118.033019, 85.282923, 111.967386, 85.643871, 106.015119, 86.343799, 99.582422, 87.340492, 93.811488, 88.163610, 88.166625, 89.283494, 82.487719, 90.123407, 76.344942, 90.622186, 69.671958, 90.543363, 64.233339, 89.983421, 58.206529, 89.003523, 52.005768, 87.743654, 46.036942, 85.923842, 39.836181, 84.104031, 33.867355, 81.931849, 27.827540, 79.484511, 22.103655, 76.661772, 16.393287, 73.112964, 11.024668, 68.270320, 6.322010, 62.853017, 2.907718, 57.290078, 0.947922, 51.525432, 0.000000, 44.967790, 0.657649, 39.066160, 2.380318, 33.492537, 5.154232, 28.123917, 8.983011, 23.520244, 13.866656, 19.650464, 19.136291, 16.415592, 24.750915, 13.675645, 30.570543, 11.171600, 36.214949, 9.025972, 42.127798, 6.832050, 48.094617, 4.873619, 53.931057, 3.332414, 59.626381, 2.043499, 65.160306, 1.092646, 70.520323, 0.392719, 76.373181, 0.000000, 82.742193, 0.069663, 87.905808, 0.337908, 94.053443, 1.092646, 100.190500, 1.853854, 106.225709, 2.912457, 111.954199, 4.213510, 117.946967, 5.788729, 123.848597, 7.337670, 129.750227, 8.931832, 135.771518, 10.724818, 141.676489, 12.431469, 147.767154, 14.012981, 153.643751, 15.791121, 159.704805, 17.330961, 165.789599, 19.116264, 172.045654, 20.405408, 178.234290, 21.728518, 184.176920, 22.952643, 190.160551, 24.087762, 195.980180, 25.089871, 201.676805, 26.150046, 207.687346, 27.129944, 213.888108, 27.952361, 219.832703, 28.809770, 225.941727, 29.929653, 232.200472, 31.130838, 238.234606, 33.009334, 244.254091, 35.176913, 250.119867, 38.114830, 255.857494, 42.141579, 261.144112, 47.189226, 265.351847, 52.885852, 268.108777, 58.668130, 269.720029
Type00, L, 275, 61.961185, 275.000000, 55.834979, 274.240319, 50.031197, 272.151823, 44.428930, 268.751208, 39.424294, 264.296985, 35.342578, 258.976839, 32.411769, 253.293967, 30.128673, 247.570791, 28.523607, 241.721063, 27.273166, 235.519893, 26.253785, 229.796718, 25.358733, 223.367384, 24.484428, 217.020365, 23.707495, 211.169597, 22.881876, 204.956708, 21.832877, 198.682050, 20.861901, 192.757359, 19.717002, 186.831018, 18.340970, 180.846118, 17.102541, 174.804222, 15.588906, 168.420342, 14.342306, 162.448752, 12.806736, 156.080727, 11.543860, 150.276945, 9.947175, 144.195758, 8.705115, 138.226048, 7.195111, 132.111964, 5.819079, 125.785082, 4.580650, 119.857179, 3.342221, 113.701288, 2.103792, 107.659391, 1.251421, 101.509113, 0.452554, 95.347609, 0.039744, 89.305713, 0.000000, 82.808070, 0.452554, 76.594951, 1.278173, 70.496057, 2.634857, 64.348845, 4.156245, 58.424154, 6.114052, 52.338251, 8.249766, 46.212045, 10.580079, 40.166445, 12.974445, 34.187679, 15.629907, 28.236457, 18.478573, 22.445868, 21.944638, 16.830408, 26.143705, 11.696272, 31.128290, 7.096343, 36.584361, 3.715286, 42.574642, 1.429325, 48.660545, 0.021931, 55.052034, 0.000000, 61.207925, 1.238429, 67.119770, 3.713751, 72.520521, 7.600867, 77.097537, 12.514338, 80.569960, 18.127164, 83.403469, 23.850340, 85.491333, 29.728074, 87.483159, 35.498206, 89.069016, 41.697874, 90.297948, 47.670013, 91.408270, 53.952659, 92.253729, 60.083638, 93.169519, 66.008329, 93.609922, 72.477329, 93.626548, 78.381650, 93.609922, 84.789111, 93.059509, 91.001999, 92.384553, 97.203603, 91.560959, 103.531324, 90.857858, 109.640663, 90.169842, 115.568566, 89.619429, 121.895448, 89.471280, 127.754028, 89.619429, 134.207230, 90.169842, 140.192130, 90.891317, 146.374465, 91.683477, 152.674903, 92.509096, 159.001786, 92.925678, 165.196417, 93.334715, 171.427562, 93.472319, 177.811442, 93.609922, 183.853338, 93.609922, 190.066226, 93.609922, 196.279115, 93.609922, 202.264014, 93.472319, 208.191917, 93.495718, 214.568795, 93.747525, 220.731687, 93.672856, 226.901813, 93.472319, 233.271458, 92.921906, 239.370352, 91.683477, 245.754231, 90.032238, 251.967119, 87.555381, 257.952019, 84.213090, 263.618748, 79.815864, 268.566387, 74.284772, 272.041531, 68.356869, 274.105579
Type01, L, 230, 45.770010, 230.000000, 40.659100, 229.354342, 35.709062, 228.008657, 30.888113, 225.623870, 26.320502, 222.315823, 22.557346, 217.978749, 19.943672, 213.207568, 18.221916, 208.262643, 16.694252, 203.076436, 15.782762, 197.837912, 14.921884, 192.536400, 14.204486, 187.532044, 13.624804, 182.072032, 13.021187, 177.020546, 12.339250, 171.686938, 11.848768, 166.665428, 11.191413, 161.797088, 10.760974, 156.317282, 10.043576, 151.075201, 9.326178, 145.951982, 8.608779, 140.709901, 7.839667, 135.642100, 6.867015, 130.548590, 6.041038, 125.244959, 5.165268, 120.217026, 4.264915, 114.889841, 3.327181, 109.880379, 2.439154, 104.728508, 1.578276, 99.426996, 1.004358, 94.006621, 0.339705, 88.581805, 0.075269, 83.152101, 0.000000, 77.686066, 0.143480, 72.325122, 0.496438, 67.073110, 1.004358, 62.078685, 1.721756, 56.955466, 2.582634, 51.891679, 3.873951, 47.006185, 5.307190, 41.899728, 6.771685, 36.848242, 8.355042, 31.964853, 10.393455, 26.913367, 12.652186, 22.072002, 15.299332, 17.272661, 18.365396, 12.688866, 22.199504, 8.507254, 26.662651, 5.048465, 31.504016, 2.502774, 36.470586, 0.934730, 41.606988, 0.000000, 46.826571, 0.197795, 52.004130, 1.644883, 56.845495, 4.190573, 61.165162, 7.792842, 64.910911, 11.969030, 67.963879, 16.600274, 70.611025, 21.399615, 72.768300, 26.283004, 74.232795, 31.334490, 75.630648, 36.175855, 76.618136, 41.501762, 77.192055, 46.565549, 77.765973, 51.748199, 78.024722, 57.222283, 78.052933, 62.588949, 78.196412, 68.068755, 78.196412, 73.607992, 78.196412, 79.147229, 78.167239, 83.908537, 78.052933, 89.453097, 77.914044, 94.263655, 77.985801, 99.357165, 77.909453, 104.822753, 78.052933, 109.351660, 77.909453, 114.356016, 78.154808, 119.479061, 78.196412, 124.483591, 78.129386, 129.918227, 77.931591, 135.137810, 77.765973, 140.090972, 77.479014, 145.273622, 77.048575, 150.396840, 76.474657, 155.698352, 76.044218, 160.940434, 75.730267, 166.035065, 75.470299, 171.068008, 75.326819, 176.191227, 75.183340, 181.314446, 74.940709, 186.283033, 74.752901, 191.501452, 74.440607, 196.974345, 73.702155, 202.067855, 72.727531, 207.203389, 71.165909, 212.410345, 68.752160, 217.348386, 65.283243, 221.681266, 61.008517, 225.092029, 56.125128, 227.536264, 50.964969, 229.210862
Type01, L, 240, 53.291818, 240.000000, 48.064168, 239.786263, 42.824294, 238.646331, 37.460336, 236.737622, 32.628346, 233.870661, 28.382903, 230.096841, 24.917514, 225.447371, 22.513656, 220.300592, 20.946249, 215.001696, 19.806317, 209.525735, 18.958080, 204.241347, 18.096419, 198.573813, 17.655307, 192.991446, 17.163250, 187.783844, 16.653906, 182.451037, 16.061092, 177.201699, 15.104098, 171.489117, 14.391641, 166.072178, 13.536692, 160.832304, 12.396760, 155.120255, 11.256828, 149.880382, 10.199604, 144.328427, 9.261947, 139.164547, 8.077080, 133.746282, 6.982083, 128.330669, 5.866599, 123.038934, 4.683332, 117.580922, 3.951988, 112.289850, 2.952947, 106.873574, 2.137372, 101.186950, 1.567406, 96.065121, 0.854949, 90.412094, 0.367380, 84.624180, 0.142491, 79.165062, 0.000000, 73.393991, 0.214546, 68.083207, 0.569966, 62.560113, 1.139932, 57.320239, 2.054448, 51.709173, 3.272289, 46.501571, 4.417236, 41.305509, 6.127134, 36.065636, 8.249970, 30.837028, 10.423516, 25.671160, 13.083559, 20.588762, 16.146629, 15.673303, 19.637173, 11.185318, 23.815727, 7.149256, 28.647716, 3.884673, 33.688380, 1.693839, 39.188126, 0.326346, 44.270524, 0.000000, 49.361768, 0.828033, 54.852669, 2.602621, 59.768128, 5.380708, 64.433178, 9.048317, 68.368484, 13.268606, 71.633067, 18.100596, 74.108883, 23.141259, 76.181673, 28.348862, 77.750679, 33.765138, 78.940286, 39.296832, 79.652743, 44.949859, 80.100645, 50.180907, 80.255743, 55.221570, 80.316365, 60.554377, 80.222709, 65.909353, 79.990523, 71.094787, 79.947188, 76.552798, 79.795235, 82.396259, 79.810455, 88.261782, 79.795235, 93.584269, 79.909180, 98.676987, 79.795235, 104.654235, 79.937726, 110.543349, 79.795235, 115.842245, 79.937726, 121.023096, 80.061936, 126.843474, 80.080218, 132.742303, 80.131318, 137.884701, 80.319661, 143.008834, 80.222709, 148.757034, 80.362079, 154.217001, 80.238474, 159.508073, 80.365201, 164.653720, 80.222709, 170.188703, 80.222709, 176.018795, 80.109543, 181.465323, 79.955697, 186.547721, 79.795235, 191.797438, 79.517862, 197.672417, 79.225269, 202.867404, 78.743183, 208.421501, 77.942845, 213.996392, 76.660422, 219.295287, 74.665541, 224.417117, 71.953247, 229.318094, 68.219455, 233.621852, 63.748758, 236.952618, 58.499420, 238.937977
Type01, L, 250, 51.400520, 250.000000, 45.816998, 249.663799, 40.404769, 248.339590, 35.072844, 245.511770, 30.464915, 241.762968, 26.695626, 236.990168, 23.862646, 231.702669, 21.540138, 226.203725, 19.693071, 220.747070, 18.336702, 215.009838, 17.191750, 209.706893, 16.459717, 204.300730, 15.737800, 198.497633, 15.239523, 192.744883, 14.727115, 186.951246, 14.149581, 181.207955, 13.572047, 175.345053, 12.850130, 169.661568, 11.839446, 164.217305, 10.832924, 158.609418, 9.954251, 153.110474, 8.888907, 147.569242, 7.796708, 141.961810, 6.539516, 135.979309, 5.486572, 130.355617, 4.475888, 124.791743, 3.530154, 119.397899, 2.715479, 113.729799, 1.876985, 108.159927, 1.155068, 102.356830, 0.577534, 96.733151, 0.288767, 91.229082, 0.000000, 85.605403, 0.000000, 79.862112, 0.144383, 74.178627, 0.448761, 68.638736, 1.155068, 63.230296, 1.876985, 57.666422, 3.032053, 52.162354, 4.048028, 46.558382, 5.630956, 41.034606, 7.363558, 35.650148, 9.385043, 30.103839, 11.809645, 24.647184, 14.744719, 19.401974, 18.292361, 14.410498, 22.385898, 9.818077, 27.257374, 5.878635, 32.377339, 3.032053, 38.001019, 1.010684, 43.564893, 0.000000, 49.427795, 0.288767, 54.878961, 1.384880, 60.136903, 3.898354, 65.200225, 7.374641, 69.512073, 11.542105, 72.999910, 16.473776, 75.663734, 21.592120, 77.533930, 26.996905, 79.104136, 32.251696, 80.134447, 38.046662, 81.143517, 43.688527, 81.721051, 49.312207, 82.154202, 54.995692, 82.456031, 61.015084, 82.587352, 66.183246, 82.587352, 72.046148, 82.547436, 77.934805, 82.365909, 83.602904, 82.233926, 88.932692, 82.019787, 94.220192, 81.947581, 99.634558, 81.922556, 104.837479, 81.865435, 110.275598, 81.865435, 115.779666, 81.865435, 121.642568, 81.865435, 127.744693, 82.009818, 133.188955, 82.009818, 138.812635, 82.154202, 144.496120, 82.172526, 150.393721, 82.345212, 156.104110, 82.442969, 161.965215, 82.478119, 168.243799, 82.532808, 173.531298, 82.587352, 178.896059, 82.587352, 184.878572, 82.587352, 190.621863, 82.587352, 196.723987, 82.442969, 202.646695, 82.312950, 208.258808, 82.154202, 214.133276, 81.407395, 219.848741, 80.426628, 225.305396, 78.977765, 230.884704, 76.523246, 236.328967, 72.769217, 241.192666, 68.024218, 244.926980, 62.660265, 247.473289, 57.156197, 249.205891
Type01, L, 260, 59.459016, 260.000000, 53.139175, 259.715847, 47.454219, 258.366787, 42.069924, 255.824023, 37.035773, 252.068560, 32.819672, 247.516503, 29.551913, 242.280338, 27.278689, 236.548996, 25.289617, 230.817655, 23.732226, 224.983592, 22.512721, 218.933486, 21.595628, 213.270530, 20.601093, 207.598038, 19.606557, 201.572446, 18.612022, 195.782255, 17.462666, 190.014579, 16.603845, 184.505445, 15.400910, 178.746631, 14.207650, 173.151138, 13.147037, 167.229004, 11.976284, 161.511804, 10.655738, 155.427463, 9.519126, 149.813822, 8.240437, 143.670530, 6.994843, 138.060417, 5.907318, 132.426443, 4.972678, 126.770755, 3.766740, 120.908816, 2.903383, 115.233229, 1.976304, 109.599255, 1.278689, 103.845389, 0.670949, 98.206468, 0.269429, 92.406041, 0.000000, 86.710214, 0.142077, 80.566922, 0.568306, 74.659031, 1.402639, 68.996268, 2.415301, 63.725997, 4.145997, 57.728320, 5.967213, 51.851364, 7.956284, 46.120022, 10.115167, 40.535106, 12.264307, 35.067585, 14.633880, 29.573348, 17.508060, 24.049317, 20.601093, 18.782391, 24.274130, 13.589258, 28.556286, 9.022949, 33.548824, 5.167023, 38.933119, 2.340105, 44.608706, 0.636028, 50.208785, 0.000000, 56.167946, 0.449540, 61.427401, 2.110461, 66.728468, 5.138305, 71.336391, 9.319997, 74.874317, 14.485869, 77.859921, 19.963746, 80.201759, 25.431267, 82.242207, 31.023627, 83.683060, 36.940435, 85.103825, 42.907177, 86.202112, 49.049106, 86.821795, 54.641467, 87.011231, 60.108988, 87.340681, 66.242321, 87.362040, 71.834681, 86.950820, 77.824877, 86.656633, 83.601988, 86.140244, 89.111122, 85.530055, 94.901201, 84.961749, 100.632543, 84.384616, 106.637242, 83.967213, 112.271776, 83.825137, 118.297368, 83.967213, 124.558360, 84.251366, 130.525101, 84.736426, 136.263574, 85.155222, 141.772709, 85.814208, 147.660276, 86.356160, 153.540015, 86.543471, 159.215602, 86.950820, 165.089701, 87.092896, 170.997593, 87.234973, 177.023185, 87.234973, 183.225326, 87.234973, 189.309768, 87.234973, 195.394210, 87.234973, 201.360951, 87.092896, 207.268843, 87.092896, 213.353285, 86.945370, 219.300532, 86.524590, 225.522168, 86.076340, 231.109452, 84.819672, 237.102551, 83.000077, 242.710305, 80.072696, 248.052987, 75.868852, 252.776573, 70.745150, 256.448087, 65.013808, 258.721311
