Type,size,GPR_RMSE,GPR_Hausdorff_max,GPR_Chamfer_mean,GPR_Length_Error,KRR_RMSE,KRR_Hausdorff_max,KRR_Chamfer_mean,KRR_Length_Error,PCA_RMSE,PCA_Hausdorff_max,PCA_Chamfer_mean,PCA_Length_Error,RATIO_CTRL_RMSE,RATIO_CTRL_Hausdorff_max,RATIO_CTRL_Chamfer_mean,RATIO_CTRL_Length_Error,RATIO_OUTLINE_RMSE,RATIO_OUTLINE_Hausdorff_max,RATIO_OUTLINE_Chamfer_mean,RATIO_OUTLINE_Length_Error,SVR_RMSE,SVR_Hausdorff_max,SVR_Chamfer_mean,SVR_Length_Error
Type00,240,13.38961,4.26075,1.33655,13.91889,13.47838,4.70787,1.17292,13.75239,13.83616,5.51036,1.30742,15.82033,0.00000,0.00000,0.00000,0.00000,26.01594,15.03859,2.11478,59.60700,13.41608,4.73468,1.17324,13.74617
Type00,245,13.12709,5.67588,1.82354,16.40742,13.68511,5.86238,1.66004,15.38352,13.65574,6.05405,1.70262,14.20698,2.46451,2.85375,1.25062,2.32948,27.12813,15.45886,1.34212,58.51933,13.67039,5.86509,1.63988,15.29105
Type00,255,14.69097,5.69887,2.11600,19.26892,15.32394,5.73564,1.92778,16.91089,14.68884,5.70061,2.12078,14.07968,3.73979,7.60006,2.44120,4.05059,28.25196,15.56268,2.39393,59.28185,15.37671,5.71294,1.91296,16.71913
Type00,265,15.88580,8.15886,2.76361,25.04632,16.29858,8.38793,2.78891,23.59731,15.49636,7.70462,1.90092,21.06663,3.32421,4.28803,1.49212,1.27401,27.74688,16.77289,1.67282,67.09008,16.30001,8.44703,2.78814,23.76671
Type00,270,69.54070,5.94764,2.36081,16.85333,69.52677,5.70644,2.26626,16.06105,70.18365,5.59485,1.81330,13.45207,70.07698,7.47286,2.85420,7.15829,76.43702,16.44734,2.68707,59.89959,69.51252,5.75934,2.27450,16.50568
Type00,275,15.83517,9.00186,2.85016,15.72031,16.32490,9.20927,2.80183,14.92199,16.05837,6.03736,2.09248,12.83483,3.78620,3.88869,1.46230,8.58493,31.59816,16.73622,1.56121,59.71476,16.36875,9.16587,2.80997,15.42070
Type01,230,13.80073,3.65615,0.94558,7.54943,14.15324,3.82904,0.70730,7.38540,13.96893,3.99078,0.95204,9.32884,0.00000,0.00000,0.00000,0.00000,24.63831,14.05536,1.57221,49.31696,14.08992,3.77789,0.70155,8.18288
Type01,240,14.13496,6.12241,2.43095,18.12706,14.15688,6.43007,2.61012,18.00427,14.48849,6.36311,2.04760,16.35243,4.30143,3.48400,1.37809,5.36143,23.92398,15.10009,2.29277,56.82260,14.69324,6.47100,2.69845,18.25531
Type01,250,13.68792,5.57566,2.28208,16.64358,14.04496,5.34993,2.17718,14.54392,14.25110,5.89702,1.65821,14.42477,2.28345,3.58607,1.27423,1.88778,25.71973,15.39941,1.93871,55.49317,14.22343,5.17325,2.09636,13.85300
Type01,260,14.21066,9.13367,3.87981,19.97465,15.07657,8.88523,3.59690,17.39260,14.73677,9.21288,3.26318,18.59273,5.42874,6.86507,2.42683,4.52501,25.41631,16.53589,3.11027,60.27462,14.86557,8.68587,3.53234,17.62077
