type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20
Type00, L, 240, 57.932291, 240.000000, 32.841250, 228.994998, 23.338635, 202.938435, 20.300469, 176.108637, 15.029412, 149.591262, 8.285906, 122.735051, 1.764617, 96.277922, 0.000000, 68.732241, 7.044646, 42.034275, 19.001615, 16.267463, 41.897803, 0.000000, 67.364724, 6.931591, 79.833639, 32.243660, 84.378140, 59.667514, 82.720959, 86.268504, 81.616172, 113.212706, 82.720959, 140.957740, 84.378140, 168.473966, 82.754874, 195.015046, 78.880380, 222.642471
Type00, L, 245, 58.602105, 245.000000, 34.399655, 231.110405, 23.552332, 204.817429, 17.977816, 177.338635, 12.263936, 150.263923, 6.271331, 123.535566, 0.501876, 95.588852, 0.000000, 68.289348, 6.800570, 40.931227, 19.825124, 14.806559, 43.825036, 0.000000, 69.929191, 9.236643, 80.551763, 35.194721, 84.799554, 62.571169, 83.896473, 90.036857, 81.527304, 118.150638, 83.651662, 145.598477, 84.732651, 172.935048, 83.947846, 200.664286, 80.550837, 228.625784
Type00, L, 255, 60.910719, 255.000000, 34.987914, 243.075574, 25.279165, 214.793833, 21.402701, 186.163409, 16.273589, 156.977682, 9.203734, 128.136476, 1.440754, 99.926892, 0.000000, 71.654128, 6.153992, 43.278043, 18.628293, 16.290308, 43.209410, 0.000000, 69.899450, 10.028416, 82.536161, 36.705266, 86.556275, 65.661312, 83.530965, 94.725501, 80.237385, 122.671325, 81.288539, 151.323627, 84.084492, 179.334415, 85.585903, 208.259577, 83.766839, 237.134367
Type00, L, 265, 65.038187, 265.000000, 37.276817, 253.611507, 25.947943, 224.601492, 20.488329, 194.662861, 14.824319, 164.848857, 7.664897, 135.016048, 1.136843, 105.180886, 0.000000, 75.167069, 6.661898, 45.992465, 20.038477, 18.016737, 44.539816, 0.000000, 72.802138, 9.297073, 86.009171, 37.376135, 91.303010, 67.077444, 88.814500, 96.804331, 85.708944, 127.272037, 87.667636, 157.231590, 89.430816, 186.925707, 91.474829, 216.459974, 87.930496, 246.473791
Type00, L, 270, 63.919073, 270.000000, 87.402942, 250.445294, 90.090109, 220.461823, 88.265855, 189.614817, 87.002909, 159.814070, 85.229050, 129.411841, 86.160946, 99.166316, 90.449779, 69.182821, 85.739964, 39.274194, 72.897805, 10.392332, 44.683909, 0.000000, 19.304766, 18.523761, 6.455055, 47.552794, 0.000000, 75.900405, 1.464703, 105.825824, 8.559964, 135.443775, 16.979600, 165.535150, 23.752899, 195.799447, 28.486436, 225.834150, 37.814217, 255.822962
Type00, L, 275, 61.513537, 275.000000, 34.892807, 258.975561, 25.803289, 229.793112, 21.382029, 198.675963, 15.137559, 168.411842, 8.253219, 138.215139, 1.651370, 107.646045, 0.000000, 76.579127, 7.797834, 46.193798, 21.493798, 16.809817, 48.211836, 0.000000, 76.651097, 12.493403, 88.623530, 41.679266, 93.164798, 72.461176, 91.115672, 103.517648, 89.173987, 134.196001, 92.480500, 165.187660, 93.164798, 196.272836, 93.227737, 226.897977, 87.109774, 257.950659
Type01, L, 230, 45.430305, 230.000000, 22.217641, 217.978749, 14.582179, 192.536400, 11.509063, 166.665428, 8.269074, 140.709901, 3.925209, 114.889841, 0.000000, 88.581805, 0.664652, 62.078685, 6.431980, 36.848242, 18.025691, 12.688866, 41.267283, 0.000000, 64.571206, 11.969030, 75.290943, 36.175855, 77.713228, 62.588949, 77.713228, 89.453097, 77.569748, 114.356016, 77.426268, 140.090972, 75.390562, 166.035065, 74.413195, 191.501452, 68.412454, 217.348386
Type01, L, 240, 53.149543, 240.000000, 28.206711, 230.083357, 18.769055, 204.192657, 15.868123, 177.116191, 11.057317, 149.757672, 5.659748, 122.879676, 1.354702, 95.869135, 0.000000, 67.849120, 4.208412, 41.034961, 15.953776, 15.367853, 39.026647, 0.000000, 64.306073, 8.733847, 77.641708, 33.484323, 80.210888, 60.310039, 79.704288, 88.055171, 79.689048, 115.673188, 80.214188, 142.876769, 80.117104, 170.093646, 79.411297, 197.614783, 74.552369, 224.395899
Type01, L, 250, 50.951759, 250.000000, 26.246865, 236.990168, 16.742989, 209.706893, 13.700821, 181.207955, 9.505491, 153.110474, 4.027127, 124.791743, 0.128773, 96.733151, 0.000000, 68.638736, 5.182195, 41.034606, 17.843600, 14.410498, 43.116132, 0.000000, 69.063313, 11.542105, 79.685687, 38.046662, 82.138591, 66.183246, 81.571027, 94.220192, 81.416674, 121.642568, 81.723765, 150.393721, 82.138591, 178.896059, 81.864190, 208.258808, 76.074485, 236.328967
Type01, L, 260, 59.035126, 260.000000, 32.330455, 247.485890, 21.998228, 218.832780, 16.935789, 189.842956, 11.435954, 161.270285, 5.352104, 132.113600, 0.712125, 103.462457, 0.000000, 74.204526, 7.406095, 45.595533, 20.081913, 18.190863, 44.148398, 0.000000, 70.941626, 8.705264, 83.318573, 36.393435, 86.985164, 65.767176, 85.170097, 94.496336, 83.603423, 124.226222, 85.998228, 153.278947, 86.879196, 183.037055, 86.736771, 213.238895, 82.633915, 242.667907
