type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40
Type00, L, 240, 58.310036, 240.000000, 45.114893, 237.438435, 33.218995, 228.994998, 26.478348, 216.582143, 23.716380, 202.938435, 22.335396, 189.294727, 20.678214, 176.108637, 18.330723, 162.596012, 15.407158, 149.591262, 11.978013, 136.149950, 8.663651, 122.735051, 5.001785, 109.080431, 2.142362, 96.277922, 0.000000, 82.949587, 0.377745, 68.732241, 3.151350, 55.281714, 7.422391, 42.034275, 12.538777, 28.908181, 19.379360, 16.267463, 29.513487, 5.719042, 42.275548, 0.000000, 55.401643, 0.390899, 67.742470, 6.931591, 75.779488, 18.793592, 80.211384, 32.243660, 82.889386, 45.693339, 84.755886, 59.667514, 84.203492, 73.425627, 83.098704, 86.268504, 82.196426, 99.411160, 81.993917, 113.212706, 82.270114, 126.856414, 83.098704, 140.957740, 84.164053, 154.625560, 84.755886, 168.473966, 84.496232, 181.808056, 83.132619, 195.015046, 81.717720, 208.947472, 79.258125, 222.642471, 71.026743, 234.464412
Type00, L, 245, 59.361360, 245.000000, 45.453794, 241.544652, 35.158910, 231.110405, 28.612818, 218.292982, 24.311588, 204.817429, 21.245604, 190.789402, 18.737071, 177.338635, 15.968159, 163.839450, 13.023192, 150.263923, 9.957208, 136.813156, 7.030586, 123.535566, 3.964602, 109.853895, 1.261132, 95.588852, 0.000000, 82.077515, 0.759255, 68.289348, 3.460437, 54.646656, 7.559826, 40.931227, 13.023192, 27.475239, 20.584380, 14.806559, 31.552168, 4.814312, 44.584291, 0.000000, 58.439140, 1.254266, 70.688447, 9.236643, 77.408857, 21.859406, 81.311019, 35.194721, 84.246679, 48.855740, 85.558809, 62.571169, 85.631269, 76.182008, 84.655729, 90.036857, 83.262100, 103.833981, 82.286559, 118.150638, 82.704648, 131.890035, 84.410917, 145.598477, 85.719672, 159.273087, 85.491906, 172.935048, 85.063400, 186.826401, 84.707102, 200.664286, 84.097489, 214.828718, 81.310093, 228.625784, 72.762197, 240.518389
Type00, L, 255, 61.550268, 255.000000, 47.801890, 252.158195, 35.627463, 243.075574, 28.696232, 229.683609, 25.918715, 214.793833, 23.982995, 200.670142, 22.042250, 186.163409, 19.434467, 171.799139, 16.913139, 156.977682, 14.002022, 142.758049, 9.843283, 128.136476, 5.590738, 114.202198, 2.080304, 99.926892, 0.000000, 85.322523, 0.639549, 71.654128, 3.215089, 57.295495, 6.793541, 43.278043, 11.922652, 29.517773, 19.267843, 16.290308, 30.054676, 5.226226, 43.848959, 0.000000, 58.162909, 1.654552, 70.539000, 10.028416, 78.682114, 22.607518, 83.175710, 36.705266, 86.086827, 51.269419, 87.195824, 65.661312, 86.225452, 80.110625, 84.170514, 94.725501, 82.311657, 108.718714, 80.876934, 122.671325, 80.819092, 137.276255, 81.928089, 151.323627, 83.452959, 165.543260, 84.724042, 179.334415, 85.393704, 193.638003, 86.225452, 208.259577, 87.195824, 222.594049, 84.406388, 237.134367, 74.987762, 249.247078
Type00, L, 265, 65.423288, 265.000000, 50.388121, 262.790254, 37.661917, 253.611507, 30.426263, 239.833816, 26.333044, 224.601492, 23.467790, 209.651746, 20.873430, 194.662861, 18.129626, 179.775840, 15.209419, 164.848857, 11.870336, 149.909278, 8.049998, 135.016048, 4.502541, 119.896755, 1.521944, 105.180886, 0.000000, 90.053779, 0.385101, 75.167069, 2.865253, 60.436865, 7.046999, 45.992465, 13.068218, 31.784807, 20.423578, 18.016737, 30.773775, 6.302133, 44.924917, 0.000000, 59.851901, 0.737157, 73.187239, 9.297073, 81.455063, 22.680331, 86.394271, 37.376135, 89.641501, 52.127698, 91.688111, 67.077444, 91.551670, 82.253253, 89.199601, 96.804331, 86.776248, 112.322291, 86.094045, 127.272037, 86.776248, 142.447845, 88.052737, 157.231590, 89.095739, 172.064759, 89.815917, 186.925707, 91.131942, 201.612915, 91.859930, 216.459974, 91.415230, 231.807228, 88.315597, 246.473791, 79.562725, 259.456323
Type00, L, 270, 64.199727, 270.000000, 78.825423, 263.793941, 87.683597, 250.445294, 90.518880, 235.120883, 90.370764, 220.461823, 89.248146, 205.009257, 88.546509, 189.614817, 87.985200, 174.743506, 87.283564, 159.814070, 86.330689, 144.366344, 85.509704, 129.411841, 85.318982, 114.618882, 86.441600, 99.166316, 88.827164, 84.818134, 90.730434, 69.182821, 89.599553, 54.598226, 86.020618, 39.274194, 80.828509, 24.461008, 73.178460, 10.392332, 60.042369, 1.185406, 44.964564, 0.000000, 30.749877, 6.377013, 19.585421, 18.523761, 12.348800, 32.797734, 6.735709, 47.552794, 2.567936, 61.866536, 0.280655, 75.900405, 0.000000, 90.887967, 1.745357, 105.825824, 4.800898, 120.451520, 8.840618, 135.443775, 13.190764, 150.373211, 17.260255, 165.535150, 21.049091, 180.813339, 24.033553, 195.799447, 26.521855, 210.730338, 28.767091, 225.834150, 31.888812, 241.197267, 38.094872, 255.822962, 49.985041, 267.011495
Type00, L, 275, 61.788766, 275.000000, 47.016163, 270.548461, 35.168035, 258.975561, 28.917732, 244.606021, 26.078517, 229.793112, 23.840188, 213.932241, 21.657257, 198.675963, 18.853142, 183.945301, 15.412788, 168.411842, 11.869641, 153.108661, 8.528447, 138.215139, 4.954110, 123.008499, 1.926598, 107.646045, 0.000000, 92.169587, 0.275228, 76.579127, 3.165126, 61.501681, 8.073062, 46.193798, 14.142581, 31.179358, 21.769026, 16.809817, 33.674156, 5.179917, 48.487065, 0.000000, 64.025486, 2.283595, 76.926325, 12.493403, 84.357491, 26.715824, 88.898758, 41.679266, 91.651042, 57.041721, 93.440026, 72.461176, 93.087292, 88.059839, 91.390901, 103.517648, 89.597201, 118.935151, 89.449215, 134.196001, 91.222446, 149.649238, 92.755728, 165.187660, 93.350926, 180.685775, 93.440026, 196.272836, 93.377332, 211.359556, 93.502965, 226.897977, 92.201499, 242.531204, 87.385002, 257.950659, 76.992020, 270.527539
Type01, L, 230, 45.727599, 230.000000, 33.203944, 226.946003, 22.514934, 217.978749, 17.417408, 205.707240, 14.879473, 192.536400, 13.170425, 179.651349, 11.806356, 166.665428, 10.358239, 153.595459, 8.566368, 140.709901, 6.557653, 127.872139, 4.222503, 114.889841, 2.109783, 102.137183, 0.297294, 88.581805, 0.000000, 74.797424, 0.961946, 62.078685, 3.109517, 49.497970, 6.729273, 36.848242, 11.438385, 24.534709, 18.322984, 12.688866, 28.998898, 3.674164, 41.564577, 0.000000, 54.424425, 2.816272, 64.868499, 11.969030, 71.697416, 23.837937, 75.588237, 36.175855, 77.436602, 49.156874, 78.010521, 62.588949, 78.154001, 76.437042, 78.010521, 89.453097, 77.867041, 101.874841, 77.867041, 114.356016, 78.154001, 127.193778, 77.723562, 140.090972, 76.719204, 153.225890, 75.687855, 166.035065, 75.149850, 178.768841, 74.710489, 191.501452, 73.132213, 204.755233, 68.709748, 217.348386, 58.637101, 226.484748
Type01, L, 240, 53.202675, 240.000000, 39.979190, 237.788375, 28.259844, 230.083357, 21.526492, 217.650264, 18.822187, 204.192657, 17.103241, 190.410484, 15.921255, 177.116191, 13.729460, 163.327209, 11.110449, 149.757672, 8.239848, 136.250743, 5.712881, 122.879676, 3.405432, 109.459474, 1.407834, 95.869135, 0.000000, 81.638103, 0.053132, 67.849120, 1.407834, 54.270686, 4.261545, 41.034961, 9.112852, 28.035645, 16.006908, 15.367853, 26.043046, 5.046345, 39.079780, 0.000000, 52.116513, 1.199776, 64.359206, 8.733847, 72.951178, 20.322215, 77.694841, 33.484323, 79.867195, 47.356889, 80.264020, 60.310039, 79.999620, 73.513939, 79.757421, 88.055171, 79.742180, 101.373622, 79.742180, 115.673188, 80.027551, 129.618141, 80.267321, 142.876769, 80.247910, 156.749334, 80.170237, 170.093646, 80.027551, 183.861292, 79.464429, 197.614783, 78.315325, 211.278378, 74.605502, 224.395899, 66.096723, 235.524397
Type01, L, 250, 51.400520, 250.000000, 37.653160, 247.081401, 26.695626, 236.990168, 20.650135, 223.581120, 17.191750, 209.706893, 15.539621, 195.621222, 14.149581, 181.207955, 12.416979, 166.849728, 9.954251, 153.110474, 7.219174, 138.970553, 4.475888, 124.791743, 2.165752, 111.031572, 0.577534, 96.733151, 0.000000, 82.733757, 0.448761, 68.638736, 2.407980, 54.891376, 5.630956, 41.034606, 10.546297, 27.354367, 18.292361, 14.410498, 29.744916, 4.475888, 43.564893, 0.000000, 57.543855, 2.461556, 69.512073, 11.542105, 76.638315, 24.299303, 80.134447, 38.046662, 82.014584, 52.343778, 82.587352, 66.183246, 82.442969, 80.840500, 82.019787, 94.220192, 81.865435, 107.403953, 81.865435, 121.642568, 81.977129, 135.969738, 82.172526, 150.393721, 82.442969, 165.076083, 82.587352, 178.896059, 82.587352, 193.732731, 82.312950, 208.258808, 80.999134, 222.628601, 76.523246, 236.328967, 65.472105, 246.462605
Type01, L, 260, 59.604825, 260.000000, 44.913555, 257.272422, 32.900155, 247.485890, 26.287419, 233.661415, 22.567928, 218.832780, 20.120139, 204.421299, 17.505489, 189.842956, 14.821723, 175.765197, 12.005653, 161.270285, 8.956571, 146.399935, 5.921804, 132.113600, 3.418198, 117.648965, 1.281824, 103.462457, 0.000000, 89.157960, 0.569700, 74.204526, 3.301781, 60.223053, 7.975795, 45.595533, 13.530367, 31.762991, 20.651612, 18.190863, 31.057492, 6.403584, 44.718098, 0.000000, 58.832016, 0.501811, 71.511326, 8.705264, 79.188251, 21.970950, 83.888273, 36.393435, 86.736771, 51.110892, 87.554863, 65.767176, 87.021621, 80.073851, 85.739797, 94.496336, 84.373018, 109.043336, 84.173123, 124.226222, 85.170097, 138.648707, 86.567928, 153.278947, 87.306471, 167.906638, 87.448896, 183.037055, 87.354819, 198.307149, 87.306471, 213.238895, 86.572105, 228.047849, 83.203615, 242.667907, 73.569657, 254.865513
Type01, L, 280, 58.580324, 280.000000, 42.988502, 276.722291, 30.571593, 265.520535, 24.675265, 250.279250, 21.618929, 234.711279, 19.247821, 218.703079, 16.882405, 203.003025, 14.505604, 187.611052, 11.576588, 171.602852, 8.508095, 156.114611, 5.575750, 140.526367, 2.510585, 124.849264, 0.697385, 109.418797, 0.000000, 93.410597, 0.848443, 77.886302, 3.626401, 62.665209, 7.810710, 47.870247, 13.815036, 32.979484, 21.897883, 18.535348, 33.780761, 6.318865, 48.806174, 0.000000, 64.525507, 2.231631, 77.130760, 13.103958, 83.965131, 27.528349, 87.431567, 43.008155, 89.552105, 58.657958, 90.154550, 73.940095, 89.125778, 89.654631, 87.731009, 105.373965, 86.695772, 121.216320, 86.580925, 137.070383, 87.242762, 153.006149, 88.937860, 168.369989, 90.227809, 183.774682, 89.683686, 198.996687, 88.986301, 215.351526, 88.868163, 231.622833, 88.130657, 246.823266, 84.244085, 261.816248, 73.862460, 274.899681
Type01, L, 290, 59.696441, 290.000000, 43.851017, 286.530520, 31.200237, 274.723554, 25.446461, 259.125278, 22.779522, 243.238663, 20.037167, 226.842015, 17.646359, 210.666297, 15.543394, 194.796186, 13.286652, 178.256608, 10.459756, 162.569852, 6.959079, 146.271325, 3.591971, 129.684459, 1.051344, 113.495484, 0.000000, 96.840257, 0.770072, 80.445010, 3.461549, 64.119629, 7.942494, 48.384840, 14.571322, 32.758312, 23.264313, 18.158621, 35.493186, 5.929748, 50.967889, 0.000000, 66.730930, 2.262011, 79.645920, 13.630008, 86.440317, 28.816372, 90.073757, 44.883082, 92.886472, 60.767533, 93.730286, 77.001504, 92.586565, 94.216437, 91.620750, 109.527699, 91.339479, 125.412151, 91.641774, 142.494150, 92.323929, 158.986904, 93.027107, 175.046116, 93.589650, 191.047074, 93.794258, 207.523494, 93.449014, 223.689775, 92.464564, 239.166455, 90.495664, 255.516932, 86.289065, 271.564248, 75.624247, 284.901145
Type02, L, 230, 62.633974, 230.000000, 49.711606, 226.937969, 39.163594, 217.897425, 33.469596, 205.605053, 30.036489, 192.680663, 27.269063, 179.636266, 24.400264, 166.713898, 21.387211, 153.846931, 17.642510, 140.706457, 13.533960, 127.987471, 8.888191, 115.416634, 4.582974, 102.779110, 1.388780, 89.681386, 0.000000, 76.180985, 0.416634, 63.198311, 2.386075, 50.127852, 5.971754, 37.463063, 11.436444, 24.689880, 19.412013, 13.142016, 30.552225, 4.601953, 43.173009, 0.000000, 56.380112, 0.430328, 68.072318, 7.817315, 75.631881, 19.404340, 80.311519, 31.919944, 83.187917, 44.730306, 85.409965, 58.115657, 86.132114, 71.012459, 83.465673, 84.196056, 79.021577, 97.121205, 74.299725, 110.161405, 71.799922, 123.546755, 72.633190, 137.277256, 75.219087, 150.092370, 78.884285, 163.340150, 82.597386, 175.733724, 85.271087, 188.345077, 86.382111, 201.385276, 83.882307, 214.885677, 75.230931, 226.013479
Type02, L, 250, 64.833531, 250.000000, 78.534106, 245.212838, 86.402503, 232.816993, 87.859793, 218.909222, 85.985201, 205.069277, 82.293560, 191.342315, 77.779202, 177.687390, 74.234107, 163.899727, 71.644955, 149.991956, 70.605039, 135.711231, 73.393237, 121.458514, 78.661547, 107.564174, 84.287408, 93.666399, 87.682994, 79.623831, 87.360778, 65.757982, 85.277787, 51.245675, 82.589615, 37.613335, 78.891584, 23.537397, 72.089335, 10.368424, 59.877193, 1.273345, 45.424396, 0.000000, 31.702135, 5.400779, 20.317998, 15.794537, 12.073702, 28.566281, 6.188936, 42.239606, 2.038339, 56.050309, 0.000000, 69.999519, 0.633781, 83.865851, 3.217798, 97.296401, 6.613384, 110.870136, 10.574901, 124.561079, 14.677900, 138.662251, 19.099200, 152.907435, 22.985971, 166.980963, 26.383586, 180.640098, 29.227478, 195.293777, 31.682257, 209.491624, 34.768449, 223.034867, 40.076170, 236.561258, 50.690920, 247.311828
Type02, L, 260, 65.876528, 260.000000, 52.046983, 256.023782, 41.036819, 244.732094, 34.925023, 230.737637, 31.530646, 216.241870, 29.137695, 201.406682, 26.482977, 187.105137, 23.225699, 173.252248, 19.143606, 158.300449, 14.216943, 143.815094, 9.432506, 129.230812, 4.926663, 114.611162, 1.548380, 100.067501, 0.000000, 85.348924, 0.500347, 70.738064, 2.674474, 56.319908, 6.756567, 42.067774, 12.920808, 28.053813, 21.809542, 15.223748, 33.860467, 5.150740, 48.294235, 0.000000, 62.656261, 2.194742, 74.967992, 11.356586, 81.927288, 24.650165, 86.005467, 39.445745, 89.102227, 53.756184, 91.577383, 68.200207, 91.776701, 83.018422, 88.382554, 97.013686, 82.651816, 111.049371, 77.981792, 125.291197, 75.965023, 140.398816, 76.433664, 154.862144, 78.538750, 169.624576, 81.883611, 183.948858, 86.021812, 198.644195, 89.830187, 213.009706, 92.053349, 227.911183, 89.422300, 242.647748, 79.953442, 255.072604
Type02, L, 270, 68.228481, 270.000000, 52.995506, 266.138439, 41.363517, 254.742652, 35.345051, 240.243709, 32.152570, 224.969101, 29.139247, 209.661916, 25.443538, 194.477998, 21.587272, 179.436706, 17.767834, 164.463426, 13.929982, 149.809404, 9.646365, 134.945127, 5.213274, 120.419907, 1.847855, 105.494075, 0.000000, 90.133524, 0.284285, 74.949606, 2.858798, 59.612905, 7.533561, 44.640647, 14.498854, 30.062872, 23.879968, 16.652295, 36.242875, 5.475999, 51.001005, 0.000000, 66.334131, 2.014573, 78.806292, 12.354595, 85.766421, 26.421856, 89.692024, 41.468917, 92.338116, 56.304950, 94.667018, 71.660121, 94.951303, 87.432814, 90.597350, 102.503466, 84.148460, 117.211876, 79.315609, 132.160285, 77.915800, 147.494636, 79.173467, 162.586999, 82.026479, 178.043852, 85.668060, 192.860501, 90.005315, 207.344088, 93.617081, 222.327268, 95.377731, 237.446797, 92.826682, 252.793218, 82.587171, 265.307012
Type03, L, 230, 50.235789, 230.000000, 37.789026, 226.789360, 27.642813, 217.446146, 22.295140, 204.901235, 19.117161, 192.129419, 17.224875, 179.175342, 15.261309, 165.896212, 12.990316, 152.575462, 10.165227, 139.671388, 7.465438, 127.013024, 4.765648, 114.354661, 2.443530, 101.498242, 0.837545, 89.093098, 0.000000, 76.188533, 0.360728, 63.544635, 2.172735, 50.712351, 5.549849, 38.099115, 10.833045, 25.569116, 18.232628, 13.945786, 28.520159, 4.471741, 41.050158, 0.000000, 53.422959, 1.583592, 64.608935, 9.491453, 71.499743, 21.355557, 75.493992, 34.301740, 77.375779, 47.728172, 78.086250, 60.857394, 78.228344, 73.633472, 77.091590, 86.939266, 75.102272, 99.774202, 72.970859, 112.785709, 71.587205, 125.882247, 72.202714, 139.286233, 73.975173, 151.857851, 75.730393, 164.554324, 77.091590, 177.843246, 78.086250, 191.325613, 77.944155, 204.690264, 73.277906, 217.046570, 62.849024, 226.480792
Type03, L, 235, 53.304228, 235.000000, 40.371946, 232.600462, 29.281990, 224.499529, 22.915836, 212.350341, 19.331494, 199.319253, 17.532328, 186.082939, 15.941451, 172.760287, 14.091104, 159.524298, 11.481818, 146.207242, 8.540063, 132.993363, 5.554184, 120.068124, 2.989022, 106.816169, 0.934942, 93.387052, 0.000000, 80.285233, 0.427003, 66.459676, 1.882010, 53.136156, 4.887516, 40.024908, 9.678738, 27.341276, 17.000412, 15.386587, 26.784937, 5.459727, 39.219049, 0.000000, 52.497052, 1.191431, 63.829988, 9.108341, 71.594197, 20.747507, 76.008993, 33.670438, 78.283913, 46.688874, 79.422588, 60.337561, 79.564845, 73.379380, 78.995585, 86.986410, 77.602324, 100.310585, 76.291232, 113.635259, 75.294891, 127.460817, 75.145057, 140.853302, 75.666691, 154.881703, 76.593175, 168.618282, 77.999245, 181.289126, 79.286006, 194.215446, 79.197493, 207.660204, 75.517808, 220.187809, 66.344309, 230.784652
