type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45, x46, y46, x47, y47, x48, y48, x49, y49, x50, y50, x51, y51, x52, y52, x53, y53, x54, y54, x55, y55, x56, y56, x57, y57, x58, y58, x59, y59, x60, y60
Type00, L, 240, 58.533234, 240.000000, 49.774974, 239.034788, 41.130943, 235.311826, 33.480520, 229.011809, 28.325362, 220.961014, 25.412731, 211.981334, 23.992421, 202.995048, 23.010997, 193.860428, 22.199884, 185.078724, 20.958896, 176.206234, 19.442134, 167.105285, 17.649597, 158.461254, 15.695892, 149.729366, 13.375085, 140.773389, 11.249504, 131.770005, 8.962686, 122.914180, 6.480711, 113.984575, 4.247032, 104.911737, 2.451359, 96.497465, 0.827325, 87.709794, 0.000000, 78.437501, 0.689437, 68.993862, 2.481975, 60.007142, 4.826062, 51.134652, 7.723322, 42.336679, 10.945186, 33.599316, 14.913601, 24.942726, 19.662026, 16.609227, 26.034514, 9.271527, 33.907036, 3.605205, 42.523239, 0.366613, 51.300988, 0.000000, 59.917192, 2.011298, 67.951258, 7.287615, 73.893355, 14.884362, 77.768537, 23.539184, 80.401126, 32.561019, 82.346217, 41.621471, 83.922688, 50.560765, 84.938686, 59.942982, 84.800798, 69.272391, 83.983075, 77.903670, 83.284036, 86.503337, 82.614657, 94.853373, 82.180936, 104.134087, 82.180936, 113.406381, 82.306492, 122.438594, 82.713965, 131.983683, 83.284036, 141.109033, 83.835586, 150.267097, 84.555890, 159.649678, 84.938686, 168.583225, 84.854105, 177.245562, 84.316834, 186.225242, 83.317899, 195.083763, 82.224333, 204.588466, 81.491499, 213.631053, 79.449323, 222.668985, 74.700898, 231.002485, 67.348609, 237.242250
Type00, L, 245, 59.306890, 245.000000, 49.807859, 243.584019, 41.434928, 238.728669, 35.104439, 231.110405, 30.459183, 222.701518, 26.977888, 213.925265, 24.257117, 204.817429, 22.103304, 195.393115, 20.354956, 186.113393, 18.682601, 177.338635, 16.870883, 168.390699, 14.919802, 159.385037, 12.968721, 150.263923, 10.878277, 141.315987, 8.904804, 132.163329, 6.976116, 123.535566, 5.025035, 114.529904, 2.803890, 105.140656, 1.206661, 95.588852, 0.147333, 86.762480, 0.000000, 77.424068, 0.704785, 68.289348, 2.237777, 59.110508, 4.606946, 50.047120, 7.505355, 40.931227, 10.894277, 31.828426, 15.268643, 23.133810, 20.529909, 14.806559, 27.415709, 7.642034, 35.620504, 2.363860, 44.529821, 0.000000, 53.766387, 0.278726, 62.887501, 3.065984, 70.633976, 9.236643, 75.477154, 17.424531, 78.776322, 26.241602, 81.256548, 35.194721, 83.293879, 44.161475, 84.740621, 53.263771, 85.504339, 62.571169, 85.605046, 71.673970, 85.298073, 80.742565, 84.601258, 90.036857, 83.625718, 98.984794, 82.824024, 108.738270, 82.232089, 118.150638, 82.371452, 127.329478, 83.119382, 136.454857, 84.356447, 145.598477, 85.298073, 154.519642, 85.692368, 163.844897, 85.437436, 172.935048, 85.080308, 182.295410, 84.757370, 191.398211, 84.652631, 200.664286, 84.461895, 210.169943, 83.486355, 219.579687, 81.255622, 228.625784, 76.289989, 237.075490, 68.421646, 242.853389
Type00, L, 255, 61.687959, 255.000000, 52.440354, 253.792624, 43.436363, 249.779120, 35.765154, 243.075574, 30.439767, 234.425904, 27.717371, 224.772278, 26.056405, 214.793833, 24.813808, 205.371740, 23.427562, 195.738864, 22.179940, 186.163409, 20.448493, 176.747759, 18.852949, 166.897658, 17.050829, 156.977682, 15.248709, 147.631907, 12.740312, 137.849037, 9.980973, 128.136476, 7.082659, 118.744796, 4.574613, 109.502347, 2.217994, 99.926892, 0.554499, 90.179176, 0.000000, 80.661141, 0.777240, 71.654128, 2.356619, 62.027012, 4.314921, 52.590488, 6.931231, 43.278043, 10.119598, 34.161950, 14.249395, 25.050686, 19.405533, 16.290308, 26.211233, 8.375611, 34.526034, 2.633868, 43.986649, 0.000000, 53.595593, 0.155799, 62.599584, 3.614805, 70.676690, 10.028416, 76.659418, 18.243398, 80.679532, 27.244651, 83.313400, 36.705266, 85.427145, 46.335562, 86.779016, 55.913596, 87.333515, 65.661312, 86.779016, 75.409028, 85.644353, 85.071874, 84.308204, 94.725501, 83.036151, 104.135394, 81.812248, 113.301914, 81.014625, 122.671325, 80.818157, 132.344977, 81.234031, 141.920433, 82.065779, 151.323627, 83.168846, 160.879808, 84.006524, 170.015176, 84.861732, 179.334415, 85.223362, 188.906837, 85.674489, 198.722872, 86.363142, 208.259577, 87.194890, 217.777612, 87.056265, 227.697588, 84.544079, 237.134367, 78.955249, 245.634313, 70.988205, 252.019571
Type00, L, 265, 65.461092, 265.000000, 55.336917, 264.139829, 45.799590, 260.596859, 37.741489, 253.628641, 32.287781, 244.584088, 28.874807, 234.953013, 26.429660, 224.662273, 24.406385, 214.681288, 22.615070, 204.684027, 20.978261, 194.768686, 19.216032, 184.832335, 17.277666, 174.856083, 15.322772, 164.999537, 13.078595, 155.189858, 10.490123, 145.031443, 8.174122, 135.211612, 5.645483, 125.214234, 3.456927, 115.158176, 1.655890, 105.421338, 0.408706, 95.311552, 0.000000, 85.491721, 0.520757, 75.452678, 1.914182, 65.476425, 4.223296, 55.919366, 7.172632, 46.321968, 11.147682, 36.625032, 15.381511, 27.486730, 20.529085, 18.388331, 26.879403, 9.994482, 35.216821, 3.700595, 44.993562, 0.398700, 55.129424, 0.000000, 64.786457, 3.025940, 73.213362, 9.681785, 79.251307, 18.444437, 83.452080, 27.822154, 86.400524, 37.718602, 88.574415, 47.615049, 90.390118, 57.511497, 91.686399, 67.375225, 91.863711, 77.703417, 90.885839, 87.400353, 89.201633, 97.057386, 87.326867, 107.218855, 86.373220, 117.602991, 86.100749, 127.479253, 86.373220, 137.694098, 87.110544, 147.577088, 88.056494, 157.393731, 88.809779, 167.130569, 89.234162, 177.029853, 89.817021, 187.043172, 90.778366, 196.859815, 91.467239, 206.676458, 91.857959, 216.533004, 91.822634, 226.806175, 90.868987, 237.077451, 88.318959, 246.501664, 83.267718, 255.639966, 75.089910, 262.319185
Type00, L, 270, 64.150055, 270.000000, 74.246618, 266.912783, 82.533632, 259.887452, 87.610436, 250.464853, 89.890546, 240.614649, 90.648075, 230.189608, 90.294915, 220.511372, 89.593981, 210.007052, 89.010821, 199.858860, 88.472485, 189.695219, 88.075171, 179.953153, 87.771551, 170.254397, 87.210803, 159.924279, 86.509868, 149.884497, 85.949121, 139.554379, 85.438718, 129.552459, 85.195464, 119.702255, 85.388373, 110.073775, 86.369681, 99.337186, 87.780943, 89.658925, 89.593981, 80.244767, 90.654226, 69.383680, 90.263740, 59.820895, 88.567594, 49.601153, 85.949121, 39.504968, 82.565436, 29.490147, 78.659401, 19.773809, 73.119807, 10.651995, 64.675599, 3.609656, 55.301036, 0.000000, 44.934131, 0.270057, 35.337607, 3.644860, 26.482525, 10.190895, 19.580372, 18.775290, 14.445501, 28.255956, 10.367013, 37.941921, 6.743513, 47.775288, 3.728040, 57.478090, 1.668183, 66.630277, 0.294915, 76.094546, 0.000000, 85.879027, 0.435102, 95.651503, 1.758153, 105.990033, 3.652160, 115.717058, 6.042579, 125.596645, 8.846317, 135.578360, 11.662091, 145.596148, 14.593981, 155.483721, 17.257532, 165.639637, 19.780896, 175.969755, 22.031335, 186.105578, 24.024056, 195.873663, 25.808934, 205.508426, 27.232183, 215.656190, 28.752859, 225.878326, 30.715476, 236.324578, 33.695440, 246.274357, 38.071310, 255.837142, 45.352963, 264.100104, 54.707955, 268.878505
Type00, L, 275, 61.926380, 275.000000, 51.930188, 272.847817, 42.659510, 267.292721, 35.305649, 258.975561, 30.787550, 249.503351, 27.890294, 239.587772, 26.216131, 229.793112, 24.770552, 219.259012, 23.507737, 209.196136, 21.794871, 198.675963, 19.981833, 188.881303, 17.926958, 178.844805, 15.550402, 168.411842, 13.348575, 158.208207, 11.003428, 148.251637, 8.666062, 138.215139, 6.192638, 127.939312, 4.113035, 117.860000, 2.064213, 107.646045, 0.550457, 97.499412, 0.000000, 86.953767, 0.412843, 76.579127, 2.201827, 66.204487, 4.715742, 56.431827, 8.210676, 46.193798, 12.110048, 36.163598, 16.513701, 26.301973, 21.906640, 16.809817, 29.357809, 8.532964, 38.547875, 2.783253, 48.624679, 0.000000, 59.185158, 0.746007, 68.939512, 4.858179, 77.063939, 12.493403, 82.398924, 21.895561, 86.219173, 31.770833, 89.036373, 41.679266, 90.962971, 51.882901, 92.625637, 62.122164, 93.577640, 72.461176, 93.577640, 82.892818, 92.751955, 92.982450, 91.528515, 103.517648, 90.316020, 113.675065, 89.449215, 123.935365, 89.586829, 134.196001, 90.687743, 144.285633, 92.063884, 154.717275, 92.893342, 165.187660, 93.552678, 175.667526, 93.538405, 185.865249, 93.577640, 196.272836, 93.564811, 206.180082, 93.577640, 216.680106, 93.640580, 226.897977, 93.047279, 237.136006, 91.092576, 247.898016, 87.522617, 257.950659, 81.321084, 267.027272, 72.255823, 272.866980
Type01, L, 230, 45.770010, 230.000000, 37.322863, 228.493464, 29.267917, 224.689320, 22.557346, 217.978749, 18.652355, 209.811899, 16.301740, 201.392608, 14.921884, 192.536400, 13.774047, 183.898650, 12.730131, 175.294693, 11.848768, 166.665428, 10.904454, 158.223126, 9.900096, 149.407082, 8.608779, 140.709901, 7.317462, 132.250445, 5.739186, 123.790989, 4.264915, 114.889841, 2.792226, 106.386649, 1.455807, 97.589288, 0.339705, 88.581805, 0.000000, 79.532478, 0.286959, 70.419278, 1.004358, 62.078685, 2.437563, 53.518432, 4.319256, 45.183337, 6.771685, 36.848242, 9.756617, 28.656879, 13.433113, 20.430198, 18.365396, 12.688866, 25.146919, 6.133757, 33.229869, 1.924758, 41.606988, 0.000000, 50.290986, 0.934730, 58.319203, 5.377321, 64.910911, 11.969030, 69.731113, 19.756787, 73.244861, 28.050881, 75.630648, 36.175855, 77.048575, 44.778568, 77.848431, 53.602481, 78.052933, 62.588949, 78.196412, 71.999304, 78.100497, 80.877074, 78.052933, 89.453097, 78.007305, 97.757385, 78.004227, 106.512722, 77.909453, 114.356016, 78.196412, 122.756041, 78.196412, 131.631516, 77.765973, 140.090972, 77.192055, 148.609859, 76.240622, 157.489849, 75.730267, 166.035065, 75.326819, 174.225952, 75.039860, 182.982564, 74.752901, 191.501452, 74.010619, 200.468075, 72.250971, 208.971267, 68.752160, 217.348386, 62.566273, 224.108191, 54.479500, 228.206504
Type01, L, 240, 53.221696, 240.000000, 44.419096, 239.187789, 35.783662, 235.974405, 28.278864, 230.083357, 22.999349, 222.048607, 20.404028, 213.080750, 18.841208, 204.192657, 17.693003, 194.743590, 16.715286, 186.085958, 15.940276, 177.116191, 14.411237, 167.740219, 12.841696, 158.896701, 11.129470, 149.757672, 9.274558, 140.914155, 7.550082, 131.974818, 5.731901, 122.879676, 3.909501, 113.951701, 2.568339, 104.771755, 1.426855, 95.869135, 0.428057, 86.316390, 0.000000, 77.118259, 0.072153, 67.849120, 0.849743, 58.795771, 2.183384, 49.700629, 4.280565, 41.034961, 7.276961, 32.309648, 11.149281, 23.668954, 16.025929, 15.367853, 22.263160, 8.131824, 30.254409, 2.708915, 39.098800, 0.000000, 47.441692, 0.073073, 56.453250, 2.949154, 64.378226, 8.733847, 70.632768, 16.129873, 74.909893, 24.519308, 77.713861, 33.484323, 79.333144, 42.738263, 80.152466, 51.549231, 80.283041, 60.310039, 80.156686, 69.238014, 79.903886, 78.348743, 79.776441, 88.055171, 79.648956, 96.774188, 79.761201, 106.534159, 79.761201, 115.673188, 80.028401, 124.728278, 80.189257, 134.364962, 80.286341, 142.876769, 80.331943, 152.229304, 80.189257, 161.072821, 80.189257, 170.093646, 80.178687, 179.633458, 79.906426, 188.059934, 79.483450, 197.614783, 78.902528, 206.751716, 77.478233, 215.847893, 74.624522, 224.395899, 69.511075, 232.271752, 61.982504, 237.802725
Type01, L, 250, 51.362799, 250.000000, 42.102062, 248.772740, 33.451767, 244.441236, 26.657905, 236.990168, 22.208524, 228.064899, 19.135916, 218.928185, 17.154029, 209.706893, 15.895887, 200.527890, 14.978161, 190.899718, 14.111860, 181.207955, 12.956792, 171.516193, 11.657341, 162.362681, 9.916531, 153.110474, 8.101085, 143.931472, 6.170769, 134.124672, 4.438167, 124.791743, 2.849949, 115.638231, 1.556972, 106.200526, 0.539813, 96.733151, 0.000000, 87.461920, 0.071801, 77.860027, 0.411040, 68.638736, 1.656233, 59.375155, 3.283099, 50.247923, 5.593235, 41.034606, 8.625288, 32.000705, 12.682219, 22.870588, 18.254640, 14.410498, 25.569924, 7.095214, 34.199171, 2.219938, 43.527172, 0.000000, 52.979712, 0.866301, 61.905335, 4.839388, 69.474352, 11.542105, 74.800296, 19.900101, 78.218127, 28.851530, 80.096727, 38.046662, 81.676194, 47.437110, 82.298293, 56.996713, 82.549631, 66.183246, 82.405248, 76.054425, 82.217132, 85.590945, 81.982066, 94.220192, 81.828693, 103.018594, 81.827714, 112.070417, 81.827714, 121.642568, 81.852512, 131.485959, 81.972097, 140.727065, 82.134805, 150.393721, 82.351770, 159.995613, 82.414092, 170.020395, 82.549631, 178.896059, 82.549631, 188.707433, 82.407617, 198.741494, 82.275230, 208.258808, 81.683330, 217.902331, 80.095112, 227.175455, 76.485525, 236.328967, 69.682209, 243.719319, 60.795535, 248.075205
Type01, L, 260, 59.536272, 260.000000, 49.262862, 258.968663, 40.393193, 254.648937, 32.876446, 247.506905, 27.914726, 238.473641, 24.629673, 228.863670, 22.561570, 218.901912, 20.961000, 209.282628, 19.288715, 199.580053, 17.507633, 189.960770, 15.814157, 180.516079, 13.965743, 171.211711, 12.017033, 161.436080, 9.858805, 151.566925, 7.835863, 141.614479, 5.943400, 132.328357, 4.154927, 122.923016, 2.612385, 113.214725, 1.311212, 103.725328, 0.458098, 94.126484, 0.000000, 84.440164, 0.600283, 74.516530, 2.090029, 65.493113, 4.723670, 55.613318, 7.993942, 45.955579, 11.670382, 36.676907, 15.611474, 27.515721, 20.648473, 18.596929, 27.153536, 10.286229, 35.388422, 3.899758, 44.674544, 0.436614, 54.502054, 0.000000, 63.269707, 2.643811, 71.422779, 9.127260, 77.081071, 17.913639, 80.935226, 27.052299, 83.778941, 36.768934, 85.911727, 46.780044, 86.960117, 56.265838, 87.439374, 66.093348, 87.191399, 75.517681, 86.622656, 85.234315, 85.627356, 94.774264, 84.632055, 104.432003, 83.895488, 114.356348, 84.063312, 124.454224, 84.632055, 134.288649, 85.536495, 143.672298, 86.454096, 153.458162, 86.907027, 163.085181, 87.191399, 173.037396, 87.333584, 183.166297, 87.309434, 193.267945, 87.222138, 203.511908, 87.191399, 213.317420, 86.764842, 223.328531, 85.769541, 233.104060, 83.095433, 242.697012, 77.419890, 251.358455, 69.017326, 257.440657
