type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10
Type00, L, 240, 64.458398, 245.674549, 26.768561, 245.504726, 30.568224, 175.915979, 5.057152, 120.081862, 0.000000, 15.257115, 96.024805, 0.000000, 84.130981, 112.230801, 89.026027, 167.314898, 89.553236, 237.560911, 63.552920, 246.144120
Type00, L, 245, 62.910727, 248.420838, 30.484848, 244.487688, 24.948895, 174.421794, 3.264367, 117.877616, 0.000000, 9.300338, 97.829250, 0.000000, 83.423067, 113.373257, 88.905474, 169.373257, 91.052437, 241.319157, 63.633626, 248.849603
Type00, L, 255, 69.807993, 258.410231, 31.457456, 258.155419, 34.125961, 183.467274, 8.508819, 122.354028, 0.000000, 11.665574, 103.457988, 0.000000, 86.752807, 119.993665, 87.306285, 175.247756, 101.442371, 250.929838, 67.309253, 258.539004
Type00, L, 265, 78.398980, 273.421627, 38.260298, 277.681894, 32.606176, 200.967073, 11.500074, 135.907211, 0.000000, 23.565836, 105.388822, 0.000000, 95.906848, 126.095970, 93.833792, 185.555502, 107.975314, 262.210467, 76.738779, 273.625457
Type00, L, 270, 70.996588, 274.048328, 103.163967, 265.419783, 93.357446, 185.356553, 89.556798, 127.167150, 106.150006, 0.000000, 0.000000, 14.652001, 6.724230, 129.577423, 36.186174, 193.338072, 34.747097, 270.867395, 72.027828, 274.906892
Type00, L, 275, 66.984702, 276.136023, 29.723167, 271.676469, 31.630854, 193.074050, 4.405303, 130.185094, 0.000000, 7.488434, 108.257219, 0.000000, 90.637709, 127.163007, 99.437807, 189.355040, 100.346327, 270.371134, 66.489026, 276.782983
Type01, L, 230, 49.219171, 228.865720, 16.667561, 226.729355, 17.545226, 159.958947, 2.062323, 105.437954, 0.000000, 1.541834, 89.020831, 0.000000, 78.131554, 107.079275, 80.156993, 157.549110, 77.500412, 226.489414, 48.412191, 228.554739
Type01, L, 240, 62.659115, 243.659134, 27.190890, 245.222537, 26.162459, 175.172793, 10.062992, 117.783646, 0.000000, 11.443448, 96.313393, 0.000000, 85.279771, 111.500088, 89.150802, 168.382937, 89.218751, 237.864435, 61.833055, 244.392423
Type01, L, 250, 57.734265, 250.274071, 23.334714, 248.354855, 22.248978, 174.783105, 5.793023, 116.380400, 0.000000, 4.661073, 99.317526, 0.000000, 83.106239, 114.603915, 89.902636, 171.327103, 89.731393, 248.689347, 56.761134, 249.529126
Type01, L, 260, 63.692989, 265.374870, 28.109925, 263.931987, 24.219329, 188.872426, 3.842536, 128.178635, 0.000000, 15.742622, 100.232198, 0.000000, 85.492414, 122.346180, 91.256152, 179.813549, 94.715418, 259.728348, 63.591113, 264.758376
Type01, L, 280, 62.322159, 281.507771, 24.961507, 278.964330, 24.371168, 197.203472, 2.498828, 131.681043, 0.000000, 9.326844, 107.220332, 0.000000, 84.867424, 130.319216, 95.764051, 192.660537, 94.304872, 275.374853, 63.539566, 281.066505
