type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20
Type00, R, 240, 32.311623, 241.264257, 19.656039, 242.997610, 2.356909, 225.031437, 2.146676, 192.449442, 0.090428, 160.980761, 6.204725, 127.492067, 3.711981, 97.179133, 0.000000, 63.304724, 3.768301, 33.719392, 20.381400, 0.000000, 58.029922, 1.550014, 75.312416, 34.450024, 83.310618, 63.584489, 83.125530, 96.789620, 74.335237, 126.766340, 68.541094, 158.033644, 61.383350, 189.459023, 58.749746, 221.777564, 44.465160, 241.135734, 31.399960, 241.221175
Type00, R, 245, 32.439386, 246.059885, 21.580989, 248.134217, 0.000000, 230.980107, 3.582938, 196.618107, 1.126937, 165.394346, 5.851995, 131.565469, 4.662243, 100.661225, 0.762171, 65.746247, 6.535886, 36.064885, 21.172023, 0.000000, 60.585594, 0.815501, 77.333319, 34.669227, 86.510376, 64.947664, 85.805625, 98.644843, 77.309941, 130.215588, 70.806743, 162.325893, 65.967023, 194.810972, 59.155327, 225.747257, 44.985222, 246.092262, 31.569265, 246.002715
Type00, R, 255, 32.662499, 257.351790, 20.000437, 259.121404, 0.608993, 239.188805, 2.378736, 203.872080, 3.140226, 171.484720, 9.222596, 137.024139, 4.963634, 102.868651, 0.000000, 67.056909, 6.576069, 35.252999, 24.298548, 0.000000, 66.264516, 3.080813, 81.408996, 38.350708, 90.983562, 71.024612, 87.792122, 106.091412, 75.998696, 137.824432, 68.758447, 171.350036, 65.672739, 204.801673, 62.581223, 237.818326, 45.114910, 257.892412, 31.828740, 257.088284
Type00, R, 265, 37.333816, 266.664200, 25.519332, 268.998130, 1.832152, 250.776652, 2.646392, 213.577643, 1.081236, 178.553791, 6.858377, 142.635912, 5.312312, 109.058611, 0.000000, 72.635541, 5.360828, 41.042851, 19.895589, 2.227411, 61.861692, 0.000000, 81.727365, 36.607574, 92.109077, 69.566734, 91.889726, 107.108965, 82.890720, 140.224954, 75.275892, 174.422387, 69.102215, 209.265172, 67.372883, 244.705985, 50.878753, 265.523506, 36.465802, 266.756329
Type00, R, 275, 38.740251, 277.200277, 26.172664, 279.805598, 1.880078, 260.256710, 1.356037, 222.997928, 2.484005, 186.667751, 8.885220, 149.735360, 3.552866, 114.079480, 0.000000, 76.030047, 6.444235, 42.757842, 21.028102, 3.075890, 65.278662, 0.000000, 85.263019, 38.163238, 95.577422, 71.886157, 95.700644, 110.644517, 86.903725, 145.993678, 77.839855, 181.264736, 72.779064, 217.486134, 67.763046, 253.755776, 53.286048, 276.652863, 37.462002, 277.538768
Type01, R, 230, 34.823916, 231.783636, 25.272741, 233.686928, 2.456746, 222.440932, 0.000000, 189.215268, 3.787126, 159.232101, 3.601551, 126.552958, 1.640091, 97.443495, 0.441287, 65.151942, 3.494635, 36.123292, 17.769483, 2.816969, 53.930815, 0.000000, 72.824383, 31.168232, 79.167119, 60.247973, 79.162984, 91.895075, 75.132583, 122.027895, 70.456791, 152.762868, 63.716081, 183.190551, 61.017123, 213.761558, 47.304834, 232.914616, 33.625346, 231.637859
Type01, R, 240, 35.676729, 242.171791, 25.162773, 243.937693, 2.039697, 228.932280, 3.913202, 194.730747, 0.000000, 163.894638, 2.518833, 130.971298, 1.979991, 99.782470, 0.093204, 67.237030, 3.274386, 36.551969, 19.722781, 3.116596, 57.312582, 0.000000, 77.751222, 32.115362, 82.269626, 63.341356, 80.756870, 95.479108, 75.694985, 127.022199, 70.772028, 159.448314, 64.726662, 191.181498, 63.419336, 224.026077, 48.825642, 243.005811, 34.584130, 241.962646
Type01, R, 250, 33.852152, 251.607275, 21.843270, 253.918520, 0.000000, 236.842129, 0.938031, 202.464197, 2.378277, 169.589030, 3.383694, 134.848536, 1.952133, 102.365297, 0.242366, 67.536930, 3.477390, 35.941920, 20.625107, 1.597731, 60.169456, 0.000000, 78.726030, 33.690489, 83.263873, 65.703754, 83.039759, 99.756037, 77.677243, 132.521638, 71.892874, 165.318155, 65.700395, 197.792641, 62.916126, 230.208565, 46.374386, 252.421145, 33.216731, 251.302109
Type01, R, 260, 32.472425, 262.539974, 19.569582, 263.895408, 0.000000, 244.143102, 2.716302, 207.807438, 1.956869, 174.130525, 6.102557, 139.205901, 3.759943, 105.232834, 0.493243, 69.843328, 5.591004, 37.899027, 20.836995, 0.000000, 63.438663, 3.676548, 78.921798, 39.613505, 89.166766, 72.847428, 87.162781, 107.987045, 78.071285, 141.092400, 73.294900, 176.315730, 66.065378, 209.341319, 63.926855, 244.744887, 46.068690, 264.452105, 30.869928, 261.773983
Type01, R, 290, 37.466305, 293.111319, 23.849627, 293.792605, 0.000000, 273.086978, 3.598036, 231.688445, 1.185684, 193.594038, 6.599124, 155.484448, 4.127549, 117.373027, 1.113111, 77.123670, 6.184637, 41.842646, 25.417156, 0.000000, 70.624192, 5.410030, 87.053198, 46.572975, 97.511301, 82.263688, 94.891406, 122.744505, 84.617206, 158.195704, 81.652006, 197.040753, 73.050575, 233.399563, 71.501389, 271.953231, 52.837404, 293.656493, 36.181207, 292.842647
