Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Area_Error,IoU,Dice,EMD
Type00,240,PCA_GPR,14.90023,13.92671,4.75843,0.73550,6.54850,1.63395,339.90830,0.96673,0.98309,13.48898
Type00,240,PCA_KRR,14.78196,13.78674,4.82419,0.74704,7.65250,1.70136,373.27565,0.96875,0.98413,13.35854
Type00,240,PCA_LINEAR,14.80756,13.78731,5.58501,1.08028,11.31392,2.54826,594.48809,0.94672,0.97263,13.40191
Type00,240,PCA_SVR,15.61116,14.75508,4.61918,0.85289,1.46713,1.14643,150.05911,0.95874,0.97893,14.31738
Type00,240,PURE_GPR,15.83481,14.92924,4.42966,0.84083,2.64153,1.22373,272.02424,0.96150,0.98037,14.46999
Type00,240,PURE_KRR,14.73316,13.73150,4.79398,0.75323,7.91732,1.70681,384.43606,0.96789,0.98368,13.30967
Type00,240,PURE_SVR,14.60121,13.58757,4.82242,0.75382,8.20230,1.61706,364.34362,0.96903,0.98427,13.17141
Type00,240,RATIO_CTRL,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
Type00,245,PCA_GPR,21.83769,21.36666,25.31997,4.64667,50.22623,4.17221,1453.42325,0.84451,0.91570,21.23452
Type00,245,PCA_KRR,14.25785,13.21854,6.11960,1.41965,12.55716,2.15324,722.46189,0.93880,0.96843,12.90160
Type00,245,PCA_LINEAR,14.67885,13.65086,6.13644,1.37202,9.39803,2.30961,694.12115,0.94134,0.96978,13.27713
Type00,245,PCA_SVR,14.49298,13.44691,5.86300,1.27856,9.68083,1.87492,617.44744,0.94835,0.97349,13.08962
Type00,245,PURE_GPR,14.23415,13.19676,5.76345,1.41568,10.98942,1.92915,682.02238,0.94594,0.97222,12.85628
Type00,245,PURE_KRR,14.23818,13.18611,5.90554,1.46176,12.73610,1.94323,746.10589,0.94009,0.96912,12.87355
Type00,245,PURE_SVR,14.21718,13.16324,5.90962,1.44358,12.67570,1.88537,733.48578,0.94015,0.96915,12.85066
Type00,245,RATIO_CTRL,2.46451,2.31760,2.85375,1.25062,2.32948,0.69572,4.75859,0.95042,0.97458,1.76956
Type00,255,PCA_GPR,17.92623,17.02728,15.67159,2.86751,18.42125,2.45026,1030.16404,0.89456,0.94435,16.78774
Type00,255,PCA_KRR,15.77973,14.63337,6.49085,1.73545,14.48032,2.02264,219.04029,0.92750,0.96239,14.26836
Type00,255,PCA_LINEAR,15.88256,14.75202,5.59869,1.70711,8.46558,1.28121,41.88912,0.93572,0.96679,14.38933
Type00,255,PCA_SVR,16.58673,15.56857,6.19514,1.80542,7.73262,1.40901,31.63332,0.92558,0.96135,15.17937
Type00,255,PURE_GPR,15.55539,14.38378,5.77689,1.76550,15.10058,1.44020,334.61293,0.93582,0.96685,14.05654
Type00,255,PURE_KRR,15.88579,14.71779,5.78545,1.74011,14.29263,1.32287,301.89866,0.92964,0.96354,14.36571
Type00,255,PURE_SVR,15.99025,14.82726,5.76382,1.74329,13.87798,1.33885,304.65502,0.93007,0.96377,14.46356
Type00,255,RATIO_CTRL,3.73979,3.09548,7.60006,2.44120,4.05059,2.59062,960.21028,0.90988,0.95282,3.09109
Type00,265,PCA_GPR,18.34276,17.34110,7.42967,1.96179,2.93563,2.19033,284.87630,0.92283,0.95987,16.87910
Type00,265,PCA_KRR,17.45214,16.17036,9.17476,2.59540,17.49343,4.30333,1045.05168,0.90410,0.94964,15.75451
Type00,265,PCA_LINEAR,16.85116,15.58110,7.82245,1.76245,14.53224,3.17231,718.87966,0.92838,0.96286,15.10793
Type00,265,PCA_SVR,18.42184,17.29410,9.00677,2.70064,10.07780,3.73672,791.24525,0.90080,0.94781,16.86388
Type00,265,PURE_GPR,17.30344,16.00880,8.18921,2.75044,18.14376,3.39151,1278.36489,0.90633,0.95086,15.65975
Type00,265,PURE_KRR,17.32830,16.00893,8.41346,2.81128,18.64012,3.55114,1314.14017,0.90452,0.94986,15.65208
Type00,265,PURE_SVR,17.23690,15.91392,8.47196,2.80337,19.24566,3.68406,1339.50189,0.90503,0.95015,15.55857
Type00,265,RATIO_CTRL,3.32421,3.21124,4.28803,1.49212,1.27401,1.48956,433.09433,0.94190,0.97008,1.88881
Type00,270,PCA_GPR,15.68643,14.55285,5.86041,1.48359,10.84310,1.45315,63.49338,0.93321,0.96545,14.16226
Type00,270,PCA_KRR,16.82069,15.84808,6.83131,1.72550,7.33342,2.18929,176.05231,0.92413,0.96057,15.43379
Type00,270,PCA_LINEAR,16.30304,15.22729,5.71425,1.45330,6.08439,1.05011,116.61485,0.93960,0.96886,14.79817
Type00,270,PCA_SVR,17.76773,16.89196,6.82135,1.86603,1.58854,1.84575,2.76296,0.92134,0.95906,16.49020
Type00,270,PURE_GPR,16.54853,15.55807,5.60191,2.02529,7.93692,1.32538,464.49860,0.92351,0.96024,15.16861
Type00,270,PURE_KRR,16.45263,15.40667,5.72030,2.02689,9.50601,1.58070,562.96016,0.92389,0.96044,15.00195
Type00,270,PURE_SVR,16.32865,15.25205,5.77417,2.02150,10.67630,1.74515,590.95480,0.92441,0.96072,14.84567
Type00,270,RATIO_CTRL,4.34787,3.85388,7.47286,2.85420,7.36043,4.09143,1390.74461,0.90105,0.94795,3.66612
Type00,275,PCA_GPR,15.32185,13.99169,7.74181,2.83850,26.52820,3.84497,1419.72948,0.90355,0.94933,13.63917
Type00,275,PCA_KRR,18.55094,17.33477,7.10189,2.57658,4.28839,2.86731,814.11212,0.90790,0.95173,16.86281
Type00,275,PCA_LINEAR,17.64552,16.42681,6.17205,2.02428,5.37367,2.03695,615.25582,0.92510,0.96109,15.93345
Type00,275,PCA_SVR,19.38393,18.20899,7.07690,2.67789,0.71453,2.61365,668.95779,0.90524,0.95026,17.74654
Type00,275,PURE_GPR,18.05508,16.90105,9.16249,2.63473,5.11217,1.96953,1173.14329,0.91662,0.95650,16.39729
Type00,275,PURE_KRR,17.98656,16.66872,9.32825,2.64575,6.94139,2.28279,1300.42721,0.91450,0.95534,16.11803
Type00,275,PURE_SVR,17.88900,16.51961,9.27497,2.62515,8.05919,2.43255,1319.82266,0.91529,0.95577,15.95495
Type00,275,RATIO_CTRL,3.78620,3.59375,3.88869,1.46230,8.58493,3.28598,784.58243,0.94769,0.97314,1.78927
Type01,230,PCA_GPR,27.58671,27.03349,26.95161,5.94344,72.92259,4.83645,2276.00398,0.81615,0.89877,26.81444
Type01,230,PCA_KRR,14.42878,13.50854,3.88695,0.71344,6.08511,0.99481,379.88694,0.96706,0.98325,13.09925
Type01,230,PCA_LINEAR,14.26248,13.29616,4.01085,0.90564,8.01526,1.32336,446.61072,0.96133,0.98028,12.92421
Type01,230,PCA_SVR,14.95374,14.13705,3.69060,0.74855,2.04304,0.61678,210.51044,0.96717,0.98331,13.70652
Type01,230,PURE_GPR,15.63206,14.82283,3.76353,0.84972,0.45577,0.49120,204.66696,0.96049,0.97985,14.38626
Type01,230,PURE_KRR,14.35269,13.42709,3.84066,0.71077,6.51678,0.97828,376.53097,0.96690,0.98317,13.01900
Type01,230,PURE_SVR,14.08992,13.13826,3.77789,0.70155,8.18288,1.07429,395.62127,0.96898,0.98424,12.73831
Type01,230,RATIO_CTRL,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
Type01,240,PCA_GPR,21.87469,21.49977,15.06239,3.26248,34.45722,2.67020,1187.05633,0.89217,0.94301,21.08418
Type01,240,PCA_KRR,14.80689,13.54419,6.56073,2.11096,15.15146,1.26871,556.57563,0.92089,0.95882,13.16632
Type01,240,PCA_LINEAR,14.91244,13.66130,6.39766,1.87748,14.25271,1.05928,479.23437,0.92848,0.96291,13.23462
Type01,240,PCA_SVR,14.39258,13.12678,7.16321,2.65919,19.36179,1.73936,812.58739,0.90293,0.94899,12.86163
Type01,240,PURE_GPR,14.92760,13.65970,6.19429,2.09849,14.06908,0.84741,433.02330,0.91904,0.95781,13.25487
Type01,240,PURE_KRR,14.78609,13.53329,6.48471,2.34701,14.74471,1.03874,518.02295,0.91085,0.95334,13.19372
Type01,240,PURE_SVR,15.24127,13.88503,6.52300,2.46952,15.45623,1.01884,501.19579,0.90513,0.95021,13.51328
Type01,240,RATIO_CTRL,4.30143,4.20119,3.48400,1.37809,5.36143,1.29770,219.84710,0.94363,0.97100,2.02465
Type01,250,PCA_GPR,17.07262,16.32691,5.75863,1.62557,4.82686,0.35953,87.65442,0.94144,0.96984,15.94592
Type01,250,PCA_KRR,14.89657,13.85225,5.88432,1.57057,11.90860,1.03794,628.23725,0.94037,0.96927,13.56537
Type01,250,PCA_LINEAR,14.85678,13.79613,5.94704,1.44820,11.53859,0.89214,656.86975,0.94459,0.97150,13.49124
Type01,250,PCA_SVR,15.63465,14.74716,5.33061,1.50542,5.42536,0.39679,307.63523,0.94309,0.97071,14.37058
Type01,250,PURE_GPR,14.57624,13.52448,5.65742,1.92507,12.21621,0.61519,584.09981,0.92902,0.96321,13.29283
Type01,250,PURE_KRR,14.67412,13.64861,5.40180,1.95302,11.49324,0.55625,501.08076,0.93283,0.96525,13.39807
Type01,250,PURE_SVR,14.64243,13.62099,5.21053,1.94556,11.84468,0.47485,442.97460,0.93160,0.96459,13.36226
Type01,250,RATIO_CTRL,2.28345,1.92040,3.58607,1.27423,1.88778,2.38967,309.81867,0.95092,0.97484,1.91680
Type01,260,PCA_GPR,13.96986,12.77014,9.76439,3.99950,30.91452,4.59579,1176.42705,0.86621,0.92831,12.57345
Type01,260,PCA_KRR,15.69341,14.56870,9.17630,3.17628,15.35877,3.38876,543.24321,0.89033,0.94198,14.28190
Type01,260,PCA_LINEAR,15.49100,14.41549,9.28879,3.19373,14.83197,3.36275,607.79885,0.88978,0.94168,14.13722
Type01,260,PCA_SVR,16.59994,15.60995,8.38717,2.89714,7.59105,2.58620,125.27000,0.89985,0.94729,15.27098
Type01,260,PURE_GPR,15.43146,14.30183,9.15307,3.63337,13.55649,2.73749,418.14026,0.86827,0.92949,14.07172
Type01,260,PURE_KRR,15.29736,14.10623,8.88884,3.58144,16.29026,2.86610,411.12449,0.87009,0.93053,13.85377
Type01,260,PURE_SVR,14.94540,13.75859,8.68826,3.52518,17.21765,2.93993,405.20916,0.87205,0.93165,13.51347
Type01,260,RATIO_CTRL,5.42874,5.15718,6.86507,2.42683,4.52501,0.88076,641.63232,0.91379,0.95496,3.32862
Type01,280,PCA_GPR,13.89965,12.21565,26.23696,6.94189,90.54726,7.43261,3286.51723,0.79555,0.88613,12.22234
Type01,280,PCA_KRR,16.42193,15.10638,6.31879,1.72118,10.79931,1.25236,396.07395,0.93837,0.96820,14.65489
Type01,280,PCA_LINEAR,16.73054,15.47901,6.39344,1.71810,9.30313,1.21560,319.95383,0.93829,0.96816,15.03680
Type01,280,PCA_SVR,15.83450,14.51045,6.37946,1.92355,15.31548,1.56392,551.32690,0.93289,0.96528,14.12902
Type01,280,PURE_GPR,14.93785,13.66851,7.46261,3.03861,16.62285,0.80133,315.76622,0.88783,0.94058,13.44435
Type01,280,PURE_KRR,16.23292,14.92310,7.19058,2.64323,9.21748,0.03897,86.91175,0.89598,0.94514,14.56252
Type01,280,PURE_SVR,16.36488,15.08813,7.09433,2.60630,8.24868,0.13652,59.34178,0.89849,0.94653,14.71486
Type01,280,RATIO_CTRL,4.21675,3.54604,8.97894,2.54949,2.05000,4.83479,1540.36989,0.91645,0.95641,3.22688
Type02,230,PCA_GPR,26.94162,26.45616,24.49593,5.83035,62.96872,3.75864,1880.00441,0.80361,0.89111,26.12074
Type02,230,PCA_KRR,14.66171,13.49251,4.62931,1.05398,8.49372,2.03336,422.85333,0.95394,0.97642,12.94587
Type02,230,PCA_LINEAR,14.85636,13.57049,5.13036,1.25930,10.49853,1.68035,542.72310,0.94276,0.97054,13.04683
