type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30
Type00, L, 240, 59.360782, 242.274314, 53.590031, 242.712703, 38.451428, 238.487277, 25.907218, 219.785048, 24.527304, 199.009806, 22.456945, 179.689921, 18.580829, 159.569006, 13.910077, 140.558570, 8.468844, 120.014878, 3.623013, 100.966161, 0.000000, 81.275150, 3.275144, 59.925559, 10.178619, 41.311656, 17.399947, 21.188298, 33.310133, 4.733564, 53.263267, 0.000000, 73.133414, 10.229088, 81.016778, 31.544000, 84.943154, 50.559443, 86.559968, 72.245555, 83.578579, 90.499743, 83.045374, 110.485050, 83.246540, 131.270887, 84.796555, 151.611129, 86.477146, 172.191491, 85.186606, 191.128188, 82.765376, 211.986118, 80.493502, 232.479668, 65.550156, 242.414883, 60.085556, 241.734280
Type00, L, 245, 60.166020, 247.120227, 52.824188, 248.038452, 38.824142, 240.861018, 29.011297, 221.268832, 23.263696, 200.824663, 19.791750, 180.328915, 15.681964, 160.982213, 11.000643, 140.298252, 6.826252, 121.257674, 1.912721, 100.006899, 0.000000, 79.915336, 3.119790, 59.375294, 9.391988, 39.445516, 18.202331, 19.098621, 34.689862, 3.434942, 55.996923, 0.000000, 75.797144, 12.779971, 80.930714, 33.939933, 86.116019, 53.432336, 86.838114, 74.270528, 85.322163, 94.005102, 82.941913, 115.451050, 82.905528, 135.808830, 86.877804, 155.798330, 86.221508, 176.384329, 85.367965, 196.781689, 85.547794, 217.554382, 81.356469, 238.729643, 66.969235, 247.929544, 60.128659, 246.560210
Type00, L, 255, 62.562471, 256.984983, 56.354624, 257.256815, 40.705283, 252.661304, 28.152887, 232.571713, 26.570871, 210.318874, 23.251396, 189.489304, 19.673383, 167.891137, 15.874236, 146.424635, 9.432933, 125.017996, 2.978591, 104.423435, 0.000000, 82.843232, 3.581240, 62.378436, 8.812028, 41.408275, 17.158842, 21.159525, 33.484345, 3.094211, 56.038579, 0.000000, 75.794038, 13.723487, 83.758447, 34.826952, 88.157993, 56.145081, 88.482663, 77.695530, 84.694403, 99.314878, 82.092928, 119.354801, 81.305939, 140.953712, 83.866883, 161.987951, 86.338247, 182.429657, 86.100749, 203.907251, 89.702160, 225.216852, 84.483831, 247.257298, 69.045301, 256.500090, 63.027095, 256.573889
Type00, L, 265, 68.866342, 267.739384, 62.304072, 268.921115, 45.063750, 266.974175, 30.653512, 247.010586, 26.398725, 224.125526, 22.163282, 202.133269, 18.609604, 180.107888, 14.066139, 158.124772, 8.000717, 135.849353, 2.884939, 113.905042, 0.000000, 91.806030, 1.712171, 69.568019, 7.981507, 48.213519, 17.106622, 27.331642, 30.593861, 7.526740, 54.203555, 0.000000, 75.915906, 11.504199, 85.834272, 34.103039, 90.252471, 55.372351, 93.966555, 78.146005, 89.800413, 99.655627, 86.055978, 122.372460, 87.073078, 144.703555, 89.493256, 166.395294, 90.119309, 188.699486, 92.383735, 209.872681, 92.882694, 232.764727, 89.492755, 255.042827, 76.882346, 266.959893, 68.642399, 267.475484
Type00, L, 270, 64.813251, 272.836476, 72.729887, 272.661443, 87.470400, 262.122386, 92.098506, 238.475355, 90.361046, 216.818199, 89.030901, 193.351053, 88.445630, 172.506322, 87.073859, 149.079039, 85.586358, 127.450657, 85.868108, 104.761918, 90.910691, 83.370099, 91.945132, 60.514267, 85.353395, 38.599918, 77.825468, 15.472649, 57.779902, 0.000000, 33.571371, 5.371271, 17.012590, 24.438695, 8.866240, 47.000680, 1.840149, 67.685581, 0.000000, 88.976045, 2.298826, 111.211498, 7.946223, 133.114826, 14.397052, 154.966447, 20.581500, 178.132731, 25.165944, 199.795994, 28.534731, 221.951011, 31.686648, 244.757574, 41.574170, 267.250336, 58.564324, 274.066902, 64.874005, 272.299863
Type00, L, 275, 62.899409, 277.214307, 55.955512, 277.634079, 39.266092, 269.663621, 29.265040, 247.499668, 26.279336, 225.288449, 23.366809, 202.095069, 18.916303, 180.317656, 13.560431, 157.115966, 8.299432, 135.116614, 3.419987, 112.351760, 0.000000, 89.568792, 2.719674, 66.381805, 11.019213, 44.505445, 19.503888, 21.476749, 37.187699, 3.417695, 62.269410, 0.000000, 82.354523, 17.033256, 89.190441, 39.882375, 93.880916, 61.996871, 95.407156, 85.201855, 92.303342, 108.253162, 89.455481, 130.850559, 92.710683, 153.603151, 94.989107, 177.081846, 94.342643, 199.663784, 94.803284, 222.399980, 94.587837, 245.246261, 86.601985, 269.402773, 70.828461, 277.950740, 63.262089, 276.663001
Type01, L, 230, 45.806439, 231.225424, 40.463461, 231.290381, 25.303189, 226.724327, 16.578682, 207.479534, 14.458746, 188.152948, 12.004675, 169.051798, 10.127355, 149.844562, 6.999537, 130.616681, 3.674450, 111.815356, 0.267172, 92.219303, 0.000000, 71.583394, 2.451237, 53.102831, 7.886565, 34.767474, 15.351452, 15.816254, 31.603194, 1.439487, 52.198169, 0.000000, 68.440398, 15.358483, 75.620752, 34.052981, 78.358110, 52.584213, 78.433656, 73.463121, 78.206665, 92.786565, 77.998652, 111.160798, 78.675019, 129.900674, 77.639443, 149.181718, 75.524235, 168.333822, 75.273778, 187.036425, 74.482533, 206.556979, 66.977558, 226.030529, 51.818400, 231.102681, 46.095471, 230.981554
Type01, L, 240, 53.570876, 241.936841, 47.892473, 241.995177, 32.299199, 239.278555, 20.538553, 220.486593, 18.470791, 199.740644, 16.645275, 180.244508, 13.444486, 159.636388, 9.196769, 139.970715, 5.187995, 119.944926, 1.791755, 100.127464, 0.000000, 79.094889, 0.933643, 58.781069, 5.628132, 39.386899, 13.388589, 19.894707, 28.880508, 3.281156, 49.356714, 0.000000, 68.638729, 12.028903, 78.118907, 31.615388, 80.997344, 52.229243, 80.463185, 70.934225, 80.065019, 92.208050, 80.171743, 112.484016, 80.422508, 133.391597, 80.712663, 153.068204, 80.705958, 173.407437, 80.213764, 193.297996, 79.472533, 213.743372, 73.772019, 233.898558, 60.265631, 242.164037, 53.429707, 241.395507
Type01, L, 250, 51.744816, 251.381221, 45.110013, 252.070548, 29.997932, 246.744386, 20.112486, 225.012847, 16.346344, 205.594792, 14.922714, 183.355021, 12.034598, 162.905831, 7.901558, 142.127442, 3.787985, 121.139192, 0.829978, 100.561670, 0.000000, 79.436530, 1.802216, 58.983136, 6.731171, 38.718087, 14.930365, 17.915119, 32.944519, 1.871684, 54.960057, 0.000000, 73.986227, 14.802883, 80.404820, 35.555223, 82.944397, 56.180059, 83.035281, 77.866490, 82.192720, 97.879780, 82.209148, 117.563399, 82.305628, 139.204962, 82.703817, 160.686169, 83.041931, 181.511960, 82.854368, 203.612586, 82.541726, 224.495282, 74.941940, 245.991829, 57.919666, 251.432635, 52.438593, 251.092133
Type01, L, 260, 60.099326, 262.941338, 52.800651, 263.356305, 37.092982, 258.700066, 25.724287, 237.192762, 22.335225, 215.578624, 18.556918, 193.939437, 14.621559, 173.357409, 9.976775, 151.113693, 5.563304, 130.022572, 2.129785, 109.113507, 0.000000, 87.514009, 2.467389, 66.056667, 10.401021, 44.937447, 18.202189, 24.293546, 33.897635, 5.549280, 56.632482, 0.000000, 76.043349, 13.505274, 83.991802, 35.949934, 88.317439, 57.132119, 88.212889, 78.943159, 86.165492, 99.673879, 83.822654, 122.001648, 86.026068, 143.849277, 87.798614, 164.673706, 88.210391, 187.324611, 87.875545, 209.800710, 87.876972, 231.736240, 83.085760, 253.874556, 66.783059, 262.993304, 60.332772, 262.296231
Type01, L, 280, 58.907481, 282.651090, 51.788521, 283.380689, 33.590378, 277.449511, 24.313275, 253.726891, 21.219866, 230.502998, 17.662297, 207.001708, 13.977569, 184.033713, 9.434623, 160.457006, 4.832229, 137.882862, 0.800273, 114.655211, 0.000000, 90.959045, 2.958714, 68.358721, 9.514719, 46.599463, 19.109598, 24.299997, 36.480178, 4.510231, 62.120327, 0.000000, 82.218545, 18.297183, 87.103158, 41.623451, 90.972099, 64.177477, 90.474682, 87.622578, 87.593610, 110.533114, 86.817249, 134.119152, 87.284086, 157.545409, 91.146217, 180.749938, 90.083650, 202.822996, 89.180307, 227.801092, 89.597450, 250.151133, 83.437649, 273.252956, 66.741669, 283.504627, 59.400992, 281.556962
Type01, L, 290, 60.214060, 292.554793, 53.045132, 293.477850, 34.382206, 286.693612, 25.075884, 262.254908, 22.770833, 238.684021, 17.990633, 214.788565, 15.762173, 190.716385, 11.749160, 167.285576, 6.318841, 143.083255, 1.541726, 118.733365, 0.000000, 94.487640, 2.619183, 70.005858, 9.912094, 46.577851, 20.449714, 23.697349, 38.522241, 4.196696, 64.380485, 0.000000, 84.890727, 18.740973, 89.551545, 43.577761, 95.031416, 66.077635, 93.747120, 92.280624, 91.595105, 114.234946, 91.968358, 139.073394, 92.883798, 164.014628, 94.010859, 186.856420, 94.569637, 211.951584, 93.832571, 234.923697, 91.429958, 258.747230, 85.986885, 283.569514, 68.090556, 293.103191, 60.722736, 291.876385
Type02, L, 230, 63.226656, 232.512008, 57.426220, 232.703054, 42.448303, 227.853852, 33.466244, 208.740898, 29.558905, 189.618190, 25.417366, 170.387374, 20.866222, 151.258829, 15.052851, 132.109268, 7.766155, 113.787428, 1.879584, 94.551428, 0.000000, 74.725851, 2.088937, 55.545884, 7.446695, 36.789316, 17.077862, 17.352801, 33.689205, 4.885697, 54.125305, 0.000000, 72.506923, 11.902508, 80.624486, 31.486331, 84.054917, 50.033184, 88.189641, 69.912744, 84.281316, 88.966519, 75.998599, 108.031050, 70.959998, 128.013611, 74.135178, 147.818158, 80.079774, 167.007640, 85.185815, 185.346334, 88.213416, 204.180973, 83.681900, 225.478463, 69.304812, 233.042996, 63.518242, 232.224966
Type02, L, 250, 65.496344, 252.592798, 72.552313, 253.144722, 87.427009, 244.011643, 89.285344, 221.851024, 85.829429, 201.886771, 78.143673, 181.532824, 73.337676, 161.310432, 69.954958, 140.160324, 74.631906, 119.301254, 85.294225, 98.847819, 89.824108, 78.211271, 86.294020, 57.046271, 82.467853, 36.866137, 77.129721, 15.190542, 57.254618, 0.000000, 34.943484, 4.884166, 17.591217, 20.893105, 8.080240, 41.485927, 1.291283, 61.639583, 0.000000, 82.688522, 4.139336, 102.373848, 9.667236, 122.387974, 15.939297, 143.237204, 22.373617, 164.444257, 27.494803, 184.178704, 31.384810, 206.640609, 34.785605, 225.907985, 42.756913, 247.593917, 58.923556, 254.119727, 65.210720, 252.025434
Type02, L, 260, 66.565170, 262.090071, 60.012606, 262.930038, 44.670012, 254.793551, 34.581853, 233.723051, 31.195478, 211.744267, 27.690784, 190.150349, 22.635930, 169.702235, 15.683629, 147.506801, 8.204228, 126.159121, 1.995173, 104.687009, 0.000000, 82.578950, 2.244819, 61.449999, 8.234376, 40.157117, 18.905207, 19.560501, 37.470255, 3.607514, 60.071155, 0.000000, 80.014400, 15.403248, 85.880129, 37.503867, 90.210584, 58.461179, 94.366659, 80.495329, 89.080320, 101.649955, 78.800912, 122.009521, 75.735866, 144.029966, 77.703583, 166.231039, 82.630779, 187.095510, 88.901892, 208.873321, 94.620349, 230.473164, 88.994952, 253.422708, 73.798909, 262.463549, 66.489009, 261.629540
Type02, L, 270, 69.223395, 272.443452, 61.729046, 273.132915, 45.057987, 265.805888, 35.452200, 243.411838, 32.427620, 220.798635, 26.782048, 198.210815, 21.017089, 175.965868, 15.641251, 154.073306, 8.758645, 132.235916, 2.823899, 110.800342, 0.000000, 87.719576, 2.522263, 65.065366, 9.616379, 42.972792, 21.590666, 21.618080, 39.640436, 4.058847, 64.349366, 0.000000, 84.028077, 16.992884, 90.131420, 40.254066, 93.511114, 61.512874, 98.136510, 85.257715, 91.567044, 107.570527, 79.873660, 129.138365, 78.188480, 151.784761, 81.265799, 174.651153, 86.699621, 196.596033, 93.454379, 217.892866, 97.804518, 240.482188, 93.247177, 264.398484, 75.500853, 273.032194, 69.777250, 271.793837
Type03, L, 230, 50.623436, 231.873719, 44.985300, 231.801918, 30.578960, 226.947614, 21.954608, 207.111244, 18.530178, 188.580718, 16.136476, 168.944847, 12.375034, 148.874607, 8.224739, 130.572190, 4.156517, 111.401201, 1.134494, 93.095852, 0.000000, 73.944449, 1.465414, 55.219282, 6.824510, 36.239922, 15.710190, 17.939774, 31.320250, 2.754406, 51.201207, 0.000000, 68.590955, 12.916793, 75.557849, 32.336141, 78.395411, 52.501596, 79.049811, 71.229681, 77.699323, 91.006314, 73.960759, 109.857410, 71.253379, 129.306133, 73.272816, 148.886855, 76.663485, 167.277521, 77.857573, 187.349251, 80.244687, 207.364006, 71.008600, 226.049085, 56.548124, 232.045938, 51.228775, 231.491917
Type03, L, 235, 53.598669, 237.165077, 47.571295, 237.526527, 33.036702, 234.015842, 22.178924, 215.079747, 18.780770, 195.971859, 16.489780, 175.899108, 13.823838, 156.568194, 9.278821, 136.795888, 4.935897, 117.906173, 1.289359, 97.858923, 0.000000, 78.390105, 1.549730, 58.217898, 5.716368, 38.793609, 14.732405, 20.363162, 28.983808, 4.226674, 49.953559, 0.000000, 67.801516, 13.279901, 76.178165, 32.492528, 79.194518, 51.754940, 80.280917, 71.665409, 79.352915, 91.650238, 76.887459, 111.190893, 75.220071, 131.393583, 75.486014, 151.777988, 77.023021, 172.133473, 79.029792, 190.735455, 81.027655, 210.266981, 74.093461, 229.655484, 60.328927, 237.708716, 53.651327, 236.661893
