type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30
Type00, R, 240, 30.945445, 241.331171, 24.599584, 241.865162, 9.333092, 236.160385, 2.496429, 215.839372, 0.721925, 196.325100, 0.109596, 175.835712, 0.812978, 156.047761, 2.898380, 134.584504, 5.179816, 115.385881, 2.281300, 95.218778, 0.000000, 74.666539, 0.435372, 54.785317, 3.631786, 34.505020, 11.037168, 16.115659, 27.624091, 0.000000, 49.369669, 1.642609, 65.003433, 16.696959, 74.441049, 35.584177, 80.103490, 55.126685, 82.270704, 74.595459, 81.654393, 95.117417, 76.978534, 114.484516, 72.199854, 133.721474, 68.418474, 153.050301, 64.082537, 173.375135, 60.600827, 192.681807, 57.817130, 213.437299, 51.087810, 232.579281, 37.936153, 241.667623, 31.204346, 240.627711
Type00, R, 245, 30.984542, 246.188380, 24.397955, 246.946789, 9.975749, 241.559969, 0.256427, 221.658566, 0.917403, 200.302019, 1.326456, 180.827269, 0.816072, 159.836455, 2.314870, 139.189696, 5.071737, 119.160559, 2.626117, 98.389213, 0.000000, 78.123073, 1.739880, 56.605089, 5.248540, 37.204108, 12.213419, 17.030159, 28.651677, 0.000000, 50.429688, 1.111848, 67.439300, 16.401923, 75.932401, 36.042736, 82.171371, 56.042115, 85.220754, 76.273866, 83.711273, 97.125657, 79.255140, 117.180547, 74.681337, 137.480321, 70.237623, 157.376062, 67.081062, 178.000886, 63.868292, 198.060714, 58.941230, 217.679550, 50.912900, 237.260973, 38.003351, 246.576704, 30.713522, 245.480730
Type00, R, 255, 30.714619, 255.973673, 24.407639, 256.629541, 8.127549, 249.965516, 0.812419, 227.955743, 0.000000, 206.545011, 1.528089, 185.578645, 2.794866, 164.720123, 5.773354, 143.174708, 6.542468, 121.602257, 3.025773, 99.903329, 0.080130, 77.376637, 0.216081, 56.375971, 6.166031, 35.467530, 13.163331, 14.279607, 32.653619, 0.000000, 55.196780, 0.736674, 72.413835, 18.195891, 80.160705, 38.439710, 86.203733, 59.740995, 89.069608, 81.667501, 85.404956, 102.617244, 79.359804, 123.564274, 73.107423, 143.740873, 68.213485, 164.799184, 65.913113, 186.004716, 63.881110, 206.869705, 61.260142, 227.667092, 52.534394, 247.861905, 37.814737, 256.526726, 31.150322, 255.209477
Type00, R, 265, 35.801915, 265.763190, 29.286230, 266.705484, 12.475143, 261.139546, 1.988574, 239.384174, 0.000000, 217.041614, 1.517990, 194.258260, 0.415050, 171.977141, 3.716128, 149.883753, 5.801878, 127.769639, 2.907354, 106.006915, 0.622860, 84.491196, 0.320707, 62.051393, 4.089688, 40.732209, 11.856786, 20.261480, 27.148407, 0.103506, 51.838057, 0.000000, 70.053772, 15.998252, 80.406003, 37.128553, 87.551612, 58.543355, 91.073443, 81.638077, 89.771427, 103.913021, 85.184132, 125.794721, 80.170407, 146.684368, 74.755032, 168.582927, 71.221212, 189.679037, 67.826341, 212.599450, 65.724919, 234.012392, 58.397382, 255.870674, 43.059388, 265.099107, 36.241690, 265.519537
Type00, R, 275, 37.570885, 276.157576, 30.198654, 276.718145, 13.650512, 271.358112, 1.273132, 248.623778, 0.268239, 225.598493, 0.956500, 203.478220, 2.496166, 178.882136, 6.278918, 157.443663, 5.701010, 133.298199, 2.585784, 111.045506, 0.000000, 87.810835, 0.943313, 64.759518, 5.427094, 42.458670, 13.105161, 20.859267, 29.129860, 0.665981, 55.045714, 0.000000, 73.829166, 16.150436, 84.127644, 38.398405, 91.486206, 60.627623, 94.803752, 83.586873, 93.834072, 107.581956, 89.562407, 130.037093, 83.908805, 152.564429, 78.082765, 174.833946, 74.494178, 196.988620, 71.252275, 220.411098, 67.404660, 242.805941, 60.005903, 265.390901, 45.613993, 276.315558, 37.202402, 275.514332
Type01, R, 230, 34.072259, 231.044283, 28.149205, 230.714102, 14.292671, 229.163016, 1.183482, 211.890807, 0.000000, 191.745037, 0.964814, 173.065438, 3.041092, 152.432006, 2.836223, 133.190838, 2.045594, 113.355212, 0.888157, 94.482076, 0.150117, 75.372615, 0.493400, 55.181234, 3.200016, 36.036602, 10.455492, 17.742406, 24.258348, 0.684063, 45.899624, 0.000000, 62.059490, 13.152233, 71.608457, 31.524462, 76.621598, 50.429135, 78.501139, 69.879464, 78.032607, 89.319839, 76.089577, 108.411828, 73.419225, 127.990782, 70.132050, 146.658168, 66.626150, 166.537298, 62.952839, 185.228527, 60.204281, 204.588251, 54.177802, 223.756840, 40.332272, 231.514454, 34.007069, 230.308001
Type01, R, 240, 35.443469, 241.127290, 28.801435, 241.562920, 14.315451, 237.267677, 2.786312, 218.170367, 2.743149, 197.641996, 2.089658, 177.457683, 0.000000, 157.674321, 1.580776, 137.031840, 2.272504, 117.206636, 1.339788, 96.785939, 0.540232, 77.390353, 0.572923, 56.733148, 3.848590, 36.835544, 11.399752, 17.621671, 27.454367, 1.163864, 49.068971, 0.000000, 66.886639, 13.327893, 76.551871, 32.787506, 80.748764, 52.756464, 81.601801, 73.100470, 80.173917, 92.810452, 77.503257, 112.932102, 74.432793, 133.017630, 70.980782, 153.413361, 67.689441, 173.365736, 64.702645, 193.761120, 62.541634, 214.034340, 56.818737, 233.881690, 41.834022, 241.700855, 35.689683, 240.461751
Type01, R, 250, 32.741264, 250.906726, 26.298268, 251.134832, 10.303044, 247.009147, 0.000000, 225.974634, 0.217510, 205.607051, 0.455249, 184.264428, 2.017727, 163.490525, 2.279589, 141.100043, 1.912162, 121.171166, 1.064924, 99.202634, 0.182816, 78.552951, 0.034250, 57.109898, 3.635393, 36.430487, 11.442011, 16.661766, 28.372803, 0.000000, 50.554809, 0.364755, 68.890684, 13.630927, 76.798491, 34.960388, 81.233639, 54.955447, 82.612762, 76.302088, 81.705947, 97.034771, 79.087415, 118.322455, 75.675137, 138.705322, 71.819855, 159.215571, 68.120627, 180.138308, 64.867481, 200.225708, 62.227745, 220.509651, 53.968200, 242.377624, 40.013362, 250.905923, 33.050567, 250.362539
Type01, R, 260, 31.221462, 261.813870, 24.071331, 262.384627, 8.484526, 255.403254, 0.921821, 233.332011, 0.283099, 211.440121, 2.083218, 189.326600, 1.548379, 168.167164, 3.490153, 146.142504, 4.917571, 124.663633, 2.443050, 102.592528, 0.000000, 81.351668, 1.424375, 59.502047, 5.188982, 38.289034, 11.679081, 17.106725, 29.454286, 0.000000, 53.247339, 2.338530, 69.791695, 19.740285, 78.327724, 40.457131, 85.002841, 61.982264, 87.631558, 84.315059, 85.766843, 105.399661, 80.503487, 126.691890, 76.517318, 148.402203, 72.355887, 169.953459, 69.186578, 191.492669, 65.184134, 212.705278, 62.255910, 234.151495, 55.357398, 256.234946, 37.240669, 262.135718, 31.935457, 261.516164
Type01, R, 290, 35.367759, 292.813911, 27.964429, 293.063030, 10.226756, 285.254151, 0.000000, 261.479709, 0.977742, 236.263985, 0.472143, 211.552789, 0.609057, 187.292510, 3.298235, 164.104355, 4.035271, 139.275815, 2.002993, 115.016175, 0.533575, 90.998962, 0.477571, 66.141540, 5.299125, 42.386154, 14.264870, 20.302484, 33.080024, 0.000000, 59.444077, 4.652786, 76.589191, 24.289682, 85.687350, 47.771690, 92.363740, 71.194210, 95.216572, 96.025262, 92.468803, 120.089993, 86.958257, 143.488755, 82.528879, 166.514884, 79.749597, 190.960063, 76.000746, 213.911078, 71.499850, 237.793701, 69.122654, 261.000511, 61.261855, 284.757406, 43.341983, 292.830087, 35.864806, 292.673612
