type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45, x46, y46, x47, y47, x48, y48, x49, y49, x50, y50, x51, y51, x52, y52, x53, y53, x54, y54, x55, y55, x56, y56, x57, y57, x58, y58, x59, y59, x60, y60
Type00, L, 240, 58.735804, 240.420103, 55.651265, 240.470150, 49.471608, 239.929618, 40.386095, 235.645785, 32.120582, 228.577956, 27.358048, 219.743543, 25.092065, 210.070159, 23.806650, 200.776786, 23.068272, 190.742691, 22.031244, 181.947935, 20.721377, 172.586461, 18.777648, 162.757769, 16.761157, 153.946900, 14.737531, 144.573023, 12.044432, 135.229425, 9.935843, 125.728687, 7.198790, 116.580280, 4.827437, 106.540354, 2.839348, 98.208237, 1.100359, 88.802269, 0.000000, 79.241253, 0.893941, 68.879145, 2.699998, 59.747348, 5.542717, 50.168816, 8.572873, 41.232076, 12.084292, 31.924913, 16.285591, 22.763381, 21.752468, 14.229442, 29.142411, 6.673123, 38.091048, 2.024443, 47.579997, 0.000000, 56.356287, 0.908357, 65.752750, 5.063485, 73.047603, 12.687134, 77.305921, 21.737053, 80.452104, 31.353202, 82.299824, 40.708166, 83.941524, 50.083847, 85.446560, 60.146470, 84.982042, 69.797925, 84.258851, 79.007662, 83.340934, 87.949316, 82.665758, 96.877572, 82.400514, 106.564842, 82.331131, 116.438405, 82.511830, 125.809082, 83.055214, 135.981344, 83.782139, 145.424626, 84.449876, 154.953263, 85.116078, 165.200107, 85.298393, 173.741840, 84.963215, 183.741438, 84.020798, 192.293370, 82.593309, 202.638648, 81.952198, 212.131284, 80.803898, 221.885897, 76.009222, 230.830615, 68.217826, 238.376971, 62.146298, 239.896328, 58.579148, 240.352378
Type00, L, 245, 59.392828, 245.422465, 55.938685, 245.333050, 49.205185, 244.514816, 40.237025, 239.011834, 34.116463, 230.376966, 29.621383, 221.257270, 26.122795, 212.146025, 23.600467, 202.233635, 21.490395, 192.284938, 19.659939, 182.727992, 18.026294, 173.678677, 15.925736, 164.093670, 13.885510, 154.578743, 11.831536, 145.070618, 9.585198, 135.586319, 7.546490, 126.282915, 5.477218, 116.948449, 3.358151, 107.309607, 1.337328, 96.845677, 0.073531, 87.881388, 0.000000, 77.907379, 0.653220, 68.229739, 2.700382, 58.652456, 4.836220, 49.280999, 8.269782, 39.495436, 11.813305, 30.028191, 16.816566, 20.926858, 22.512517, 12.313140, 30.767797, 5.288116, 39.826101, 0.990602, 49.493357, 0.000000, 59.209118, 1.459252, 68.780419, 6.487332, 74.702772, 15.278034, 78.254220, 24.373615, 80.854115, 33.683153, 83.118980, 43.416035, 84.935436, 52.768793, 85.658302, 62.752943, 85.871345, 72.064510, 85.307199, 81.655463, 84.608712, 91.678716, 83.494686, 100.687065, 82.677910, 111.581324, 82.135554, 120.904465, 82.518875, 130.787705, 83.434627, 140.234290, 85.021697, 149.624704, 85.861774, 159.619241, 85.640227, 168.816569, 85.229976, 178.987827, 84.908701, 188.451120, 84.792893, 198.111369, 84.539790, 208.159566, 84.068958, 217.976682, 82.244006, 227.712153, 77.595633, 236.967669, 69.223775, 244.096932, 62.739932, 244.816094, 59.107712, 245.766529
Type00, L, 255, 61.700955, 255.513477, 58.635057, 255.588878, 51.871441, 254.939267, 42.554369, 249.976431, 34.261133, 242.752385, 29.423432, 233.115860, 26.950511, 222.785948, 25.851243, 212.333548, 24.333422, 202.669148, 23.076699, 192.034046, 21.381571, 182.367618, 19.766577, 172.398412, 17.858882, 161.578276, 15.984722, 151.843997, 13.954025, 141.731023, 10.740420, 131.285984, 7.861954, 121.401853, 4.757158, 111.857882, 2.397019, 101.587424, 0.307426, 91.624093, 0.000000, 81.350264, 0.834309, 71.985035, 2.614551, 61.852920, 4.867117, 51.980161, 7.497090, 42.200804, 11.035819, 32.621537, 15.566459, 22.977342, 21.410610, 14.062026, 29.314858, 5.977277, 38.814872, 1.393981, 49.169623, 0.000000, 59.050197, 2.234503, 68.249567, 7.734481, 75.467820, 16.357919, 79.958888, 25.603827, 82.864389, 35.484553, 85.395687, 45.752620, 86.750670, 55.824923, 87.472253, 66.068998, 87.045487, 76.260934, 85.611541, 86.352898, 84.161489, 96.715641, 82.636812, 106.063045, 81.734636, 116.202271, 80.722917, 125.576754, 80.720159, 136.204614, 81.324559, 146.181568, 82.430924, 155.855528, 83.507980, 166.038927, 84.687214, 175.637707, 85.120451, 185.510277, 85.560033, 195.549473, 85.921903, 205.952889, 87.130427, 215.817409, 87.628604, 226.219612, 85.744238, 236.348814, 80.209580, 245.728712, 71.512543, 253.077977, 65.112431, 254.760506, 61.605054, 255.725011
Type00, L, 265, 68.274954, 264.694987, 65.070112, 265.513173, 57.675522, 265.307696, 47.418888, 262.390774, 38.160322, 255.544837, 32.091526, 245.673091, 29.054153, 235.814048, 26.210993, 224.606260, 24.299287, 214.353695, 22.468368, 203.691953, 20.689305, 193.325970, 18.745295, 183.094271, 16.970849, 172.245290, 14.842279, 162.275102, 12.302748, 151.544202, 9.618882, 140.961998, 6.843195, 130.841819, 4.437326, 119.841409, 2.292528, 109.991616, 0.682749, 99.180398, 0.000000, 88.770285, 0.100229, 78.387469, 1.482796, 67.776312, 3.770569, 57.559293, 6.724066, 47.682932, 10.876907, 37.290697, 15.254884, 27.934043, 20.782987, 18.008691, 27.463598, 9.290567, 36.554716, 2.766271, 47.378893, 0.000000, 57.896529, 0.262924, 68.080580, 4.618269, 76.201836, 13.284625, 81.408476, 22.731191, 85.171869, 33.055887, 87.687565, 43.420963, 89.859423, 54.037201, 91.388113, 64.090034, 92.234918, 74.959966, 91.401962, 85.606448, 89.519363, 95.572124, 87.304595, 106.002988, 86.286879, 117.377691, 85.866528, 127.242683, 86.381654, 138.371631, 87.133352, 148.431572, 88.186221, 158.980840, 89.026832, 169.199416, 89.370465, 179.892456, 89.894629, 190.014367, 91.085933, 200.322294, 91.611026, 210.670231, 92.006294, 221.174740, 91.593633, 232.091544, 90.064846, 242.894697, 86.224736, 252.145602, 78.948719, 261.835235, 71.548890, 263.762838, 68.621229, 265.081305
Type00, L, 270, 64.443552, 270.624633, 68.192868, 270.371763, 75.305102, 268.104771, 84.242157, 259.948340, 88.783280, 249.741570, 90.683777, 238.963891, 91.045166, 228.152628, 90.310696, 218.062763, 89.485108, 206.952403, 88.957801, 196.092476, 88.558134, 185.938575, 88.207990, 175.496008, 87.635053, 165.009233, 87.215569, 154.713947, 86.408105, 143.160254, 85.743071, 133.331861, 85.418821, 122.367416, 85.345731, 112.623626, 86.333843, 101.230754, 88.073098, 90.979022, 89.886283, 81.509920, 91.251239, 69.682171, 90.497441, 59.986956, 88.725512, 48.899133, 85.772363, 38.460876, 81.979388, 27.726883, 77.897064, 17.831297, 71.017572, 7.968421, 61.067703, 2.031832, 51.116735, 0.000000, 39.781767, 2.212705, 30.205014, 7.550612, 21.625003, 16.256980, 16.132809, 26.138124, 11.580634, 36.293337, 7.777005, 46.496241, 4.216553, 57.266493, 2.112464, 66.278914, 0.543656, 76.579370, 0.000000, 87.032013, 0.803868, 97.053628, 2.131007, 108.064825, 4.292474, 117.850684, 7.064149, 128.665611, 9.894360, 138.848067, 13.046973, 149.582153, 15.895004, 159.830577, 18.839988, 170.893691, 21.353689, 181.551195, 23.538660, 192.115764, 25.382087, 201.932766, 27.176290, 212.804933, 28.508740, 223.196208, 30.324106, 234.395760, 32.862655, 244.760153, 37.127344, 255.085154, 44.159986, 264.731419, 54.704737, 269.952540, 61.160614, 270.719797, 65.099735, 270.698006
Type00, L, 275, 62.224678, 275.616808, 58.545353, 275.461448, 51.708188, 274.071521, 41.526783, 267.843594, 34.211739, 258.170785, 30.119480, 248.277509, 27.548206, 237.524704, 25.997701, 227.276786, 24.478987, 215.854282, 23.148916, 205.604429, 21.354578, 194.449504, 19.342354, 184.601933, 16.901643, 173.457444, 14.446071, 162.727303, 11.961392, 151.943872, 9.524703, 141.802094, 6.971561, 130.688969, 4.687769, 120.245821, 2.626831, 109.411591, 0.873881, 98.752709, 0.000000, 87.807014, 0.460191, 76.749693, 2.520223, 65.997312, 5.397222, 55.716929, 9.268182, 44.733916, 13.437997, 34.314955, 18.129308, 23.885315, 24.196332, 14.147101, 33.178854, 5.825951, 43.293196, 1.540451, 54.659837, 0.000000, 65.370202, 2.783276, 75.168206, 9.603718, 81.711745, 19.712609, 85.697636, 29.772493, 88.965212, 40.223800, 91.022885, 50.975056, 92.746046, 61.795650, 94.015906, 72.330107, 93.963032, 83.530513, 93.116638, 94.419645, 91.723004, 105.255829, 90.297840, 116.013392, 89.543688, 126.855744, 89.906640, 137.463348, 91.288946, 148.302256, 92.721314, 159.384556, 93.582669, 170.399109, 93.836279, 181.183508, 93.840568, 192.078773, 93.785536, 202.790905, 93.657033, 213.347842, 94.075810, 224.478784, 93.783496, 234.960820, 92.330955, 246.416212, 88.929468, 257.140491, 83.074798, 267.398046, 73.312104, 274.288415, 65.893394, 275.242333, 62.921604, 275.662990
Type01, L, 230, 45.877175, 230.537684, 42.814837, 230.291326, 37.043820, 229.422063, 28.334757, 225.277592, 21.149902, 217.452619, 18.037467, 208.800273, 15.956208, 199.628856, 14.579838, 190.433177, 13.532204, 181.403718, 12.422873, 171.989272, 11.471335, 163.585414, 10.519593, 153.916294, 9.213543, 145.047491, 7.915718, 135.876230, 6.353542, 127.017178, 4.835106, 117.788071, 3.097301, 108.988327, 1.727458, 99.691295, 0.451394, 90.203031, 0.000000, 80.670232, 0.220778, 70.842855, 1.184119, 62.328694, 2.385497, 53.216087, 4.805134, 44.609043, 7.213974, 35.697684, 10.634882, 27.143547, 14.703987, 18.431180, 20.373244, 10.454950, 28.420402, 4.048502, 37.139465, 1.071363, 46.255896, 0.000000, 55.514262, 3.242031, 63.032035, 9.719264, 68.794126, 17.759935, 72.835938, 26.494921, 75.437105, 35.041820, 77.131538, 44.070405, 77.950284, 53.245016, 78.264818, 62.625201, 78.287141, 72.569734, 78.277688, 81.850937, 78.056053, 90.825976, 78.030154, 99.686212, 78.002035, 108.669002, 78.136691, 117.144484, 78.385255, 126.044327, 78.117728, 135.605848, 77.832060, 143.972286, 76.891183, 153.557940, 75.948750, 162.617790, 75.526625, 171.274291, 75.266840, 180.525067, 75.039338, 189.146067, 74.444116, 198.940104, 73.005662, 207.561952, 70.240090, 216.976279, 63.669279, 224.533714, 55.175040, 229.011073, 48.841201, 230.402983, 45.442422, 230.035829
Type01, L, 240, 53.325518, 240.507137, 50.439702, 240.503241, 44.051733, 240.026935, 34.792632, 236.426015, 26.852908, 229.924804, 22.095736, 220.809248, 19.887116, 211.328151, 18.453614, 201.904885, 17.339476, 191.853552, 16.818154, 183.154644, 15.311149, 173.157384, 14.071739, 163.760020, 12.045967, 154.115581, 10.228117, 144.676862, 8.266810, 135.396743, 6.380655, 125.885644, 4.475859, 116.514978, 2.930016, 106.920964, 1.589265, 97.464696, 0.457849, 87.782180, 0.000000, 77.591349, 0.202391, 68.084163, 0.913264, 58.615975, 2.683909, 49.092935, 4.827214, 39.963004, 8.303361, 30.844472, 12.551444, 21.733579, 17.937539, 13.259225, 25.229984, 5.855348, 34.485639, 1.511385, 43.607492, 0.000000, 52.853474, 1.774520, 61.984529, 6.835532, 69.262988, 14.222302, 74.271466, 23.166755, 77.442736, 32.139563, 79.471662, 42.301909, 80.259047, 51.548390, 80.404886, 60.562879, 80.183381, 70.037824, 79.885858, 79.137562, 79.795287, 90.418554, 79.820983, 98.194201, 79.900014, 109.924883, 79.805945, 118.217241, 80.134107, 128.744918, 80.145757, 138.277702, 80.366647, 147.126563, 80.322259, 157.741425, 80.358543, 165.674877, 80.222394, 176.858505, 80.112995, 185.388208, 79.752073, 195.034823, 79.206310, 204.851934, 78.269476, 214.479918, 75.732902, 223.782367, 70.720475, 232.389964, 62.975120, 239.015497, 56.075735, 239.877962, 53.491431, 240.846889
Type01, L, 250, 51.475924, 250.335511, 48.172810, 250.333373, 41.699594, 249.846230, 32.219160, 244.683291, 25.580434, 236.115584, 21.432324, 226.637529, 18.429748, 216.594553, 16.801018, 207.386475, 15.673148, 197.346680, 14.809420, 187.079837, 13.828812, 176.884430, 12.474304, 167.063361, 10.691017, 157.295687, 9.055735, 147.858255, 6.899047, 137.586603, 4.905010, 127.421874, 3.402903, 118.147080, 1.733906, 108.204984, 0.696199, 97.972587, 0.121961, 88.527091, 0.000000, 78.257532, 0.582201, 68.677198, 1.751904, 59.004646, 3.583847, 49.256229, 6.105889, 39.615306, 9.551511, 29.961042, 13.974700, 20.506430, 20.502293, 11.621139, 28.962952, 4.796475, 38.614028, 0.728967, 48.862849, 0.000000, 58.371105, 2.728170, 67.446393, 8.942761, 73.950339, 17.486537, 77.628061, 26.820680, 80.022024, 36.404001, 81.674403, 46.392448, 82.294102, 56.617097, 82.673018, 66.089173, 82.668154, 76.463191, 82.306655, 86.532517, 81.966985, 95.606130, 81.985738, 105.018975, 81.875433, 114.033327, 81.909520, 125.048027, 82.043669, 134.613240, 82.127520, 144.699541, 82.282731, 154.653494, 82.519567, 165.427784, 82.630229, 175.118343, 82.619084, 184.667081, 82.673530, 195.628990, 82.489665, 205.645843, 82.242774, 215.854797, 80.685563, 225.630924, 78.055183, 235.452333, 71.034745, 244.271428, 61.436210, 248.760232, 54.923261, 250.205551, 51.532681, 250.083953
Type01, L, 260, 59.779414, 260.471963, 55.748778, 260.486366, 48.949544, 259.879235, 39.553174, 255.037088, 31.360423, 246.948828, 27.315735, 236.998355, 24.131937, 226.763233, 22.259167, 216.298952, 20.660715, 206.409528, 18.757837, 195.977064, 17.170482, 186.008215, 14.962771, 176.240770, 13.225572, 166.052090, 10.875645, 155.697042, 8.851503, 145.303271, 6.610645, 135.224468, 4.884733, 125.564639, 3.007723, 115.071221, 1.634756, 105.585404, 0.612589, 95.054341, 0.000000, 85.548537, 0.728373, 74.003711, 2.397889, 65.346817, 5.365989, 54.493615, 9.025540, 44.522328, 12.678085, 34.946340, 17.184381, 25.257342, 22.664081, 15.795489, 30.349298, 7.495651, 39.755965, 1.924149, 50.061013, 0.000000, 59.869745, 1.086168, 69.324410, 6.347952, 76.053849, 15.666146, 80.441294, 25.215525, 83.620947, 35.082171, 86.126536, 46.023047, 87.251830, 55.886300, 87.663364, 65.896832, 87.577427, 76.274649, 86.688809, 86.431043, 85.733593, 96.181771, 84.666112, 106.606074, 83.944025, 116.758563, 84.269200, 127.993710, 84.963339, 137.693795, 86.258551, 147.671138, 86.770273, 158.076847, 87.405994, 168.154018, 87.483835, 178.738317, 87.679247, 189.626636, 87.455867, 200.217070, 87.476027, 210.513458, 87.149954, 221.402467, 86.563326, 231.442570, 84.531853, 241.931926, 79.049122, 251.255675, 69.894732, 258.574798, 62.833788, 259.649931, 59.800329, 260.692058
