Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Area_Error,IoU,Dice,EMD,,,,,,,,,,,,
Type00,240,PCA_GPR,4.44124,4.15237,0.51481,0.16148,0.47345,0.11486,46.45948,0.98934,0.99464,3.98461,,,,,,,,,,,,
Type00,240,PCA_KRR,4.39357,4.09851,0.48526,0.16197,0.25728,0.12286,47.83227,0.99006,0.99501,3.93483,,,,,,,,,,,,
Type00,240,PCA_LINEAR,4.3375,3.95528,1.29891,0.53033,2.87128,0.96975,235.02248,0.97701,0.98837,3.84165,,,,,,,,,,,,
Type00,240,PCA_SVR,5.12393,4.97703,2.15626,0.60138,5.86576,0.3609,150.87393,0.97152,0.98555,4.82755,,,,,,,,,,,,
Type00,240,PURE_GPR,5.07981,4.89142,1.83609,0.5326,4.63846,0.23831,93.01266,0.97559,0.98765,4.73176,,,,,,,,,,,,
Type00,240,RATIO_CTRL,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,
Type00,245,PCA_GPR,12.51281,12.03691,23.87624,5.01747,57.64981,6.35026,1744.86977,0.84198,0.91421,12.06005,,,,,,,,,,,,
Type00,245,PCA_KRR,3.78557,3.49194,2.93185,1.04146,5.52111,0.2913,427.50282,0.96233,0.9808,3.24189,,,,,,,,,,,,
Type00,245,PCA_LINEAR,4.30541,3.99775,3.01398,0.96017,2.83975,0.43544,425.102,0.96426,0.98181,3.74053,,,,,,,,,,,,
Type00,245,PCA_SVR,3.83614,3.51172,2.74611,1.05005,6.14902,0.30042,455.28125,0.96263,0.98096,3.21174,,,,,,,,,,,,
Type00,245,PURE_GPR,3.68327,3.4028,3.0033,1.03629,4.75741,0.12635,461.02382,0.96309,0.9812,3.12163,,,,,,,,,,,,
Type00,245,RATIO_CTRL,2.33772,2.19582,2.93567,0.98268,0.37432,0.93924,91.96175,0.96285,0.98107,1.55318,,,,,,,,,,,,
Type00,255,PCA_GPR,7.8924,7.60097,13.71239,3.01858,25.70696,4.71373,1379.09084,0.8979,0.9462,7.55737,,,,,,,,,,,,
Type00,255,PCA_KRR,4.62217,4.17969,5.42009,1.4847,6.49039,0.05412,202.5725,0.94362,0.97099,4.12582,,,,,,,,,,,,
Type00,255,PCA_LINEAR,5.16844,4.71567,5.14605,1.18659,2.12063,0.79122,367.76903,0.95834,0.97872,4.62298,,,,,,,,,,,,
Type00,255,PCA_SVR,4.41495,3.94831,5.29467,1.51014,8.65351,0.06032,136.94525,0.946,0.97225,3.8974,,,,,,,,,,,,
Type00,255,PURE_GPR,4.55973,4.06438,6.09016,1.53059,7.74019,0.39802,78.13807,0.94215,0.97021,4.0139,,,,,,,,,,,,
Type00,255,RATIO_CTRL,3.28308,2.63561,6.854,2.03004,1.72278,2.92561,908.01096,0.93013,0.9638,2.62465,,,,,,,,,,,,
Type00,265,PCA_GPR,7.81281,7.20967,4.45595,1.8618,7.58013,0.28746,76.94323,0.93313,0.96541,7.05072,,,,,,,,,,,,
Type00,265,PCA_KRR,7.32306,6.09512,5.01777,2.07538,6.10991,1.94004,631.67468,0.92943,0.96342,5.6995,,,,,,,,,,,,
Type00,265,PCA_LINEAR,6.45092,5.49366,3.65865,1.36378,4.0022,0.74671,356.35427,0.94818,0.9734,5.31411,,,,,,,,,,,,
Type00,265,PCA_SVR,7.33231,6.09658,5.14151,2.1114,6.77157,2.06451,670.65014,0.92858,0.96297,5.66988,,,,,,,,,,,,
Type00,265,PURE_GPR,7.27774,6.3668,8.87487,2.45369,4.0182,1.19201,972.03362,0.90475,0.94999,6.07294,,,,,,,,,,,,
Type00,265,RATIO_CTRL,3.52455,3.41482,4.55018,1.69835,0.40242,2.06502,405.47727,0.94155,0.96989,2.11419,,,,,,,,,,,,
Type00,270,PCA_GPR,4.99805,4.4901,5.24351,1.19224,3.49418,1.06434,282.56504,0.95805,0.97857,4.42877,,,,,,,,,,,,
Type00,270,PCA_KRR,5.86845,5.64136,4.82267,1.42865,0.34208,0.27194,169.82639,0.95059,0.97467,5.53009,,,,,,,,,,,,
Type00,270,PCA_LINEAR,5.56713,5.14356,5.48165,1.32294,1.26626,1.48995,462.35376,0.95427,0.9766,5.06433,,,,,,,,,,,,
Type00,270,PCA_SVR,6.06487,5.85093,4.66965,1.47265,0.88267,0.15434,145.56945,0.94831,0.97347,5.74272,,,,,,,,,,,,
Type00,270,PURE_GPR,6.49722,6.07982,7.72127,2.09425,4.4754,1.06927,181.08331,0.9156,0.95594,5.98928,,,,,,,,,,,,
Type00,270,RATIO_CTRL,4.34039,3.77085,7.28074,2.80332,6.0018,4.69489,1340.41331,0.91151,0.95371,3.67522,,,5.76249967,5.124009176,5.563148297,1.750404396,7.85188511,1.727820055,541.4617791,0.931890275,0.964488516,4.722241923
Type00,275,PCA_GPR,5.328,4.75621,6.555,1.98805,20.37419,1.33531,1116.12312,0.93132,0.96444,4.00062,,,,,,,,,,,,
Type00,275,PCA_KRR,7.26933,6.78999,4.15115,1.79897,1.15316,0.37385,556.20718,0.9348,0.9663,6.44075,,,,,,,,,,,,
Type00,275,PCA_LINEAR,6.59869,5.99496,2.77436,1.34706,0.7602,0.57056,313.19326,0.95077,0.97477,5.58911,,,,,,,,,,,,
Type00,275,PCA_SVR,7.80498,7.35015,4.29043,1.93137,3.96749,0.32309,508.11806,0.92984,0.96364,7.02961,,,,,,,,,,,,
Type00,275,PURE_GPR,8.04447,7.32645,10.31047,2.73421,6.46199,0.44788,956.23676,0.89313,0.94355,7.03722,,,,,,,,,,,,
Type00,275,RATIO_CTRL,4.12043,3.8082,4.51557,1.86975,5.66525,3.94085,684.71609,0.93737,0.96767,2.33648,,,,,,,,,,,,
Type01,230,PCA_GPR,19.42993,18.19397,27.1958,6.50133,85.17247,6.19863,2918.26779,0.78841,0.88169,18.16372,,,,,,,,,,,,
Type01,230,PCA_KRR,4.49195,4.18973,0.91743,0.26749,1.25655,0.05266,13.00856,0.98849,0.99421,4.0107,,,,,,,,,,,,
Type01,230,PCA_LINEAR,4.361,3.89466,1.13596,0.40509,0.61114,0.02168,161.30718,0.97953,0.98966,3.6432,,,,,,,,,,,,
Type01,230,PCA_SVR,4.87566,4.7,1.66565,0.39579,3.93808,0.20571,73.91961,0.98019,0.98999,4.51429,,,,,,,,,,,,
Type01,230,PURE_GPR,5.7856,5.56412,2.93702,0.7587,8.32067,0.71371,266.35555,0.96886,0.98418,5.36485,,,,,,,,,,,,
Type01,230,RATIO_CTRL,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,
Type01,240,PCA_GPR,13.05365,12.41361,16.8682,3.8204,50.16196,3.70697,1926.45441,0.8654,0.92784,12.20606,,,,,,,,,,,,
Type01,240,PCA_KRR,4.59987,3.8131,3.71867,1.63288,5.83513,0.01302,22.9031,0.93433,0.96605,3.64136,,,,,,,,,,,,
Type01,240,PCA_LINEAR,4.91327,4.03715,3.95777,1.64027,3.75139,0.07127,144.34829,0.94056,0.96937,3.77932,,,,,,,,,,,,
Type01,240,PCA_SVR,4.1555,3.5339,3.46376,1.7738,8.23039,0.19109,62.91941,0.92767,0.96248,3.51229,,,,,,,,,,,,
Type01,240,PURE_GPR,4.69443,3.90945,4.29656,1.9393,5.1011,0.07368,165.82081,0.92694,0.96208,3.55623,,,,,,,,,,,,
Type01,240,RATIO_CTRL,4.28634,4.16966,3.25648,1.3368,2.32777,1.23463,298.33896,0.95155,0.97517,1.99153,,,,,,,,,,,,
Type01,250,PCA_GPR,7.45834,7.39181,7.4785,2.02216,18.78066,1.55685,635.11472,0.92481,0.96094,7.32236,,,,,,,,,,,,
Type01,250,PCA_KRR,4.36334,3.93026,4.00429,1.51487,3.43286,0.01814,25.46368,0.9438,0.97109,3.915,,,,,,,,,,,,
Type01,250,PCA_LINEAR,4.33709,3.93982,3.66758,1.36572,3.98406,0.04668,128.22007,0.94692,0.97274,3.92128,,,,,,,,,,,,
Type01,250,PCA_SVR,4.80921,4.46938,4.00765,1.52161,0.29911,0.33764,150.65543,0.94327,0.97081,4.45252,,,,,,,,,,,,
Type01,250,PURE_GPR,4.33351,3.85335,5.61615,2.00759,3.8496,0.46123,86.13964,0.92278,0.95984,3.83372,,,,,,,,,,,,
Type01,250,RATIO_CTRL,2.10923,1.84068,3.0216,1.1752,0.58711,2.48127,367.56889,0.95851,0.97882,1.83247,,,,,,,,,,,,
Type01,260,PCA_GPR,5.963,5.08037,7.55244,3.09699,12.99372,3.30907,374.65786,0.88818,0.94078,4.26443,,,,,,,,,,,,
Type01,260,PCA_KRR,6.31738,5.27321,8.89342,3.11482,2.4958,2.74572,191.76518,0.89814,0.94634,4.94866,,,,,,,,,,,,
Type01,260,PCA_LINEAR,6.12347,5.18966,7.40046,2.89499,4.77892,2.72992,96.18313,0.8932,0.94359,4.72331,,,,,,,,,,,,
Type01,260,PCA_SVR,6.45651,5.47971,8.53297,3.09013,7.63154,3.03137,277.7104,0.8829,0.93781,4.58234,,,,,,,,,,,,
Type01,260,PURE_GPR,6.84872,5.99636,9.06285,3.71837,0.31849,0.93317,332.54152,0.87353,0.9325,5.58079,,,,,,,,,,,,
Type01,260,RATIO_CTRL,5.17634,4.93624,6.18152,2.07389,0.5357,1.07052,767.90431,0.93105,0.96429,2.88334,,,,,,,,,,,,
Type01,280,PCA_GPR,12.59587,11.16108,24.06424,5.86746,74.9696,6.35659,2555.3663,0.81705,0.89932,11.192,,,,,,,,,,,,
Type01,280,PCA_KRR,5.24398,4.63987,5.65419,2.02761,9.89219,1.19311,708.0985,0.89542,0.94483,4.56044,,,,,,,,,,,,
Type01,280,PCA_LINEAR,5.3945,4.90156,5.55745,2.31174,4.59532,1.0761,101.32769,0.90608,0.95073,4.88388,,,,,,,,,,,,
Type01,280,PCA_SVR,5.36281,4.5434,5.67876,2.09021,13.52241,1.55777,971.78286,0.88362,0.93821,4.13947,,,,,,,,,,,,
Type01,280,PURE_GPR,5.61931,4.97326,8.7484,3.27035,10.18838,1.94729,269.51341,0.89703,0.94572,4.85385,,,,,,,,,,,,
Type01,280,RATIO_CTRL,4.12028,3.51563,8.39659,2.49859,4.40648,4.77444,1578.85778,0.92731,0.96229,3.15326,,,,,,,,,,,,
Type02,230,PCA_GPR,7.90468,7.85857,7.59404,1.7789,22.03617,1.79354,606.48082,0.9269,0.96206,7.69734,,,,,,,,,,,,
