Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
Type00,240,PCA_GPR,4.44124,4.15237,0.51481,0.16148,0.47345,0.11486,0.46306,46.45948,0.98934,0.99464,3.98461
Type00,240,PCA_KRR,4.39357,4.09851,0.48526,0.16197,0.25728,0.12286,0.39456,47.83227,0.99006,0.99501,3.93483
Type00,240,PCA_LINEAR,4.33750,3.95528,1.29891,0.53033,2.87128,0.96975,0.20949,235.02248,0.97701,0.98837,3.84165
Type00,240,PCA_SVR,5.12393,4.97703,2.15626,0.60138,5.86576,0.36090,2.15626,150.87393,0.97152,0.98555,4.82755
Type00,240,PURE_GPR,5.07981,4.89142,1.83609,0.53260,4.63846,0.23831,1.83609,93.01266,0.97559,0.98765,4.73176
Type00,240,PURE_KRR,4.36194,4.05886,0.50328,0.14378,0.04313,0.13488,0.29585,63.20303,0.99035,0.99515,3.89500
Type00,240,PURE_SVR,4.25397,3.92553,0.50164,0.14017,0.53868,0.24616,0.04862,57.89449,0.99198,0.99598,3.77124
Type00,240,RATIO_CTRL,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
Type00,245,PCA_GPR,12.51281,12.03691,23.87624,5.01747,57.64981,6.35026,23.87624,1744.86977,0.84198,0.91421,12.06005
Type00,245,PCA_KRR,3.78557,3.49194,2.93185,1.04146,5.52111,0.29130,1.23691,427.50282,0.96233,0.98080,3.24189
Type00,245,PCA_LINEAR,4.30541,3.99775,3.01398,0.96017,2.83975,0.43544,0.18098,425.10200,0.96426,0.98181,3.74053
Type00,245,PCA_SVR,3.83614,3.51172,2.74611,1.05005,6.14902,0.30042,1.46151,455.28125,0.96263,0.98096,3.21174
Type00,245,PURE_GPR,3.68327,3.40280,3.00330,1.03629,4.75741,0.12635,1.01493,461.02382,0.96309,0.98120,3.12163
Type00,245,PURE_KRR,3.82548,3.52248,3.00809,1.08326,5.66634,0.10817,1.32682,479.95110,0.96147,0.98035,3.26417
Type00,245,PURE_SVR,3.79595,3.49803,3.02303,1.07557,5.43474,0.12700,1.30848,453.01619,0.96222,0.98075,3.24258
Type00,245,RATIO_CTRL,2.33772,2.19582,2.93567,0.98268,0.37432,0.93924,0.01918,91.96175,0.96285,0.98107,1.55318
Type00,255,PCA_GPR,7.89240,7.60097,13.71239,3.01858,25.70696,4.71373,13.71239,1379.09084,0.89790,0.94620,7.55737
Type00,255,PCA_KRR,4.62217,4.17969,5.42009,1.48470,6.49039,0.05412,1.37386,202.57250,0.94362,0.97099,4.12582
Type00,255,PCA_LINEAR,5.16844,4.71567,5.14605,1.18659,2.12063,0.79122,0.14274,367.76903,0.95834,0.97872,4.62298
Type00,255,PCA_SVR,4.41495,3.94831,5.29467,1.51014,8.65351,0.06032,2.08382,136.94525,0.94600,0.97225,3.89740
Type00,255,PURE_GPR,4.55973,4.06438,6.09016,1.53059,7.74019,0.39802,1.88987,78.13807,0.94215,0.97021,4.01390
Type00,255,PURE_KRR,4.82791,4.33496,6.54689,1.56639,5.15509,0.64732,1.24802,53.47661,0.94307,0.97070,4.28278
Type00,255,PURE_SVR,4.93407,4.45019,6.69244,1.56381,4.24614,0.67569,0.93952,80.48066,0.94173,0.96999,4.39652
Type00,255,RATIO_CTRL,3.28308,2.63561,6.85400,2.03004,1.72278,2.92561,0.08258,908.01096,0.93013,0.96380,2.62465
Type00,265,PCA_GPR,7.81281,7.20967,4.45595,1.86180,7.58013,0.28746,4.01184,76.94323,0.93313,0.96541,7.05072
Type00,265,PCA_KRR,7.32306,6.09512,5.01777,2.07538,6.10991,1.94004,0.25795,631.67468,0.92943,0.96342,5.69950
Type00,265,PCA_LINEAR,6.45092,5.49366,3.65865,1.36378,4.00220,0.74671,0.38959,356.35427,0.94818,0.97340,5.31411
Type00,265,PCA_SVR,7.33231,6.09658,5.14151,2.11140,6.77157,2.06451,0.08187,670.65014,0.92858,0.96297,5.66988
Type00,265,PURE_GPR,7.27774,6.36680,8.87487,2.45369,4.01820,1.19201,0.23324,972.03362,0.90475,0.94999,6.07294
Type00,265,PURE_KRR,7.39887,6.36834,9.09659,2.51354,4.50630,1.40261,0.02998,989.26670,0.90401,0.94959,5.98787
Type00,265,PURE_SVR,7.37322,6.33523,9.17280,2.50177,5.33725,1.64097,0.13538,1046.86581,0.90351,0.94931,5.93843
Type00,265,RATIO_CTRL,3.52455,3.41482,4.55018,1.69835,0.40242,2.06502,0.34399,405.47727,0.94155,0.96989,2.11419
Type00,270,PCA_GPR,4.99805,4.49010,5.24351,1.19224,3.49418,1.06434,1.25453,282.56504,0.95805,0.97857,4.42877
Type00,270,PCA_KRR,5.86845,5.64136,4.82267,1.42865,0.34208,0.27194,0.54840,169.82639,0.95059,0.97467,5.53009
Type00,270,PCA_LINEAR,5.56713,5.14356,5.48165,1.32294,1.26626,1.48995,0.23785,462.35376,0.95427,0.97660,5.06433
Type00,270,PCA_SVR,6.06487,5.85093,4.66965,1.47265,0.88267,0.15434,0.81092,145.56945,0.94831,0.97347,5.74272
Type00,270,PURE_GPR,6.49722,6.07982,7.72127,2.09425,4.47540,1.06927,0.74538,181.08331,0.91560,0.95594,5.98928
Type00,270,PURE_KRR,6.19761,5.78370,7.29975,1.94185,1.57200,0.60661,0.01333,319.15188,0.92234,0.95960,5.65473
Type00,270,PURE_SVR,6.03611,5.59103,7.24494,1.85121,0.27063,0.23689,0.46572,416.34017,0.92421,0.96061,5.45769
Type00,270,RATIO_CTRL,4.34039,3.77085,7.28074,2.80332,6.00180,4.69489,0.14367,1340.41331,0.91151,0.95371,3.67522
Type00,275,PCA_GPR,5.32800,4.75621,6.55500,1.98805,20.37419,1.33531,6.13809,1116.12312,0.93132,0.96444,4.00062
Type00,275,PCA_KRR,7.26933,6.78999,4.15115,1.79897,1.15316,0.37385,1.11091,556.20718,0.93480,0.96630,6.44075
Type00,275,PCA_LINEAR,6.59869,5.99496,2.77436,1.34706,0.76020,0.57056,0.45819,313.19326,0.95077,0.97477,5.58911
Type00,275,PCA_SVR,7.80498,7.35015,4.29043,1.93137,3.96749,0.32309,2.08265,508.11806,0.92984,0.96364,7.02961
Type00,275,PURE_GPR,8.04447,7.32645,10.31047,2.73421,6.46199,0.44788,1.31576,956.23676,0.89313,0.94355,7.03722
Type00,275,PURE_KRR,7.84653,7.00409,10.53503,2.53895,2.55195,0.12373,0.27771,1165.20820,0.89579,0.94503,6.64093
Type00,275,PURE_SVR,7.70433,6.80103,10.56513,2.45751,0.43876,0.52271,0.26567,1271.34792,0.89650,0.94542,6.41555
Type00,275,RATIO_CTRL,4.12043,3.80820,4.51557,1.86975,5.66525,3.94085,0.30309,684.71609,0.93737,0.96767,2.33648
Type01,230,PCA_GPR,19.42993,18.19397,27.19580,6.50133,85.17247,6.19863,27.19580,2918.26779,0.78841,0.88169,18.16372
