CTRL_Count,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,IoU,Dice,,,,
10,PCA_KRR,32.24462,29.16741,15.39486,4.33284,23.47083,3.11512,0.83692,0.91084,,,,
20,PCA_KRR,16.31461,15.22818,6.02308,1.705,10.31601,1.59978,0.93573,0.96669,,,,
30,PCA_KRR,11.19429,10.27012,3.95353,1.36698,5.87896,0.9777,0.94086,0.9694,,,,"여기서 Area_Error랑 EMD는 사용X, PCA_GPR도 사용 X . 논문에 이유쓰기"
40,PCA_KRR,8.79929,8.01548,3.75762,1.27383,4.61349,0.87132,0.94536,0.97176,,,,
50,PCA_KRR,7.55248,6.83974,3.82948,1.2547,4.81517,0.86172,0.94578,0.97194,,,,
60,PCA_KRR,6.61517,5.97117,3.81822,1.25464,4.58122,0.87616,0.94675,0.97247,,,,
70,PCA_KRR,5.85322,5.27396,3.81422,1.25243,4.51211,0.88717,0.94751,0.97287,,,,
10,PCA_LINEAR,31.9359,28.93828,15.51651,4.52498,25.66568,3.28752,0.83111,0.90737,,,,
20,PCA_LINEAR,16.39203,15.32288,6.13541,1.66151,10.84041,1.49466,0.93698,0.96738,,,,
30,PCA_LINEAR,11.13385,10.25825,3.81414,1.30211,5.70261,0.90219,0.94343,0.97079,,,,
40,PCA_LINEAR,8.71381,7.97967,3.69767,1.22081,4.42534,0.85226,0.94716,0.97275,,,,
50,PCA_LINEAR,7.4247,6.735,3.72838,1.20082,4.40793,0.88556,0.94808,0.97321,,,,
60,PCA_LINEAR,6.51722,5.8921,3.75663,1.20529,4.24806,0.90957,0.94904,0.97372,,,,
70,PCA_LINEAR,5.77272,5.20071,3.76161,1.20335,4.16634,0.92428,0.94972,0.97408,,,,
10,PCA_SVR,32.73918,29.60938,15.45035,4.30097,27.41558,3.03554,0.83753,0.91118,,,,
20,PCA_SVR,16.41746,15.34134,6.39769,1.83094,10.20751,1.66084,0.93183,0.96453,,,,
30,PCA_SVR,11.33709,10.44775,4.43055,1.56662,6.24567,1.06848,0.9345,0.9659,,,,
40,PCA_SVR,8.85461,8.0886,4.31348,1.49699,6.0849,1.0576,0.93803,0.96774,,,,
50,PCA_SVR,7.67064,6.99763,4.38127,1.47903,6.85328,1.11219,0.93712,0.96717,,,,
60,PCA_SVR,6.74748,6.13909,4.33109,1.46612,6.47937,1.14104,0.93856,0.96794,,,,
70,PCA_SVR,6.01589,5.47272,4.33592,1.48267,6.26606,1.1712,0.9388,0.96807,,,,
10,PURE_GPR,32.03639,28.99078,15.40525,4.45695,29.01624,3.2889,0.82426,0.90331,,,,
20,PURE_GPR,16.47295,15.39497,6.2436,1.88606,10.66077,1.54788,0.9217,0.95908,,,,
30,PURE_GPR,11.30353,10.36707,4.898,1.5776,6.84998,0.97731,0.92993,0.96349,,,,
40,PURE_GPR,9.00479,8.20095,4.89659,1.5206,6.34871,1.00289,0.93715,0.96736,,,,
50,PURE_GPR,7.80009,7.06999,5.00014,1.53729,6.45753,1.01356,0.9375,0.96753,,,,
60,PURE_GPR,6.81631,6.14798,5.01068,1.54881,6.06914,1.07351,0.93438,0.96587,,,,
70,PURE_GPR,6.13183,5.53314,5.07116,1.55788,6.19689,1.12578,0.93275,0.965,,,,
10,PURE_KRR,31.98626,28.89566,15.1911,4.30907,25.1006,3.10026,0.83161,0.90771,,,,
20,PURE_KRR,16.24753,15.14577,6.08565,1.81537,10.56366,1.59657,0.92551,0.96115,,,,
30,PURE_KRR,11.05486,10.12748,4.54422,1.5442,5.99979,1.04216,0.93206,0.96459,,,,
40,PURE_KRR,8.77527,7.97834,4.49986,1.47191,4.73957,0.97942,0.93966,0.96865,,,,
50,PURE_KRR,7.53897,6.81015,4.62066,1.46311,4.77015,1.00448,0.93963,0.96858,,,,
60,PURE_KRR,6.55057,5.88734,4.63388,1.48,4.36339,1.04585,0.93619,0.96676,,,,
10,PURE_SVR,31.67379,28.61028,15.17398,4.34158,29.96501,3.17272,0.83206,0.90804,,,,
20,PURE_SVR,16.48978,15.39737,6.31574,1.85991,11.851,1.69395,0.92321,0.95987,,,,
30,PURE_SVR,11.18503,10.24136,4.60893,1.53181,6.53171,1.05272,0.9328,0.96499,,,,
40,PURE_SVR,8.95393,8.14911,4.58204,1.46368,4.95847,1.01178,0.93999,0.96883,,,,
50,PURE_SVR,7.69939,6.97928,4.71146,1.45608,5.08509,1.02959,0.93964,0.96857,,,,
60,PURE_SVR,6.64783,5.98289,4.64727,1.46383,4.55371,1.06091,0.93703,0.96719,,,,
10,RATIO_CTRL,27.94721067,25.26724529,14.63719392,4.227365625,26.27870713,3.449096542,0.84131625,0.913220375,,,,
20,RATIO_CTRL,14.32790058,13.28850063,6.832656042,2.110748625,12.91329567,2.239883833,0.92071875,0.958470792,,,,
30,RATIO_CTRL,10.20031058,9.282870083,5.670545708,1.892644917,9.166060667,1.643446208,0.923265083,0.959838,,,,
40,RATIO_CTRL,8.270254708,7.454888875,5.617955583,1.816481792,8.212970833,1.593460333,0.929226667,0.96304375,,,,
50,RATIO_CTRL,7.328512333,6.560002917,5.718546292,1.800160583,8.490140333,1.610566833,0.929543292,0.9631795,,,,
60,RATIO_CTRL,6.497130917,5.780437833,5.527488375,1.763278125,7.530721875,1.592975,0.929501875,0.96320975,,,,
70,RATIO_CTRL,5.76249967,5.124009176,5.563148297,1.750404396,7.85188511,1.727820055,0.931890275,0.964488516,,,,
