type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10
Type00, R, 240, 41.431643, 238.781082, 10.400547, 236.455872, 8.759822, 165.883356, 17.802545, 109.173937, 0.000000, 0.000000, 95.507980, 1.738626, 93.008583, 108.762178, 70.511701, 162.857415, 69.779381, 232.563855, 41.961073, 238.791691
Type00, R, 245, 40.193938, 242.905323, 7.113598, 241.695120, 8.140291, 168.980230, 15.494651, 112.745601, 0.000000, 0.281414, 95.449779, 0.000000, 93.731665, 110.598238, 71.765871, 167.438093, 69.494158, 236.305234, 39.172089, 242.860044
Type00, R, 255, 41.421623, 256.669970, 4.937945, 251.915377, 12.035442, 178.218516, 17.010126, 118.249807, 0.000000, 0.000000, 104.136716, 5.815202, 95.159817, 120.395503, 68.461110, 178.027555, 75.131137, 251.140192, 38.822684, 255.943742
Type00, R, 265, 49.068925, 265.675487, 12.303785, 265.246111, 10.003095, 185.650415, 21.529238, 123.966552, 0.000000, 6.702534, 102.808496, 0.000000, 105.202510, 123.507528, 76.859604, 180.851842, 81.412437, 258.816150, 47.866572, 265.089814
Type00, R, 275, 50.750955, 276.191856, 9.261049, 274.830171, 11.913699, 194.651221, 20.134483, 129.388583, 0.000000, 7.111057, 106.362276, 0.000000, 108.196657, 127.372613, 79.943265, 188.516135, 81.953912, 267.924991, 48.968839, 276.230482
Type01, R, 230, 46.185413, 230.365030, 9.365186, 234.750782, 10.053831, 165.645472, 15.427142, 110.540602, 0.000000, 6.750594, 90.283614, 0.000000, 89.507256, 106.301829, 74.824942, 159.347372, 70.852437, 226.473870, 44.796110, 231.595378
Type01, R, 240, 45.795721, 241.062192, 13.271117, 241.212150, 8.387113, 170.352581, 15.690169, 113.615783, 0.000000, 6.169384, 96.988701, 0.000000, 90.789262, 110.305165, 75.144091, 165.814666, 74.358015, 236.953968, 46.122791, 241.301713
Type01, R, 250, 43.876663, 250.020218, 7.061977, 249.408856, 10.264628, 176.359810, 14.848988, 115.660798, 0.000000, 3.214069, 98.451605, 0.000000, 91.585934, 114.186738, 76.711461, 171.809907, 72.453572, 242.505549, 43.462138, 250.744074
Type01, R, 260, 41.138921, 259.694078, 6.773635, 256.150622, 10.594138, 178.513803, 16.480549, 119.540620, 0.000000, 0.000000, 100.212646, 4.163533, 96.348231, 121.468617, 73.890090, 180.851927, 74.885110, 256.541035, 40.318370, 259.736548
Type01, R, 290, 45.890628, 290.786216, 6.942362, 287.633065, 9.654465, 199.718411, 16.288886, 134.935848, 0.000000, 0.000000, 110.015893, 8.536743, 102.210305, 138.131607, 81.452584, 203.491512, 81.511723, 285.715535, 45.664923, 291.066149
