Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,IoU,Dice,,,,,,,,,,,
Type00,240,PCA_GPR,46.37614,44.23103,26.32346,9.52495,69.64081,6.68018,0.73075,0.84443,,,,,,,,,,,
Type00,240,PCA_KRR,37.56852,34.77453,14.78107,5.6528,23.54156,3.33756,0.81583,0.89857,,,,,,,,,,,
Type00,240,PCA_LINEAR,37.62774,34.92617,14.2177,5.33125,23.16849,2.67908,0.82355,0.90324,,,,,,,,,,,
Type00,240,PCA_SVR,36.86996,33.89275,14.80327,5.58851,20.28076,3.55059,0.81414,0.89755,,,,,,,,,,,
Type00,240,PURE_GPR,39.37174,36.75319,13.8898,5.91891,26.78124,3.66853,0.77781,0.87502,,,,,,,,,,,
Type00,240,PURE_KRR,38.07771,35.29872,14.46733,5.80272,23.10473,3.49347,0.79875,0.88812,,,,,,,,,,,
Type00,240,PURE_SVR,38.27232,35.43611,14.19256,5.53133,22.36095,3.60654,0.80487,0.89189,,,,,,,,,,,
Type00,240,RATIO_CTRL,0,0,0,0,0,0,1,1,,,,,,,,,,,
Type00,245,PCA_GPR,44.72522,42.3895,21.45505,8.90889,53.55418,6.17216,0.74563,0.85428,,,,,,,,,,,
Type00,245,PCA_KRR,38.93404,36.05235,17.78351,6.53054,23.80423,4.52269,0.79691,0.88698,,,,,,,,,,,
Type00,245,PCA_LINEAR,38.95554,36.15625,16.88934,6.06644,22.51037,3.47644,0.80763,0.89358,,,,,,,,,,,
Type00,245,PCA_SVR,39.05336,36.14278,17.98579,6.75162,24.7788,4.87764,0.78902,0.88207,,,,,,,,,,,
Type00,245,PURE_GPR,39.96644,37.19905,16.26506,6.37262,22.72996,4.1144,0.77273,0.87179,,,,,,,,,,,
Type00,245,PURE_KRR,39.59533,36.7565,17.30526,6.66459,23.12857,4.61627,0.77582,0.87376,,,,,,,,,,,
