Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,IoU,Dice,,,,,,,,,
Type00,240,PCA_GPR,28.61909,28.15785,25.63092,6.39864,70.11449,6.12207,0.80476,0.89182,,,,,,,,,
Type00,240,PCA_KRR,19.57734,19.06282,10.01479,2.52286,21.35406,1.02845,0.91063,0.95323,,,,,,,,,
Type00,240,PCA_LINEAR,19.76087,19.26652,10.31547,2.57083,22.19324,1.55173,0.90945,0.95258,,,,,,,,,
Type00,240,PCA_SVR,19.0962,18.5618,9.25637,2.45864,19.11063,1.0609,0.91377,0.95494,,,,,,,,,
Type00,240,PURE_GPR,21.19613,20.71323,11.31536,2.75072,23.01708,1.73998,0.8792,0.93572,,,,,,,,,
Type00,240,PURE_KRR,19.65179,19.15267,9.96334,2.48772,20.0826,0.96821,0.89643,0.94539,,,,,,,,,
Type00,240,PURE_SVR,19.67675,19.16147,10.04138,2.55109,19.80645,1.24555,0.89613,0.94522,,,,,,,,,
Type00,240,RATIO_CTRL,0,0,0,0,0,0,1,1,,,,,,,,,
Type00,245,PCA_GPR,26.43946,25.98674,20.326,4.521,53.74447,3.19235,0.85834,0.92377,,,,,,,,,
Type00,245,PCA_KRR,20.74687,20.16171,9.76961,2.78475,20.63358,0.66999,0.90349,0.9493,,,,,,,,,
Type00,245,PCA_LINEAR,20.6755,20.0879,10.03369,2.53386,21.47149,0.08911,0.91336,0.95472,,,,,,,,,
Type00,245,PCA_SVR,21.13495,20.5762,10.45441,2.9198,22.83751,0.63196,0.899,0.94681,,,,,,,,,
Type00,245,PURE_GPR,21.11774,20.51817,9.74879,2.50554,18.58275,0.19596,0.88738,0.94033,,,,,,,,,
Type00,245,PURE_KRR,20.83125,20.27637,9.70607,2.77082,19.09641,0.83477,0.88404,0.93845,,,,,,,,,
Type00,245,PURE_SVR,20.60366,20.037,9.75839,2.7934,18.76628,0.63551,0.88347,0.93813,,,,,,,,,
Type00,245,RATIO_CTRL,1.41313,1.30295,2.42728,0.99073,0.06369,1.14648,0.9599,0.97954,,,,,,,,,
Type00,255,PCA_GPR,21.36732,20.74695,10.43112,2.59202,17.96174,0.1966,0.91337,0.95473,,,,,,,,,
Type00,255,PCA_KRR,21.59138,20.95772,10.44115,2.57619,16.25015,0.57087,0.91339,0.95474,,,,,,,,,
Type00,255,PCA_LINEAR,21.21671,20.58541,10.14979,2.5371,17.04811,0.28473,0.91563,0.95595,,,,,,,,,
Type00,255,PCA_SVR,22.5374,21.97013,12.18891,2.81472,21.23574,0.36829,0.90528,0.95028,,,,,,,,,
Type00,255,PURE_GPR,20.68294,20.07322,9.20024,2.21079,12.22333,0.88763,0.88933,0.94143,,,,,,,,,
Type00,255,PURE_KRR,21.28885,20.69057,9.87604,2.31465,12.85275,0.95319,0.88343,0.93811,,,,,,,,,
Type00,255,PURE_SVR,20.7835,20.18155,9.71215,2.25956,12.15477,0.93771,0.88455,0.93874,,,,,,,,,
Type00,255,RATIO_CTRL,2.51116,2.38008,2.84481,1.27641,2.84273,0.88262,0.95106,0.97492,,,,,,,,,
Type00,265,PCA_GPR,17.44392,16.11949,7.14869,2.08986,12.54722,3.07047,0.92715,0.9622,,,,,,,,,
Type00,265,PCA_KRR,23.15863,22.01367,12.02815,3.13295,19.98423,0.87616,0.89779,0.94614,,,,,,,,,
Type00,265,PCA_LINEAR,22.08704,21.31954,10.63748,2.83178,17.96394,0.1884,0.90912,0.9524,,,,,,,,,
Type00,265,PCA_SVR,22.22873,20.72202,9.853,2.95312,14.51177,1.14237,0.89936,0.94701,,,,,,,,,
Type00,265,PURE_GPR,21.33224,20.46743,9.89016,2.8012,14.12766,0.68356,0.86211,0.92595,,,,,,,,,
Type00,265,PURE_KRR,22.49142,21.21176,10.6338,2.83745,14.17779,0.51396,0.85552,0.92213,,,,,,,,,
Type00,265,PURE_SVR,22.9232,21.56167,10.62636,2.9028,14.91878,0.9096,0.85533,0.92203,,,,,,,,,
Type00,265,RATIO_CTRL,1.78889,1.59489,1.89576,0.54766,0.47539,0.13465,0.97649,0.98811,,,,,,,,,
Type00,275,PCA_GPR,15.27628,14.04605,11.14692,4.84213,47.16204,6.96746,0.84938,0.91856,,,,,,,,,
Type00,275,PCA_KRR,24.64295,23.22401,13.83363,3.54304,22.81856,1.06973,0.88583,0.93946,,,,,,,,,
Type00,275,PCA_LINEAR,22.92081,21.94699,10.92875,3.21966,14.83251,1.07306,0.89765,0.94606,,,,,,,,,
Type00,275,PCA_SVR,22.9953,21.14008,10.05882,3.27885,13.60483,0.99007,0.88956,0.94155,,,,,,,,,
Type00,275,PURE_GPR,21.31591,20.23021,9.6224,3.0952,8.86089,1.78477,0.84762,0.91753,,,,,,,,,
Type00,275,PURE_KRR,24.2192,22.62511,12.45446,3.32775,15.812,0.67022,0.8289,0.90645,,,,,,,,,
Type00,275,PURE_SVR,25.63404,23.98955,13.26921,3.61365,18.90096,1.51957,0.8248,0.90399,,,,,,,,,
Type00,275,RATIO_CTRL,2.04634,1.94786,2.24296,0.7839,2.2139,0.39,0.96674,0.98309,,14.94894705,13.91892277,6.406932229,2.123520542,12.19505018,1.917168072,0.919840422,0.957891988
Type01,230,PCA_GPR,13.70473,12.68898,4.03208,0.68859,8.16679,0.44569,0.97131,0.98544,,,,,,,,,
Type01,230,PCA_KRR,13.94317,12.96713,4.11735,0.62785,6.12158,0.0171,0.97035,0.98495,,,,,,,,,
Type01,230,PCA_LINEAR,13.89422,12.86087,4.72535,0.98558,8.61064,0.55124,0.9541,0.97651,,,,,,,,,
Type01,230,PCA_SVR,14.40332,13.49487,3.89562,0.66371,2.98587,0.17104,0.97071,0.98514,,,,,,,,,
Type01,230,PURE_GPR,15.6847,14.83108,4.1562,0.92376,0.43035,0.39513,0.9621,0.98068,,,,,,,,,
Type01,230,PURE_KRR,13.88688,12.91167,4.12207,0.61801,6.36131,0.13213,0.97133,0.98546,,,,,,,,,
Type01,230,PURE_SVR,13.75971,12.74088,4.08396,0.6502,8.00851,0.35452,0.97232,0.98596,,,,,,,,,
Type01,230,RATIO_CTRL,0,0,0,0,0,0,1,1,,,,,,,,,
Type01,240,PCA_GPR,16.79274,16.12122,16.43128,3.35897,23.60758,5.40988,0.88663,0.93991,,,,,,,,,
Type01,240,PCA_KRR,13.54873,12.58773,5.16103,1.31569,11.82695,0.24616,0.94587,0.97218,,,,,,,,,
Type01,240,PCA_LINEAR,13.7122,12.74594,4.92533,1.20089,9.58282,0.23152,0.94993,0.97432,,,,,,,,,
Type01,240,PCA_SVR,13.55618,12.58766,5.11089,1.3437,11.46014,0.23358,0.94485,0.97165,,,,,,,,,
Type01,240,PURE_GPR,13.53222,12.5725,5.03429,1.25634,10.3034,0.03804,0.94455,0.97148,,,,,,,,,
Type01,240,PURE_KRR,13.59551,12.6262,5.18757,1.36025,11.70126,0.03432,0.94264,0.97047,,,,,,,,,
Type01,240,PURE_SVR,13.51496,12.52315,5.10702,1.33088,12.10861,0.17796,0.94451,0.97146,,,,,,,,,
Type01,240,RATIO_CTRL,1.8963,1.68509,2.69728,1.10022,1.09542,1.37941,0.95484,0.9769,,,,,,,,,
Type01,250,PCA_GPR,14.57393,13.45392,4.16208,1.5831,7.99195,1.31892,0.94334,0.97084,,,,,,,,,
Type01,250,PCA_KRR,13.75945,12.71941,3.62931,1.35683,8.73969,0.68658,0.94923,0.97396,,,,,,,,,
Type01,250,PCA_LINEAR,13.68907,12.64748,3.608,1.50233,8.2358,1.30142,0.94439,0.9714,,,,,,,,,
Type01,250,PCA_SVR,13.56926,12.48673,3.38322,1.33429,8.47555,0.1314,0.95066,0.97471,,,,,,,,,
Type01,250,PURE_GPR,13.45549,12.41375,3.7817,1.58573,9.55203,1.08799,0.93639,0.96715,,,,,,,,,
Type01,250,PURE_KRR,13.79977,12.75141,3.84041,1.45519,8.2561,0.62918,0.94087,0.96953,,,,,,,,,
Type01,250,PURE_SVR,13.87126,12.80428,4.31443,1.39762,7.97063,0.40232,0.93931,0.9687,,,,,,,,,
Type01,250,RATIO_CTRL,3.31427,3.12448,4.4304,1.7024,4.48313,3.06166,0.93784,0.96792,,,,,,,,,
Type01,260,PCA_GPR,15.62707,14.1877,4.15949,1.39002,8.14749,1.29351,0.94246,0.97038,,,,,,,,,
Type01,260,PCA_KRR,15.43679,14.07541,4.13627,1.61805,7.64132,0.38154,0.93568,0.96677,,,,,,,,,
Type01,260,PCA_LINEAR,15.27176,13.90737,4.09735,1.61842,8.64998,0.68875,0.93688,0.96741,,,,,,,,,
Type01,260,PCA_SVR,14.8217,13.38215,3.73156,1.48154,10.57079,1.2701,0.93879,0.96843,,,,,,,,,
Type01,260,PURE_GPR,15.62608,14.2589,4.45695,1.81027,7.12604,0.5022,0.92539,0.96125,,,,,,,,,
Type01,260,PURE_KRR,15.35667,13.97051,4.36625,1.76761,7.80524,0.52586,0.92469,0.96087,,,,,,,,,
Type01,260,PURE_SVR,15.27153,13.85897,4.39686,1.68914,7.71161,0.78505,0.92768,0.96248,,,,,,,,,
Type01,260,RATIO_CTRL,5.46949,5.26202,5.93643,2.18692,6.08548,1.65443,0.91918,0.95789,,,,,,,,,
Type02,230,PCA_GPR,26.88919,26.22321,24.13797,7.66054,68.85107,7.27617,0.75204,0.85847,,,,,,,,,
Type02,230,PCA_KRR,14.05034,12.84335,3.67546,0.92834,8.48596,0.69129,0.95895,0.97904,,,,,,,,,
Type02,230,PCA_LINEAR,13.96793,12.54174,3.43669,0.96967,9.79924,0.90327,0.9523,0.97557,,,,,,,,,
Type02,230,PCA_SVR,14.63706,13.55274,3.53729,0.90207,4.13578,0.29788,0.95593,0.97747,,,,,,,,,
Type02,230,PURE_GPR,17.96772,16.89727,5.26216,1.89204,5.94582,1.24927,0.90321,0.94914,,,,,,,,,
Type02,230,PURE_KRR,13.99932,12.80578,3.70257,0.92633,8.85978,0.7529,0.95855,0.97884,,,,,,,,,
Type02,230,PURE_SVR,13.93706,12.74241,3.84287,0.97186,10.24415,0.93747,0.95748,0.97828,,,,,,,,,
Type02,230,RATIO_CTRL,0,0,0,0,0,0,1,1,,,,,,,,,
Type02,240,PCA_GPR,22.40396,21.80828,15.72073,6.0849,39.10595,7.4373,0.80082,0.88939,,,,,,,,,
Type02,240,PCA_KRR,14.65877,13.15016,4.85628,2.63788,8.95092,2.83033,0.90016,0.94746,,,,,,,,,
Type02,240,PCA_LINEAR,14.77928,13.37973,4.67472,2.35914,8.1858,2.66484,0.91235,0.95416,,,,,,,,,
Type02,240,PCA_SVR,14.26765,12.69798,5.36304,2.75086,12.16531,2.66501,0.89636,0.94535,,,,,,,,,
Type02,240,PURE_GPR,15.99148,14.59456,4.51726,2.4146,4.85525,3.01812,0.90226,0.94862,,,,,,,,,
Type02,240,PURE_KRR,14.44061,13.00452,4.97768,2.57212,8.14687,2.85023,0.90345,0.94928,,,,,,,,,
Type02,240,PURE_SVR,14.60625,13.13148,5.14847,2.67175,7.61493,3.09944,0.89999,0.94737,,,,,,,,,
Type02,240,RATIO_CTRL,3.4854,2.97561,4.86513,2.38764,3.7304,4.57664,0.91079,0.95331,,,,,,,,,
Type02,250,PCA_GPR,17.93219,16.99121,7.43494,4.76727,11.14135,6.64533,0.83728,0.91144,,,,,,,,,
Type02,250,PCA_KRR,15.52896,13.98956,5.37365,3.25183,4.27257,4.84884,0.88264,0.93766,,,,,,,,,
Type02,250,PCA_LINEAR,15.51209,14.18762,5.66921,3.55565,4.7349,5.03624,0.87388,0.9327,,,,,,,,,
Type02,250,PCA_SVR,15.35382,13.83704,5.2991,3.07792,5.91483,4.61283,0.88699,0.94011,,,,,,,,,
Type02,250,PURE_GPR,15.56603,14.19067,5.50375,3.09125,3.56253,4.68089,0.88921,0.94135,,,,,,,,,
Type02,250,PURE_KRR,15.17379,13.77133,5.06566,2.89761,2.66223,4.61133,0.896,0.94515,,,,,,,,,
Type02,250,PURE_SVR,15.15515,13.77711,4.90671,2.81603,2.94212,4.57224,0.89897,0.9468,,,,,,,,,
Type02,250,RATIO_CTRL,5.29209,4.75833,7.98778,4.05543,9.24135,7.95569,0.85801,0.92358,,,,,,,,,
Type02,260,PCA_GPR,14.10119,12.74485,6.93866,1.7481,25.75256,0.372,0.93136,0.96446,,,,,,,,,
Type02,260,PCA_KRR,16.14402,14.67391,6.68874,1.39341,9.76275,0.54055,0.94271,0.97051,,,,,,,,,
Type02,260,PCA_LINEAR,15.88499,14.50803,6.31239,1.35311,10.16223,1.19456,0.94308,0.97071,,,,,,,,,
Type02,260,PCA_SVR,16.22575,14.8499,6.87816,1.5456,10.43287,0.21805,0.93893,0.9685,,,,,,,,,
Type02,260,PURE_GPR,15.6024,14.23362,5.61734,1.83631,7.20334,0.61487,0.92993,0.96369,,,,,,,,,
Type02,260,PURE_KRR,15.73323,14.341,5.98579,2.08999,8.44927,0.06011,0.92431,0.96067,,,,,,,,,
Type02,260,PURE_SVR,15.5217,14.14479,6.1368,2.11817,10.23825,0.33025,0.92417,0.96059,,,,,,,,,
Type02,260,RATIO_CTRL,3.21099,2.57027,6.23106,2.00422,5.82316,5.1327,0.92745,0.96236,,,,,,,,,
Type02,270,PCA_GPR,12.84617,11.7734,15.46467,4.02099,58.00531,2.33248,0.86053,0.92504,,,,,,,,,
Type02,270,PCA_KRR,17.12845,15.9345,6.57856,1.99607,9.84223,2.06317,0.92121,0.95899,,,,,,,,,
Type02,270,PCA_LINEAR,16.93861,15.69897,6.13418,2.49841,10.90304,2.41866,0.90744,0.95148,,,,,,,,,
Type02,270,PCA_SVR,17.68,16.59838,6.49847,2.29627,5.71801,2.48968,0.914,0.95507,,,,,,,,,
Type02,270,PURE_GPR,15.09001,14.03029,5.83016,2.08759,9.63974,1.30494,0.92191,0.95937,,,,,,,,,
Type02,270,PURE_KRR,16.51913,15.42179,5.5986,2.20949,7.0451,1.35986,0.91959,0.95811,,,,,,,,,
Type02,270,PURE_SVR,16.36763,15.25922,5.72645,2.18496,7.81456,1.32105,0.92045,0.95857,,,,,,,,,
Type02,270,RATIO_CTRL,5.4856,5.01826,7.40544,3.37563,7.04579,7.36096,0.88273,0.93771,,,,,,,,,
Type03,230,PCA_GPR,27.96317,27.47464,25.25885,6.19369,69.42733,6.0859,0.80573,0.89242,,,,,,,,,
Type03,230,PCA_KRR,14.03542,13.03805,3.86416,0.658,6.19721,0.36898,0.97026,0.98491,,,,,,,,,
Type03,230,PCA_LINEAR,14.13933,13.09592,4.64181,0.97278,9.1071,1.23704,0.95772,0.97841,,,,,,,,,
Type03,230,PCA_SVR,14.73452,13.8583,3.93781,0.76641,1.4789,0.10282,0.96727,0.98336,,,,,,,,,
Type03,230,PURE_GPR,18.85882,18.09989,6.54783,1.71411,7.76705,0.73275,0.91309,0.95457,,,,,,,,,
Type03,230,PURE_KRR,14.00257,13.00211,3.8948,0.6586,6.43281,0.36739,0.97012,0.98483,,,,,,,,,
Type03,230,PURE_SVR,13.78447,12.76003,4.09213,0.70567,7.86419,0.45461,0.97081,0.98519,,,,,,,,,
Type03,230,RATIO_CTRL,0,0,0,0,0,0,1,1,,,,,,,,,
Type03,235,PCA_GPR,24.95548,24.57478,20.576,5.27473,53.80755,4.32224,0.82987,0.90703,,,,,,,,,
Type03,235,PCA_KRR,14.02751,12.87497,3.73027,1.05835,9.27775,1.54945,0.95336,0.97612,,,,,,,,,
Type03,235,PCA_LINEAR,14.2328,13.15667,4.00365,1.1838,9.25757,1.57628,0.94846,0.97355,,,,,,,,,
Type03,235,PCA_SVR,13.50161,12.40422,4.07114,1.24831,12.11484,1.53078,0.94791,0.97326,,,,,,,,,
Type03,235,PURE_GPR,17.1369,16.13722,3.97223,1.31278,0.94121,0.55641,0.92678,0.962,,,,,,,,,
Type03,235,PURE_KRR,13.96813,12.82807,3.74795,1.07087,9.63255,1.53216,0.95292,0.97589,,,,,,,,,
Type03,235,PURE_SVR,14.00287,12.82977,3.83668,1.12519,10.374,1.37435,0.94992,0.97432,,,,,,,,,
Type03,235,RATIO_CTRL,2.4578,2.36177,2.02098,0.72947,0.9197,0.02107,0.9652,0.98229,,,,,,,,,
Type03,245,PCA_GPR,20.07448,19.55024,10.48159,2.84728,24.15952,2.15529,0.90523,0.95026,,,,,,,,,
Type03,245,PCA_KRR,14.98758,13.89261,4.55019,0.94578,8.73603,1.60499,0.95974,0.97946,,,,,,,,,
Type03,245,PCA_LINEAR,14.91572,13.83698,4.40407,0.83888,7.87402,0.85379,0.96559,0.98249,,,,,,,,,
Type03,245,PCA_SVR,15.31342,14.26554,4.47287,1.03185,6.51942,1.56254,0.95694,0.978,,,,,,,,,
Type03,245,PURE_GPR,15.57696,14.44758,4.54094,0.90816,8.59924,0.91467,0.95369,0.9763,,,,,,,,,
Type03,245,PURE_KRR,15.1106,14.0309,4.47333,1.00422,8.10229,1.58301,0.9546,0.97677,,,,,,,,,
Type03,245,PURE_SVR,14.90964,13.77551,5.19725,1.01968,8.4737,1.39443,0.95542,0.9772,,,,,,,,,
Type03,245,RATIO_CTRL,1.45414,1.30876,2.5964,1.12813,4.36547,1.44653,0.95605,0.97753,,,,,,,,,
Type03,250,PCA_GPR,17.54475,16.79445,5.64902,1.34995,6.88624,0.20833,0.94973,0.97422,,,,,,,,,
Type03,250,PCA_KRR,15.41757,14.26496,4.27783,1.37696,10.59404,2.01836,0.94566,0.97207,,,,,,,,,
Type03,250,PCA_LINEAR,15.13384,14.01261,3.71415,1.09619,9.59365,1.3381,0.95602,0.97751,,,,,,,,,
Type03,250,PCA_SVR,16.43451,15.33669,4.63339,1.42155,4.67968,1.83861,0.94239,0.97034,,,,,,,,,
