type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40
Type00, R, 240, 31.017523, 240.891105, 26.060822, 240.836963, 15.778440, 238.813170, 5.234473, 226.199129, 2.542140, 211.727877, 0.763953, 197.293747, 0.244884, 182.485458, 0.356124, 167.856818, 1.095577, 153.099300, 2.370159, 137.626223, 4.502656, 123.050874, 4.232064, 108.858946, 2.283778, 94.342963, 0.548434, 78.659339, 0.000000, 64.995723, 1.144287, 49.444765, 3.624520, 35.313079, 8.462555, 21.589883, 17.312416, 8.540660, 30.832486, 0.000000, 46.112357, 1.128560, 59.075371, 9.596473, 68.090956, 22.387011, 74.558326, 36.001272, 78.942648, 50.525332, 81.250414, 64.402331, 82.260791, 79.167897, 81.282003, 93.909096, 78.565092, 108.205591, 74.722408, 122.298184, 71.669488, 136.278662, 68.778315, 150.481697, 65.684102, 165.103753, 62.828269, 179.724104, 60.391072, 193.715240, 58.246268, 209.184112, 54.535880, 223.030426, 46.085142, 236.551874, 35.881751, 240.574632, 31.367601, 240.418481
Type00, R, 245, 30.375565, 246.091740, 25.540701, 246.043773, 15.264687, 244.541540, 4.141069, 232.018951, 0.072925, 217.606795, 0.000000, 201.742156, 0.829523, 187.457894, 0.326041, 172.725091, 0.460500, 157.382718, 1.533750, 142.226816, 3.151485, 127.731328, 4.060122, 112.656849, 1.765991, 97.676646, 0.047313, 82.869788, 0.052060, 67.351554, 1.973537, 52.205843, 4.378860, 37.997346, 9.556913, 23.342594, 17.395370, 9.540690, 31.612719, 0.000000, 46.355518, 1.303355, 60.505853, 9.143426, 69.602471, 22.901808, 75.542295, 36.711754, 80.295398, 51.514515, 83.174969, 66.259402, 84.392427, 81.030583, 82.939211, 96.331017, 79.934296, 111.013364, 76.760563, 125.672894, 73.249353, 140.547327, 70.192937, 154.941424, 67.601746, 170.019122, 65.364356, 184.851222, 62.853525, 199.279447, 59.102398, 214.014826, 54.422176, 227.659755, 45.219736, 241.821248, 35.448861, 245.626610, 30.034990, 245.713688
Type00, R, 255, 30.835891, 255.415966, 25.791478, 255.690917, 15.168804, 252.762184, 3.652700, 239.310437, 1.140981, 223.371198, 0.000000, 207.538360, 0.922829, 192.550484, 2.088978, 176.851522, 3.188028, 161.993170, 5.050007, 145.870560, 6.689404, 130.506139, 5.258296, 114.380929, 3.196011, 98.850558, 0.648611, 82.005594, 0.053077, 66.742800, 1.397299, 51.138047, 5.987977, 35.919397, 10.718457, 20.768163, 20.526826, 7.024530, 36.052658, 0.106968, 51.795995, 0.000000, 65.954763, 10.336607, 75.015580, 23.941625, 80.444288, 39.328664, 84.836537, 54.131664, 87.978249, 70.801007, 88.200136, 85.942476, 85.410886, 101.365042, 81.133086, 117.109299, 76.717658, 131.224823, 72.249214, 146.920009, 68.862771, 161.734737, 66.709328, 177.418151, 65.215993, 192.805347, 63.711843, 207.792394, 61.580465, 223.377548, 57.135460, 237.699334, 46.672239, 251.746901, 35.963255, 255.182582, 31.168966, 255.020230
Type00, R, 265, 35.669564, 265.621214, 30.733386, 265.628447, 19.316752, 264.235510, 6.591708, 250.697908, 1.716189, 234.995423, 0.000000, 218.618783, 0.770444, 201.729543, 0.969740, 185.806252, 0.728454, 169.076357, 2.713811, 153.305813, 5.201590, 136.990158, 4.534076, 120.981419, 2.834988, 105.204122, 0.953939, 89.360480, 0.094602, 73.372225, 1.020773, 57.080623, 3.715386, 41.604742, 9.275717, 26.747644, 17.150372, 11.365373, 30.819832, 0.000000, 47.888166, 0.194414, 63.000300, 8.476576, 73.269400, 22.784803, 80.486519, 37.894793, 85.809026, 53.604198, 89.374769, 70.157280, 90.630905, 86.707199, 89.402918, 103.065847, 86.419931, 118.946065, 82.837176, 134.609011, 79.059287, 149.924867, 75.281654, 165.855296, 72.225820, 181.506769, 69.878347, 197.260830, 67.612211, 214.126897, 65.561935, 229.602721, 62.462424, 245.622474, 51.771399, 259.801144, 41.325938, 264.924095, 35.694994, 265.235193
Type00, R, 275, 37.366945, 275.536118, 31.766008, 275.738696, 20.336370, 273.534145, 6.823398, 260.458842, 1.113505, 243.566281, 0.059404, 226.827433, 0.423574, 210.630759, 1.235847, 193.538807, 2.750307, 175.933060, 5.213097, 160.262772, 6.056743, 143.082664, 4.341309, 125.978190, 2.406311, 109.706516, 0.311356, 92.836198, 0.000000, 75.857461, 1.743578, 59.346678, 4.867933, 42.919677, 10.567720, 27.373051, 18.490946, 11.533166, 32.973567, 0.092675, 50.856827, 0.000000, 66.435688, 8.036039, 77.053347, 22.997161, 84.074776, 38.857836, 89.704036, 54.992846, 93.071208, 72.020702, 94.410236, 88.447443, 93.358937, 106.442081, 90.659175, 122.524852, 86.881137, 139.265852, 82.708336, 155.373591, 78.468494, 171.917396, 75.601230, 187.744610, 73.056862, 204.718021, 70.680260, 221.356261, 67.856317, 238.109273, 63.385174, 254.134773, 54.564088, 269.986339, 42.637660, 275.249830, 37.367853, 275.087356
Type01, R, 230, 34.150913, 230.477833, 29.263696, 230.337120, 20.522480, 229.370369, 7.211477, 221.299806, 1.320035, 207.326565, 0.000000, 192.914052, 0.485047, 179.197515, 1.816546, 164.671653, 2.846915, 149.841970, 2.871983, 135.884202, 2.334936, 121.245072, 1.678441, 107.263429, 0.831816, 93.512828, 0.290892, 79.248002, 0.195189, 65.364868, 0.992864, 50.191877, 3.238577, 36.753573, 7.919962, 23.101915, 15.662409, 10.012642, 27.318326, 0.162007, 42.831004, 0.000000, 55.649715, 6.634486, 65.382058, 18.711955, 71.527224, 32.016757, 75.554554, 45.692978, 77.678707, 60.059029, 78.339812, 73.898998, 77.932808, 88.377832, 76.628390, 102.114420, 74.940512, 116.392159, 72.819750, 130.485792, 70.438427, 144.081087, 67.930829, 158.551736, 65.255241, 172.582122, 62.764816, 186.200022, 60.549006, 200.580299, 57.332314, 214.178395, 48.871962, 227.324330, 38.286334, 230.211873, 34.211129, 230.266460
Type01, R, 240, 35.282031, 240.596465, 29.811939, 240.478013, 20.495819, 239.155018, 7.616784, 227.932448, 2.984951, 213.677846, 2.118273, 198.759331, 2.258928, 183.766069, 0.847644, 169.471478, 0.000000, 154.796241, 0.983542, 139.615500, 1.708870, 125.384530, 1.762228, 110.263349, 0.940752, 95.929170, 0.529800, 81.245074, 0.047358, 66.952408, 1.066783, 51.664316, 3.409962, 37.283575, 8.709472, 23.404150, 16.963611, 9.777040, 30.505082, 0.619032, 45.524084, 0.000000, 59.736368, 6.468669, 69.888232, 19.308862, 76.232563, 33.086108, 79.508827, 47.827928, 81.095921, 62.646318, 80.894946, 77.207760, 79.864458, 91.706205, 78.014262, 106.306463, 75.862774, 121.014245, 73.581916, 135.638227, 71.053438, 150.680915, 68.606933, 165.037598, 66.322832, 180.079235, 64.280534, 194.558082, 62.509531, 209.833849, 59.629763, 223.876629, 50.804610, 237.417115, 39.518417, 240.282882, 35.667695, 240.329793
Type01, R, 250, 32.829340, 250.477818, 27.555825, 250.319179, 17.357367, 248.866009, 4.326280, 237.047563, 0.494073, 221.515092, 0.000000, 206.915438, 0.263019, 191.017651, 1.078739, 176.164796, 1.908106, 160.372687, 2.209849, 144.320195, 2.056676, 129.293211, 1.591706, 114.134387, 1.032218, 98.299591, 0.307500, 82.949127, 0.009074, 67.761558, 0.733390, 52.120366, 3.481131, 36.873430, 8.933946, 23.015077, 17.603838, 8.559839, 31.656888, 0.000000, 47.436862, 0.206043, 61.479545, 6.913984, 71.985307, 20.310655, 76.508037, 35.390512, 80.430658, 50.034598, 81.931951, 65.615500, 82.403560, 80.661287, 81.566910, 96.124611, 79.848920, 111.448391, 77.597727, 126.731455, 75.003729, 141.383204, 72.152856, 156.787016, 69.536746, 171.361730, 66.826683, 187.074428, 64.707736, 201.180753, 62.552736, 216.174090, 58.149902, 232.010935, 48.565001, 245.684158, 37.860297, 250.503563, 33.202315, 249.641469
Type01, R, 260, 30.939133, 261.270443, 25.718571, 261.070366, 14.415826, 258.635412, 4.006232, 244.351983, 0.736777, 228.742514, 0.000000, 212.373808, 1.226390, 196.487934, 1.571277, 180.562635, 1.576662, 165.133510, 2.709209, 149.015071, 4.286073, 133.257488, 3.816942, 117.485069, 2.112424, 101.254070, 0.324824, 86.024062, 0.148332, 69.811306, 2.006303, 54.491124, 4.810734, 38.430199, 9.097577, 23.687157, 18.062760, 8.679969, 32.739042, 0.000000, 49.308843, 1.840254, 63.385675, 11.113901, 72.245298, 26.268359, 78.306288, 40.680764, 83.354709, 56.704115, 86.127554, 72.825409, 87.022517, 88.726330, 85.322515, 104.149150, 81.699866, 119.735255, 78.572458, 135.289797, 75.417619, 151.329190, 72.654274, 166.817280, 69.987412, 182.785614, 67.491633, 198.191133, 64.904310, 213.754251, 61.919764, 229.518169, 59.479577, 245.317961, 47.136788, 258.958769, 35.985032, 260.714515, 31.035141, 261.401087
Type01, R, 290, 35.221423, 292.118828, 29.444594, 291.849681, 17.552153, 288.590147, 4.145357, 273.421609, 0.393975, 256.150425, 0.429260, 237.291598, 0.484326, 219.677053, 0.194174, 201.305497, 0.771932, 184.222152, 2.479596, 166.920874, 3.718245, 149.327404, 3.126442, 131.197607, 1.761230, 113.618553, 0.712736, 96.030128, 0.000000, 78.151485, 1.436114, 60.153590, 4.660157, 42.949268, 11.447342, 26.742468, 20.635309, 10.789645, 37.087050, 0.000000, 55.150487, 3.856470, 69.899774, 14.612030, 79.410752, 31.607196, 85.686891, 47.897302, 90.648499, 65.527549, 93.853751, 83.018753, 94.342845, 101.194421, 92.113613, 118.511356, 88.432787, 135.865659, 84.672092, 152.527889, 81.870484, 169.766729, 79.837736, 187.467383, 77.111777, 204.438538, 74.239091, 221.493215, 71.170239, 238.860613, 69.048187, 255.827972, 65.450979, 273.105586, 53.806324, 287.975083, 41.076924, 291.749110, 35.541696, 292.140272
