Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,IoU,Dice,,,,,,,,,,
Type00,240,PCA_GPR,20.82847,20.26059,25.15519,6.472,77.03261,6.91108,0.7872,0.88093,,,,,,,,,,
Type00,240,PCA_KRR,11.89951,11.698,9.50717,2.63905,28.26857,2.47374,0.8954,0.94482,,,,,,,,,,
Type00,240,PCA_LINEAR,12.12464,11.96696,9.97857,2.63251,29.49639,2.66708,0.89621,0.94526,,,,,,,,,,
Type00,240,PCA_SVR,11.64819,11.40438,9.12391,2.58547,27.06454,2.38892,0.89836,0.94646,,,,,,,,,,
Type00,240,PURE_GPR,12.81461,12.61512,10.37012,2.79104,30.29792,2.71922,0.88643,0.9398,,,,,,,,,,
Type00,240,PURE_KRR,11.96514,11.75672,9.62026,2.7265,28.56152,2.47975,0.89072,0.9422,,,,,#NAME?,,,,,
Type00,240,PURE_SVR,12.07938,11.84687,9.91412,2.78424,29.39076,2.57485,0.88799,0.94067,,,,,,,,,,
Type00,240,RATIO_CTRL,0,0,0,0,0,0,1,1,,,,,,,,,,
Type00,245,PCA_GPR,18.48701,18.18575,19.93629,5.34517,59.66021,4.93848,0.82395,0.90348,,,,,,,,,,
Type00,245,PCA_KRR,12.68486,12.48083,9.44016,2.74822,27.37303,1.9596,0.89758,0.94602,,,,,,,,,,
Type00,245,PCA_LINEAR,12.79925,12.66485,9.79569,2.74272,27.90595,2.07662,0.89897,0.9468,,,,,,,,,,
Type00,245,PCA_SVR,12.58154,12.36062,9.2442,2.74567,26.84545,1.88946,0.89796,0.94624,,,,,,,,,,
Type00,245,PURE_GPR,12.9044,12.69839,9.5646,2.74244,27.14342,1.93108,0.89419,0.94414,,,,,,,,,,
Type00,245,PURE_KRR,12.81253,12.61102,9.62462,2.86998,27.89374,1.92358,0.89052,0.94209,,,,,,,,,,
Type00,245,PURE_SVR,12.86637,12.66026,9.78468,2.90665,28.53231,1.99493,0.88892,0.94119,,,,,,,,,,
Type00,245,RATIO_CTRL,1.17379,1.03183,2.13553,0.61431,0.95818,0.22928,0.97279,0.98621,,,,,,,,,,
Type00,255,PCA_GPR,12.97001,12.64459,10.13607,2.47698,26.14261,1.0586,0.90491,0.95008,,,,,,,,,,
Type00,255,PCA_KRR,13.19977,12.66253,10.25211,2.54055,26.60735,1.20098,0.90125,0.94806,,,,,,,,,,
Type00,255,PCA_LINEAR,12.94596,12.61955,10.08868,2.4652,25.99277,1.04505,0.90525,0.95027,,,,,,,,,,
Type00,255,PCA_SVR,13.02619,12.564,10.29501,2.64424,25.17588,1.04199,0.89849,0.94653,,,,,,,,,,
Type00,255,PURE_GPR,13.34118,12.80888,10.21108,2.76424,27.06074,0.96203,0.88894,0.9412,,,,,,,,,,
Type00,255,PURE_KRR,13.23551,12.72899,10.21639,2.78874,26.46562,0.97352,0.88835,0.94088,,,,,,,,,,
Type00,255,PURE_SVR,12.96318,12.48774,9.95322,2.78632,25.40751,0.92617,0.88902,0.94125,,,,,,,,,,
Type00,255,RATIO_CTRL,2.42466,2.28882,3.51746,1.1701,1.64627,0.50217,0.9509,0.97483,,,,,,,,,,
Type00,265,PCA_GPR,8.57131,7.89069,3.50118,1.00527,5.34945,1.77721,0.95275,0.9758,,,,,,,,,,
Type00,265,PCA_KRR,13.31911,13.22036,11.08887,2.06388,27.74974,1.39656,0.92558,0.96135,,,,,,,,,,
Type00,265,PCA_LINEAR,13.12747,13.00295,10.35314,2.16072,26.15312,1.00545,0.92325,0.96009,,,,,,,,,,
Type00,265,PCA_SVR,13.56428,13.46592,11.69213,2.1252,29.05414,1.5861,0.92335,0.96015,,,,,,,,,,
Type00,265,PURE_GPR,13.33737,13.25658,10.90939,2.34338,29.02609,0.97138,0.90731,0.95141,,,,,,,,,,
Type00,265,PURE_KRR,13.23983,13.15278,10.75097,2.24939,27.55075,1.07724,0.91039,0.95309,,,,,,,,,,
Type00,265,PURE_SVR,12.94331,12.84648,10.276,2.1585,26.27296,1.03432,0.91523,0.95574,,,,,,,,,,
Type00,265,RATIO_CTRL,1.82007,1.56954,1.54232,0.45285,0.30881,0.2983,0.97819,0.98897,,,8.664661386,8.014912108,5.496253434,1.779831325,10.79837211,1.887406325,0.930797892,0.963894819
Type00,275,PCA_GPR,8.02817,7.24402,10.81959,3.75669,38.69947,5.7559,0.87334,0.93239,,,,,,,,,,
Type00,275,PCA_KRR,13.53523,13.31293,10.97502,2.19626,25.65723,0.03721,0.92196,0.95939,,,,,,,,,,
Type00,275,PCA_LINEAR,13.31484,13.10659,10.53034,2.11866,24.49863,0.13267,0.92358,0.96027,,,,,,,,,,
Type00,275,PCA_SVR,13.95957,13.75443,11.75531,2.33891,28.41599,0.29107,0.91733,0.95689,,,,,,,,,,
Type00,275,PURE_GPR,11.75534,11.50909,8.83747,2.29794,21.51399,0.89871,0.91519,0.95572,,,,,,,,,,
Type00,275,PURE_KRR,13.7108,13.5016,10.9163,2.59594,27.49624,0.27046,0.90342,0.94926,,,,,,,,,,
Type00,275,PURE_SVR,13.78913,13.59434,10.99451,2.62033,28.05866,0.23155,0.90282,0.94893,,,,,,,,,,
Type00,275,RATIO_CTRL,2.01783,1.89029,2.31868,0.65724,0.82933,0.09243,0.97137,0.98548,,,,,,,,,,
Type01,230,PCA_GPR,22.14537,21.48703,27.34748,6.24552,83.04078,7.0291,0.80021,0.88902,,,,,,,,,,
Type01,230,PCA_KRR,7.61958,7.06963,0.78098,0.38577,0.45191,0.71877,0.98085,0.99033,,,,,,,,,,
Type01,230,PCA_LINEAR,7.45449,6.82155,1.46984,0.38887,2.49752,0.24677,0.98183,0.99083,,,,,,,,,,
Type01,230,PCA_SVR,7.97238,7.51436,1.5666,0.41467,2.68954,0.41527,0.9776,0.98867,,,,,,,,,,
Type01,230,PURE_GPR,8.93487,8.53791,2.98607,0.74642,6.20535,0.94095,0.96626,0.98284,,,,,,,,,,
