type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45, x46, y46, x47, y47, x48, y48, x49, y49, x50, y50
Type00, R, 240, 30.889359, 240.643075, 26.811870, 240.511964, 19.143581, 239.491000, 8.917130, 231.637440, 3.993424, 220.685643, 2.100201, 209.332468, 0.763462, 197.932576, 0.218892, 186.349177, 0.077491, 174.711020, 0.424558, 163.267707, 1.040589, 151.461005, 2.063872, 139.402727, 3.623342, 127.652527, 4.433734, 116.533818, 3.574034, 105.121353, 2.135459, 93.830114, 0.696650, 81.223074, 0.000000, 70.424224, 0.172093, 58.719348, 1.423141, 46.789547, 3.432977, 35.707251, 7.021191, 24.747573, 12.682794, 14.381307, 21.350207, 5.120208, 32.312850, 0.000000, 44.358004, 0.952320, 54.803939, 6.169994, 63.494222, 15.373531, 69.538862, 25.463214, 74.538714, 36.454394, 78.083558, 47.798184, 80.241855, 58.784951, 81.641657, 70.108145, 81.924678, 81.732460, 81.039588, 93.288702, 79.141183, 104.674417, 76.231497, 115.663124, 73.539808, 126.876459, 71.099248, 137.803014, 68.927154, 148.979180, 66.380724, 160.572877, 64.164250, 171.922182, 61.959784, 183.408121, 60.082501, 194.442897, 58.475202, 206.604337, 55.717130, 217.847340, 51.347634, 228.571533, 42.538382, 238.073025, 34.891621, 240.076162, 31.044603, 240.379233
Type00, R, 245, 30.484094, 245.635820, 26.795380, 245.570053, 18.577871, 244.761772, 8.720005, 237.343726, 2.386867, 226.240531, 0.337674, 214.923269, 0.053542, 202.205388, 0.831066, 191.059189, 0.683126, 179.411150, 0.477289, 167.800137, 0.682666, 155.569223, 1.554309, 143.751939, 2.678655, 132.183024, 3.850108, 120.582790, 3.706849, 108.654808, 1.837087, 96.987965, 0.558308, 85.119967, 0.000000, 73.351928, 0.897747, 60.919818, 2.484651, 49.339557, 4.510125, 38.302647, 8.326594, 26.291222, 13.544287, 15.857925, 21.864765, 5.307515, 33.321523, 0.000000, 45.023238, 0.875079, 55.999027, 5.636945, 65.493341, 15.199788, 71.032365, 25.819404, 75.982681, 37.004188, 79.548654, 48.514348, 82.327784, 60.143860, 83.895859, 71.783256, 84.293577, 83.476180, 83.021931, 95.552572, 80.761667, 107.099294, 78.369939, 118.677584, 75.644505, 130.274172, 73.025223, 141.931466, 70.575741, 153.271963, 68.488558, 165.040854, 66.628151, 176.897114, 64.829387, 188.351719, 62.716604, 199.732444, 59.766302, 211.507819, 56.367017, 222.045740, 50.992220, 233.574299, 42.278387, 242.749128, 34.462901, 245.289557, 30.114217, 245.127096
Type00, R, 255, 30.743762, 255.367858, 26.602096, 255.398252, 18.704208, 254.099658, 7.769607, 245.121692, 2.441659, 233.630468, 0.862274, 220.830819, 0.000000, 208.529758, 0.530877, 196.645552, 1.388225, 184.424963, 2.288103, 172.340317, 3.273279, 160.591587, 4.610627, 147.724234, 6.185996, 135.834914, 6.011935, 123.085334, 4.673478, 110.791156, 3.004140, 98.238679, 1.000473, 85.308358, 0.093658, 72.594797, 0.264591, 60.929814, 2.128175, 48.249834, 5.548173, 36.698373, 9.570620, 24.365932, 15.143632, 13.351583, 25.460201, 4.178538, 37.519083, 0.286659, 49.995191, 0.000000, 61.471160, 6.636350, 70.388679, 16.563039, 76.329253, 27.736692, 80.466880, 39.851620, 83.977325, 51.623474, 86.749805, 64.163045, 88.162740, 77.111599, 87.556082, 88.631847, 85.271077, 101.080700, 82.065685, 113.321888, 78.538929, 124.887564, 75.099419, 136.400497, 71.665789, 148.770755, 69.079729, 160.417948, 67.190334, 172.618646, 65.825824, 184.957273, 64.720795, 196.845105, 63.416057, 208.694403, 61.787556, 221.081353, 58.773404, 232.300553, 53.058375, 243.946136, 43.034512, 252.967407, 34.901545, 255.171311, 30.948905, 254.798407
Type00, R, 265, 35.468301, 265.359776, 31.297438, 265.272139, 23.103150, 264.725364, 11.034561, 256.585382, 4.483573, 244.750910, 1.110505, 232.274588, 0.000000, 219.423944, 0.212694, 206.076045, 0.728395, 193.324164, 0.561486, 180.627006, 0.740636, 167.348014, 2.115347, 155.257966, 4.256259, 142.009120, 4.753101, 129.823254, 3.899166, 116.796465, 2.546561, 104.742097, 1.015453, 92.040649, 0.178475, 79.633556, 0.020800, 66.838852, 1.254060, 54.134280, 3.462040, 42.113265, 7.496025, 30.113175, 13.055887, 18.481128, 20.891334, 6.875111, 32.574231, 0.000000, 45.706606, 0.071547, 58.086935, 5.074940, 67.857356, 14.846905, 74.884088, 26.283322, 80.387553, 38.403619, 84.678907, 50.564837, 87.825432, 63.604800, 89.821296, 76.533358, 90.124605, 89.608617, 89.123283, 102.406960, 86.862211, 114.990386, 84.246995, 127.326019, 81.264591, 139.596450, 78.330424, 151.660630, 75.399168, 164.223100, 72.784007, 176.614539, 70.880583, 188.871916, 68.912690, 201.667899, 67.330433, 214.792958, 65.474430, 227.076794, 63.638654, 239.497086, 58.069797, 251.680905, 48.224124, 261.357607, 39.859075, 264.788995, 35.474576, 264.900041
Type00, R, 275, 37.404211, 275.391407, 32.949904, 275.532926, 24.103392, 274.307955, 12.176555, 266.339845, 4.444262, 254.221198, 1.062058, 240.885738, 0.126231, 227.874252, 0.427679, 214.784626, 0.724394, 202.036833, 1.776111, 187.926087, 2.968431, 174.633212, 4.901814, 161.989403, 5.942940, 148.934671, 5.399909, 135.149364, 3.909535, 122.090830, 2.378704, 109.154996, 0.769597, 95.897440, 0.000000, 82.622773, 0.648124, 69.319620, 2.227692, 56.388159, 4.990261, 43.621111, 8.895390, 30.972794, 14.822678, 19.034686, 22.561955, 7.071831, 35.240289, 0.232807, 48.815277, 0.000000, 61.649125, 4.831494, 71.812664, 14.789203, 78.856596, 26.806881, 84.327732, 39.527927, 88.773101, 51.948852, 91.933232, 65.499181, 93.762447, 78.395395, 94.288105, 91.768278, 93.290527, 105.871858, 91.412242, 118.536265, 88.592509, 131.728787, 85.542348, 144.548231, 82.166900, 157.389237, 78.898787, 170.300337, 76.455287, 182.953246, 74.366630, 195.740058, 72.445678, 209.323401, 70.510006, 222.201411, 68.314573, 235.471112, 65.110757, 248.249243, 60.136956, 260.770494, 50.895274, 272.089730, 41.456687, 274.832533, 37.466268, 275.216747
Type01, R, 230, 34.138815, 230.210180, 30.444632, 230.223044, 23.196861, 229.356947, 12.863638, 225.045126, 4.507711, 216.083016, 1.392025, 204.890603, 0.000000, 193.710096, 0.452067, 182.559575, 1.052392, 171.829519, 2.275922, 159.784337, 2.800347, 148.500965, 2.886212, 137.515145, 2.605611, 125.754373, 2.002240, 114.981828, 1.566313, 103.595537, 0.822069, 93.048629, 0.415518, 81.722261, 0.250744, 70.715302, 0.418662, 59.394501, 1.409974, 47.553032, 3.251461, 37.167215, 6.679060, 26.245185, 11.835220, 15.923609, 19.238097, 6.248000, 29.037085, 0.000000, 41.200793, 0.016203, 51.630924, 3.743680, 60.523941, 12.076084, 67.005855, 21.686137, 71.652817, 32.480586, 74.906751, 43.063278, 76.980486, 54.314141, 78.035549, 65.439584, 78.302660, 76.398525, 77.915239, 87.787539, 76.975769, 98.698235, 75.733113, 109.680112, 74.275924, 121.032794, 72.517823, 131.947498, 70.674431, 142.656058, 68.697722, 154.080688, 66.656996, 165.091262, 64.571120, 176.205059, 62.650674, 186.835306, 60.910723, 198.185822, 58.587194, 209.070980, 54.280122, 219.623319, 45.471355, 228.517872, 37.421862, 229.687543, 34.227900, 230.329383
Type01, R, 240, 35.189039, 240.399206, 30.666028, 240.191537, 23.585484, 239.619900, 12.516764, 232.859515, 5.510448, 222.603997, 2.792197, 211.220364, 2.018007, 199.556510, 2.184644, 187.587938, 1.411154, 176.347096, 0.436606, 164.790845, 0.000000, 153.434600, 0.692275, 141.133039, 1.424199, 130.256624, 1.584549, 118.233318, 1.513870, 106.790823, 0.814791, 95.356428, 0.436560, 83.811154, 0.178692, 72.590499, 0.122228, 60.875595, 1.392921, 48.935018, 3.294843, 37.863388, 7.119716, 26.462619, 12.787721, 16.179888, 20.883515, 6.002246, 32.115131, 0.617291, 43.738540, 0.000000, 55.153368, 3.679313, 64.711090, 12.237543, 71.392010, 22.467647, 76.208700, 33.653625, 78.757981, 44.991507, 80.552659, 56.858041, 80.901534, 68.245180, 80.595413, 79.865492, 79.777398, 91.050598, 78.212246, 102.866275, 76.884033, 113.998229, 74.800296, 125.987453, 73.264197, 137.209409, 71.065458, 149.211628, 69.257269, 160.592166, 67.318037, 172.074333, 65.659222, 183.981349, 64.007515, 195.272495, 62.705288, 207.359656, 60.564171, 218.615031, 56.425936, 229.572399, 46.883963, 238.592344, 38.669677, 239.842665, 35.392820, 240.353286
Type01, R, 250, 32.791379, 250.178440, 28.616728, 250.005655, 20.669348, 249.219567, 9.425415, 242.227040, 2.497912, 231.121297, 0.486712, 219.062294, 0.000000, 207.455551, 0.115982, 195.203458, 0.656554, 182.983640, 1.277132, 171.357897, 1.902117, 158.495602, 2.146884, 146.329046, 2.062538, 133.776260, 1.865753, 122.535304, 1.399552, 109.947150, 0.984668, 97.731085, 0.426273, 85.670215, 0.036725, 73.425613, 0.195014, 61.705716, 1.115583, 48.960471, 3.464801, 37.545637, 7.424917, 25.933501, 13.224988, 15.283740, 21.902928, 4.793835, 33.252151, 0.040432, 45.915509, 0.000000, 56.718293, 3.983265, 67.043254, 12.800882, 72.971744, 23.729460, 76.694203, 35.776871, 79.766935, 47.218010, 81.322420, 59.303735, 82.259735, 71.459094, 82.139558, 83.286574, 81.542261, 95.461592, 80.248534, 107.609997, 78.554003, 119.596971, 76.744768, 131.402323, 74.559645, 143.087638, 72.396918, 155.128873, 70.260217, 166.719559, 68.184642, 178.728939, 66.171485, 190.724272, 64.546397, 201.896199, 62.830815, 213.501384, 59.844665, 226.183307, 54.482696, 237.518766, 45.111261, 247.517530, 36.810140, 249.753879, 33.179169, 249.664565
Type01, R, 260, 30.986079, 260.815076, 26.589159, 260.387647, 18.350896, 259.452240, 7.649823, 250.090241, 2.812290, 238.328265, 0.501203, 225.734711, 0.154583, 212.969634, 0.845160, 200.369809, 1.455927, 187.869619, 1.550392, 175.424359, 1.678058, 163.306285, 2.563398, 150.542296, 3.749417, 138.141228, 4.245194, 125.714838, 3.377406, 113.219497, 2.053423, 100.420083, 0.724284, 88.531800, 0.000000, 75.791214, 0.856665, 63.495569, 2.421927, 51.184196, 4.755967, 38.808087, 7.954295, 26.733738, 13.457020, 15.382708, 22.569048, 4.688084, 34.593515, 0.000000, 47.408686, 1.323025, 59.134046, 7.104574, 67.770542, 17.801024, 73.834465, 29.322054, 78.441473, 41.011517, 82.545064, 53.422246, 85.112641, 66.187391, 86.660868, 78.760298, 86.672330, 91.213468, 85.315925, 103.292615, 82.488248, 115.646066, 80.010775, 127.776179, 77.438361, 140.288382, 75.072736, 152.792591, 72.915047, 165.016515, 70.702304, 177.531684, 68.832284, 189.870135, 66.715374, 201.973739, 64.731215, 214.243410, 62.332503, 226.769221, 60.493153, 238.959730, 55.004349, 251.151262, 43.147741, 259.182543, 35.260223, 260.332131, 30.655027, 260.909846
Type01, R, 290, 35.110394, 291.371436, 30.353050, 291.095228, 21.504644, 289.192027, 8.998498, 279.470899, 2.412175, 266.461303, 0.238456, 252.525705, 0.294798, 237.931661, 0.362652, 223.525823, 0.142281, 209.883189, 0.201127, 195.062971, 0.801231, 182.323067, 2.072652, 168.075847, 3.262035, 154.871004, 3.358662, 140.221866, 2.703686, 126.533677, 1.551530, 112.275657, 0.849376, 98.898329, 0.000000, 84.351292, 0.343366, 70.792168, 1.779565, 56.161243, 4.559067, 43.270743, 9.457530, 29.781210, 15.969904, 17.779470, 25.379746, 5.797934, 38.988507, 0.000000, 53.093169, 2.844526, 65.043679, 9.917874, 74.754559, 21.804282, 80.696313, 34.981683, 85.834831, 47.937369, 89.608292, 61.819043, 92.596390, 75.440344, 94.126115, 89.753786, 93.726141, 103.633528, 92.013932, 117.490689, 89.108624, 130.974440, 86.247475, 144.451695, 83.459263, 157.477264, 81.534977, 171.364567, 79.805526, 185.195827, 77.842243, 198.577121, 75.525725, 212.094450, 73.288524, 225.468405, 70.862094, 239.255036, 69.255488, 252.462269, 66.717557, 266.203587, 61.084877, 278.898484, 49.378892, 288.875091, 39.929531, 290.849104, 35.183432, 291.634219
