type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45, x46, y46, x47, y47, x48, y48, x49, y49, x50, y50, x51, y51, x52, y52, x53, y53, x54, y54, x55, y55, x56, y56, x57, y57, x58, y58, x59, y59, x60, y60
Type00, R, 240, 30.872925, 240.526440, 27.592214, 240.466360, 21.069258, 239.651994, 12.405292, 234.730159, 6.076318, 226.288712, 3.507319, 217.317073, 1.845814, 207.728100, 0.894183, 198.477974, 0.312757, 188.845134, 0.101105, 179.340433, 0.192769, 169.711362, 0.571974, 160.349541, 1.103547, 150.465263, 1.975859, 140.538647, 3.149399, 130.893564, 4.193385, 121.379472, 4.184301, 112.325806, 3.288747, 102.779767, 2.119553, 93.471650, 0.905060, 83.119686, 0.199361, 73.812600, 0.000000, 64.733864, 0.514571, 54.736886, 1.703626, 45.145046, 3.398522, 36.029796, 6.246621, 26.845478, 10.288920, 18.348213, 16.311410, 9.946838, 24.152122, 3.479061, 33.365846, 0.000000, 43.359515, 0.872289, 51.976042, 4.425861, 60.010976, 11.099412, 65.810377, 19.112593, 70.722343, 27.641001, 74.532021, 36.772016, 77.660016, 46.063804, 79.558788, 55.266222, 81.060986, 64.328176, 81.769680, 73.941448, 81.819435, 83.391827, 80.992727, 93.018041, 79.543432, 102.325707, 77.338330, 111.569005, 74.941821, 120.601663, 72.891186, 129.886141, 70.807217, 138.875730, 69.158446, 148.005904, 66.893876, 157.778639, 65.202364, 166.825455, 63.153909, 176.666849, 61.606600, 185.644045, 59.932238, 195.120758, 58.732932, 204.886005, 56.515336, 214.546420, 53.699845, 223.263799, 48.482782, 232.152795, 40.538275, 238.520552, 34.200951, 240.136942, 31.060890, 240.078927
Type00, R, 245, 30.422694, 245.438917, 27.474339, 245.366534, 20.583266, 244.871906, 12.056311, 240.103047, 5.247958, 231.984461, 1.655031, 222.675255, 0.222406, 213.198067, 0.041179, 202.646259, 0.629011, 193.482079, 0.708619, 183.839175, 0.550259, 174.412709, 0.433844, 164.587464, 0.724909, 154.508532, 1.388466, 144.908264, 2.323487, 135.044642, 3.275550, 125.922546, 3.883564, 115.779819, 3.310021, 106.344246, 1.750570, 96.542950, 0.763560, 86.721916, 0.000000, 77.225667, 0.359192, 66.950717, 1.291238, 57.054791, 2.721811, 47.578597, 4.453898, 38.510359, 7.405075, 28.540413, 11.397515, 19.702954, 16.813856, 10.914584, 24.835017, 3.354647, 34.218577, 0.000000, 44.077534, 0.683190, 52.888771, 3.902012, 61.699896, 10.661815, 67.600865, 19.035400, 72.119550, 27.999543, 75.944591, 37.181306, 79.071288, 46.759450, 81.373416, 56.181305, 83.250410, 65.979312, 83.969627, 75.374480, 84.139954, 85.232179, 82.874928, 95.143120, 81.244511, 104.596379, 79.111314, 114.341952, 77.200265, 123.630459, 74.748419, 133.439993, 72.781443, 142.938380, 70.675513, 152.152220, 68.942419, 162.191981, 67.352883, 171.394737, 65.851315, 181.672706, 64.323650, 190.496007, 62.491817, 200.280425, 60.059957, 209.872628, 57.403834, 218.629459, 53.650431, 227.987309, 48.147654, 236.795788, 40.135346, 243.437134, 33.738186, 245.004242, 29.944223, 245.011646
Type00, R, 255, 30.655228, 255.243736, 27.340420, 255.367253, 20.603318, 254.331485, 11.467466, 248.625710, 4.606742, 239.497512, 1.946222, 229.897852, 0.628318, 219.057043, 0.000000, 209.204319, 0.363235, 199.129077, 0.888626, 189.382892, 1.757545, 179.099369, 2.409637, 169.404066, 3.323752, 159.604938, 4.377489, 148.843401, 5.710683, 139.260337, 6.160476, 128.621912, 5.463992, 118.579492, 4.301270, 108.178729, 2.869736, 97.929611, 1.260553, 87.254048, 0.237846, 76.641149, 0.038719, 66.778924, 0.649925, 56.855707, 2.574365, 46.440545, 5.321358, 37.100009, 8.720798, 26.672826, 12.622646, 17.607988, 19.357787, 8.801283, 28.541020, 2.917396, 38.552414, 0.174861, 48.806479, 0.000000, 58.453881, 4.560477, 66.601302, 11.937061, 72.813043, 20.739913, 77.108239, 30.153061, 80.526552, 40.117588, 83.399418, 49.962708, 85.854814, 59.899265, 87.531486, 70.842153, 87.996066, 80.781746, 87.139186, 90.495231, 85.196470, 100.795602, 82.634156, 110.743279, 79.764407, 120.724943, 76.900115, 129.813356, 74.051567, 139.883090, 71.304044, 149.821239, 69.234754, 159.521528, 67.517197, 169.504373, 66.340821, 179.654557, 65.268159, 189.686496, 64.396592, 199.410865, 63.225049, 209.270891, 61.924622, 219.426596, 59.676263, 228.895921, 55.968466, 238.284300, 49.714134, 247.375748, 40.775457, 253.456911, 34.164070, 255.180631, 30.846236, 254.421677
Type00, R, 265, 35.456853, 265.207245, 31.919507, 265.277589, 25.383373, 264.610491, 14.993481, 259.936969, 7.533749, 250.703736, 3.389126, 241.142912, 0.905889, 230.361796, 0.113409, 220.145705, 0.062799, 208.808741, 0.554582, 198.447794, 0.641468, 187.776041, 0.555718, 177.300425, 0.817670, 166.318597, 1.973750, 156.470527, 3.590470, 145.494296, 4.726853, 135.331050, 4.369774, 124.829766, 3.692111, 114.375251, 2.452141, 104.317690, 1.235713, 93.969986, 0.406919, 83.573179, 0.000000, 73.305424, 0.306477, 62.614614, 1.540079, 52.355441, 3.426036, 42.354661, 6.564464, 32.563553, 10.791012, 22.770366, 16.241166, 13.224344, 23.789848, 4.545714, 33.749123, 0.000000, 44.542473, 0.039832, 54.790459, 3.290706, 63.872109, 10.320023, 70.579996, 18.973436, 76.125076, 28.750786, 80.430582, 38.718098, 84.074837, 48.625600, 86.868478, 59.489159, 88.912295, 69.877473, 89.999862, 80.924681, 89.958012, 91.358093, 89.039717, 102.182169, 87.343927, 112.283789, 85.141951, 122.813454, 82.948451, 132.665833, 80.350240, 142.942577, 78.032913, 152.813280, 75.586595, 163.180767, 73.360173, 173.522524, 71.650837, 183.477404, 70.062746, 193.931701, 68.499721, 204.505918, 67.231919, 215.270758, 65.647517, 225.517515, 64.235471, 235.529328, 61.056666, 245.987689, 54.748665, 255.041571, 46.105064, 262.413930, 38.955340, 264.539401, 35.619485, 264.971518
Type00, R, 275, 37.282664, 275.335927, 33.714046, 275.400842, 26.197585, 274.730562, 16.233859, 269.373743, 7.897684, 260.756819, 3.304272, 250.161086, 0.755408, 239.205599, 0.151697, 228.572034, 0.213872, 217.562855, 0.484326, 207.306041, 1.016945, 195.970217, 1.955034, 184.598876, 3.017565, 173.680273, 4.559944, 163.265951, 5.631380, 152.537691, 5.620100, 141.455006, 4.789284, 130.120004, 3.496468, 119.641270, 2.221599, 108.792796, 0.973638, 97.937957, 0.000000, 87.009995, 0.205887, 75.983565, 0.915257, 65.182433, 2.569772, 54.505032, 4.744322, 44.053958, 8.037749, 33.499768, 12.159783, 23.632520, 18.071694, 13.580435, 25.411663, 4.862737, 36.536493, 0.284577, 47.404300, 0.000000, 58.251325, 3.276760, 67.500494, 10.056234, 74.551350, 19.357263, 79.957358, 29.359506, 84.307695, 39.959243, 88.088606, 50.062299, 90.858620, 61.231850, 92.891885, 71.940181, 93.875245, 82.819296, 94.074521, 93.861747, 93.129106, 105.588150, 91.726594, 115.949534, 89.528126, 126.898192, 87.140430, 137.419228, 84.475425, 148.209106, 81.722765, 158.556968, 79.036696, 169.474400, 76.918829, 179.610285, 75.131433, 190.465216, 73.477629, 200.926769, 71.887581, 212.397776, 70.330508, 222.750204, 68.383542, 233.774748, 66.138834, 244.462759, 62.447689, 254.702020, 57.261971, 264.968636, 48.166298, 272.948419, 40.749596, 274.776254, 37.213018, 275.231505
Type01, R, 230, 33.993532, 230.149314, 31.153020, 230.187308, 24.725778, 229.519714, 16.565509, 226.783794, 8.297836, 221.005361, 3.376029, 212.712837, 1.081336, 203.493053, 0.000000, 194.135402, 0.217236, 185.201966, 0.665787, 175.915052, 1.422630, 166.980496, 2.363423, 156.693714, 2.634550, 147.847397, 2.805056, 138.497247, 2.535672, 129.065922, 2.225498, 119.746650, 1.657171, 110.794820, 1.381662, 101.467384, 0.637306, 92.713800, 0.439678, 83.599895, 0.095081, 74.077805, 0.247766, 65.435711, 0.515354, 55.303535, 1.567522, 46.224133, 3.127792, 37.330800, 5.766207, 28.575167, 9.661703, 19.737377, 14.717238, 11.586558, 21.673664, 4.241315, 29.970720, 0.056072, 40.024106, 0.000000, 48.810999, 2.503302, 56.664250, 8.123815, 63.047682, 15.720856, 67.927076, 23.832551, 71.565067, 32.826010, 74.403591, 41.495316, 76.184618, 50.696012, 77.571083, 59.929764, 77.948166, 69.031792, 78.197615, 78.131543, 77.769766, 87.506431, 77.013583, 96.550193, 76.160544, 105.555938, 74.891932, 114.771716, 73.742227, 124.108847, 72.166425, 132.954881, 70.697786, 141.918198, 69.076037, 151.134223, 67.395479, 160.507369, 65.701512, 169.429529, 64.006798, 178.637617, 62.452729, 187.384545, 60.994397, 196.660673, 59.215450, 205.916589, 56.434661, 214.426009, 51.384498, 223.115653, 43.177489, 228.759337, 36.738942, 229.826955, 34.108068, 230.116473
Type01, R, 240, 35.149123, 240.290193, 31.513998, 240.052893, 25.288562, 239.804026, 16.420346, 235.371367, 8.693204, 228.104571, 4.611227, 219.049819, 2.653309, 209.704098, 2.074957, 200.064591, 2.111527, 190.153186, 1.790355, 180.778078, 0.922888, 171.388048, 0.316892, 161.841594, 0.001104, 152.547615, 0.660776, 142.151434, 1.121473, 133.414957, 1.637439, 123.418443, 1.449324, 114.047475, 1.447878, 104.357491, 0.773180, 95.083964, 0.441657, 85.537380, 0.313438, 76.138315, 0.000000, 66.882133, 0.496091, 56.856424, 1.596157, 47.328419, 3.302328, 38.127100, 6.211337, 28.693793, 10.497423, 20.049052, 16.048263, 11.472436, 23.774464, 4.164561, 33.126022, 0.560096, 42.674875, 0.000000, 52.188986, 2.341757, 60.652896, 8.174321, 67.475785, 15.978120, 72.386198, 24.700751, 76.249124, 33.988136, 78.355128, 43.183538, 80.044295, 53.117636, 80.808909, 62.452481, 80.770206, 72.065889, 80.487731, 81.483924, 79.722890, 90.785354, 78.505677, 100.455630, 77.362169, 109.813019, 75.954294, 119.276361, 74.300391, 129.109702, 73.046762, 138.313265, 71.183005, 148.251282, 69.696351, 157.723551, 68.094927, 167.050724, 66.633902, 176.816749, 65.235218, 186.405690, 63.966329, 195.874044, 62.781171, 205.651059, 61.303578, 215.323507, 58.547834, 224.116487, 53.499871, 233.090305, 44.488588, 238.765526, 38.209083, 239.953797, 35.192005, 240.022006
Type01, R, 250, 32.700937, 250.128278, 29.446692, 250.041887, 22.479300, 249.351683, 13.387929, 245.096998, 5.489033, 236.980987, 1.819083, 227.552650, 0.310403, 217.574338, 0.003334, 207.945745, 0.022332, 198.117465, 0.318144, 187.649077, 0.912553, 178.215260, 1.320922, 168.124690, 1.894041, 157.569768, 2.033284, 147.691315, 2.045084, 137.030547, 1.907772, 127.820783, 1.639276, 117.743676, 1.258061, 107.653692, 0.907073, 97.389661, 0.458092, 87.613258, 0.085640, 77.371710, 0.000000, 67.707919, 0.383196, 57.627602, 1.336496, 47.258189, 3.434309, 38.019148, 6.396916, 28.143702, 10.903112, 19.517073, 16.595199, 10.360612, 24.907732, 3.227261, 34.175025, 0.092697, 44.882937, 0.000000, 53.669327, 2.698333, 62.758039, 8.598613, 69.472934, 16.944733, 73.723729, 26.167112, 76.726971, 36.145431, 79.251247, 45.583107, 80.887532, 55.370342, 81.706193, 65.546443, 82.304903, 75.237112, 81.905478, 85.355308, 81.522420, 94.892436, 80.406403, 105.695626, 79.174133, 114.536870, 77.637302, 125.608258, 76.128449, 134.062953, 74.228659, 144.732039, 72.520396, 153.953791, 70.695988, 164.032402, 69.017446, 173.435091, 67.275061, 183.704978, 65.751427, 193.131848, 64.373670, 202.559500, 62.996030, 211.951635, 60.727005, 222.425191, 57.221199, 232.163330, 51.370545, 241.175272, 42.872234, 248.327823, 36.065335, 249.597264, 33.172134, 249.738507
Type01, R, 260, 30.842002, 260.550952, 27.125416, 260.271969, 20.468893, 259.437470, 10.940154, 253.626869, 4.845944, 244.169176, 1.935878, 234.465682, 0.264005, 223.876566, 0.061881, 213.339869, 0.502845, 203.130653, 1.091866, 192.467131, 1.352268, 182.561428, 1.412631, 172.037229, 1.609778, 162.274470, 2.272026, 151.543226, 3.320967, 141.449583, 3.887149, 131.056839, 3.892923, 120.944326, 2.921384, 110.461220, 1.889948, 99.972417, 0.788830, 90.238565, 0.000000, 79.701873, 0.181943, 69.560067, 1.157359, 59.310149, 2.608306, 49.223365, 4.499797, 38.997557, 7.172488, 29.001230, 10.877058, 19.505453, 17.135078, 10.257209, 25.422133, 2.835664, 35.665389, 0.000000, 46.014672, 1.008762, 56.079805, 5.090527, 63.948249, 12.651364, 70.176355, 22.016381, 74.604221, 31.514112, 78.429261, 41.214754, 81.842074, 51.436668, 84.163479, 61.889314, 85.887199, 72.355173, 86.555264, 82.677289, 86.341916, 92.876312, 85.116726, 102.813423, 82.891738, 113.060544, 80.747460, 123.013956, 78.697824, 133.226480, 76.590866, 143.557062, 74.698399, 153.850771, 72.912969, 163.845659, 71.072461, 174.315979, 69.468710, 184.312287, 67.822122, 194.635868, 66.125454, 204.415745, 64.395541, 214.706713, 62.554887, 224.985275, 60.776309, 235.032160, 58.066565, 245.257620, 50.764943, 254.090589, 40.998261, 259.329928, 34.203512, 260.115160, 30.665105, 260.745677
Type01, R, 290, 35.031393, 290.963061, 31.231948, 290.779757, 23.623044, 289.333696, 13.309854, 282.917844, 5.153945, 272.913728, 1.771834, 262.022911, 0.042560, 250.259608, 0.344965, 238.364618, 0.204340, 226.317127, 0.260869, 215.086436, 0.000000, 203.167327, 0.319640, 191.500521, 0.814357, 180.954301, 1.884819, 169.057314, 2.894223, 158.375261, 3.333975, 146.341493, 3.092414, 134.894862, 2.430493, 123.289776, 1.472360, 111.715093, 0.942189, 100.613021, 0.156729, 88.781936, 0.044423, 77.282809, 0.659020, 65.808525, 2.107810, 53.883345, 4.460132, 43.361689, 8.334170, 32.156311, 13.257882, 21.987681, 19.764670, 12.019743, 28.782181, 3.399079, 40.168233, 0.000000, 51.860156, 2.312402, 61.759679, 7.289525, 70.843705, 16.126379, 77.024871, 26.351353, 81.787410, 37.364754, 85.871812, 48.118709, 88.951858, 59.234142, 91.777629, 71.101772, 93.289181, 81.846378, 94.188630, 94.419886, 93.272996, 105.158449, 92.047334, 116.877311, 89.520930, 128.125790, 87.345534, 138.818007, 84.784365, 150.313233, 82.899563, 160.656693, 81.258834, 172.582140, 79.876344, 183.812095, 78.280122, 194.767575, 76.450270, 206.197222, 74.556044, 216.885030, 72.688346, 228.346387, 70.716462, 239.482418, 69.402960, 250.413120, 67.458571, 261.781794, 64.089151, 272.504765, 57.217089, 282.377610, 46.802248, 289.071358, 39.038620, 290.588167, 35.143283, 291.200576
