type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45, x46, y46, x47, y47, x48, y48, x49, y49, x50, y50, x51, y51, x52, y52, x53, y53, x54, y54, x55, y55, x56, y56, x57, y57, x58, y58, x59, y59, x60, y60, x61, y61, x62, y62, x63, y63, x64, y64, x65, y65, x66, y66, x67, y67, x68, y68, x69, y69, x70, y70
Type00, R, 240, 30.855399, 240.390315, 28.131036, 240.274897, 22.448221, 239.821117, 14.946296, 236.212346, 8.607613, 230.189669, 4.817706, 222.428412, 3.111949, 214.846773, 1.703391, 206.577535, 0.941519, 198.722431, 0.430598, 190.654321, 0.099753, 182.322353, 0.161045, 174.487436, 0.269467, 166.025060, 0.694821, 158.316122, 1.129757, 149.643445, 1.914305, 141.285559, 2.823446, 133.124359, 3.851063, 124.773269, 4.253274, 117.188580, 3.947910, 109.086763, 3.067310, 101.206245, 2.113523, 93.057741, 1.035378, 84.462148, 0.392404, 76.151552, 0.000000, 68.663349, 0.177539, 60.385866, 0.780505, 52.011735, 1.895843, 43.881289, 3.382695, 36.220227, 5.675980, 28.244568, 8.903231, 21.085608, 13.191348, 13.655269, 19.186371, 7.287839, 26.120596, 2.343576, 34.123962, 0.000000, 42.624995, 0.692664, 50.006230, 3.350874, 57.158974, 8.295597, 62.911430, 14.747391, 67.427717, 21.714748, 71.467117, 29.146582, 74.567883, 36.883750, 77.293350, 44.845724, 79.084417, 52.624700, 80.464318, 60.412718, 81.407888, 68.298228, 81.835087, 76.502187, 81.697193, 84.531458, 80.971343, 92.732813, 79.806300, 100.642341, 78.028795, 108.555105, 76.068245, 116.269684, 74.071365, 124.054299, 72.436305, 131.913168, 70.604781, 139.532543, 69.282309, 147.338047, 67.320204, 155.596139, 65.818686, 163.443468, 64.168658, 171.508344, 62.607313, 179.658688, 61.259128, 187.305394, 59.897670, 195.415964, 58.823975, 203.745975, 57.128312, 211.936463, 54.891567, 219.708011, 51.616100, 227.042333, 46.219758, 234.266255, 39.115151, 238.646879, 33.731465, 240.194173, 31.028166, 239.593245
Type00, R, 245, 30.334187, 245.267720, 27.765457, 245.195711, 22.140936, 244.873481, 14.288513, 241.566872, 8.139878, 235.695925, 3.342649, 227.987741, 1.232844, 220.220388, 0.045259, 211.860447, 0.000000, 202.994286, 0.406706, 195.093566, 0.610374, 186.957936, 0.565769, 178.923095, 0.358491, 170.722969, 0.412468, 162.325792, 0.670057, 153.769240, 1.206448, 145.578274, 2.052513, 137.252422, 2.744517, 129.228514, 3.591160, 121.200020, 3.635446, 112.505558, 3.003517, 104.647134, 1.610121, 96.232511, 0.855023, 87.761703, 0.023049, 79.967792, 0.082939, 70.977993, 0.580379, 62.902115, 1.587477, 54.056127, 2.806425, 46.497677, 4.358042, 38.526509, 6.734181, 30.127885, 9.944107, 22.455065, 13.947140, 14.852599, 19.543855, 7.810489, 26.839985, 2.153116, 34.819311, 0.000000, 43.317474, 0.451629, 50.720572, 2.902710, 58.502924, 7.745987, 64.603870, 14.437506, 69.026048, 21.788314, 72.743126, 29.450333, 75.909867, 37.344402, 78.612429, 45.383495, 80.682522, 53.550469, 82.438157, 61.632721, 83.529595, 69.950254, 83.971987, 77.928710, 83.889206, 86.427628, 82.781837, 94.784915, 81.426834, 102.899281, 79.697151, 111.101654, 77.980886, 119.176744, 76.191114, 127.247408, 74.142342, 135.540126, 72.503649, 143.621809, 70.726644, 151.395300, 69.168814, 159.990588, 67.850362, 167.862899, 66.497039, 176.306430, 65.236033, 184.598807, 63.907515, 192.168529, 62.249792, 200.529335, 60.245796, 208.752262, 57.971197, 216.169989, 55.214727, 224.082004, 51.227373, 231.811309, 45.825056, 238.844711, 38.590199, 243.670771, 33.137654, 244.881897, 29.762012, 244.752681
Type00, R, 255, 30.674309, 255.183183, 27.921066, 255.338253, 22.040835, 254.500449, 14.240122, 250.597578, 7.324864, 243.607424, 3.387276, 235.640232, 1.575812, 227.124414, 0.633989, 217.929332, 0.000000, 209.637452, 0.409576, 200.960035, 0.576261, 192.744555, 1.504439, 184.067252, 1.876300, 175.571780, 2.730153, 167.278770, 3.336741, 158.965614, 4.352566, 149.648116, 5.400198, 141.621892, 6.114136, 132.612594, 5.932175, 123.968516, 5.125518, 115.230970, 4.111336, 106.466557, 2.859819, 97.700456, 1.500469, 88.608059, 0.505385, 79.622358, 0.116228, 70.880688, 0.197783, 62.684907, 1.167562, 53.948606, 2.904412, 45.265894, 5.288094, 37.339165, 8.138193, 28.399573, 11.269822, 20.573430, 15.889733, 12.771132, 22.727259, 6.357280, 30.783561, 2.087957, 39.332183, 0.166361, 48.113628, 0.000000, 56.254926, 3.304768, 63.846569, 9.013308, 69.618316, 15.979981, 74.466000, 23.778053, 77.658473, 31.850973, 80.690353, 40.345532, 83.034211, 48.782085, 85.290554, 57.070476, 86.889939, 66.245278, 87.901591, 75.168843, 87.816904, 83.437627, 86.923234, 91.833460, 85.233653, 100.584005, 83.070203, 109.014435, 80.726621, 117.640243, 78.223676, 125.490687, 75.826927, 133.654967, 73.414227, 142.183452, 71.120880, 150.678428, 69.426074, 158.818079, 67.837766, 167.456925, 66.811401, 175.839756, 65.792678, 184.661970, 65.006619, 192.926609, 64.212782, 201.261858, 63.172571, 209.702142, 62.099732, 218.263335, 60.304376, 226.512354, 57.646887, 234.393069, 53.423034, 242.411890, 47.175095, 249.410251, 39.332264, 253.751453, 33.658846, 255.234187, 30.946646, 253.997039
Type00, R, 265, 35.466536, 265.150815, 32.397690, 265.198648, 26.936616, 264.735773, 17.989002, 261.555819, 10.630277, 255.003361, 5.629532, 246.726743, 2.759988, 238.498836, 0.769962, 229.081283, 0.224979, 220.724818, 0.000000, 210.676424, 0.425947, 202.229994, 0.627942, 192.673377, 0.601169, 184.237042, 0.600565, 174.742970, 0.904946, 165.841405, 1.859251, 157.136562, 3.230984, 148.231120, 4.330033, 138.989709, 4.718284, 130.628724, 4.099779, 121.327222, 3.558480, 112.761256, 2.421772, 104.018631, 1.375969, 95.380817, 0.683733, 86.357857, 0.071656, 77.822939, 0.121445, 68.667093, 0.569307, 59.861468, 1.768153, 51.060085, 3.435913, 42.584230, 5.922052, 34.322233, 9.419110, 25.820541, 13.431521, 17.806387, 18.958852, 9.686691, 25.899811, 3.287363, 34.608298, 0.001160, 43.733118, 0.000000, 52.497176, 2.375094, 60.662362, 7.394069, 67.216905, 14.350196, 72.468208, 22.039145, 76.933518, 30.504456, 80.526463, 38.947662, 83.630709, 47.367019, 86.194475, 56.517920, 88.088655, 65.467319, 89.503730, 74.578821, 90.025315, 83.864642, 89.869725, 92.702502, 89.002161, 102.031884, 87.677585, 110.416437, 85.816915, 119.636688, 83.998849, 127.910733, 81.959864, 136.691063, 79.777002, 145.176447, 77.823635, 153.739459, 75.760236, 162.431264, 73.771688, 171.401422, 72.306888, 179.756602, 70.797241, 188.606627, 69.597982, 197.443125, 68.184341, 206.580396, 67.223936, 215.601597, 65.754923, 224.484399, 64.680870, 232.793334, 62.483584, 241.849664, 58.544520, 250.039470, 52.194163, 257.357491, 44.674562, 262.961695, 38.246831, 264.458719, 35.984990, 265.069806
Type00, R, 275, 37.205972, 275.307026, 34.173600, 275.338262, 27.828482, 274.932733, 19.013998, 271.168935, 11.414064, 264.793294, 5.619813, 256.541153, 2.615921, 247.332495, 0.528534, 238.064507, 0.197526, 229.027141, 0.039085, 219.608913, 0.379497, 210.880644, 0.578798, 201.493388, 1.325061, 191.950075, 2.042388, 182.152575, 3.079858, 173.150427, 4.317228, 164.033937, 5.345924, 155.241922, 5.633133, 145.573457, 5.198776, 136.335635, 4.331384, 126.609900, 3.209632, 117.961984, 2.116865, 108.533483, 1.096610, 99.383527, 0.123740, 90.091226, 0.000000, 80.705656, 0.364462, 71.435091, 1.249582, 62.263038, 2.745386, 53.230708, 4.648338, 44.341495, 7.333564, 35.324675, 10.675640, 26.855269, 15.010637, 18.309327, 20.615565, 10.143498, 27.635141, 3.544115, 37.381931, 0.341552, 46.444019, 0.000000, 55.822809, 2.373419, 64.084960, 7.264320, 70.997782, 14.338478, 76.292823, 22.597909, 80.719669, 31.213138, 84.284798, 40.205514, 87.621530, 48.865886, 90.024433, 58.105890, 92.084554, 67.559668, 93.289866, 76.498091, 93.913474, 85.974288, 93.883699, 95.365518, 93.060329, 105.333002, 91.872340, 114.284092, 90.212100, 123.308930, 88.147849, 132.687712, 86.072017, 141.417870, 83.734318, 150.781991, 81.406887, 159.421714, 79.135153, 168.823138, 77.262679, 177.439148, 75.695118, 186.542489, 74.218530, 195.563559, 72.876029, 204.810953, 71.483043, 214.406736, 70.215677, 223.245438, 68.423343, 232.517633, 66.793938, 241.851852, 63.831136, 250.428166, 60.368550, 259.424525, 54.617857, 267.459651, 46.484005, 273.562376, 40.063582, 274.625537, 37.278088, 275.495837
Type01, R, 230, 33.983998, 230.109161, 31.659235, 230.091991, 26.044971, 229.717690, 19.064948, 227.617026, 11.840029, 223.884787, 6.057520, 217.651242, 2.690777, 210.403401, 1.017752, 202.466220, 0.000000, 194.428408, 0.244563, 187.058778, 0.406565, 178.850670, 1.089666, 171.540680, 1.729889, 163.197728, 2.474240, 154.736346, 2.614181, 147.320108, 2.807254, 139.167868, 2.588364, 131.435552, 2.375801, 123.109576, 1.951447, 115.722803, 1.558655, 107.719290, 1.294834, 100.023653, 0.596658, 92.515885, 0.544950, 84.759547, 0.075577, 76.765348, 0.269880, 69.055457, 0.231970, 61.333103, 0.819657, 52.629130, 1.728496, 45.219936, 3.088582, 37.484234, 5.323539, 30.156413, 8.222486, 22.519408, 12.272554, 15.435971, 17.104013, 8.634590, 23.534683, 3.111133, 30.713355, 0.038188, 39.254228, 0.000000, 46.904748, 1.775712, 53.787025, 5.760676, 59.866223, 11.656083, 64.712213, 18.272552, 68.624234, 25.406997, 71.613062, 33.011431, 74.063151, 40.440022, 75.771560, 48.132663, 76.985555, 56.053473, 77.861977, 63.824964, 77.951399, 71.549202, 78.205655, 79.372424, 77.737193, 87.248993, 77.135949, 95.118277, 76.469952, 102.570824, 75.457687, 110.547272, 74.477712, 118.272309, 73.358832, 126.264266, 72.053753, 133.655238, 70.747270, 141.378367, 69.468885, 149.118456, 67.937367, 157.154992, 66.623899, 164.826801, 65.059010, 172.580675, 63.737548, 180.259142, 62.377734, 187.796326, 61.124617, 195.607563, 59.727906, 203.575980, 57.626892, 210.950937, 54.435034, 218.314727, 49.084721, 225.070764, 41.700181, 228.912619, 36.334771, 229.918698, 34.114356, 229.902377
Type01, R, 240, 35.081190, 240.307176, 32.178375, 240.168089, 26.350125, 239.817677, 19.248822, 237.050955, 11.678456, 231.451560, 6.932510, 224.644760, 3.872591, 216.651465, 2.645197, 208.722099, 1.997902, 200.581435, 2.106967, 191.984035, 1.854500, 184.118833, 1.353586, 175.954706, 0.607755, 168.058678, 0.203911, 159.881327, 0.000000, 151.980265, 0.558700, 143.075862, 0.961882, 135.551354, 1.419166, 127.362123, 1.541472, 119.048937, 1.389872, 111.081985, 1.316081, 102.815817, 0.738614, 94.994803, 0.406610, 86.804756, 0.352566, 78.869549, 0.037459, 70.866455, 0.110272, 62.837419, 0.713424, 54.202196, 1.763001, 46.294113, 3.203780, 38.447612, 5.680895, 30.323559, 8.863434, 22.978062, 13.340360, 15.488880, 18.609623, 8.661012, 25.882506, 3.141925, 33.753010, 0.673364, 41.925337, 0.000000, 50.038662, 1.832460, 57.539473, 5.660728, 64.012371, 11.978820, 69.171017, 18.711849, 73.008609, 26.427316, 76.289812, 34.330664, 77.974253, 41.975437, 79.689914, 50.657737, 80.398028, 58.417732, 80.900855, 66.754696, 80.564053, 74.702659, 80.415834, 82.789445, 79.623442, 90.673226, 78.707878, 98.882440, 77.629444, 106.955216, 76.644767, 114.832908, 75.205343, 123.187318, 73.996555, 131.298115, 72.796214, 139.261047, 71.296496, 147.642413, 69.907367, 155.816685, 68.683311, 163.699572, 67.259205, 171.866448, 66.160976, 180.168697, 64.884736, 188.241524, 63.930851, 196.379125, 62.778103, 204.594125, 61.768452, 212.986597, 59.610020, 220.579515, 56.635668, 228.219963, 50.836259, 235.134543, 43.072734, 239.017374, 37.634473, 240.088186, 35.288480, 239.894578
Type01, R, 250, 32.707841, 250.163412, 30.070428, 250.048081, 23.874860, 249.616464, 16.230773, 246.581143, 8.685255, 240.927623, 3.836477, 233.179305, 1.346155, 225.123127, 0.324812, 216.556203, 0.047412, 208.402028, 0.000000, 200.131123, 0.256016, 191.146224, 0.586519, 182.979482, 1.131563, 174.588893, 1.411567, 166.021718, 1.966415, 156.971628, 1.981706, 148.621033, 2.133123, 139.599346, 1.926410, 131.331500, 1.861209, 123.341340, 1.512069, 114.515831, 1.236738, 106.059998, 0.897611, 97.270684, 0.564491, 88.926369, 0.169549, 80.391841, 0.054073, 71.758642, 0.125816, 63.724810, 0.613165, 54.758050, 1.614397, 46.168905, 3.383810, 38.435044, 5.906653, 29.708502, 9.285066, 22.622982, 13.842613, 14.508875, 19.447012, 7.676047, 27.091443, 2.250911, 34.902566, 0.263133, 44.184699, 0.000000, 51.641945, 2.040014, 59.524040, 6.203870, 66.140065, 12.452360, 71.086239, 20.031746, 74.227479, 27.906220, 76.838047, 36.496660, 78.976140, 44.461817, 80.491655, 52.773296, 81.446131, 61.267688, 81.994761, 69.899125, 82.284175, 77.980134, 81.840400, 86.804645, 81.539799, 94.722698, 80.610336, 104.036687, 79.593896, 111.737817, 78.381194, 120.497639, 77.070759, 129.067994, 75.719788, 136.455729, 74.072484, 145.709967, 72.665147, 153.333707, 71.068594, 162.073373, 69.648823, 169.996158, 68.186492, 178.545361, 66.717361, 187.040447, 65.549077, 194.937403, 64.286812, 203.061854, 63.194659, 210.948971, 61.328686, 219.823947, 58.814382, 228.322760, 54.809028, 236.289752, 49.011785, 243.556469, 41.338592, 248.764405, 35.641018, 249.610161, 33.203171, 249.809792
Type01, R, 260, 30.825294, 260.398619, 27.591776, 260.237142, 22.022116, 259.396992, 13.587516, 255.641247, 7.286771, 248.247299, 3.467441, 240.256580, 1.457596, 231.563263, 0.219506, 222.705715, 0.035485, 213.607126, 0.436386, 205.043972, 0.792574, 195.884361, 1.327373, 187.383122, 1.263292, 178.556890, 1.478500, 169.919870, 1.619164, 161.438300, 2.156851, 152.368633, 3.114290, 143.718412, 3.610696, 134.961598, 3.994967, 126.181951, 3.566644, 117.601097, 2.741732, 108.542449, 1.837696, 99.694561, 0.928432, 91.475082, 0.157220, 82.449813, 0.000000, 73.901554, 0.534962, 65.029344, 1.482153, 56.539125, 2.838499, 47.794804, 4.398547, 39.208401, 6.713601, 30.613935, 9.462295, 22.456104, 13.973167, 14.510512, 20.023441, 7.071264, 27.681587, 1.866896, 36.397184, 0.000000, 45.236982, 0.791435, 53.820838, 3.947106, 61.180244, 9.394035, 66.994666, 17.015907, 71.723043, 24.914425, 75.253693, 33.157798, 78.499521, 41.332177, 81.423265, 50.138540, 83.547850, 58.833420, 85.216077, 67.967310, 86.219571, 76.555801, 86.539365, 85.547182, 86.145866, 94.015961, 85.102547, 102.495135, 83.218081, 111.352522, 81.409065, 119.587061, 79.612876, 128.513688, 77.855090, 136.923462, 76.109756, 146.007116, 74.515752, 154.531048, 72.993410, 163.113995, 71.439985, 172.029380, 69.995113, 180.539559, 68.662989, 189.292638, 67.198333, 197.851661, 65.787609, 206.246354, 64.272990, 215.026993, 62.737455, 223.776759, 61.194454, 232.318245, 59.326316, 241.023565, 55.194293, 249.263756, 47.774952, 255.764820, 39.589074, 259.414424, 33.498448, 259.989134, 30.907695, 260.728001
Type01, R, 290, 34.990520, 290.631003, 31.806289, 290.463547, 25.230467, 289.380686, 16.325895, 284.777761, 8.446560, 277.192517, 3.465880, 268.270001, 1.284367, 258.688646, 0.000000, 248.733898, 0.327015, 238.482654, 0.158972, 228.440831, 0.250411, 218.358867, 0.060367, 209.090426, 0.059297, 198.221053, 0.372610, 189.250879, 0.854375, 179.701368, 1.754218, 169.913412, 2.615254, 160.500028, 3.211362, 150.847553, 3.193358, 140.519705, 2.904167, 131.074957, 2.221393, 120.942735, 1.436766, 111.315767, 1.002381, 101.683975, 0.309517, 91.918603, 0.019363, 81.783853, 0.188793, 72.281168, 0.984935, 62.193435, 2.335531, 52.295702, 4.399250, 43.353339, 7.579865, 33.769118, 11.521520, 25.009611, 16.473623, 16.354607, 22.878598, 8.335217, 31.264743, 1.935086, 40.985371, 0.000000, 51.001822, 1.783661, 59.453091, 5.724066, 67.631046, 12.260347, 73.940818, 20.652006, 78.583375, 29.574237, 82.533533, 38.988978, 85.876083, 48.127873, 88.566265, 57.523090, 91.019850, 67.662365, 92.698963, 76.957684, 93.729920, 86.898357, 93.977396, 97.261485, 93.061436, 106.328855, 91.996400, 116.353045, 89.906686, 126.010891, 87.986862, 135.035891, 85.952063, 144.741548, 83.939841, 153.971263, 82.492039, 163.111312, 81.094589, 173.277814, 79.906540, 182.794800, 78.619936, 192.131955, 77.039993, 201.785509, 75.522729, 211.148101, 73.851905, 220.417770, 72.281426, 230.218344, 70.639797, 239.633376, 69.469502, 248.895500, 68.010800, 258.629484, 65.505538, 267.839669, 61.402394, 276.754015, 54.107302, 284.295799, 45.147226, 289.121758, 38.274435, 290.344490, 35.360831, 290.847803
