Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,IoU,Dice
Type00,240,PCA_GPR,9.99833,9.70948,10.92289,2.84788,32.15211,2.70672,0.8883,0.94085
Type00,240,PCA_KRR,9.42381,9.19899,9.92074,2.648,29.7646,2.53658,0.89538,0.9448
Type00,240,PCA_LINEAR,9.47431,9.28245,10.19261,2.64497,31.04803,2.77874,0.89649,0.94542
Type00,240,PCA_SVR,9.16749,8.92257,9.42452,2.47942,27.47232,2.29374,0.90046,0.94762
Type00,240,PURE_GPR,9.9167,9.69893,10.36076,2.73552,32.26202,2.76527,0.89504,0.94462
Type00,240,PURE_KRR,9.55492,9.32179,10.10065,2.72859,31.07344,2.52418,0.89517,0.94468
Type00,240,PURE_SVR,9.88612,9.61713,10.69796,2.81238,32.06336,2.56876,0.89178,0.9428
Type00,240,RATIO_CTRL,0,0,0,0,0,0,1,1
Type00,245,PCA_GPR,12.96305,12.66637,20.03412,4.53955,52.10423,4.84942,0.84773,0.91759
Type00,245,PCA_KRR,10.03528,9.8421,9.81889,2.70777,29.1517,1.87958,0.89951,0.9471
Type00,245,PCA_LINEAR,9.99716,9.87039,10.06293,2.67022,29.66554,1.99315,0.90166,0.94829
Type00,245,PCA_SVR,9.83807,9.63884,9.3264,2.61129,27.53877,1.68784,0.90171,0.94831
Type00,245,PURE_GPR,9.99651,9.81216,9.66371,2.65076,30.1874,1.84609,0.90516,0.95022
Type00,245,PURE_KRR,10.19951,10.00676,9.99136,2.82038,31.24748,1.83519,0.89968,0.94719
Type00,245,PURE_SVR,10.41867,10.21297,10.32317,2.8857,31.89899,1.88518,0.89679,0.94559
Type00,245,RATIO_CTRL,1.15761,1.02042,1.99799,0.62643,0.82879,0.41672,0.97408,0.98687
Type00,255,PCA_GPR,9.91931,9.62773,10.08938,2.45748,28.04049,1.10786,0.9061,0.95074
Type00,255,PCA_KRR,10.11834,9.55901,10.1358,2.57467,28.76294,1.38447,0.90167,0.94829
Type00,255,PCA_LINEAR,9.8945,9.60334,10.04238,2.44521,27.88997,1.09444,0.90634,0.95087
Type00,255,PCA_SVR,9.70866,9.2401,9.7893,2.69898,27.5628,1.33709,0.89875,0.94668
Type00,255,PURE_GPR,10.36818,9.83584,10.35206,2.76652,31.85742,1.06786,0.90219,0.94858
Type00,255,PURE_KRR,10.11762,9.6103,10.0814,2.8209,31.29939,1.18725,0.90077,0.94779
Type00,255,PURE_SVR,9.80347,9.33913,9.67895,2.82435,29.96332,1.21255,0.90213,0.94855
Type00,255,RATIO_CTRL,2.42436,2.29173,3.53415,1.17411,1.54496,0.53765,0.95115,0.97497
Type00,265,PCA_GPR,5.31102,4.89639,3.37077,0.97385,3.7051,1.61047,0.95383,0.97637
Type00,265,PCA_KRR,9.97466,9.82268,10.71425,2.04602,29.94883,1.69527,0.9292,0.9633
Type00,265,PCA_LINEAR,9.99819,9.80013,10.41526,2.14005,27.94613,1.1461,0.92255,0.95972
Type00,265,PCA_SVR,10.35078,10.16103,11.48149,2.147,32.67374,2.04966,0.92574,0.96144
Type00,265,PURE_GPR,10.35402,10.21433,11.03983,2.47949,35.28195,1.18433,0.9179,0.95719
Type00,265,PURE_KRR,9.91635,9.79403,10.30319,2.3254,33.62263,1.39869,0.92209,0.95947
Type00,265,PURE_SVR,9.59979,9.48532,9.76761,2.23323,32.27566,1.4539,0.92471,0.96088
Type00,265,RATIO_CTRL,1.82358,1.57385,1.48182,0.4578,0.48782,0.37561,0.9752,0.98744
Type00,275,PCA_GPR,6.50242,5.83183,10.55003,3.75277,37.89422,5.74494,0.87555,0.93365
Type00,275,PCA_KRR,10.27163,9.91034,10.66089,2.20453,26.86795,0.00285,0.92497,0.96103
Type00,275,PCA_LINEAR,10.05989,9.74473,10.34029,2.13332,25.61121,0.17477,0.92609,0.96163
Type00,275,PCA_SVR,10.8616,10.49056,11.70746,2.37587,30.30399,0.29372,0.91857,0.95756
Type00,275,PURE_GPR,9.12733,8.73415,9.1239,2.4995,28.72626,0.79923,0.91753,0.95699
Type00,275,PURE_KRR,10.56581,10.22947,10.69463,2.73938,33.85718,0.30856,0.91165,0.95378
Type00,275,PURE_SVR,10.69699,10.37872,10.90193,2.78068,34.57944,0.25085,0.9105,0.95316
Type00,275,RATIO_CTRL,2.0275,1.9034,2.35672,0.68061,1.8742,0.1803,0.97197,0.98579
Type01,230,PCA_GPR,19.58572,18.49768,27.22942,6.26998,84.04329,7.26612,0.79779,0.88752
Type01,230,PCA_KRR,4.66691,4.37653,0.88077,0.40667,1.73748,0.83942,0.98092,0.99037
Type01,230,PCA_LINEAR,4.53567,4.14594,1.28397,0.33674,1.462,0.54387,0.98498,0.99243
Type01,230,PCA_SVR,5.03215,4.82756,1.55167,0.43068,3.87086,0.53866,0.9764,0.98806
Type01,230,PURE_GPR,6.16454,6.00938,3.11719,0.80814,8.04433,1.10558,0.96483,0.9821
Type01,230,PURE_KRR,4.60118,4.30445,0.66965,0.34273,1.52303,0.61423,0.98366,0.99176
