CTRL_Count,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,IoU,Dice,,
10,PCA_KRR,32.92341,29.80123,15.0885,4.2167,20.88273,2.54029,0.842215,0.913985,,
20,PCA_KRR,16.70856,15.616825,6.252095,1.842025,11.011255,1.56469,0.93193,0.96461,,
30,PCA_KRR,11.597835,10.758825,4.363375,1.47169,7.67793,1.247455,0.93882,0.9683,,
40,PCA_KRR,9.224115,8.516465,4.17846,1.363025,6.80464,1.1878,0.943545,0.970785,,
50,PCA_KRR,7.874725,7.239855,4.176585,1.34709,7.03655,1.17209,0.94484,0.97145,,
60,PCA_KRR,6.932785,6.35669,4.182535,1.346785,6.96313,1.17085,0.94541,0.97176,,
70,PCA_KRR,6.346565,5.765135,4.27242,1.345275,7.18027,1.191835,0.94039,0.969,,
10,PCA_LINEAR,32.689065,29.628025,15.102455,4.306885,22.60986,2.72918,0.838195,0.911585,,
20,PCA_LINEAR,16.63614,15.581695,6.244,1.810315,11.66507,1.57149,0.93318,0.965295,,
30,PCA_LINEAR,11.50935,10.7117,4.241625,1.411665,7.883515,1.183465,0.941255,0.969595,,
40,PCA_LINEAR,9.11407,8.45623,4.066945,1.30146,6.869855,1.140365,0.94547,0.97181,,
50,PCA_LINEAR,7.73687,7.143045,4.0634,1.27621,6.805905,1.149585,0.94709,0.972655,,
60,PCA_LINEAR,6.7891,6.254375,4.075545,1.273235,6.67,1.158625,0.947945,0.973105,,
70,PCA_LINEAR,6.09355,5.59572,4.073965,1.275975,6.890275,1.177295,0.946255,0.97221,,
10,PCA_SVR,33.220165,30.05532,15.4063,4.26978,26.496435,2.573205,0.840635,0.913045,,
20,PCA_SVR,16.6784,15.566355,6.302915,1.92505,10.69939,1.59334,0.92893,0.96297,,
30,PCA_SVR,11.66768,10.833575,4.66738,1.59148,7.8612,1.305805,0.93515,0.96629,,
40,PCA_SVR,9.25054,8.54514,4.57782,1.501385,7.603825,1.30015,0.938865,0.96825,,
50,PCA_SVR,7.93557,7.32257,4.580765,1.484765,8.14064,1.34622,0.93967,0.968635,,
60,PCA_SVR,7.00699,6.455375,4.56893,1.47852,7.993265,1.37488,0.9405,0.969075,,
70,PCA_SVR,6.484795,5.9349,4.661465,1.49149,8.202145,1.42388,0.934315,0.965675,,
10,PURE_GPR,33.0543,29.97654,15.19713,4.3625,23.47423,2.757445,0.826645,0.904685,,
20,PURE_GPR,16.761685,15.71847,6.339985,1.9811,11.228755,1.60787,0.916665,0.956285,,
30,PURE_GPR,11.60959,10.79919,5.27978,1.718485,9.795315,1.269165,0.92568,0.961215,,
40,PURE_GPR,9.3385,8.652455,5.235585,1.63787,9.46772,1.24152,0.9325,0.96487,,
50,PURE_GPR,8.032545,7.4197,5.360065,1.661855,9.8323,1.22514,0.93264,0.96493,,
60,PURE_GPR,7.10764,6.545325,5.38864,1.67223,9.621965,1.25258,0.931735,0.964465,,
70,PURE_GPR,6.606315,6.076655,5.48852,1.686575,10.56413,1.300345,0.92751,0.962175,,
10,PURE_KRR,32.79849,29.67545,15.08129,4.231085,21.813295,2.592635,0.83504,0.90969,,
20,PURE_KRR,16.65256,15.54807,6.218185,1.902375,11.031485,1.5457,0.92115,0.9587,,
30,PURE_KRR,11.508125,10.65961,4.82933,1.61902,8.06183,1.25071,0.929955,0.963475,,
40,PURE_KRR,9.23473,8.507785,4.801155,1.55751,7.341685,1.2256,0.936075,0.966735,,
50,PURE_KRR,7.917675,7.258525,4.881435,1.562335,7.557935,1.230755,0.936865,0.967125,,
60,PURE_KRR,6.967395,6.363245,4.9136,1.577705,7.389125,1.24091,0.935695,0.96652,,
10,PURE_SVR,32.807095,29.68803,15.14215,4.257195,24.145375,2.642035,0.83518,0.909785,,
20,PURE_SVR,16.86821,15.755775,6.4195,1.94168,11.946975,1.65125,0.91998,0.95803,,
30,PURE_SVR,11.6175,10.754775,4.963475,1.624485,8.65317,1.27717,0.930085,0.963525,,
40,PURE_SVR,9.383395,8.641135,4.9336,1.56856,7.90327,1.3016,0.936075,0.966715,,
50,PURE_SVR,8.0711,7.40453,5.01009,1.57481,8.14128,1.298785,0.936305,0.9668,,
60,PURE_SVR,7.087295,6.46914,4.99574,1.58525,7.83552,1.29887,0.935695,0.96649,,
10,RATIO_CTRL,28.69783419,25.96170325,14.35714253,4.103602993,23.02459272,2.950784867,0.845392764,0.915608109,,
20,RATIO_CTRL,14.63842381,13.6037117,6.619794135,2.117134584,12.55417293,2.078525953,0.920279586,0.95818139,,
30,RATIO_CTRL,10.39055641,9.559856999,5.576312312,1.88060538,10.21100711,1.747733556,0.924595945,0.960547464,,
40,RATIO_CTRL,8.467458047,7.734900492,5.557104509,1.798156558,9.505671471,1.740433329,0.930012279,0.963469285,,
50,RATIO_CTRL,7.403830534,6.726461669,5.60677167,1.789149599,9.723100046,1.727347814,0.931131555,0.964053846,,
60,RATIO_CTRL,6.607101964,5.974026929,5.521375181,1.772417767,9.231814221,1.714794096,0.931582052,0.964324905,,
70,RATIO_CTRL,6.1090486,5.486966606,5.605813154,1.76473515,9.693828669,1.781746323,0.927550559,0.962102873,,
