type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23
Type00, L, 240, 59.572956, 244.241080, 51.952724, 245.408200, 30.177003, 235.693736, 24.589825, 207.054712, 23.125646, 180.513395, 16.971637, 154.304045, 10.394097, 127.048299, 2.830804, 101.420377, 0.000000, 73.490100, 9.004365, 46.933388, 18.626488, 20.220282, 42.613487, 0.000000, 72.459031, 8.745029, 82.690659, 37.332889, 87.214602, 64.603245, 84.236392, 91.142382, 83.030181, 117.360900, 84.031528, 145.815813, 87.459649, 173.147734, 84.103385, 199.150255, 83.593947, 227.850542, 70.384128, 244.059465, 59.041197, 244.122552
Type00, L, 245, 60.200165, 249.976784, 49.433804, 251.193678, 33.411295, 237.729151, 24.281273, 209.631028, 19.581460, 182.444589, 13.608882, 155.462908, 7.888857, 128.850259, 0.979393, 101.121746, 0.000000, 73.370702, 7.629726, 46.382342, 19.000360, 18.675440, 44.395468, 0.000000, 74.938832, 11.679103, 82.379676, 41.043459, 87.348094, 67.542576, 85.690048, 95.032642, 81.560723, 123.535809, 85.394722, 150.626793, 86.910736, 178.193057, 84.492233, 205.733259, 86.061690, 234.425959, 70.317966, 250.969290, 59.496749, 249.538210
Type00, L, 255, 62.002763, 260.607789, 53.840006, 261.439869, 31.449473, 251.329006, 26.295076, 220.168576, 22.872406, 192.248773, 17.825249, 162.921483, 11.323149, 134.042004, 0.933728, 105.903482, 0.000000, 77.158318, 7.168420, 49.561944, 17.128645, 21.166853, 43.555644, 0.000000, 74.635768, 13.458658, 84.827823, 43.023863, 89.148842, 71.503764, 84.780587, 101.042274, 80.518626, 128.201843, 81.994260, 157.585396, 85.990827, 185.058104, 85.970727, 213.845602, 90.691925, 243.508381, 71.364743, 260.303932, 62.293956, 260.164196
Type00, L, 265, 69.598747, 268.984402, 60.586395, 271.563907, 36.688469, 263.919467, 27.926427, 231.978353, 22.800857, 202.518959, 17.958210, 172.768403, 10.311236, 142.825825, 2.837183, 113.164856, 0.000000, 83.134201, 7.085108, 53.723889, 18.387598, 25.550388, 40.977471, 0.000000, 76.502971, 8.529802, 87.467574, 40.112606, 94.474207, 69.055720, 91.705415, 99.148768, 85.496298, 129.360219, 89.885632, 159.240831, 90.780671, 188.890944, 93.581946, 217.908038, 93.602381, 249.146166, 81.462134, 267.343032, 68.880621, 269.338507
Type00, L, 270, 65.457057, 275.881875, 77.085333, 275.801217, 93.393759, 256.791780, 91.639079, 226.262686, 89.750792, 195.699499, 88.960777, 166.425141, 86.544145, 135.463033, 86.271365, 106.234629, 94.620258, 75.835578, 87.891978, 46.649576, 78.154862, 13.832172, 45.668290, 0.000000, 18.271899, 24.093175, 8.032270, 54.557716, 0.000000, 82.010225, 2.489821, 112.265932, 10.140593, 141.400104, 19.279737, 171.965114, 25.996895, 202.089469, 30.175291, 231.383194, 35.496654, 263.567949, 55.903262, 278.000795, 66.289726, 275.217218
Type00, L, 275, 64.042823, 281.337014, 53.702738, 282.202215, 33.263718, 266.810203, 27.973669, 236.003272, 24.408199, 205.442010, 17.851395, 175.240828, 10.529272, 144.604322, 3.776400, 114.609749, 0.000000, 83.019551, 10.365712, 53.117279, 21.013935, 22.140631, 49.950959, 0.000000, 83.323970, 16.583726, 91.132394, 49.043947, 97.254995, 78.416174, 93.592459, 110.538616, 89.975104, 140.431601, 96.334704, 171.939111, 95.095229, 202.977293, 96.203954, 232.997886, 93.821021, 265.608394, 75.334442, 282.887694, 63.817390, 280.656019
Type01, L, 230, 46.137584, 235.402895, 37.940369, 236.376834, 18.990686, 225.561137, 15.249931, 197.817317, 12.139843, 172.726103, 9.328579, 146.231986, 4.648290, 121.099091, 0.000000, 94.471661, 0.413802, 67.116586, 6.608538, 43.061786, 16.120745, 17.091164, 42.040508, 0.000000, 68.141964, 16.065149, 77.164368, 42.191806, 78.973658, 67.994036, 78.222991, 95.826121, 78.371755, 119.832052, 78.829760, 145.844163, 75.556743, 171.858728, 75.474591, 196.773173, 73.114788, 224.638020, 55.151407, 236.251822, 45.749190, 234.915913
Type01, L, 240, 54.132613, 244.672484, 46.121068, 245.751795, 24.861569, 237.705338, 19.010195, 208.365264, 17.451378, 182.229961, 12.317603, 154.511080, 6.598868, 127.976841, 1.877799, 101.065558, 0.000000, 72.451784, 4.533633, 46.366837, 14.720642, 19.350004, 38.860255, 0.000000, 68.007849, 11.017694, 80.700866, 39.191094, 81.437062, 65.266209, 80.483222, 92.605368, 80.770396, 120.951355, 81.131942, 148.121885, 81.359215, 175.257012, 80.539496, 202.191120, 79.045383, 230.311466, 64.089839, 245.175703, 53.525781, 244.363900
Type01, L, 250, 51.866262, 255.309926, 41.940110, 257.614069, 23.812513, 243.640363, 16.756060, 215.532887, 14.905732, 186.773538, 10.604207, 158.778206, 4.519241, 130.595027, 0.315056, 102.658790, 0.000000, 74.199432, 4.981303, 47.197609, 15.785806, 18.601380, 43.565755, 0.000000, 73.332956, 15.134836, 81.690620, 43.971794, 83.342043, 72.280832, 82.149511, 100.366517, 82.128574, 126.722039, 82.431511, 156.542040, 83.080167, 184.749645, 82.740885, 213.945996, 81.465704, 243.389383, 61.347279, 256.871908, 51.658781, 254.656230
Type01, L, 260, 60.921632, 265.330922, 50.820684, 266.837049, 30.448444, 255.239885, 23.883818, 224.029409, 19.361481, 195.837517, 13.678257, 167.070796, 7.215700, 137.568269, 2.590319, 109.754345, 0.000000, 80.233274, 9.564210, 51.742788, 19.563984, 23.527675, 45.154599, 0.000000, 76.326272, 11.650929, 86.387961, 43.195717, 90.180381, 71.610075, 86.929380, 100.150936, 84.448307, 130.274619, 88.421340, 158.746718, 89.139137, 188.600954, 88.393063, 219.052075, 88.907861, 248.929352, 71.684001, 265.855295, 60.231719, 264.777103
