type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24
Type00, L, 240, 60.117686, 243.901671, 52.969959, 244.842916, 32.130612, 236.469808, 25.158704, 209.281947, 24.168447, 184.016837, 18.840807, 158.751452, 12.435092, 133.418587, 5.810107, 107.987372, 0.000000, 82.998107, 5.993652, 56.040995, 14.253027, 31.716551, 30.006231, 7.133500, 58.248603, 0.000000, 79.706903, 20.437669, 84.707453, 47.119655, 87.910681, 73.629446, 83.579000, 97.710615, 84.045795, 123.975864, 84.974358, 150.573624, 88.125699, 176.602745, 84.183718, 201.319145, 84.083123, 228.914738, 69.916553, 243.693191, 59.923512, 243.740624
Type00, L, 245, 61.032311, 248.314295, 50.898019, 249.589136, 35.155083, 237.187657, 25.830485, 210.777767, 21.034105, 184.522252, 15.758838, 159.093452, 10.010225, 133.425636, 3.916795, 107.628756, 0.000000, 80.777714, 5.263257, 55.136760, 14.200320, 28.754434, 31.078364, 5.133251, 61.552829, 0.000000, 80.717203, 22.827196, 85.080013, 49.326186, 88.456677, 75.201581, 85.175499, 101.283302, 82.560481, 128.658291, 87.328623, 154.008185, 87.077254, 180.623373, 85.739443, 206.672849, 86.160956, 234.249957, 70.547981, 249.298789, 60.425141, 247.885232
Type00, L, 255, 63.035206, 258.038577, 55.377859, 258.699155, 33.898557, 249.880333, 27.350994, 220.485901, 24.717690, 193.615124, 19.674621, 165.993972, 14.398070, 138.179895, 4.733309, 111.408808, 0.000000, 84.139048, 5.429277, 57.264777, 12.889010, 31.131831, 29.903116, 4.801268, 60.963326, 0.000000, 81.865739, 23.580695, 87.803632, 51.065751, 89.612202, 78.972701, 84.130420, 106.164809, 81.435924, 132.541577, 84.018720, 160.322463, 86.964062, 186.465188, 87.558880, 214.069162, 90.992319, 242.286779, 71.630046, 257.774361, 63.538403, 257.531335
Type00, L, 265, 69.216105, 269.785840, 60.811673, 272.046306, 37.786114, 265.746135, 28.006189, 235.754030, 23.248226, 207.470116, 18.525547, 179.171309, 12.070748, 150.776659, 4.255268, 122.279247, 0.000000, 94.089262, 2.871750, 65.293847, 13.302799, 38.706194, 27.111187, 11.180014, 58.640153, 0.000000, 83.429379, 22.823753, 89.108372, 51.718732, 95.267134, 80.041931, 88.291424, 108.276908, 86.168225, 137.477687, 89.785102, 165.513059, 90.745214, 193.893978, 93.444581, 221.482970, 92.718441, 251.446682, 80.450636, 268.212804, 68.576724, 270.081034
Type00, L, 270, 65.436408, 274.066667, 76.308616, 274.138317, 92.627237, 256.459367, 91.933251, 227.432157, 89.871874, 198.131205, 88.987198, 170.364591, 87.415245, 140.970692, 85.097673, 112.704565, 92.505715, 84.396405, 91.429020, 55.712921, 83.183943, 26.621952, 63.649126, 0.000000, 29.443478, 7.277270, 13.672664, 35.734018, 3.989576, 63.245599, 0.000000, 90.041784, 4.264963, 119.024418, 12.334537, 146.591926, 20.659039, 176.185725, 26.652937, 204.303297, 30.372708, 232.699503, 36.487740, 263.066783, 56.559727, 276.158012, 66.086285, 273.390356
Type00, L, 275, 63.966282, 277.933493, 54.353998, 278.828421, 34.308593, 264.713824, 28.200332, 235.609885, 24.989112, 206.312789, 19.280985, 177.708066, 12.073719, 148.397935, 5.867778, 119.890972, 0.000000, 90.185001, 5.632025, 60.922675, 16.170673, 32.273041, 33.138846, 4.344834, 68.309866, 0.000000, 88.292912, 27.827589, 93.283858, 56.330213, 97.454260, 85.965652, 91.319759, 115.648639, 91.469387, 144.461441, 96.504067, 174.534810, 94.910872, 203.884530, 96.408054, 232.582975, 92.727213, 263.784755, 74.683041, 279.416146, 63.836371, 277.261286
Type01, L, 230, 46.545184, 231.413218, 39.037307, 232.241541, 20.382191, 222.678044, 15.928460, 196.375098, 13.027305, 172.287354, 10.426765, 147.326531, 6.333055, 122.885156, 1.604404, 98.501109, 0.000000, 71.742873, 4.531685, 48.284634, 11.455067, 24.282296, 28.370810, 1.613271, 56.670028, 0.000000, 73.883285, 24.139150, 78.709492, 47.076137, 79.318106, 73.895912, 78.511546, 98.528450, 79.181482, 121.983787, 78.764622, 146.777661, 75.795452, 171.451525, 76.047314, 195.274048, 72.634409, 221.853001, 54.996107, 232.073764, 46.326379, 230.973453
Type01, L, 240, 54.005978, 242.707052, 46.538598, 243.498800, 26.056984, 236.786745, 19.026929, 209.007320, 17.753582, 184.044206, 13.324068, 157.685099, 7.806144, 132.290323, 3.020988, 106.805062, 0.000000, 80.062730, 2.132645, 53.853745, 9.319534, 29.394920, 25.551133, 4.562467, 53.516369, 0.000000, 75.439490, 20.552175, 81.405144, 47.548136, 80.960470, 71.903163, 80.397097, 98.863056, 80.757575, 125.418908, 81.123743, 151.255901, 81.159668, 177.115229, 80.425871, 202.770518, 78.292223, 229.612408, 63.316208, 243.140942, 53.536064, 242.337864
Type01, L, 250, 52.359202, 251.787970, 43.063181, 253.889492, 25.363792, 241.471426, 17.661907, 214.544277, 15.675811, 187.443259, 12.220357, 160.441125, 6.379119, 133.798828, 1.884542, 107.107252, 0.000000, 80.073342, 3.343687, 53.871809, 10.313695, 27.459421, 29.089962, 2.537799, 59.886846, 0.000000, 79.479256, 24.299332, 82.851586, 50.681925, 83.796990, 78.768022, 82.395098, 103.835783, 82.808865, 130.406206, 83.051462, 158.303198, 83.592276, 185.379505, 83.328616, 213.163412, 81.088211, 241.135672, 61.093803, 253.182556, 52.382732, 251.144243
Type01, L, 260, 60.877367, 264.434676, 51.420146, 265.776689, 31.581650, 255.536843, 24.210920, 226.053359, 20.069697, 198.835846, 14.842804, 171.815556, 8.618270, 143.478194, 3.897925, 116.855657, 0.000000, 89.249266, 5.059020, 61.419225, 15.211368, 34.966020, 30.197317, 8.216544, 61.928102, 0.000000, 82.205597, 24.529254, 88.217405, 52.922756, 89.785309, 80.471278, 85.517926, 107.403294, 85.263479, 136.608666, 88.810105, 163.054870, 88.972012, 192.302029, 88.509036, 220.793553, 88.246411, 249.565049, 70.828384, 264.861346, 60.408488, 263.885020
Type01, L, 280, 59.564268, 283.442949, 49.403000, 285.257709, 28.065633, 272.718316, 23.129486, 241.020501, 18.704393, 211.568219, 13.914780, 181.447339, 8.000165, 151.724281, 1.981634, 122.454233, 0.000000, 91.868772, 4.676793, 62.872902, 14.628480, 35.322915, 32.130509, 5.973394, 67.932896, 0.000000, 86.868495, 29.743179, 90.323904, 58.471550, 91.571280, 88.628158, 87.346865, 118.081843, 86.901746, 148.651416, 91.357721, 178.357901, 90.596366, 207.273349, 89.556625, 238.886865, 89.242724, 267.272655, 70.202824, 285.076056, 59.481048, 282.406144
Type01, L, 290, 60.797160, 293.616804, 50.893086, 295.600537, 28.166652, 281.808895, 24.891138, 249.639974, 18.946959, 219.655406, 15.938915, 188.436341, 10.163764, 158.441504, 2.847095, 126.765781, 0.000000, 95.825821, 4.278599, 64.172015, 15.707025, 34.862982, 33.990077, 6.008381, 70.496341, 0.000000, 89.130931, 31.361828, 93.977538, 60.426816, 95.132698, 93.475034, 91.216491, 121.937245, 93.338103, 155.158406, 94.072245, 184.661113, 95.577547, 216.716298, 93.114555, 245.823468, 90.656762, 278.286872, 72.557545, 294.723160, 60.229639, 293.037644
Type02, L, 230, 63.819044, 233.499891, 55.593850, 234.425887, 37.742653, 224.514589, 31.702540, 198.614806, 26.493683, 174.453668, 20.809937, 149.475154, 12.570824, 125.330476, 3.247939, 101.555403, 0.000000, 75.535438, 3.485787, 51.714823, 12.024715, 26.058436, 30.602017, 6.269772, 58.236100, 0.000000, 78.871637, 21.142064, 83.184252, 45.916324, 89.366378, 70.936130, 83.053031, 95.517616, 71.598073, 120.389079, 73.327781, 146.255794, 81.634660, 170.977979, 87.498914, 193.940267, 88.608007, 220.726385, 72.344421, 234.819799, 63.533355, 233.085367
Type02, L, 250, 65.917260, 253.639307, 76.611030, 254.610831, 91.293453, 238.796542, 88.858171, 211.222207, 80.096119, 185.749187, 72.911990, 159.454314, 70.344718, 132.170884, 83.302102, 105.875153, 91.953074, 79.242791, 84.872585, 52.419777, 82.722704, 25.759114, 62.625941, 0.000000, 31.288298, 6.423413, 13.303062, 30.719405, 3.160580, 56.949511, 0.000000, 83.824228, 6.421387, 109.066811, 13.725899, 135.295305, 22.423756, 162.479797, 28.926002, 188.624177, 33.637818, 216.287152, 38.577250, 242.218188, 56.680925, 256.736424, 66.529748, 252.561902
Type02, L, 260, 67.194536, 263.107861, 58.213720, 264.143340, 39.608121, 250.541122, 32.801172, 222.099587, 29.069858, 194.168994, 22.426874, 167.676864, 13.043028, 139.179146, 3.592488, 112.036600, 0.000000, 83.560546, 3.780493, 56.417546, 13.424240, 29.052604, 33.821146, 5.035129, 65.116215, 0.000000, 85.686347, 25.975450, 88.347782, 53.443892, 96.515078, 81.563684, 86.462848, 108.490882, 75.554654, 135.216218, 77.784731, 164.318500, 83.519081, 191.212521, 92.906108, 218.944855, 95.029538, 248.084526, 76.785126, 263.956425, 66.876067, 262.478033
Type02, L, 270, 69.723750, 273.517822, 59.650096, 274.803166, 39.397026, 261.396575, 34.513868, 231.480461, 28.244016, 202.606752, 20.647649, 173.984789, 13.478592, 145.750929, 4.296314, 118.278429, 0.000000, 89.013571, 3.913557, 59.654815, 15.866663, 31.862012, 35.903526, 5.749162, 69.269979, 0.000000, 89.876746, 28.628645, 91.707120, 56.342194, 100.308879, 86.398848, 88.121332, 114.983351, 76.937494, 142.924010, 81.235386, 172.748154, 87.819404, 200.903298, 96.702012, 228.118503, 98.661450, 259.300536, 79.290408, 274.751146, 69.332651, 272.803538
