Type,Cluster_ID,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
Type00,2,240,PCA_KRR,12.18431,11.33019,2.43577,0.62621,3.55218,0.98059,0.95786,111.95261,0.97619,0.98795,0.00000
Type00,2,240,PCA_LINEAR,9.49563,8.61909,10.37964,2.70605,37.38328,3.44096,10.37964,1271.05835,0.90117,0.94802,0.00000
Type00,2,240,PCA_SVR,12.30507,11.54001,2.53324,0.55158,1.37964,0.81198,1.41978,99.27781,0.97686,0.98829,0.00000
Type00,2,240,PURE_GPR,12.25897,11.40199,2.47634,0.57653,5.16932,1.18599,0.69453,249.37527,0.97269,0.98615,0.00000
Type00,2,240,PURE_KRR,12.11101,11.26049,2.42096,0.61917,3.78233,0.97471,0.80271,113.80882,0.97551,0.98760,0.00000
Type00,2,240,PURE_SVR,11.05004,10.16896,1.82892,0.45883,3.74614,1.10875,0.32408,238.50233,0.97980,0.98980,0.00000
Type00,2,240,RATIO_CTRL,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
Type00,2,245,PCA_KRR,11.55995,10.66557,3.38805,0.87834,8.37072,1.66715,0.62106,619.90883,0.96028,0.97974,0.00000
Type00,2,245,PCA_LINEAR,9.66680,8.71410,11.11958,2.85703,38.65780,3.62769,11.11958,1525.80808,0.89596,0.94513,0.00000
Type00,2,245,PCA_SVR,11.26644,10.35642,3.14570,0.79943,11.18044,1.64184,1.49191,519.71205,0.96653,0.98298,0.00000
Type00,2,245,PURE_GPR,11.41804,10.54072,2.97197,0.84824,6.18305,1.51427,0.56665,525.95692,0.96688,0.98316,0.00000
Type00,2,245,PURE_KRR,11.59408,10.70848,3.40657,0.85249,8.25456,1.66942,0.49476,611.26216,0.96063,0.97992,0.00000
Type00,2,245,PURE_SVR,11.47914,10.60485,3.08259,1.13650,6.92947,1.76807,0.23104,709.44528,0.95561,0.97730,0.00000
Type00,2,245,RATIO_CTRL,2.26465,2.14438,3.04323,0.74677,0.48585,0.47541,0.80068,97.96348,0.97080,0.98518,0.00000
Type00,2,255,PCA_KRR,12.37928,11.35161,2.00712,0.87148,6.98237,1.00494,0.93819,32.03773,0.95417,0.97655,0.00000
