type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27
Type00, L, 240, 59.692909, 242.125357, 53.400566, 242.674327, 35.618384, 237.019419, 25.119065, 214.213784, 24.649163, 191.665097, 21.021804, 169.404737, 16.231668, 147.615121, 10.164187, 125.050717, 4.600030, 103.072023, 0.000000, 81.249505, 4.488411, 57.178285, 11.894672, 36.514383, 22.329539, 13.462576, 43.280242, 0.000000, 67.243533, 3.543660, 80.913503, 26.105012, 84.666510, 48.017252, 87.268323, 72.073443, 83.557109, 92.663967, 83.431226, 115.594338, 83.989593, 138.678903, 86.200494, 161.989601, 86.779700, 183.871179, 83.175089, 206.336144, 82.581142, 230.203514, 67.240202, 242.067470, 60.143089, 241.761176
Type00, L, 245, 60.589376, 247.853942, 52.063721, 249.146081, 37.128896, 239.386770, 27.533438, 217.239076, 22.145668, 193.542651, 18.376038, 171.728591, 13.022250, 148.659442, 8.313381, 126.916004, 2.824651, 103.568675, 0.000000, 80.590074, 4.217659, 57.700155, 11.207295, 35.187338, 23.689427, 12.617339, 44.859307, 0.000000, 70.919779, 6.263601, 80.894975, 29.699427, 85.751436, 51.698945, 87.555923, 75.058432, 85.404543, 97.341981, 82.611953, 121.599735, 84.750999, 143.983854, 87.774256, 166.871458, 85.576488, 189.957408, 86.085267, 213.012560, 83.558362, 237.133220, 68.647286, 248.834026, 60.243534, 247.371927
Type00, L, 255, 62.753757, 258.690966, 56.014029, 259.040205, 37.600057, 252.937017, 27.376896, 228.494380, 26.071216, 204.176669, 21.499771, 180.523035, 17.914517, 156.122629, 11.553457, 132.019288, 3.729876, 108.684264, 0.000000, 84.673851, 4.394856, 61.302647, 10.485588, 38.235279, 22.047932, 14.891039, 44.486882, 0.000000, 70.364924, 8.238517, 83.109994, 31.187445, 87.971443, 55.130360, 89.028679, 79.469133, 84.389338, 103.589472, 81.859118, 126.228743, 81.935251, 150.826675, 86.030506, 173.785292, 86.126909, 197.502688, 88.994073, 221.539549, 87.691976, 246.408152, 69.976848, 258.326036, 63.375646, 258.187262
Type00, L, 265, 68.953449, 266.933472, 61.726885, 268.515982, 41.659596, 264.991156, 29.113433, 240.429778, 25.042006, 215.042973, 20.400079, 190.379122, 16.283801, 165.623360, 9.636212, 140.670043, 3.436977, 115.833730, 0.000000, 91.122476, 2.075581, 65.922401, 10.301588, 42.413263, 20.844086, 18.348070, 41.299753, 0.000000, 69.713075, 3.464010, 84.800880, 27.711347, 89.761223, 51.926864, 94.450416, 77.348296, 89.198379, 101.620424, 85.743478, 127.377721, 88.385420, 151.986935, 89.915908, 176.880659, 91.546209, 201.169623, 93.348748, 226.005962, 90.965708, 251.932021, 78.453457, 265.736781, 68.521752, 266.961660
Type00, L, 270, 65.050369, 273.521934, 74.254053, 273.628000, 89.838596, 259.750042, 92.323457, 233.977555, 89.851221, 208.597186, 89.138949, 183.649238, 87.931953, 158.843460, 86.262988, 133.348579, 85.468217, 108.507949, 91.568938, 84.007313, 91.752731, 58.468232, 84.375042, 33.865229, 72.802551, 7.738798, 45.385794, 0.000000, 21.668227, 16.914424, 10.924164, 42.288707, 2.674560, 65.933727, 0.000000, 89.617858, 3.083726, 114.802564, 9.784709, 139.215169, 17.178505, 164.303562, 23.435430, 190.056185, 27.741610, 214.052313, 30.849657, 239.863791, 39.086463, 265.580421, 57.757389, 275.333134, 65.329195, 272.831227
Type00, L, 275, 63.302070, 278.896248, 55.309785, 279.678701, 36.835689, 268.861113, 28.518315, 243.899129, 25.737169, 218.141625, 21.811632, 193.070370, 15.960244, 167.549118, 9.939411, 142.305516, 4.398380, 117.064575, 0.000000, 91.234103, 3.873471, 65.381109, 13.266060, 40.595686, 24.562925, 15.020074, 49.674516, 0.000000, 77.468934, 9.943438, 88.778504, 36.369759, 93.628751, 60.731121, 96.214602, 87.014758, 91.933120, 112.881033, 89.931458, 138.154579, 94.657277, 164.204297, 95.150302, 190.205204, 94.714926, 215.626245, 95.696776, 241.072666, 89.373062, 268.476437, 72.463284, 280.049644, 63.454803, 278.277598
Type01, L, 230, 46.082239, 233.480231, 40.001196, 233.894347, 22.832307, 227.275430, 16.184028, 204.821297, 13.750299, 183.309289, 11.431850, 161.836999, 8.603175, 140.062877, 4.796134, 118.864514, 0.829931, 97.155206, 0.000000, 73.824178, 3.340495, 53.171803, 9.383930, 32.370657, 20.215027, 11.479996, 42.184542, 0.000000, 64.116947, 10.175062, 75.006396, 32.121165, 78.522205, 52.210474, 78.789661, 75.892911, 78.391232, 97.461015, 78.374965, 118.069849, 79.059252, 139.398481, 76.626235, 161.190701, 75.471218, 182.327368, 75.387836, 203.774385, 69.687416, 226.554994, 53.082489, 233.701038, 46.252712, 233.140124
Type01, L, 240, 53.703875, 243.130533, 47.378146, 243.394217, 29.358150, 239.326948, 19.516651, 216.241542, 18.160781, 193.734467, 15.470533, 171.204138, 10.973323, 148.449388, 6.279438, 126.256105, 2.271016, 103.836226, 0.000000, 80.401258, 1.368877, 57.390071, 7.156806, 35.942708, 17.936040, 13.674013, 38.941007, 0.000000, 62.630616, 6.818787, 77.325772, 27.654010, 81.043282, 51.007059, 80.701918, 72.199353, 80.157372, 95.950151, 80.389952, 118.968220, 80.706537, 142.130263, 80.944537, 164.309069, 80.604324, 187.219936, 79.993904, 209.618640, 75.959391, 233.098556, 61.479517, 243.360811, 53.486373, 242.687516
Type01, L, 250, 52.031369, 253.411951, 44.268558, 254.685851, 27.879638, 246.521237, 18.789439, 222.127998, 15.990103, 199.792418, 14.067315, 174.723027, 9.770046, 152.460403, 4.912003, 128.239701, 1.306262, 105.424289, 0.000000, 81.488084, 2.551367, 58.601687, 8.092299, 35.696685, 20.478468, 12.571467, 43.965403, 0.000000, 68.800353, 9.399850, 80.282322, 32.646922, 82.848287, 55.513123, 83.443990, 80.181582, 82.265497, 102.267321, 82.522981, 125.012716, 82.585725, 149.435547, 83.233663, 173.245505, 83.134501, 197.331568, 83.156837, 221.530328, 77.927990, 245.723069, 59.195367, 254.181874, 52.498974, 252.838531
Type01, L, 260, 60.405694, 263.228063, 52.272875, 264.056114, 34.490106, 257.115136, 24.772805, 232.011992, 21.433620, 207.718812, 16.930401, 184.064240, 12.192787, 159.940403, 6.796021, 135.415568, 2.900949, 112.197202, 0.000000, 87.899603, 3.522890, 63.624868, 12.539546, 40.281369, 22.677154, 16.634167, 45.086850, 0.000000, 70.906618, 6.083961, 83.328479, 30.884782, 88.291514, 54.771699, 88.859995, 79.356712, 85.939346, 102.576327, 84.192155, 128.143717, 87.404559, 151.871233, 88.446920, 176.106502, 88.412994, 201.950769, 88.179352, 226.491412, 85.731136, 251.790102, 68.360119, 263.452230, 60.437941, 262.620718
Type01, L, 280, 59.133791, 284.435647, 50.896973, 285.750097, 30.793380, 276.906296, 23.674917, 249.764814, 20.077615, 223.446808, 16.168135, 197.569044, 11.386852, 171.024458, 6.192528, 145.434629, 1.252418, 119.531968, 0.000000, 92.794729, 3.678772, 67.473694, 11.602133, 43.014578, 24.160820, 17.855923, 48.737483, 0.000000, 77.652140, 10.962511, 86.863084, 38.133061, 90.771970, 63.032955, 90.886011, 89.559855, 87.513642, 115.317145, 86.707203, 141.830526, 88.887532, 168.407946, 91.776750, 193.397531, 89.012140, 220.211079, 90.150533, 246.870532, 85.932964, 271.979978, 68.348236, 285.888415, 59.318664, 283.232094
Type01, L, 290, 60.436134, 294.389801, 52.388462, 295.833796, 31.192379, 286.087150, 25.036673, 258.120461, 21.104924, 231.718226, 16.931369, 204.671658, 13.995655, 177.891266, 7.884752, 151.272393, 2.172941, 123.579808, 0.000000, 96.468151, 3.396341, 68.860138, 12.274230, 42.732785, 25.917586, 17.274495, 50.900233, 0.000000, 80.343682, 10.994679, 89.233468, 39.954802, 94.720505, 64.796925, 94.332507, 94.314878, 91.494735, 118.850169, 92.497839, 147.617159, 93.541787, 174.421152, 94.666265, 201.158897, 94.727191, 228.671487, 92.278588, 254.154495, 88.377398, 283.012243, 69.987027, 295.084013, 60.545340, 293.837086
Type02, L, 230, 63.480474, 231.873543, 56.736396, 232.423065, 40.189408, 225.443530, 32.561286, 203.298685, 28.285872, 181.825562, 23.486418, 160.318031, 17.755575, 138.572405, 9.822449, 117.816781, 2.466558, 96.548361, 0.000000, 74.027844, 2.766118, 52.787379, 9.198816, 31.083043, 22.577866, 10.858889, 43.693217, 0.000000, 67.262805, 4.037997, 79.998850, 26.482805, 83.699310, 46.866798, 88.681771, 69.433519, 83.871755, 90.749974, 73.937316, 112.279765, 71.277210, 135.077712, 77.333186, 156.844565, 83.734626, 178.139359, 88.202734, 198.397575, 86.070552, 222.599005, 70.572556, 232.710572, 63.567512, 231.560778
Type02, L, 250, 65.731522, 253.176492, 74.367789, 253.927080, 89.334969, 242.023321, 89.461958, 217.184157, 83.474758, 195.047642, 75.601966, 171.974599, 71.051452, 148.918153, 72.299875, 124.933461, 84.741658, 102.080655, 90.691040, 78.854598, 85.773757, 54.964506, 82.628375, 32.548924, 72.199002, 7.490496, 45.740860, 0.000000, 23.308708, 14.549259, 10.107261, 36.795639, 2.231674, 59.804694, 0.000000, 83.214071, 5.200016, 105.581537, 11.447652, 127.876565, 18.828027, 152.216540, 25.564637, 174.564760, 30.437792, 198.954609, 34.193546, 221.874856, 40.726239, 245.388606, 58.091294, 255.553543, 65.804559, 252.259927
Type02, L, 260, 66.878843, 263.439288, 59.329318, 264.533887, 42.354352, 253.807776, 33.589431, 229.821645, 30.404670, 204.619046, 25.747721, 181.592110, 18.828279, 157.218531, 10.260516, 132.804707, 2.751935, 108.848528, 0.000000, 83.921985, 3.051961, 60.248631, 10.202603, 36.115685, 25.109254, 13.952692, 48.530390, 0.000000, 74.817068, 8.663543, 85.912642, 33.635408, 89.414007, 57.118114, 95.364138, 81.911015, 88.057673, 105.643686, 77.193901, 128.550385, 76.166610, 154.047841, 80.143551, 177.994180, 86.589997, 202.073706, 94.328952, 226.314607, 91.902171, 252.147715, 75.066222, 264.107904, 66.752658, 262.899660
Type02, L, 270, 69.417753, 273.869467, 60.896146, 274.868370, 42.357034, 264.969531, 34.792016, 239.179894, 30.940967, 213.775302, 23.840656, 188.508567, 18.043168, 163.735787, 10.756284, 139.107037, 3.435285, 115.062968, 0.000000, 89.231306, 3.112988, 63.695597, 12.137556, 38.996133, 27.357537, 15.482172, 51.501293, 0.000000, 79.232504, 9.510711, 89.852535, 36.496637, 92.839919, 60.032703, 98.966705, 86.821626, 90.261317, 111.726120, 78.073351, 136.152670, 79.302142, 161.850975, 83.641862, 187.366645, 91.285834, 211.288432, 97.526567, 235.988313, 95.994879, 263.277297, 76.971759, 274.801726, 69.648596, 273.161475
Type03, L, 230, 50.826387, 233.254369, 44.158860, 233.501023, 28.493590, 226.534189, 20.844291, 203.554011, 17.862761, 183.154228, 14.621478, 159.955666, 9.910674, 138.927373, 5.251957, 117.629526, 1.493588, 96.787431, 0.000000, 75.486862, 1.954448, 54.198411, 8.557807, 33.112340, 20.585985, 12.609155, 41.055511, 0.000000, 63.693331, 7.574485, 75.047499, 28.845764, 78.240871, 51.450619, 79.393996, 72.726394, 77.527244, 94.885445, 73.098199, 115.958172, 71.259903, 138.340454, 75.614477, 159.444418, 77.364609, 181.037192, 80.373896, 203.950568, 74.354882, 225.600339, 57.083113, 233.732788, 51.601740, 232.809864
Type03, L, 235, 53.703252, 238.142898, 46.897099, 238.970149, 30.459756, 233.371518, 20.919217, 211.305007, 17.968380, 189.598368, 15.546752, 167.196757, 11.251750, 145.285123, 6.015926, 123.655232, 1.686465, 101.536373, 0.000000, 79.368408, 1.831757, 56.811647, 7.448991, 35.094044, 19.076016, 14.694644, 38.903592, 0.000000, 62.805400, 7.365056, 75.212436, 28.848304, 79.123260, 50.276755, 80.493112, 72.777319, 79.258205, 95.132017, 76.367699, 117.253606, 75.096293, 140.002291, 76.303315, 163.261935, 78.192210, 184.923483, 81.220478, 206.197385, 76.674191, 228.736189, 61.265688, 238.759598, 53.789711, 237.797039
Type03, L, 245, 54.124318, 248.790790, 46.341707, 249.466552, 30.021585, 241.739713, 21.466904, 218.794236, 18.464962, 194.749934, 15.173615, 172.094802, 10.238316, 149.046605, 5.244213, 125.154723, 1.460899, 102.110753, 0.000000, 78.962491, 2.589940, 55.253234, 10.244736, 33.859742, 21.550186, 11.603018, 44.699500, 0.000000, 68.339570, 11.523169, 78.817634, 34.410441, 81.417696, 57.623660, 84.121833, 79.958456, 82.070588, 103.543110, 77.033799, 125.218732, 76.681025, 149.228447, 79.525887, 171.519416, 82.462313, 194.120171, 84.354107, 217.212674, 78.850121, 240.725125, 61.620218, 250.027815, 54.389143, 247.968570
Type03, L, 250, 52.952248, 254.021283, 45.761672, 254.702838, 27.760797, 246.419581, 21.017491, 222.799591, 17.759468, 199.576156, 14.222469, 175.503065, 10.068575, 151.229627, 5.969429, 128.262285, 2.507141, 104.296655, 0.000000, 80.704909, 1.862214, 57.593147, 8.854136, 34.166037, 22.977474, 11.819187, 45.433509, 0.000000, 69.936563, 12.887241, 79.283518, 36.361832, 83.502199, 60.055568, 84.519724, 83.260803, 82.302194, 105.793305, 79.239612, 129.825233, 80.083595, 152.209634, 80.552706, 175.108574, 81.238650, 199.089560, 83.462219, 221.798888, 78.558539, 245.719732, 60.276081, 255.252909, 53.836943, 253.291363
Type03, L, 255, 56.259760, 258.417583, 49.430522, 258.942089, 30.114553, 253.784076, 20.695977, 229.431386, 17.644074, 205.257583, 14.007614, 181.663985, 10.623362, 158.008779, 6.868589, 133.990729, 2.763658, 110.946796, 0.000000, 85.943615, 1.280123, 62.576501, 8.123527, 38.905999, 18.906598, 15.883457, 40.372141, 0.000000, 66.963958, 6.930635, 79.209792, 30.317605, 83.502811, 54.536812, 84.799455, 79.448896, 82.865385, 103.187734, 80.412674, 128.282758, 79.407029, 151.915455, 80.778806, 176.474736, 82.839326, 200.751056, 85.285454, 223.182646, 80.768292, 249.292524, 64.223016, 258.565575, 55.986455, 258.132435
Type03, L, 260, 54.597945, 264.245452, 47.019018, 264.203292, 28.799604, 256.322629, 21.256634, 230.646376, 20.845764, 207.013066, 16.657551, 182.553404, 12.299582, 157.597138, 7.518465, 132.492543, 2.436066, 107.147052, 0.000000, 82.380137, 3.363134, 58.343395, 11.814575, 35.528775, 24.282116, 12.247398, 48.844034, 0.000000, 73.512787, 12.030447, 82.727592, 37.482052, 86.223278, 61.008829, 85.810432, 85.852290, 84.105142, 109.074077, 82.352370, 133.618425, 81.760355, 158.267297, 83.228152, 182.100797, 84.378524, 206.257740, 87.247038, 230.233874, 81.538370, 255.302826, 62.286849, 264.214874, 55.278190, 263.953788
Type03, L, 265, 52.216172, 269.230917, 44.853404, 269.178010, 25.745527, 261.806481, 18.977547, 235.813723, 17.338235, 211.453959, 14.371928, 185.868597, 10.633575, 161.852207, 6.379751, 136.321032, 2.409473, 111.652893, 0.000000, 87.654680, 2.124344, 61.823877, 10.627785, 39.216538, 21.340212, 14.332133, 44.815636, 0.000000, 72.758275, 9.952152, 80.903351, 35.603582, 86.314928, 59.875079, 87.911952, 86.559609, 87.106869, 110.662091, 84.323734, 136.352562, 82.165258, 161.229019, 83.093199, 185.707550, 84.128126, 211.323713, 85.148578, 235.448628, 80.072761, 260.783073, 59.856267, 269.466635, 52.983008, 268.660621
Type03, L, 270, 59.174673, 274.610252, 50.780990, 275.693765, 31.885571, 266.914356, 24.640039, 240.015963, 20.603121, 215.064376, 17.122858, 189.282372, 11.691765, 163.542176, 6.694644, 138.918798, 1.920852, 114.496603, 0.000000, 89.138034, 0.838979, 64.090992, 9.975974, 39.146402, 22.456113, 14.543579, 47.085561, 0.000000, 73.579601, 12.619290, 81.832456, 39.224682, 87.765203, 63.773397, 88.351166, 88.594714, 86.884377, 112.591388, 85.226757, 140.062919, 84.690595, 163.343453, 85.607148, 187.316417, 87.821971, 214.840995, 88.240954, 237.839736, 86.978269, 264.994454, 67.562772, 275.575447, 59.774192, 274.061535
