type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28
Type00, L, 240, 58.641089, 242.782121, 52.550977, 243.291720, 35.696867, 238.176027, 24.381204, 216.851197, 23.696228, 194.867604, 20.663351, 173.764868, 16.180829, 152.417235, 10.605360, 131.461749, 5.031057, 109.364598, 0.000000, 89.560634, 0.712448, 65.947339, 8.288461, 45.673222, 15.293588, 24.020045, 31.628266, 5.478264, 53.530947, 0.000000, 74.496677, 12.961284, 80.984981, 35.962845, 85.549993, 56.984891, 84.853914, 79.843485, 82.333851, 99.187160, 82.348488, 122.078296, 83.328387, 143.804427, 85.435101, 166.385006, 85.329620, 187.015410, 82.049699, 209.000528, 81.010979, 231.623038, 65.640449, 242.815896, 59.227609, 242.344938
Type00, L, 245, 60.345204, 247.464627, 52.253886, 248.664938, 37.622544, 239.774414, 27.947702, 218.635911, 22.417207, 195.973845, 18.831304, 174.770420, 13.897841, 152.922805, 9.167466, 131.652765, 4.232429, 109.881302, 0.000000, 87.418442, 1.933177, 65.532637, 8.034239, 43.847679, 16.891939, 21.769401, 33.655182, 3.962092, 57.424987, 0.000000, 77.419693, 15.541953, 81.980464, 38.271951, 87.231733, 59.627985, 86.481219, 81.801377, 84.581871, 103.600299, 82.137678, 126.783904, 85.656812, 148.011710, 87.160589, 170.226960, 85.364824, 192.269162, 85.850365, 214.540814, 82.711342, 237.600482, 67.943629, 248.409245, 60.112587, 246.951813
Type00, L, 255, 62.437847, 257.278711, 55.900216, 257.579769, 38.462761, 252.087963, 27.313443, 229.161151, 26.056471, 205.577577, 21.865852, 182.942791, 18.358715, 159.618945, 12.992114, 136.246017, 5.536488, 113.948449, 0.000000, 90.765060, 2.034561, 68.450226, 7.572212, 45.816630, 15.502302, 23.884651, 32.332200, 3.516821, 57.041690, 0.000000, 77.598509, 16.266556, 84.612984, 39.440178, 89.023557, 62.354054, 87.151234, 85.963915, 83.247326, 108.458434, 81.143575, 130.637426, 82.360318, 154.142209, 85.996289, 176.037125, 85.795104, 199.019759, 89.073193, 222.048514, 86.340811, 245.941162, 69.365908, 256.867305, 63.024857, 256.802592
Type00, L, 265, 68.316549, 268.330951, 61.349053, 269.757630, 42.261477, 266.855134, 28.985813, 243.929480, 24.942079, 219.393485, 20.393922, 195.723141, 16.617257, 171.943896, 10.659921, 148.068513, 4.390288, 124.116727, 0.000000, 100.463786, 0.052024, 76.333512, 5.839471, 52.997308, 15.300320, 30.484556, 29.031660, 8.541101, 54.724715, 0.000000, 77.691558, 14.458240, 86.252922, 39.108990, 91.256802, 62.193788, 93.040412, 86.724373, 86.759228, 109.949352, 85.574989, 134.918197, 88.208385, 158.174147, 89.385988, 182.310484, 91.237789, 205.364619, 92.630177, 229.553045, 89.853540, 254.169813, 77.293200, 267.285773, 67.953343, 268.254760
Type00, L, 270, 64.500873, 273.259646, 73.238460, 273.270652, 88.548382, 260.611037, 91.844417, 235.569518, 89.540455, 211.562944, 88.626501, 187.059206, 87.695328, 163.869568, 86.081222, 138.862246, 84.783534, 115.389364, 88.509880, 91.400829, 92.767242, 67.534924, 86.410824, 43.386131, 79.173298, 18.639162, 58.851869, 0.000000, 31.958021, 6.073101, 15.452061, 27.516654, 6.928893, 51.888009, 0.351650, 73.794375, 0.000000, 97.518680, 4.164302, 121.316586, 11.023119, 144.872358, 17.980979, 169.224699, 23.647873, 193.633046, 27.565411, 216.795227, 30.635187, 241.666769, 39.479638, 266.151234, 57.602820, 274.903499, 64.692572, 272.592564
Type00, L, 275, 62.204130, 277.434519, 54.617183, 278.115231, 36.717321, 268.292181, 27.797497, 244.386769, 24.970289, 219.817127, 21.499954, 195.516412, 16.076218, 171.243357, 10.306137, 146.845437, 4.792788, 122.630612, 0.000000, 98.198054, 0.195252, 72.937457, 8.646575, 49.240440, 17.362748, 24.411041, 35.141395, 3.733281, 62.918220, 0.000000, 83.320823, 19.989334, 89.426760, 44.569523, 94.230620, 68.647246, 94.158695, 93.846977, 89.619209, 118.545813, 89.787215, 142.777003, 94.104053, 168.040403, 93.826010, 192.755066, 93.818562, 217.212911, 94.410721, 241.710544, 87.457465, 267.996533, 70.920516, 278.446003, 62.437250, 276.841448
Type01, L, 230, 46.191884, 231.314335, 40.415677, 231.603946, 23.883862, 225.751184, 16.513744, 204.433401, 14.206024, 183.683576, 11.874140, 163.089364, 9.383022, 142.245549, 5.882972, 121.653855, 1.916456, 101.326001, 0.000000, 78.913204, 1.790554, 58.249940, 7.022601, 38.670774, 14.333251, 18.108777, 30.927140, 1.532405, 53.652259, 0.000000, 70.310145, 17.799571, 76.972552, 37.724255, 78.959914, 58.398828, 78.769500, 80.905550, 78.411206, 100.999029, 78.717213, 120.937969, 78.905412, 141.559726, 76.340765, 162.437696, 75.651094, 182.641537, 75.308424, 203.430682, 68.987068, 225.040164, 52.808356, 231.413755, 46.434254, 231.004383
Type01, L, 240, 53.337366, 242.116868, 47.270962, 242.292319, 30.071226, 238.767201, 19.507747, 217.196172, 17.941952, 195.287007, 15.651272, 173.905364, 11.560248, 151.847498, 7.005300, 130.619199, 2.921511, 109.087720, 0.110485, 86.991566, 0.000000, 64.443402, 4.145800, 43.465676, 11.792491, 22.415125, 27.638609, 3.550841, 50.138219, 0.000000, 70.393741, 14.092757, 79.019610, 36.185409, 80.925174, 57.570152, 79.913424, 78.616538, 79.936550, 101.425576, 80.012051, 123.543812, 80.450696, 145.535971, 80.531277, 166.950881, 80.168418, 188.853949, 79.515634, 210.488237, 74.909141, 232.847904, 60.705556, 242.329459, 53.165047, 241.646033
Type01, L, 250, 51.823413, 251.475685, 44.478264, 252.505411, 28.514062, 245.472114, 19.115984, 221.885520, 15.978788, 200.781119, 14.329259, 176.467159, 10.529267, 155.160742, 5.869180, 131.881806, 1.925714, 109.992674, 0.000000, 87.071596, 0.928570, 64.820711, 5.548957, 42.966781, 13.353591, 20.460538, 31.842947, 1.990719, 56.168891, 0.000000, 75.713291, 17.215749, 81.129988, 39.924081, 83.375750, 62.140795, 82.697909, 85.847203, 82.165888, 106.111187, 82.306529, 129.103893, 82.528678, 152.143596, 83.077627, 175.099965, 82.926867, 198.308689, 82.886326, 221.441775, 76.800162, 244.591123, 58.604586, 252.019132, 52.389698, 250.963739
Type01, L, 260, 59.647837, 263.375221, 51.835240, 264.042496, 34.754383, 257.981332, 24.411996, 234.121553, 21.124261, 210.792575, 16.882983, 187.846515, 12.448539, 165.090155, 7.279845, 141.212569, 3.078516, 118.895800, 0.000000, 95.847526, 0.399857, 72.444929, 8.348901, 49.609678, 16.524749, 27.216700, 32.242225, 6.305776, 57.440485, 0.000000, 77.280638, 16.410171, 84.791875, 40.813431, 88.318846, 63.610790, 87.327715, 87.078946, 84.283575, 109.521272, 84.009188, 134.340138, 87.085162, 156.537093, 87.676163, 180.445078, 87.605224, 205.009606, 87.433280, 228.638426, 84.217515, 252.799721, 67.105443, 263.550489, 59.780021, 262.740566
