Model,Cluster_ID,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,1,11.17122,10.26379,2.94999,0.95057,4.80100,0.73728,0.44875,321.56146,0.95369,0.97626,0.00000
PCA_KRR,2,10.90504,10.06290,2.16612,0.68424,5.30387,1.03439,0.47763,307.81993,0.96681,0.98310,0.00000
PCA_KRR,3,10.73013,9.87362,1.92912,0.56080,6.24231,1.04301,0.72196,290.31688,0.97313,0.98638,0.00000
PCA_KRR,4,11.25613,10.40665,2.35665,0.44266,5.62474,0.87120,0.18389,308.55555,0.98055,0.99018,0.00000
PCA_LINEAR,1,11.51700,10.58876,5.27677,1.76279,3.39203,0.73597,0.28097,532.19167,0.92464,0.96073,0.00000
PCA_LINEAR,2,11.37984,10.50167,7.46029,2.19563,18.44526,1.85500,5.38216,776.86150,0.91094,0.95324,0.00000
PCA_LINEAR,3,8.80936,7.85132,11.20074,2.60242,37.34838,2.27912,11.20074,1003.99348,0.89926,0.94693,0.00000
PCA_LINEAR,4,21.51002,21.29831,20.55848,5.12164,54.49406,4.13683,20.51182,1870.01949,0.83797,0.91182,0.00000
PCA_SVR,1,11.17415,10.27599,3.10593,0.94512,5.46506,0.71661,1.09468,310.55112,0.95548,0.97718,0.00000
PCA_SVR,2,10.89231,10.07368,2.27026,0.62845,5.38843,0.91911,1.03383,286.05739,0.97152,0.98553,0.00000
PCA_SVR,3,10.36962,9.52368,3.68567,0.92257,9.08701,1.03945,1.50737,416.50968,0.96030,0.97964,0.00000
PCA_SVR,4,11.48413,10.70523,2.31680,0.56311,3.99030,0.74536,1.51700,252.46026,0.97313,0.98638,0.00000
PURE_GPR,1,11.08128,10.16509,2.89610,0.99496,4.92714,0.70567,0.34506,303.77832,0.95184,0.97529,0.00000
PURE_GPR,2,10.92124,10.08180,2.28414,0.76212,5.37317,1.04178,0.45597,318.49156,0.96374,0.98151,0.00000
PURE_GPR,3,10.66805,9.80223,1.91920,0.58109,6.27917,1.05783,0.39127,292.47003,0.97245,0.98603,0.00000
PURE_GPR,4,11.25115,10.39858,2.34909,0.41474,5.62089,0.87235,0.03289,308.93951,0.98211,0.99097,0.00000
PURE_KRR,1,11.04918,10.13586,2.86432,0.95516,4.84757,0.69898,0.41918,304.74159,0.95388,0.97635,0.00000
PURE_KRR,2,10.89586,10.05424,2.15473,0.66376,5.29887,1.03108,0.36190,306.91445,0.96794,0.98368,0.00000
PURE_KRR,3,10.74214,9.88132,1.92366,0.54047,6.23459,1.03400,0.61458,288.51714,0.97365,0.98665,0.00000
PURE_KRR,4,11.25384,10.40355,2.35346,0.42897,5.60505,0.87161,0.15810,308.79345,0.98124,0.99053,0.00000
PURE_SVR,1,11.24539,10.29601,2.91903,0.95692,5.09093,0.68631,0.46434,318.03509,0.95554,0.97718,0.00000
PURE_SVR,2,10.87428,10.03040,2.31201,0.66212,5.49577,1.05150,0.31924,367.55614,0.96943,0.98444,0.00000
PURE_SVR,3,10.78882,9.95845,1.91980,0.50049,5.40777,0.99994,0.41217,276.79030,0.97498,0.98733,0.00000
PURE_SVR,4,11.25471,10.40284,2.35683,0.42331,5.45309,0.87772,0.08874,297.30144,0.98233,0.99109,0.00000
RATIO_CTRL,1,3.59544,3.28380,4.60140,1.68191,3.41331,3.08024,0.30960,577.92485,0.93759,0.96769,0.00000
RATIO_CTRL,2,2.94538,2.60746,4.95137,1.77741,4.34937,3.00374,0.33163,662.76891,0.93465,0.96596,0.00000
RATIO_CTRL,3,4.45591,3.69316,7.31848,3.04556,6.83313,5.83217,1.08329,1327.40020,0.89194,0.94288,0.00000
RATIO_CTRL,4,1.57733,1.44217,2.53592,0.86928,1.84708,1.39991,0.01168,422.15045,0.96347,0.98119,0.00000
