type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31
Type00, L, 240, 58.631104, 241.247779, 52.983444, 241.644004, 38.642349, 237.811085, 25.636671, 220.232915, 23.862731, 200.137486, 22.098062, 181.440057, 18.604240, 162.108830, 14.212673, 143.570739, 9.085021, 124.294750, 4.219175, 104.993703, 0.000000, 87.128769, 0.596310, 66.125762, 6.747714, 47.607423, 13.147990, 28.944599, 23.993766, 10.209356, 42.600968, 0.000000, 62.074911, 1.636344, 77.483134, 18.258140, 81.311076, 37.963104, 85.738625, 57.185341, 84.664250, 77.448020, 82.627480, 94.774928, 82.178559, 114.804571, 82.826734, 134.516525, 84.320683, 154.335784, 85.832695, 173.889087, 84.008328, 192.238943, 82.085934, 212.482999, 79.065973, 232.063634, 64.542294, 241.409312, 59.359435, 240.673210
Type00, L, 245, 60.120916, 246.756332, 53.105158, 247.517935, 39.421801, 241.133935, 29.558520, 222.186576, 23.719058, 202.799704, 20.247255, 182.627722, 16.438864, 164.265086, 11.965555, 144.140649, 7.824112, 125.784079, 3.305558, 105.677406, 0.000000, 85.955394, 1.582822, 66.320589, 6.683441, 46.811015, 13.793642, 27.527738, 26.219961, 9.005430, 44.768748, 0.000000, 66.552411, 3.346255, 78.899872, 21.807328, 82.798443, 40.929495, 86.982609, 60.632563, 86.328567, 80.166340, 84.688499, 99.608750, 82.474921, 120.349949, 83.672800, 139.606189, 87.100099, 159.099500, 85.895529, 178.899400, 85.404546, 198.597531, 85.407611, 218.679526, 80.721167, 238.997828, 66.596264, 247.484068, 60.155707, 246.180845
Type00, L, 255, 62.376201, 257.380662, 56.302235, 257.652344, 41.473854, 253.401995, 28.394673, 234.593136, 26.543126, 213.008739, 23.572683, 192.897161, 20.074827, 172.133186, 16.649399, 151.501749, 10.935088, 130.553196, 4.557405, 110.961763, 0.000000, 89.907043, 1.793374, 70.323563, 6.333016, 49.749211, 12.863655, 30.518258, 24.527346, 10.725231, 44.403937, 0.000000, 65.899444, 5.067484, 80.252187, 23.113970, 85.188837, 43.499064, 88.894853, 64.265106, 87.017994, 85.088831, 83.705899, 105.536204, 81.376860, 124.970873, 81.513063, 146.003921, 84.202938, 166.008709, 86.177838, 185.839981, 86.083650, 206.619192, 89.629021, 227.165686, 83.374038, 248.342072, 68.682728, 256.862512, 62.765903, 257.004859
Type00, L, 265, 68.362664, 265.773084, 61.958567, 266.857731, 45.584756, 265.279641, 30.740456, 246.641494, 26.307186, 224.573859, 22.211890, 203.278852, 18.712401, 182.070500, 14.688663, 160.875863, 8.968995, 139.436104, 3.720563, 118.184223, 0.000000, 96.954518, 0.133218, 75.543325, 4.460648, 54.405593, 12.629049, 34.526950, 22.633003, 13.931649, 41.209024, 0.000000, 64.763981, 1.030378, 80.950568, 19.146237, 87.048143, 40.476493, 91.458185, 61.418792, 92.903010, 83.266463, 87.602354, 103.934656, 85.612978, 126.163995, 87.023314, 147.318836, 89.215439, 168.414115, 89.772046, 189.795524, 92.087780, 210.235383, 92.216597, 232.483528, 88.521914, 253.719226, 75.961783, 265.108760, 68.192716, 265.425048
Type00, L, 270, 64.510753, 272.246870, 72.065364, 272.016218, 86.517602, 262.326749, 91.686994, 239.449584, 90.303730, 218.660301, 88.803633, 195.965320, 88.279679, 175.675947, 87.088570, 153.580227, 85.601743, 132.094135, 85.104032, 110.777059, 88.679210, 89.497841, 92.430170, 68.297377, 87.643500, 46.358183, 81.591943, 25.090045, 68.059086, 4.359275, 45.159513, 0.000000, 24.087108, 12.640962, 13.051537, 33.532248, 5.355589, 54.813791, 0.401409, 74.328773, 0.000000, 95.694653, 3.405943, 116.737087, 9.230634, 138.085379, 15.461417, 159.109991, 21.197031, 181.685721, 25.374251, 202.120094, 28.514182, 223.922666, 31.796159, 245.692969, 42.098227, 267.346268, 58.536774, 273.261626, 64.519513, 271.808432
Type00, L, 275, 62.143142, 277.521158, 55.455042, 277.815858, 39.380368, 270.652553, 28.905891, 249.284163, 25.818668, 228.122310, 23.044327, 205.479304, 19.091916, 184.708454, 13.916207, 162.168280, 8.866937, 141.067840, 3.991555, 119.003779, 0.000000, 97.377210, 0.145356, 74.750137, 6.884804, 53.396602, 14.752608, 31.737426, 26.851101, 10.752439, 48.704452, 0.000000, 72.324834, 6.058247, 85.461937, 27.561392, 90.251272, 48.547837, 94.245851, 70.634893, 93.956336, 92.870884, 90.390349, 115.075812, 89.059089, 136.718725, 92.806158, 158.944129, 94.142306, 181.434716, 93.566235, 203.179266, 94.154690, 225.112814, 93.502532, 247.249204, 85.128277, 270.380239, 69.713158, 278.137586, 62.565590, 276.988086
Type01, L, 230, 46.041933, 232.327179, 40.855030, 232.290331, 26.385372, 228.268898, 17.067349, 209.960319, 14.970361, 191.317870, 12.483153, 172.830799, 10.788167, 154.381897, 7.897365, 135.813123, 4.800581, 117.521038, 1.285103, 99.182216, 0.000000, 79.040055, 1.464833, 60.777921, 5.837891, 42.972238, 11.742124, 25.139064, 23.297065, 8.006693, 42.077273, 0.000000, 61.014382, 6.699520, 72.471754, 24.821819, 77.316089, 42.068941, 78.727116, 61.089344, 78.604436, 80.958135, 78.316721, 99.142868, 78.350800, 116.847750, 78.908605, 135.108885, 77.393222, 153.713584, 75.675859, 172.075809, 75.451063, 190.180086, 74.475599, 209.073054, 66.411382, 227.584264, 51.823229, 232.101299, 46.314006, 232.119801
Type01, L, 240, 53.290702, 242.096108, 47.757455, 242.106622, 32.936309, 239.715638, 20.689574, 222.146386, 18.354432, 202.036584, 16.621021, 183.226670, 13.858036, 163.458076, 9.797472, 144.300920, 5.858888, 125.123890, 2.403737, 105.985556, 0.000000, 86.060192, 0.044632, 66.080304, 2.995755, 47.033322, 9.442421, 28.558979, 20.174319, 10.100305, 38.864502, 0.000000, 58.442873, 4.252140, 73.764962, 20.222037, 79.239758, 40.035847, 80.857250, 59.019168, 79.810597, 77.773274, 79.895598, 98.241268, 79.837625, 117.817689, 80.266670, 137.881878, 80.388570, 156.729153, 80.403493, 176.511781, 79.825584, 195.532510, 79.024265, 215.434546, 72.821580, 234.578916, 59.705022, 242.326956, 53.143846, 241.525575
Type01, L, 250, 51.703713, 252.358169, 45.369061, 252.944282, 30.683330, 248.230804, 20.602928, 227.524866, 16.558039, 208.640894, 15.130035, 187.607284, 12.611626, 167.277665, 8.823214, 147.820785, 4.699868, 127.079063, 1.504979, 107.632307, 0.000000, 87.023864, 0.784495, 67.306105, 4.549971, 47.564733, 10.595228, 27.878768, 23.535888, 9.030448, 43.847256, 0.000000, 64.800483, 6.287439, 77.901480, 24.623456, 81.427133, 44.651677, 83.283197, 64.630709, 82.640721, 85.833474, 82.140468, 103.922205, 82.186340, 124.235457, 82.341353, 144.462022, 82.756644, 165.678576, 83.004541, 185.330220, 82.810719, 207.056619, 82.304967, 226.847377, 74.048760, 247.635720, 57.640031, 252.174004, 52.430539, 252.207021
Type01, L, 260, 59.628376, 261.965888, 52.538853, 262.297393, 37.487144, 258.168383, 25.715781, 237.809777, 22.192858, 216.906844, 18.620914, 195.967099, 14.875096, 176.132256, 10.513854, 154.874102, 6.116015, 134.255608, 2.520997, 114.090583, 0.000000, 93.574096, 0.330131, 72.673238, 6.678501, 52.098035, 14.122202, 32.371465, 24.875438, 12.238964, 44.485005, 0.000000, 66.324365, 3.034813, 79.856742, 22.268741, 85.524580, 43.251331, 88.186675, 63.887797, 87.215168, 84.802786, 84.821189, 104.700475, 83.525772, 126.827933, 86.159998, 147.143561, 87.367279, 167.707822, 87.757368, 189.562874, 87.325904, 211.178872, 87.352467, 232.330668, 81.832362, 253.560301, 66.000074, 261.952642, 59.882722, 261.334684
