type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35
Type00, L, 240, 59.052889, 240.752302, 53.781859, 240.983888, 42.160347, 238.408590, 28.142110, 224.415637, 24.747456, 207.184527, 23.328620, 190.124964, 21.376245, 173.787032, 17.810597, 156.885982, 13.949931, 140.640029, 9.482482, 123.886446, 5.077670, 106.655734, 1.455220, 91.427533, 0.000000, 73.286518, 3.960963, 56.340543, 9.358421, 40.060747, 15.842973, 23.689297, 26.510343, 8.073156, 43.192742, 0.000000, 59.644417, 0.739034, 74.876928, 12.817046, 80.442449, 30.455805, 83.947029, 46.628995, 86.227051, 64.636547, 84.276920, 81.154203, 82.973937, 96.785038, 82.579749, 114.239086, 82.992110, 131.595031, 84.419456, 148.765831, 85.487563, 166.244497, 85.909295, 182.422504, 83.014880, 199.258221, 82.625562, 216.938974, 76.641847, 233.647816, 64.345715, 240.847273, 59.554677, 240.145350
Type00, L, 245, 59.578122, 246.149072, 53.587232, 246.375227, 41.203263, 242.503687, 31.158604, 225.907770, 25.156302, 209.882434, 21.360347, 191.520547, 18.414758, 175.337384, 14.773631, 158.390475, 10.966287, 141.217820, 7.228944, 124.966257, 3.473606, 107.553318, 0.000000, 90.143220, 0.223069, 72.945072, 3.278661, 55.950757, 8.762301, 38.727484, 15.868598, 22.172913, 27.994401, 6.712363, 44.530340, 0.000000, 62.918798, 1.783813, 76.519164, 16.156275, 80.409109, 33.115702, 85.018044, 50.023489, 86.200611, 67.284094, 85.621208, 84.322260, 83.716298, 101.449281, 82.231086, 119.642751, 82.755592, 136.482706, 86.012207, 153.519542, 85.915149, 170.764010, 85.078931, 188.032297, 84.849375, 205.420114, 84.417427, 223.050739, 77.777315, 240.425865, 65.160532, 246.522631, 59.699107, 245.594663
Type00, L, 255, 61.813068, 256.561321, 56.210835, 256.879014, 44.069585, 253.571843, 29.915870, 239.054038, 26.582874, 220.115728, 24.403439, 202.142070, 21.804251, 184.423965, 18.473074, 166.041341, 15.491101, 148.209938, 10.193025, 129.696371, 4.790084, 112.686321, 0.277431, 94.329603, 0.000000, 76.827173, 3.436396, 59.300984, 7.813825, 41.597829, 14.835143, 24.801631, 26.196214, 8.108641, 44.020610, 0.000000, 62.330816, 3.187077, 76.923939, 17.520672, 82.811105, 34.938035, 86.776467, 53.151807, 87.948271, 71.193080, 85.477931, 89.513176, 82.798649, 107.140157, 80.843151, 124.190000, 80.800710, 142.648985, 82.857770, 160.154512, 84.998375, 177.657084, 85.461691, 195.298243, 86.594616, 213.589717, 88.652527, 231.642629, 79.772428, 249.646124, 67.490656, 255.964757, 61.972746, 256.305749
Type00, L, 265, 68.779039, 265.344089, 62.849884, 266.177067, 49.491393, 265.555266, 33.639137, 251.352277, 28.331728, 232.416900, 24.377721, 213.379469, 21.386608, 194.951143, 18.019221, 176.275263, 14.396427, 157.787031, 9.301868, 138.997307, 4.711794, 120.362428, 1.180356, 101.878002, 0.000000, 83.069479, 2.393834, 64.538430, 7.542841, 46.342804, 15.408871, 29.073888, 24.957886, 11.278198, 41.936086, 0.334703, 61.937462, 0.000000, 78.037962, 13.677796, 85.454722, 32.022119, 89.658884, 50.525116, 92.826786, 69.102517, 92.138248, 88.069150, 87.469370, 106.200675, 86.219060, 125.716020, 87.005078, 144.225768, 89.234782, 162.685700, 89.736363, 181.353936, 91.353559, 199.618424, 92.636094, 217.897579, 92.099168, 237.646693, 86.931714, 255.427997, 75.164038, 265.034699, 68.669627, 264.728336
Type00, L, 270, 64.596219, 271.370856, 70.971341, 271.088519, 84.267842, 263.781385, 90.996528, 244.179673, 91.162837, 225.634475, 89.362643, 206.406153, 88.744460, 187.328763, 88.004782, 169.432778, 86.971377, 149.934687, 85.663708, 131.149466, 85.193027, 112.723018, 87.601021, 93.674933, 91.445222, 75.617167, 90.821498, 56.290965, 85.160314, 37.559822, 79.291778, 18.709278, 64.941591, 2.370960, 45.434993, 0.000000, 26.645670, 9.665860, 15.347341, 27.442502, 8.301381, 45.886484, 2.462909, 63.847379, 0.000000, 81.184055, 0.707762, 100.219465, 4.165457, 118.427476, 9.303709, 137.206346, 14.694610, 155.607438, 19.901982, 175.067440, 23.932235, 193.830455, 27.083074, 211.739196, 29.613519, 231.503373, 33.703280, 250.054638, 45.109111, 268.509526, 59.471852, 271.721383, 64.482842, 271.316237
Type00, L, 275, 62.590239, 276.590320, 56.663129, 276.582034, 42.892367, 271.689444, 31.070285, 253.564356, 27.364735, 235.291094, 24.779731, 215.683093, 22.223300, 196.692727, 18.159089, 178.184388, 13.746143, 158.437718, 9.282350, 140.159479, 5.010507, 120.632109, 1.343941, 102.005432, 0.000000, 82.038492, 3.491218, 63.212992, 10.382955, 44.148754, 17.557903, 25.495194, 30.005854, 7.851424, 49.219661, 0.000000, 69.681231, 3.599191, 83.464948, 21.206824, 88.950359, 39.478568, 92.899519, 58.745873, 94.946964, 77.813095, 93.513248, 97.575094, 90.553345, 116.720858, 89.652187, 135.804257, 92.759772, 155.124585, 94.336715, 174.875898, 94.325348, 194.062937, 94.023021, 213.128360, 94.819306, 232.378272, 92.323410, 252.088846, 83.088996, 271.490467, 68.902795, 276.838259, 63.255360, 276.156285
Type01, L, 230, 46.081655, 231.634668, 41.294285, 231.283232, 29.394917, 228.895703, 18.346487, 213.821702, 15.894147, 197.697014, 13.488873, 181.103914, 11.961987, 165.373721, 10.015103, 148.809923, 7.547835, 132.883545, 4.687842, 116.698942, 1.803437, 100.766315, 0.000000, 83.340456, 0.846617, 66.679740, 3.223027, 51.180725, 8.076949, 35.517202, 13.926024, 19.935687, 25.757306, 5.885128, 41.976083, 0.000000, 58.656017, 4.590107, 70.090832, 19.525849, 75.771545, 34.769207, 78.281794, 50.675289, 78.637085, 67.844127, 78.559945, 84.808510, 78.226939, 100.635543, 78.419778, 116.043961, 78.706971, 132.164574, 78.020471, 148.156818, 75.970412, 164.650627, 75.711949, 180.170792, 75.016869, 196.584761, 73.383643, 213.018912, 63.473568, 228.269559, 51.251911, 231.071798, 46.128054, 231.579880
Type01, L, 240, 53.554515, 241.351211, 48.448334, 241.243731, 36.333235, 239.759147, 22.878056, 226.197444, 19.398704, 208.771841, 17.526329, 191.786844, 16.094619, 175.185361, 12.944043, 157.792767, 9.582170, 141.181215, 6.039078, 124.393285, 3.051385, 107.519582, 0.715703, 90.480106, 0.000000, 72.577288, 1.468979, 55.881423, 5.318934, 39.214403, 12.028249, 23.185259, 22.528369, 7.638755, 39.305628, 0.000000, 55.895581, 2.485634, 70.928166, 15.293427, 77.680557, 31.460218, 80.702227, 49.278440, 80.612302, 64.798053, 80.021220, 82.416614, 80.087803, 99.717291, 80.070536, 117.214807, 80.391766, 134.520975, 80.617449, 151.366190, 80.564784, 168.183088, 80.435537, 185.410816, 79.723058, 202.077733, 78.362323, 219.649549, 70.684332, 235.616763, 59.060772, 241.466969, 53.357134, 240.792641
Type01, L, 250, 51.492261, 251.595674, 46.051826, 251.957686, 33.090543, 248.850182, 22.387991, 232.088105, 17.583427, 214.769909, 15.562456, 197.666994, 14.170511, 178.861282, 11.466474, 161.796943, 8.132704, 144.373231, 4.496322, 126.326724, 1.744321, 109.333384, 0.000000, 91.328871, 0.163902, 73.900223, 2.138549, 56.633075, 6.473416, 39.413275, 13.008290, 22.180554, 25.894991, 6.725479, 43.765831, 0.000000, 61.742030, 4.169012, 75.373981, 19.210315, 79.982314, 36.021732, 82.502437, 54.180294, 82.859897, 71.410838, 82.307912, 90.080980, 81.933806, 105.299165, 81.998419, 123.601518, 82.110624, 141.127721, 82.464775, 159.527044, 82.710927, 177.288153, 82.785772, 195.193644, 82.461539, 213.942123, 80.999411, 231.163045, 70.716562, 248.526851, 56.776668, 250.939584, 52.186641, 251.769526
Type01, L, 260, 59.865786, 261.002945, 53.387563, 261.204477, 40.734388, 258.354978, 27.906221, 242.314029, 23.638472, 223.563068, 20.535258, 205.605173, 17.461715, 187.327472, 13.962366, 170.119446, 10.127152, 151.087323, 6.315509, 133.491767, 3.129888, 115.398527, 0.724381, 98.067067, 0.000000, 79.126986, 3.219570, 61.811401, 9.759311, 43.245545, 16.484565, 26.698803, 27.399391, 9.054618, 44.872911, 0.000000, 63.508362, 0.991670, 77.560490, 16.345349, 83.548416, 34.145374, 87.619608, 52.900934, 87.990878, 70.492490, 86.945054, 89.034182, 84.672927, 106.266830, 83.899569, 125.933266, 85.931297, 143.548454, 87.360852, 161.602446, 87.782762, 180.274250, 87.812531, 199.485977, 87.407202, 218.135977, 86.987668, 236.692276, 79.194153, 254.685269, 65.285638, 260.777955, 60.106954, 260.475372
