type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38
Type00, L, 240, 59.012433, 241.224029, 54.007631, 241.387057, 43.882738, 239.415137, 29.845974, 227.525578, 25.249408, 212.219195, 23.644062, 196.199123, 22.384337, 181.498715, 19.565698, 165.777444, 16.301269, 151.071166, 12.457478, 135.706181, 8.402406, 120.529358, 4.427946, 104.793149, 1.300431, 90.961920, 0.000000, 74.234233, 3.408348, 58.726920, 8.080631, 43.784074, 13.906040, 28.829654, 21.678221, 14.063202, 35.451658, 3.144823, 50.455901, 0.000000, 65.916549, 4.573446, 76.910723, 18.413839, 81.060935, 34.117432, 84.209204, 49.143123, 86.050157, 65.538216, 84.322053, 80.739977, 83.061726, 94.901658, 82.541062, 110.752962, 82.715433, 126.539163, 83.709975, 142.435796, 84.997558, 158.176890, 85.693459, 173.825898, 85.151668, 188.426624, 82.421266, 204.373864, 82.376894, 220.262330, 74.710887, 235.360913, 64.093720, 241.193701, 59.254382, 240.674929
Type00, L, 245, 59.523384, 246.088724, 54.099745, 246.090115, 42.636905, 243.373157, 32.553460, 228.596207, 26.474601, 214.119890, 22.461985, 197.621055, 19.665699, 182.106154, 16.632646, 167.083108, 13.237091, 151.443560, 9.684035, 135.865447, 6.390665, 121.129756, 2.817945, 104.802188, 0.000000, 89.156563, 0.148093, 73.321806, 2.909690, 57.758463, 7.375497, 42.147694, 13.814632, 26.670741, 22.559964, 12.106859, 37.078952, 1.803457, 52.391001, 0.000000, 69.285126, 5.801276, 77.605931, 21.315783, 81.423282, 36.122300, 85.131779, 52.061636, 86.136008, 67.567959, 85.592930, 83.338194, 83.977121, 98.790662, 82.438637, 115.485682, 82.293969, 131.101998, 84.629874, 146.614977, 86.382184, 162.214146, 85.276816, 178.173374, 85.053091, 193.747446, 84.684761, 209.972957, 83.826684, 225.882263, 76.096087, 241.567472, 64.665939, 246.171501, 59.614605, 245.664438
Type00, L, 255, 61.766490, 256.103533, 56.563186, 256.494331, 45.736556, 253.558698, 31.766397, 241.613613, 26.950293, 224.374084, 25.244462, 208.028853, 22.818874, 191.315952, 20.240427, 175.400288, 17.156311, 158.142539, 14.080117, 142.212757, 8.722634, 125.103799, 4.104088, 109.828002, 0.138685, 92.779235, 0.000000, 76.930704, 2.970253, 60.866272, 6.735893, 44.658000, 12.617957, 29.160203, 21.240708, 13.623986, 35.506792, 2.036272, 52.411105, 0.000000, 68.401841, 7.215872, 79.006706, 22.145650, 83.559150, 38.020168, 86.979538, 54.830567, 87.727477, 71.266825, 85.628886, 87.995301, 83.032662, 104.282597, 81.258747, 119.703113, 80.436660, 136.507117, 81.974998, 152.642567, 83.900448, 168.868986, 85.381699, 184.549460, 85.459390, 201.275417, 87.378251, 217.656207, 87.715909, 234.470074, 78.047530, 250.219823, 67.014725, 255.551604, 61.856482, 255.870553
Type00, L, 265, 68.735547, 266.090498, 63.152194, 266.867057, 51.435086, 266.531198, 35.618208, 255.002737, 29.419537, 238.088624, 25.488097, 220.630044, 22.699731, 203.565016, 19.586463, 186.672040, 16.687824, 169.621285, 12.733196, 152.649255, 8.148393, 135.484536, 4.067940, 118.481808, 1.044246, 101.536768, 0.000000, 84.414566, 1.993867, 67.323912, 6.261678, 50.815916, 13.001287, 34.608321, 20.951279, 18.698534, 33.340032, 4.853516, 51.127007, 0.000000, 68.488401, 4.493282, 80.647526, 19.929835, 86.238253, 36.257664, 90.025163, 53.557930, 92.667052, 70.256562, 92.161770, 87.917484, 88.035735, 104.138185, 86.221242, 122.198159, 86.579028, 139.076224, 88.231465, 156.133160, 89.639119, 172.980062, 90.069627, 190.026960, 91.986455, 206.547234, 92.482339, 223.676460, 91.570952, 241.622446, 85.513180, 257.488421, 74.473123, 265.924951, 68.646649, 265.373085
Type00, L, 270, 64.624387, 271.558143, 70.369490, 271.329294, 82.747420, 265.115188, 90.296837, 247.900718, 91.427239, 230.394705, 89.933591, 213.442518, 88.978366, 195.438855, 88.418192, 178.886545, 87.675089, 162.014063, 86.538868, 143.962645, 85.496331, 127.319554, 85.419132, 110.068115, 87.886684, 92.912659, 91.293906, 76.273900, 91.005276, 58.731032, 86.497792, 41.395585, 81.066540, 24.479946, 71.392354, 7.651406, 54.259684, 0.000000, 36.722389, 3.424258, 21.464076, 16.270701, 13.522820, 32.772886, 6.828208, 49.889594, 2.249784, 65.855146, 0.000000, 82.049976, 0.727970, 99.241538, 3.582692, 116.087790, 8.104752, 133.021112, 13.022075, 150.106059, 17.892017, 167.263000, 22.120908, 185.229315, 25.374125, 201.493760, 27.964460, 218.688066, 30.465110, 236.547325, 35.148884, 253.478976, 47.021180, 269.622379, 59.926872, 271.621484, 64.520883, 271.719447
Type00, L, 275, 62.547929, 276.333065, 57.031021, 276.207202, 44.730869, 272.394466, 32.429869, 256.491189, 28.091603, 239.736239, 25.529111, 222.240094, 23.362318, 204.328803, 20.314831, 187.645889, 16.287872, 169.871770, 12.324829, 152.457238, 8.179393, 135.421373, 4.404142, 117.689233, 1.187521, 100.585817, 0.000000, 82.350722, 3.001741, 65.067368, 8.717647, 47.675879, 15.556370, 30.589173, 24.303310, 13.620672, 40.261890, 2.236829, 58.407148, 0.000000, 75.945973, 9.038220, 85.064017, 26.389907, 89.878819, 42.867377, 93.032936, 60.747513, 94.864739, 78.030130, 93.490830, 96.242297, 90.971667, 113.629777, 89.484660, 131.266469, 91.619356, 148.617589, 93.912843, 166.807981, 94.313228, 184.449967, 94.091672, 201.974095, 94.200567, 219.427480, 94.522751, 237.106959, 91.033768, 255.278908, 81.405355, 272.275353, 68.166036, 276.387937, 63.333751, 275.980574
Type01, L, 230, 46.083404, 231.015767, 41.481996, 230.580055, 31.202095, 228.838548, 19.471404, 215.970421, 16.459882, 201.200370, 14.153604, 186.162796, 12.586209, 171.422933, 11.021053, 156.780303, 9.025945, 141.712846, 6.634692, 127.199560, 3.956315, 112.426041, 1.436069, 97.688434, 0.000000, 81.749259, 0.801496, 66.479838, 2.863388, 52.414488, 6.950757, 37.843702, 12.082240, 23.995683, 20.549390, 9.735656, 34.473729, 1.416452, 49.608246, 0.000000, 63.612212, 9.225895, 71.895896, 23.218257, 76.420074, 37.287915, 78.273320, 51.964390, 78.597265, 67.680175, 78.512548, 83.256771, 78.237345, 97.678528, 78.280683, 111.972007, 78.621641, 126.339477, 78.397002, 141.159725, 76.923405, 156.009798, 75.612279, 170.702785, 75.606076, 185.078302, 74.624317, 200.181234, 72.319947, 215.198161, 61.626566, 228.245265, 50.943099, 230.385035, 45.919338, 231.001839
Type01, L, 240, 53.554639, 241.209322, 48.746647, 241.115716, 38.125360, 239.922691, 24.534083, 228.781871, 20.037973, 213.144651, 17.999015, 197.356320, 16.839401, 182.289115, 14.634419, 166.541902, 11.558717, 150.986605, 8.474521, 135.792302, 5.251879, 120.398430, 2.685200, 104.961339, 0.639789, 89.338193, 0.000000, 72.926166, 1.296180, 57.700298, 4.250707, 42.319771, 10.088282, 27.699690, 17.784943, 12.925943, 31.573928, 2.345166, 46.695421, 0.000000, 62.105774, 6.352013, 73.278527, 19.759384, 78.441414, 34.787677, 80.693585, 51.041824, 80.567228, 65.109836, 80.029287, 81.319170, 80.045424, 97.058827, 80.046155, 113.139938, 80.244290, 128.902943, 80.534023, 144.625827, 80.578322, 159.676965, 80.510874, 175.679713, 80.207495, 190.721268, 79.481998, 206.664074, 77.479068, 222.202930, 69.211851, 236.661252, 58.527102, 241.090975, 53.345954, 240.828642
Type01, L, 250, 51.450747, 250.887528, 46.466977, 251.163653, 34.720401, 248.778869, 23.749869, 234.523380, 18.563834, 218.316079, 16.002443, 203.042138, 14.843161, 186.169061, 12.866277, 169.640450, 10.196336, 154.389805, 6.845949, 137.747530, 3.824488, 121.892704, 1.344267, 105.928558, 0.000000, 89.711352, 0.100753, 73.608438, 1.854104, 57.954393, 5.398928, 42.063810, 10.890430, 26.477653, 20.259065, 11.193474, 35.526896, 1.390376, 51.862960, 0.000000, 67.699350, 8.398076, 76.957953, 23.365900, 80.582112, 38.810905, 82.483639, 55.511268, 82.810695, 71.217915, 82.283927, 88.257050, 81.929080, 102.538818, 81.908646, 118.330126, 82.050160, 135.348623, 82.204558, 150.889224, 82.642151, 168.585543, 82.622493, 183.613528, 82.764762, 201.371225, 82.135013, 217.392395, 79.931215, 233.763810, 68.651037, 248.332888, 56.463776, 250.219617, 51.999386, 251.093041
Type01, L, 260, 59.845281, 261.599441, 53.676726, 261.737005, 42.567533, 259.514399, 29.376974, 245.995030, 24.547818, 228.887935, 21.406605, 212.409218, 18.835781, 195.636705, 15.641315, 179.610994, 12.463598, 163.219206, 8.761564, 145.928884, 5.524048, 130.113198, 2.647290, 113.366902, 0.618531, 97.694122, 0.000000, 80.165867, 2.683628, 64.496842, 8.284194, 47.402355, 14.494561, 32.087741, 22.508184, 15.975192, 36.564473, 3.580799, 53.261901, 0.000000, 69.592588, 6.106970, 79.411093, 22.315571, 84.504668, 38.267865, 87.602270, 55.649202, 87.903277, 71.523848, 86.916277, 88.649858, 84.959518, 104.275377, 83.803546, 122.072423, 85.124940, 138.671926, 86.871272, 154.949684, 87.553071, 171.604686, 87.756537, 189.258145, 87.636344, 206.357718, 87.277134, 223.621485, 86.237935, 240.355294, 77.298091, 256.479951, 64.779448, 261.176460, 60.006037, 261.211705
