type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39
Type00, L, 240, 59.125543, 240.409379, 54.216513, 240.573204, 44.490295, 238.718744, 30.561133, 227.499616, 25.571136, 212.699978, 23.883222, 197.154048, 22.730353, 182.706960, 20.195625, 167.603632, 17.090117, 153.094254, 13.404360, 138.302722, 9.616212, 123.626677, 5.467166, 108.122812, 2.416008, 94.536944, 0.000000, 79.130563, 2.010336, 63.285044, 6.290462, 48.838644, 11.433122, 34.204898, 17.908088, 19.758736, 28.329908, 6.591867, 43.343989, 0.000000, 57.619636, 0.184821, 72.071259, 9.186049, 79.044224, 24.278595, 82.401998, 39.075780, 85.347897, 54.156288, 85.765233, 70.040503, 83.933279, 84.183756, 82.961462, 98.368957, 82.632814, 113.911673, 82.980718, 129.282179, 84.074540, 144.634676, 85.271248, 160.060212, 85.821478, 175.034715, 84.992854, 189.318233, 82.435456, 204.926250, 82.349798, 220.292881, 74.271162, 234.899205, 64.148493, 240.342887, 59.287024, 239.884613
Type00, L, 245, 59.730365, 245.794493, 54.469359, 245.757181, 43.294834, 243.298633, 33.222367, 229.157927, 27.110114, 215.031123, 23.062994, 199.230448, 20.221087, 183.811618, 17.413335, 169.409229, 14.082256, 154.118052, 10.713089, 139.062123, 7.372407, 124.429219, 4.090518, 109.292832, 0.808560, 93.339869, 0.000000, 78.568996, 1.922593, 62.804190, 5.618446, 48.173170, 11.198904, 32.531652, 18.310027, 18.331996, 29.998642, 5.230928, 44.863967, 0.000000, 60.726580, 1.018500, 74.536006, 12.026252, 79.238022, 27.263597, 83.354551, 41.899390, 85.919715, 57.464267, 86.301114, 72.435704, 85.380723, 87.821685, 83.682240, 102.975398, 82.460002, 119.281506, 82.813945, 134.160599, 85.418723, 149.394466, 86.460434, 164.506830, 85.404035, 180.108732, 85.236493, 195.166230, 84.867603, 211.061278, 83.804108, 226.436030, 75.819282, 241.620612, 64.740932, 245.786158, 59.812068, 245.427649
Type00, L, 255, 62.199059, 256.068783, 57.129868, 256.465818, 46.651324, 253.663206, 32.844398, 242.402119, 27.557181, 225.773411, 25.922939, 209.837368, 23.557398, 193.511685, 21.186524, 178.173657, 18.108373, 161.297530, 15.392799, 145.896273, 10.513400, 129.147174, 5.765631, 114.141722, 1.577457, 97.994055, 0.000000, 82.027060, 2.203074, 66.781148, 5.577603, 50.817037, 10.301110, 35.551057, 17.413669, 20.493345, 28.472749, 6.447903, 44.495422, 0.000000, 60.516273, 2.124951, 74.610726, 13.482267, 81.515420, 28.610788, 85.574015, 44.530113, 87.941845, 60.736530, 87.756406, 76.784186, 85.125632, 93.041525, 82.986088, 108.551370, 81.273951, 123.710446, 81.107795, 140.225542, 82.762593, 155.668658, 84.663814, 171.536546, 85.849262, 186.725534, 85.990427, 203.138377, 88.020612, 218.964566, 87.804796, 235.397475, 77.995567, 250.465460, 67.317936, 255.529686, 62.273800, 255.838464
Type00, L, 265, 68.645795, 265.515161, 63.191305, 266.291744, 51.895521, 265.993373, 36.232425, 255.258773, 29.684691, 238.952747, 25.796651, 222.012171, 22.978791, 205.313675, 20.020384, 188.973437, 17.173715, 172.306694, 13.632481, 155.912031, 9.170935, 139.182413, 5.052894, 122.606236, 1.713234, 106.185937, 0.000000, 89.552275, 0.852550, 72.858525, 4.301116, 56.697771, 9.825734, 40.599582, 17.227825, 25.407486, 26.469436, 9.888886, 42.003217, 0.999108, 59.381001, 0.000000, 74.825083, 10.248155, 83.221002, 26.061922, 87.803836, 42.520747, 90.971325, 58.831742, 92.948393, 75.780429, 90.884030, 92.138550, 87.117172, 108.646455, 86.117320, 125.814795, 86.743274, 142.384696, 88.540814, 158.756595, 89.566548, 175.320017, 90.222010, 191.728611, 92.016709, 207.855127, 92.373534, 224.595948, 91.281973, 241.989049, 85.018950, 257.305459, 74.189124, 265.380489, 68.576959, 264.779364
Type00, L, 270, 64.766599, 270.729824, 70.342861, 270.527665, 82.402704, 264.590183, 90.192159, 248.135247, 91.578867, 230.909869, 90.278314, 214.647571, 89.181958, 196.971182, 88.689279, 180.873075, 87.953717, 164.465163, 86.984385, 147.251485, 85.831072, 130.385579, 85.433904, 114.420888, 86.984120, 96.850217, 90.530869, 81.464690, 91.706110, 63.913647, 88.813753, 47.549913, 83.313004, 30.502638, 77.067253, 14.151213, 62.684494, 1.069890, 45.709997, 0.000000, 28.904453, 7.504366, 17.466453, 22.979321, 10.941643, 38.765218, 4.764607, 55.722060, 1.430629, 70.494872, 0.000000, 87.066543, 1.630223, 103.556977, 4.825749, 119.925098, 9.507940, 136.510352, 14.231567, 153.002530, 18.952667, 169.970112, 22.827004, 187.192686, 25.934671, 202.959868, 28.337483, 219.866982, 30.909044, 237.148402, 35.756873, 253.607333, 47.743867, 269.027055, 60.179573, 270.723840, 64.685383, 270.952027
Type00, L, 275, 62.623575, 276.031825, 57.223565, 275.873621, 45.365801, 272.356534, 32.979862, 257.117321, 28.429868, 240.838926, 25.841143, 223.904343, 23.762484, 206.490884, 20.954548, 190.061565, 17.177947, 173.169417, 13.241648, 155.829586, 9.329203, 139.531926, 5.411469, 122.222821, 2.227313, 105.539657, 0.000000, 88.228888, 1.678675, 70.763350, 6.250205, 54.349341, 12.881949, 37.166589, 19.724322, 20.915088, 32.218192, 6.008736, 49.282380, 0.000000, 67.263118, 2.210183, 81.118879, 16.465288, 87.260572, 32.766932, 91.357158, 49.605820, 93.984538, 66.546214, 94.777319, 83.873718, 92.802468, 101.219219, 90.400508, 118.281786, 89.795310, 135.227496, 92.367277, 152.355367, 94.127417, 169.947693, 94.387513, 187.092278, 94.102505, 204.062414, 94.374607, 221.093670, 94.434812, 238.284597, 90.713269, 255.991676, 80.960392, 272.251581, 68.057139, 276.035011, 63.431928, 275.703954
Type01, L, 230, 45.888024, 231.199498, 41.340219, 230.754991, 31.536686, 229.154963, 19.673713, 216.971980, 16.455169, 202.588906, 14.155357, 188.063812, 12.597772, 173.557498, 11.075754, 159.520607, 9.249234, 144.714207, 6.979810, 130.674538, 4.419539, 116.249683, 1.901971, 102.044456, 0.000000, 86.901661, 0.181459, 71.496996, 1.728203, 57.761728, 4.949060, 43.608396, 9.665766, 30.001568, 15.804114, 16.035012, 27.429787, 4.602679, 41.665505, 0.000000, 56.574912, 3.272754, 67.651486, 15.663751, 73.925346, 29.130838, 77.169152, 43.196118, 78.280567, 57.578405, 78.377719, 73.338611, 78.229279, 87.723325, 77.984058, 102.029034, 78.171914, 115.515472, 78.418291, 129.983486, 78.009563, 144.061781, 76.392875, 158.795344, 75.392075, 172.782371, 75.335763, 186.972008, 74.300702, 201.580635, 71.734151, 216.224678, 60.894849, 228.553850, 50.652523, 230.583878, 45.660138, 231.175298
Type01, L, 240, 53.539957, 240.941558, 48.837583, 240.870310, 38.613822, 239.713416, 25.098671, 229.307237, 20.245301, 214.187134, 18.159645, 198.839913, 17.002527, 184.111052, 15.055144, 168.935624, 12.162281, 153.712597, 9.140398, 138.887539, 6.021590, 124.043717, 3.315475, 108.901935, 1.170204, 94.043774, 0.000000, 77.968790, 0.615655, 62.974800, 2.858797, 47.941198, 7.332647, 33.531325, 14.008760, 19.146046, 24.276184, 6.174317, 39.370542, 0.000000, 53.805734, 1.611634, 68.048708, 11.679087, 75.722736, 25.549848, 79.701565, 40.942541, 80.719888, 55.995907, 80.390996, 69.897645, 79.924482, 86.136009, 80.083830, 101.070717, 80.010404, 116.937495, 80.326189, 132.097995, 80.526667, 147.380152, 80.556221, 161.921138, 80.473016, 177.691620, 80.114975, 192.055038, 79.385989, 207.823249, 77.146535, 222.705801, 68.766620, 236.748513, 58.351636, 240.738844, 53.337817, 240.636870
Type01, L, 250, 51.539924, 251.177496, 46.682889, 251.433381, 35.313641, 249.232535, 24.295102, 235.724520, 18.992514, 219.886947, 16.286908, 205.101727, 15.079236, 188.803358, 13.376298, 172.645579, 10.798061, 157.576576, 7.749695, 141.926594, 4.559166, 125.886559, 2.092811, 110.883153, 0.334756, 94.817991, 0.000000, 79.303772, 1.134353, 63.853053, 3.878757, 48.540442, 8.460745, 33.258431, 15.478258, 18.047419, 27.922791, 5.342793, 43.892916, 0.000000, 59.574205, 3.032909, 73.081265, 15.141781, 78.646318, 29.939989, 81.770561, 45.644552, 82.668465, 61.419646, 82.894091, 77.196745, 82.108507, 93.202193, 82.069801, 106.788371, 81.966322, 123.107769, 82.199785, 138.946672, 82.339151, 154.646609, 82.778973, 171.458312, 82.691472, 186.217052, 82.852670, 203.577111, 82.101688, 218.968106, 79.650149, 234.994527, 68.130906, 248.760180, 56.485031, 250.508636, 52.028775, 251.393847
Type01, L, 260, 59.919550, 260.518113, 53.841145, 260.632500, 43.189961, 258.591319, 29.949570, 245.778029, 24.938846, 229.241594, 21.748335, 213.128837, 19.300136, 196.904116, 16.223986, 181.120181, 13.181962, 165.468908, 9.634996, 148.573800, 6.358639, 132.996908, 3.441593, 116.926015, 1.223385, 101.404603, 0.000000, 85.026231, 1.378511, 68.884028, 6.001985, 53.144610, 11.927918, 37.087075, 18.541215, 22.312044, 29.246026, 7.194683, 45.027373, 0.000000, 61.190189, 0.071045, 75.138103, 12.051836, 81.594517, 27.615399, 86.264756, 44.188057, 87.843936, 60.124358, 87.848263, 76.266872, 86.367019, 92.336410, 84.557812, 107.906618, 83.974338, 125.440916, 85.668017, 141.015727, 87.095099, 157.201466, 87.691900, 173.307798, 87.794563, 190.676376, 87.675723, 207.114171, 87.300232, 223.995621, 86.035159, 240.167986, 76.802070, 255.734542, 64.722352, 260.031736, 60.046604, 260.179295
