type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40
Type00, L, 240, 58.654486, 241.071723, 53.846155, 241.245444, 44.471178, 239.475150, 30.699180, 228.911065, 25.317869, 214.558014, 23.554456, 199.543102, 22.436463, 185.222742, 20.221785, 170.839673, 17.207248, 156.365661, 13.761664, 142.283601, 10.103504, 127.820243, 6.030008, 112.995126, 2.841190, 99.082460, 0.000000, 85.165917, 0.389622, 69.240530, 4.117486, 54.997537, 8.739146, 40.787207, 14.443400, 26.654607, 22.300756, 12.884827, 35.519612, 2.937218, 49.702148, 0.000000, 64.251272, 3.831741, 75.425986, 16.164245, 80.110790, 31.074528, 83.000357, 45.264783, 85.540625, 60.475263, 84.626506, 75.481020, 83.132739, 88.897074, 82.317473, 103.227559, 82.187588, 118.269726, 82.697288, 133.348818, 83.837557, 148.129518, 84.941690, 163.271150, 85.331913, 177.596812, 84.247959, 191.616652, 81.899179, 206.878196, 81.705083, 221.754006, 73.288335, 235.888309, 63.619012, 240.971637, 58.742823, 240.572909
Type00, L, 245, 59.732804, 245.935431, 54.621501, 245.871189, 43.730167, 243.626587, 33.672786, 230.118782, 27.532577, 216.294669, 23.454398, 201.179379, 20.552940, 185.870155, 17.944601, 172.003800, 14.680612, 157.070238, 11.499655, 142.539891, 8.111337, 127.945696, 5.075797, 113.859361, 1.603939, 97.892710, 0.000000, 83.761130, 0.971630, 68.248770, 4.098168, 54.007373, 8.677474, 38.894484, 15.070005, 24.556114, 23.818651, 10.921532, 37.758229, 1.612776, 52.159613, 0.000000, 68.182508, 4.832991, 77.101834, 19.026260, 80.861622, 33.121502, 84.616308, 47.986951, 86.236200, 62.858500, 86.105762, 77.569266, 84.927584, 92.386135, 83.241422, 107.534824, 82.396393, 123.118467, 83.230236, 137.545452, 85.890835, 152.417493, 86.278112, 167.119910, 85.365020, 182.343009, 85.203284, 196.945443, 84.846825, 212.503848, 83.557055, 227.382055, 75.364637, 242.078181, 64.616720, 245.843913, 59.805453, 245.626564
Type00, L, 255, 62.151514, 255.947320, 57.213702, 256.336546, 47.052284, 253.686835, 33.435132, 243.013525, 27.712259, 227.040650, 26.089415, 211.410212, 23.814252, 195.577806, 21.580494, 180.585416, 18.612185, 164.335421, 16.022268, 149.128704, 11.790705, 133.077560, 6.889362, 117.987057, 2.717710, 102.858732, 0.000000, 86.870286, 1.147400, 72.153160, 4.198345, 56.658013, 8.070764, 41.600334, 14.023902, 26.855167, 22.657585, 12.389092, 36.375284, 1.833160, 52.356200, 0.000000, 67.462674, 6.194611, 78.371176, 19.918987, 83.126816, 34.754064, 86.737177, 50.629381, 88.094288, 66.205485, 87.014016, 81.956117, 84.300759, 97.625817, 82.492040, 112.480194, 80.940830, 127.520981, 81.381013, 143.558655, 83.048267, 158.491077, 84.910798, 173.922725, 85.810272, 188.740308, 86.074055, 204.783906, 88.143709, 220.128833, 87.400681, 236.168651, 77.493444, 250.606183, 67.147574, 255.412619, 62.212987, 255.722228
Type00, L, 265, 68.433188, 265.795323, 63.114254, 266.578191, 52.183436, 266.297392, 36.732696, 256.309638, 29.818871, 240.585820, 25.989494, 224.148969, 23.102196, 207.805892, 20.320808, 191.958418, 17.478897, 175.686957, 14.304694, 159.814163, 10.038123, 143.493601, 5.906436, 127.372744, 2.369147, 111.379542, 0.146764, 95.197949, 0.000000, 79.066515, 2.596545, 62.963351, 7.079279, 47.449706, 13.727871, 32.171244, 21.500568, 17.186517, 33.551851, 4.415728, 50.356275, 0.000000, 66.750336, 3.450342, 79.094186, 17.522270, 85.013838, 32.684643, 88.933191, 49.295028, 91.653350, 64.688398, 92.565150, 81.807284, 89.412831, 96.914651, 86.388238, 113.852657, 85.967495, 129.970514, 86.836602, 146.358527, 88.670130, 162.058829, 89.355614, 178.361734, 90.282047, 194.152494, 91.881958, 209.929202, 92.148363, 226.296958, 90.855173, 243.147414, 84.426455, 257.963687, 73.791266, 265.679243, 68.390543, 265.051960
Type00, L, 270, 64.470489, 271.329751, 69.894165, 271.149500, 81.634944, 265.472231, 89.647112, 249.728829, 91.264802, 232.798181, 90.181340, 217.140047, 88.956356, 199.840071, 88.512220, 184.133889, 87.775705, 168.126125, 86.965756, 151.743044, 85.756586, 134.804436, 85.152602, 119.647671, 85.961112, 102.355983, 89.070227, 87.335338, 91.476746, 70.482434, 90.007737, 54.565866, 85.272963, 37.749281, 80.013909, 22.045051, 69.862220, 6.411941, 53.645928, 0.000000, 37.068734, 3.141239, 22.419352, 14.790728, 14.250435, 30.390609, 7.946530, 46.289187, 2.950569, 62.000138, 0.354602, 76.757825, 0.000000, 93.024780, 2.122132, 109.083609, 5.728567, 124.923586, 10.373499, 141.202714, 14.960274, 157.137166, 19.487052, 173.941564, 23.043968, 190.362835, 26.026787, 205.780428, 28.258158, 222.353001, 30.923977, 239.099672, 35.922809, 255.106223, 48.004219, 269.828787, 59.981689, 271.264069, 64.418774, 271.606271
Type00, L, 275, 62.192857, 276.169648, 56.902852, 275.984210, 45.462974, 272.731436, 33.025158, 258.127852, 28.264922, 242.304747, 25.639852, 225.887343, 23.628402, 208.989095, 21.025922, 192.753564, 17.509572, 176.684598, 13.617974, 159.515480, 9.891889, 143.764125, 5.947041, 126.983022, 2.722714, 110.620733, 0.000000, 94.117917, 0.231952, 76.831348, 3.834500, 60.824846, 9.657537, 44.126574, 16.148211, 28.170477, 25.102121, 12.269208, 40.431551, 2.055211, 57.501320, 0.000000, 74.273493, 7.759514, 83.763060, 23.957702, 88.733602, 39.395712, 91.940773, 56.374705, 94.217398, 72.525053, 93.818534, 89.822441, 91.658279, 106.312134, 89.485612, 123.112757, 89.822730, 139.392345, 92.488165, 156.359688, 93.777960, 173.300402, 93.945196, 190.027390, 93.621502, 206.453023, 94.037520, 223.099094, 93.813126, 239.826865, 89.894478, 257.080209, 80.024299, 272.642232, 67.460861, 276.124324, 63.016863, 275.867732
Type01, L, 230, 45.983246, 230.941883, 41.487703, 230.492412, 32.128380, 229.013687, 20.175264, 217.477057, 16.745069, 203.475181, 14.436722, 189.423428, 12.902738, 175.167061, 11.388530, 161.647139, 9.735116, 147.161223, 7.558915, 133.507642, 5.155384, 119.450581, 2.633459, 105.681261, 0.509588, 91.253320, 0.000000, 76.087492, 1.144808, 62.259249, 3.606862, 48.767591, 7.727495, 35.135076, 12.877138, 21.963715, 21.475206, 8.769289, 34.795969, 1.365710, 49.020734, 0.000000, 62.465809, 8.193657, 70.836589, 21.251710, 75.625498, 34.469879, 77.851639, 48.355311, 78.444465, 62.692394, 78.436344, 78.046497, 78.229377, 91.544052, 78.060809, 105.631913, 78.359557, 118.518378, 78.464742, 132.962545, 77.874984, 146.418148, 76.199600, 160.961197, 75.479878, 174.333258, 75.346553, 188.336389, 74.264345, 202.470640, 71.427871, 216.759838, 60.490145, 228.398359, 50.655148, 230.350973, 45.695892, 230.899902
Type01, L, 240, 53.339277, 241.063353, 48.746337, 241.020875, 38.874145, 239.876821, 25.485936, 230.172508, 20.270761, 215.530838, 18.145963, 200.649739, 16.956043, 186.180589, 15.233667, 171.589883, 12.554636, 156.670285, 9.564841, 142.210494, 6.603328, 127.812080, 3.754413, 113.096451, 1.577866, 98.661539, 0.003938, 83.322573, 0.000000, 68.273926, 1.668571, 53.759587, 4.930984, 39.429376, 10.841377, 25.522477, 18.500505, 11.786696, 31.831777, 2.165601, 46.053638, 0.000000, 60.618893, 5.465607, 71.881750, 17.729572, 77.411477, 31.654863, 80.185293, 47.076245, 80.451193, 60.845858, 80.001372, 75.196574, 79.735326, 90.787300, 79.880675, 105.452284, 79.844531, 120.771596, 80.192732, 135.536952, 80.338900, 150.330852, 80.341036, 164.455372, 80.251059, 179.934988, 79.834542, 193.723567, 79.102179, 209.278455, 76.619576, 223.561356, 68.163414, 237.191959, 57.996474, 240.785600, 53.149413, 240.831918
Type01, L, 250, 51.537247, 250.779206, 46.795378, 251.014347, 35.792732, 248.984006, 24.739001, 236.169080, 19.332062, 220.719388, 16.487463, 206.351337, 15.208036, 190.619407, 13.745582, 174.858773, 11.257240, 159.889961, 8.513586, 145.179306, 5.200157, 129.071209, 2.777877, 114.812445, 0.673189, 99.001513, 0.000000, 84.071791, 0.539069, 68.728524, 2.655903, 54.039767, 6.397208, 38.963587, 11.985332, 24.249538, 21.512666, 10.099447, 36.046350, 1.275239, 51.527903, 0.000000, 66.478769, 7.347726, 76.217648, 21.219931, 80.007412, 35.628219, 82.343177, 51.459976, 82.780284, 66.298922, 82.693331, 82.263227, 81.998474, 96.890236, 82.060792, 110.441574, 81.985102, 126.872984, 82.227537, 141.671157, 82.404819, 157.603465, 82.795129, 173.389350, 82.679638, 188.118423, 82.835770, 204.916704, 81.968014, 219.822823, 79.263632, 235.457427, 67.553268, 248.492100, 56.419613, 250.105123, 51.964534, 251.009694
Type01, L, 260, 59.706221, 261.342954, 53.714861, 261.434776, 43.491884, 259.561135, 30.234555, 247.400268, 25.044896, 231.431871, 21.795522, 215.652399, 19.442921, 199.956824, 16.498759, 184.417253, 13.550033, 169.360247, 10.198617, 153.035988, 6.876050, 137.490021, 3.974952, 122.238063, 1.573749, 106.634065, 0.000000, 91.525206, 0.315538, 74.926208, 3.734867, 60.344501, 9.289105, 43.990512, 15.245848, 29.778665, 23.354697, 14.504025, 36.882704, 3.226825, 52.650716, 0.000000, 68.103580, 4.903331, 78.313036, 19.969603, 83.372951, 34.692837, 87.016039, 51.464069, 87.707307, 66.293384, 87.281790, 82.554765, 85.576215, 97.627363, 83.976415, 113.381036, 84.020291, 130.292100, 85.860155, 145.158671, 86.992794, 161.144084, 87.531459, 176.830189, 87.539731, 193.821300, 87.431650, 209.701567, 87.029491, 226.179466, 85.530088, 241.845328, 76.047471, 256.856749, 64.388169, 260.804205, 59.799161, 261.046498
