type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42
Type00, L, 240, 59.049309, 240.933116, 54.451766, 241.133937, 45.661227, 239.484028, 32.312378, 230.130771, 26.186643, 216.586996, 24.261958, 202.650641, 23.091772, 188.470401, 21.489790, 175.474638, 18.617518, 161.062464, 15.723087, 148.254815, 12.093078, 134.101355, 8.621012, 120.773952, 4.826727, 106.349336, 2.149907, 94.042183, 0.000000, 79.582987, 1.731338, 65.055213, 5.500866, 51.553529, 10.088563, 38.148805, 15.694390, 24.686727, 23.618059, 11.873022, 36.282729, 2.744725, 49.773811, 0.000000, 63.439589, 3.211678, 74.744669, 14.233953, 79.820982, 28.279059, 82.754674, 41.861599, 85.393699, 55.953143, 85.586366, 70.489515, 84.020872, 83.713949, 82.972953, 96.570880, 82.607859, 110.957695, 82.696119, 124.939067, 83.552007, 139.439734, 84.634359, 153.309860, 85.556557, 167.704607, 85.602898, 181.008355, 84.110962, 194.520074, 82.240224, 209.118063, 81.661616, 223.079341, 72.779321, 236.334905, 63.887526, 240.767494, 59.018043, 240.489982
Type00, L, 245, 59.648024, 245.806200, 54.798064, 245.708440, 44.466518, 243.801553, 34.435339, 231.505127, 28.276607, 218.227260, 24.107643, 204.339714, 21.125864, 189.429573, 18.743672, 176.250929, 15.742819, 162.262091, 12.774939, 148.416774, 9.526496, 134.412459, 6.591133, 121.137184, 3.436320, 106.736920, 0.622684, 92.249859, 0.000000, 78.553228, 1.631331, 63.971429, 4.947170, 50.502697, 9.640039, 36.072197, 15.960987, 22.657080, 24.711533, 9.918033, 38.071824, 1.452445, 51.699305, 0.000000, 66.876845, 4.051434, 76.258256, 16.996519, 80.095983, 30.442876, 83.768523, 44.378242, 85.874304, 58.597537, 86.193351, 72.427230, 85.367976, 86.708424, 83.894396, 100.515782, 82.551408, 115.638660, 82.484395, 129.596371, 84.164334, 143.495996, 86.324850, 157.586886, 85.816087, 171.606543, 85.243923, 186.025918, 85.037437, 199.902440, 84.698635, 214.745151, 82.931726, 228.753495, 74.433927, 242.490496, 64.295886, 245.575569, 59.700436, 245.605707
Type00, L, 255, 62.064302, 255.827718, 57.379335, 256.170130, 47.775691, 253.866781, 34.589678, 244.134519, 28.113619, 229.548543, 26.355120, 214.316166, 24.319513, 199.666255, 22.213821, 184.885895, 19.644525, 170.307204, 16.952536, 154.949722, 13.975884, 140.648900, 9.156150, 125.253468, 5.008026, 111.551073, 1.220085, 96.458243, 0.000000, 81.798605, 1.830584, 67.744238, 4.931283, 52.968255, 8.905782, 38.851646, 14.908419, 24.821297, 23.529940, 11.318563, 36.716598, 1.674158, 51.881750, 0.000000, 66.179336, 5.354706, 77.244230, 17.957117, 82.268703, 31.871249, 85.984886, 46.863210, 87.772930, 61.675729, 87.583621, 76.564014, 85.217193, 91.537169, 83.122893, 105.958877, 81.546769, 119.900750, 80.770483, 134.890709, 81.973390, 149.529300, 83.615615, 163.976209, 85.255925, 178.286298, 85.731320, 192.706470, 86.308793, 207.828979, 88.285490, 222.442318, 86.576153, 237.635515, 76.576902, 250.976824, 66.831804, 255.271617, 62.104274, 255.630387
Type00, L, 265, 68.559878, 265.572829, 63.525728, 266.381293, 53.183082, 266.091926, 38.290115, 257.463531, 30.631687, 242.835293, 26.929425, 227.356006, 23.843144, 211.725474, 21.403557, 196.645750, 18.556960, 181.298039, 15.895258, 166.165760, 12.174882, 150.755748, 8.106833, 135.515445, 4.416086, 120.077873, 1.460493, 105.050323, 0.000000, 89.569093, 0.649217, 74.283827, 3.627639, 59.174906, 8.304162, 44.436411, 14.789713, 30.070445, 22.442751, 15.866444, 34.135805, 4.102791, 50.080757, 0.000000, 65.581374, 2.683527, 77.987128, 15.373224, 84.237916, 29.673563, 88.298825, 45.284463, 91.050564, 60.114080, 92.770832, 75.844973, 91.031139, 91.057620, 87.557245, 105.993042, 86.086735, 122.119866, 86.408414, 137.239915, 87.644741, 152.673322, 89.282121, 167.615601, 89.532605, 183.106929, 90.964078, 197.950322, 92.083630, 213.003371, 92.247634, 228.740217, 90.525620, 244.491455, 83.852299, 258.475348, 73.576485, 265.446423, 68.580473, 264.857055
Type00, L, 270, 64.716388, 271.161439, 69.873852, 270.997861, 80.986314, 265.833896, 89.385774, 251.329696, 91.411988, 235.093519, 90.785932, 220.331658, 89.393066, 204.006106, 88.943159, 188.796394, 88.260067, 173.660828, 87.636230, 158.487519, 86.508437, 142.272550, 85.666465, 127.220885, 85.481889, 112.187604, 87.254757, 95.999710, 90.407798, 81.986224, 91.616603, 65.517199, 89.390009, 50.727572, 84.513296, 34.597966, 79.389451, 19.864060, 68.813185, 5.433328, 53.522400, 0.000000, 37.730661, 2.945016, 23.730091, 13.499704, 15.312253, 28.332510, 9.390128, 43.035522, 4.075275, 58.568069, 1.277896, 72.089617, 0.000000, 87.573347, 1.467223, 102.658148, 4.189971, 117.906474, 8.355965, 133.028392, 12.748887, 148.465397, 17.087538, 163.671122, 21.157805, 179.903867, 24.203929, 194.856511, 26.955476, 209.807467, 28.920871, 225.640258, 31.807418, 241.414071, 37.083202, 256.582268, 49.289044, 269.976044, 60.395813, 271.005402, 64.738894, 271.520824
Type00, L, 275, 62.540164, 276.041608, 57.453750, 275.821991, 46.779018, 273.000387, 34.323698, 259.610758, 29.154802, 244.608167, 26.433309, 229.169621, 24.499776, 213.212660, 22.232629, 197.445406, 19.199786, 182.554203, 15.517201, 166.254819, 11.976679, 150.951357, 8.273624, 135.469819, 4.805588, 119.706019, 1.910534, 104.162782, 0.000000, 88.286656, 1.395387, 72.010240, 5.346807, 56.991446, 11.189368, 40.988038, 17.387924, 26.030842, 26.544410, 11.117749, 41.216715, 1.923535, 57.392958, 0.000000, 73.368443, 6.728183, 83.207391, 21.753217, 88.259949, 36.398015, 91.647700, 52.365653, 94.024699, 67.777775, 94.581093, 83.912303, 92.881521, 99.895480, 90.659301, 115.615086, 89.607820, 131.399895, 91.342094, 146.937787, 93.586707, 163.293592, 94.189294, 179.113864, 94.243458, 195.030266, 93.925314, 210.517404, 94.528191, 226.404280, 93.722056, 242.326842, 89.483933, 258.669143, 79.411240, 272.968888, 67.523647, 275.900340, 63.379717, 275.803519
Type01, L, 230, 45.961482, 230.883755, 41.573928, 230.428499, 33.000891, 229.155188, 20.992283, 218.782832, 17.119155, 205.556951, 14.773960, 192.296015, 13.288505, 178.666927, 11.753734, 165.838541, 10.389633, 152.246232, 8.396057, 139.059194, 6.295625, 125.856968, 3.825950, 112.715582, 1.630539, 99.399338, 0.000000, 85.404937, 0.285382, 71.203862, 1.607213, 58.483105, 4.458621, 45.502187, 8.512265, 32.724875, 13.738840, 20.154245, 22.401712, 7.956740, 35.148084, 1.328652, 48.570403, 0.000000, 61.487394, 7.337732, 69.881100, 19.469483, 74.904549, 32.017797, 77.434997, 45.068467, 78.333150, 58.460769, 78.415072, 72.971348, 78.278555, 86.357148, 78.072902, 99.435947, 78.111184, 112.213568, 78.452832, 124.998018, 78.267432, 138.513123, 77.293541, 151.490707, 75.782003, 165.136635, 75.438053, 177.747962, 75.151981, 191.230546, 73.957394, 204.551400, 70.585698, 218.131063, 59.566844, 228.503114, 50.456069, 230.353599, 45.568568, 230.794693
Type01, L, 240, 53.457933, 240.944417, 49.094030, 240.968122, 39.801338, 239.807768, 26.794312, 231.394844, 20.853896, 217.628638, 18.678833, 203.708623, 17.316860, 189.610512, 16.001625, 176.154964, 13.713540, 161.801498, 10.868170, 148.055112, 8.151719, 134.330828, 5.221359, 120.602998, 2.920862, 106.601353, 0.939284, 92.884051, 0.000000, 77.965689, 0.412003, 64.182357, 2.441851, 50.227452, 5.930356, 36.875460, 11.875321, 23.579692, 19.494758, 10.817448, 32.372077, 2.022253, 45.801626, 0.000000, 59.595141, 4.753254, 70.840121, 15.929725, 76.706540, 28.950644, 79.903171, 43.416454, 80.583749, 57.041004, 80.325874, 69.945243, 79.852273, 84.984751, 79.989999, 98.668980, 79.921894, 113.411397, 80.143831, 127.430816, 80.367729, 141.478948, 80.498563, 155.410288, 80.413877, 168.923996, 80.328361, 183.565653, 79.793130, 196.609373, 79.040559, 211.529184, 76.071480, 224.837385, 67.550664, 237.601285, 57.824394, 240.560420, 53.307018, 240.832336
Type01, L, 250, 51.545642, 250.697564, 47.001977, 250.882731, 36.706370, 249.177434, 25.605389, 237.573529, 20.041319, 222.980465, 16.900413, 209.212778, 15.499795, 194.670196, 14.296847, 179.565442, 12.165024, 165.028842, 9.756283, 151.363432, 6.628479, 136.230703, 4.025437, 122.120306, 1.704052, 107.810850, 0.328949, 93.213881, 0.000000, 78.776210, 1.042190, 64.557229, 3.359374, 50.424598, 7.305104, 36.261518, 12.959854, 22.246385, 22.601345, 9.189749, 36.422760, 1.180165, 51.173161, 0.000000, 65.280274, 6.495188, 75.373649, 19.279023, 79.355828, 32.894936, 82.050684, 47.707518, 82.622882, 62.055642, 82.906115, 76.773714, 82.126550, 91.445371, 82.085688, 104.298405, 81.945272, 118.550109, 82.136493, 133.952622, 82.247290, 147.695335, 82.578677, 163.611708, 82.781336, 177.509957, 82.694157, 192.466317, 82.777416, 207.892050, 81.690947, 222.128232, 78.469961, 236.898354, 66.512485, 248.640625, 56.309705, 250.010348, 51.850205, 250.955970
Type01, L, 260, 59.914354, 261.123468, 54.093050, 261.174243, 44.637484, 259.595051, 31.436518, 248.602682, 25.900363, 233.742068, 22.508264, 218.570570, 20.289926, 203.851795, 17.603854, 188.821697, 14.796965, 174.666459, 11.827632, 159.565402, 8.513460, 144.246882, 5.654771, 129.993471, 2.991894, 115.059708, 1.094482, 100.767637, 0.000000, 85.681876, 1.218181, 70.588777, 5.124537, 56.351100, 10.512048, 41.154522, 16.321016, 27.601812, 24.476612, 13.284394, 37.495614, 2.900045, 52.451690, 0.000000, 67.072242, 3.931407, 77.565732, 17.844890, 82.647431, 31.607370, 86.663619, 47.566142, 87.750721, 61.753571, 87.815023, 76.983671, 86.423454, 91.637988, 84.811376, 106.110670, 83.906309, 121.922653, 84.994589, 137.018430, 86.650370, 151.407790, 87.381445, 166.503533, 87.789393, 181.807757, 87.673964, 197.721707, 87.578597, 212.834386, 87.107293, 228.399329, 85.115685, 243.231789, 75.261027, 257.118630, 64.377264, 260.520682, 59.943525, 260.884049
Type01, L, 280, 58.801812, 281.342045, 53.262909, 281.255786, 42.293110, 279.715499, 28.810491, 266.791645, 24.498768, 250.456251, 21.523089, 234.699455, 19.298934, 217.870467, 16.877953, 202.191781, 14.264926, 186.260643, 11.259632, 169.548747, 8.102500, 154.127677, 5.024271, 137.973064, 1.930315, 122.202102, 0.308240, 105.968102, 0.000000, 89.471222, 1.739310, 74.050445, 5.139608, 58.330697, 10.030287, 43.565905, 16.884284, 27.985854, 26.264246, 13.488170, 40.662112, 2.454835, 57.485751, 0.000000, 73.254123, 7.464707, 82.943495, 22.797434, 86.479006, 37.930242, 89.223581, 54.397139, 90.689948, 69.744015, 90.023175, 86.114948, 88.140118, 102.261772, 87.109353, 117.894936, 86.480021, 134.596848, 87.120012, 150.753846, 88.598014, 166.671051, 90.764902, 182.836567, 90.052675, 197.939179, 89.113501, 214.887357, 89.281773, 231.382615, 88.756962, 247.362730, 86.060367, 262.325170, 75.673664, 278.015234, 64.044725, 280.574711, 59.261142, 281.137345
Type01, L, 290, 60.002004, 291.333109, 54.468784, 291.427871, 43.168334, 289.459049, 29.553926, 275.845382, 25.060642, 259.062288, 23.140164, 243.067959, 19.792777, 225.962062, 17.694867, 209.908778, 15.508528, 193.203835, 13.371780, 176.464216, 10.112461, 160.572268, 6.416465, 143.619193, 2.975239, 126.516282, 0.617366, 110.206222, 0.000000, 92.946509, 1.367899, 76.240538, 4.989712, 59.640046, 10.361002, 43.449631, 18.011820, 27.736494, 27.719479, 13.014704, 42.734716, 2.355740, 59.560789, 0.000000, 75.685484, 7.809619, 85.408727, 23.705203, 89.016205, 39.722295, 92.447983, 56.546215, 94.570112, 72.379534, 93.214866, 90.783690, 91.857848, 106.239059, 91.384663, 122.143293, 91.717494, 139.918498, 92.224733, 156.685889, 93.178800, 173.391580, 93.619047, 189.337238, 94.174562, 206.619953, 93.807353, 223.218061, 92.999484, 238.765833, 91.002827, 255.963253, 88.085990, 272.270877, 77.795065, 287.807131, 65.043248, 290.777505, 60.726037, 291.211248
