type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43
Type00, L, 240, 58.677197, 240.318338, 54.186594, 240.527321, 45.641763, 238.937442, 32.539491, 230.114868, 26.076140, 216.979680, 24.048637, 203.517076, 22.837182, 189.475293, 21.461551, 176.980914, 18.735046, 162.806760, 16.012939, 150.322707, 12.485026, 136.593488, 9.223353, 123.608207, 5.343219, 109.561419, 2.631907, 97.117662, 0.000000, 83.923669, 0.423137, 69.324592, 3.571145, 56.001002, 7.841406, 42.896292, 12.730401, 29.762195, 19.302358, 16.898004, 29.314860, 5.694879, 42.967069, 0.156688, 55.557118, 0.000000, 69.103233, 6.851587, 76.817159, 19.506439, 80.903152, 33.216116, 83.254505, 46.336428, 85.609716, 60.543706, 84.597307, 74.286438, 83.351145, 86.900036, 82.389119, 99.799291, 82.248420, 113.893900, 82.437293, 127.567439, 83.409031, 141.600616, 84.443968, 155.248402, 85.252349, 169.104146, 85.136625, 182.078665, 83.487496, 195.312945, 81.868239, 209.600831, 81.030673, 223.135416, 72.011575, 235.980562, 63.444686, 240.120027, 58.600690, 239.903032
Type00, L, 245, 59.658086, 245.627339, 54.921846, 245.519067, 44.866733, 243.748639, 34.845480, 232.020843, 28.696841, 219.006598, 24.464719, 205.645328, 21.473753, 191.031614, 19.114641, 178.033747, 16.308612, 164.589293, 13.369418, 150.954055, 10.282378, 137.425930, 7.290547, 124.163496, 4.383782, 110.807202, 1.283532, 96.093064, 0.000000, 83.089601, 0.816000, 68.688394, 3.604445, 55.476940, 7.561301, 41.643189, 13.144274, 28.055821, 20.248346, 15.345918, 31.438316, 4.390626, 44.876521, 0.000000, 58.866149, 0.729426, 72.258159, 9.069971, 77.984469, 22.668848, 81.666115, 35.734049, 84.771085, 49.515369, 86.164961, 63.329608, 86.010314, 76.810018, 84.988296, 90.702274, 83.459688, 104.399896, 82.418850, 119.075099, 82.708457, 132.515971, 84.709208, 146.121164, 86.390635, 159.859194, 85.683540, 173.588216, 85.232689, 187.579009, 85.013408, 201.185838, 84.660723, 215.641291, 82.658948, 229.278351, 74.050101, 242.537863, 64.197412, 245.342409, 59.697935, 245.473654
Type00, L, 255, 62.051789, 255.761578, 57.488604, 256.074676, 48.130148, 253.944296, 35.178066, 244.606914, 28.381097, 230.700834, 26.498012, 215.643311, 24.578519, 201.564978, 22.524278, 186.841717, 20.134526, 173.045730, 17.417813, 157.680087, 14.820832, 144.048636, 10.353427, 128.800052, 6.083900, 115.345895, 2.247022, 100.972539, 0.000000, 86.358796, 0.967732, 72.681402, 3.698876, 58.394604, 7.117615, 44.420653, 12.113148, 30.640062, 19.202907, 17.267614, 29.918969, 5.259489, 44.359035, 0.000000, 58.742749, 1.474070, 71.895687, 10.487371, 79.780526, 23.740190, 83.841206, 37.720092, 86.874009, 52.378411, 87.951023, 66.808550, 86.925250, 81.355789, 84.481753, 95.872894, 82.675137, 109.745949, 81.183053, 123.408193, 80.923797, 138.296220, 82.272365, 152.224753, 83.929119, 166.527599, 85.379027, 180.269918, 85.738421, 194.572061, 86.473253, 209.193453, 88.333739, 223.525617, 86.189859, 238.276820, 76.184506, 251.141030, 66.713272, 255.183647, 62.082739, 255.587236
Type00, L, 265, 68.426381, 265.404401, 63.537484, 266.230013, 53.432800, 265.920455, 38.863375, 257.909322, 30.845839, 243.795259, 27.194500, 228.775020, 24.003630, 213.495990, 21.702744, 198.714519, 18.878613, 183.881272, 16.367845, 168.963734, 12.939187, 154.124527, 8.987222, 139.145179, 5.248178, 124.114481, 2.103139, 109.484633, 0.177870, 94.336669, 0.000000, 79.601118, 2.215044, 64.469736, 6.065415, 50.319004, 11.764340, 35.785454, 18.680558, 22.255700, 27.699185, 8.685670, 41.903914, 1.166552, 57.359277, 0.000000, 71.801925, 7.422180, 80.960796, 21.379602, 85.917177, 35.527887, 89.276514, 50.940890, 91.738532, 65.111494, 92.477297, 81.029219, 89.811696, 95.008135, 86.801269, 110.495236, 85.921610, 125.598177, 86.504659, 140.687232, 87.855094, 155.413323, 89.290125, 170.208557, 89.484021, 185.167414, 91.073969, 199.680581, 91.972328, 214.348418, 92.086195, 229.823869, 90.159653, 245.021273, 83.389111, 258.663856, 73.289070, 265.250888, 68.478982, 264.723163
Type00, L, 270, 64.416924, 270.444043, 69.456692, 270.274811, 80.264890, 265.370205, 88.826987, 251.394049, 91.039422, 235.560234, 90.637035, 221.104120, 89.216013, 205.353731, 88.710104, 190.282953, 88.090864, 175.612364, 87.479018, 160.854160, 86.486539, 145.213577, 85.539171, 130.092463, 85.097401, 115.887292, 86.249988, 99.783158, 89.029801, 86.140868, 91.380349, 70.349318, 90.145757, 55.737780, 86.452271, 40.170456, 81.259478, 25.488244, 74.365184, 10.691871, 60.500617, 0.579315, 45.420966, 0.000000, 30.256347, 6.265930, 19.013393, 19.495537, 12.521012, 33.634566, 6.702053, 48.800251, 2.567020, 62.787350, 0.257410, 76.793917, 0.000000, 91.658316, 1.828358, 106.635612, 4.977029, 121.238176, 9.137941, 136.229055, 13.452897, 151.110986, 17.634278, 166.167929, 21.466611, 181.918417, 24.320521, 196.310155, 26.950467, 211.047734, 28.831579, 226.519987, 31.828613, 241.831767, 37.237398, 256.621702, 49.470916, 269.374186, 60.170698, 270.259410, 64.480652, 270.829021
Type00, L, 275, 62.164784, 275.762326, 57.173131, 275.534797, 46.848642, 272.885700, 34.419867, 260.076381, 29.057997, 245.441993, 26.275422, 230.476710, 24.360833, 214.919824, 22.227304, 199.480960, 19.406833, 184.912838, 15.882479, 169.287774, 12.377432, 153.980721, 8.847448, 139.193746, 5.302052, 123.685150, 2.372601, 108.564945, 0.000000, 93.258262, 0.144921, 77.302135, 3.298426, 62.362804, 8.289428, 47.129053, 14.392999, 32.010116, 21.304559, 17.408672, 33.487360, 4.959510, 48.855726, 0.000000, 64.842617, 1.566881, 78.417534, 12.870958, 85.085442, 27.777841, 89.535682, 42.322123, 92.125699, 58.014740, 94.220037, 72.952008, 93.724784, 88.980018, 91.877879, 104.248601, 89.749647, 119.752304, 89.459498, 134.941330, 91.544320, 150.319793, 93.435565, 166.216273, 93.825440, 181.607998, 93.828867, 197.091439, 93.562210, 212.209016, 94.189925, 227.695475, 93.111333, 243.284903, 88.735056, 259.161108, 78.583579, 272.898281, 67.023871, 275.571279, 63.007126, 275.563662
Type01, L, 230, 45.940634, 230.922952, 41.611783, 230.466187, 33.378959, 229.281046, 21.403821, 219.430688, 17.296565, 206.599469, 14.934599, 193.661860, 13.456448, 180.407129, 11.922230, 167.772803, 10.647307, 154.725921, 8.775673, 141.656470, 6.769364, 128.924166, 4.414803, 115.988194, 2.180830, 103.171182, 0.316711, 89.726072, 0.000000, 75.714164, 1.005599, 62.929803, 3.197607, 50.438517, 6.717587, 37.810708, 11.367463, 25.588548, 17.763544, 13.158750, 28.983837, 3.763319, 41.626589, 0.000000, 55.129827, 2.458566, 65.681108, 12.699712, 72.358125, 24.825181, 76.084911, 37.182445, 77.911243, 50.121823, 78.351490, 63.417565, 78.381056, 77.651839, 78.166666, 90.142138, 78.026017, 103.206934, 78.169373, 115.217653, 78.428680, 128.237060, 78.133135, 141.002846, 76.963253, 154.025191, 75.652611, 167.032296, 75.390502, 179.453328, 75.048065, 192.616700, 73.781022, 205.587401, 70.150942, 218.814495, 59.140627, 228.606921, 50.349555, 230.427591, 45.502486, 230.805044
Type01, L, 240, 53.322183, 240.658431, 49.075483, 240.713327, 40.021280, 239.539964, 27.251922, 231.704455, 20.959821, 218.359878, 18.766233, 204.899865, 17.276709, 190.969725, 16.156018, 178.015896, 14.002781, 163.958819, 11.325823, 150.540130, 8.623528, 137.116571, 5.813318, 123.786494, 3.351650, 110.141840, 1.374435, 96.800508, 0.002000, 82.529367, 0.000000, 68.642553, 1.380007, 55.187258, 4.160441, 41.874798, 9.021815, 28.950698, 15.537193, 16.115461, 25.572868, 5.141972, 39.173736, 0.000000, 52.044386, 1.092966, 65.248294, 9.010880, 73.596777, 21.095087, 78.153533, 34.320718, 80.223300, 48.455460, 80.416480, 61.202725, 80.009586, 74.360204, 79.713296, 89.003275, 79.877773, 102.326541, 79.785432, 116.652327, 80.094590, 130.400647, 80.253111, 143.921897, 80.371913, 157.512225, 80.260064, 170.842561, 80.163154, 184.913045, 79.582800, 197.798725, 78.801718, 212.283026, 75.601348, 225.222104, 67.079534, 237.520962, 57.553096, 240.245922, 53.195228, 240.586735
Type01, L, 250, 51.525684, 250.953843, 47.068261, 251.110953, 37.110934, 249.560597, 25.998358, 238.484881, 20.377766, 224.349574, 17.080857, 210.791972, 15.641321, 196.851807, 14.456292, 182.009645, 12.593444, 167.824141, 10.202816, 154.298347, 7.370965, 140.068280, 4.542870, 125.622426, 2.329968, 112.283032, 0.557791, 97.625394, 0.000000, 83.884686, 0.478754, 69.616973, 2.334380, 56.094474, 5.508572, 42.088470, 10.253610, 28.501831, 17.659185, 14.960719, 29.484752, 4.483470, 43.888686, 0.000000, 57.887271, 2.410113, 70.717525, 12.077712, 77.324959, 25.365870, 80.632105, 38.853726, 82.350272, 53.576079, 82.771359, 67.193301, 82.672834, 82.060950, 82.001621, 95.601047, 82.058555, 108.201111, 81.920166, 122.786647, 82.160970, 137.281865, 82.256780, 150.994675, 82.621230, 166.540659, 82.743542, 179.759305, 82.679119, 194.789925, 82.709118, 209.528492, 81.516224, 223.503374, 78.036117, 237.838066, 66.016279, 248.990065, 56.231667, 250.266541, 51.771509, 251.219467
Type01, L, 260, 59.741619, 260.441291, 54.005706, 260.475396, 44.889282, 259.021370, 31.758801, 248.559111, 26.054505, 234.225160, 22.582182, 219.352020, 20.412807, 205.058845, 17.828956, 190.317117, 15.114614, 176.498581, 12.269734, 161.954334, 9.066664, 146.953179, 6.154940, 132.832515, 3.499114, 118.570541, 1.423108, 104.201345, 0.000000, 90.252954, 0.345669, 74.728363, 3.169021, 61.435253, 8.190303, 46.167549, 13.499302, 32.834851, 20.212684, 18.920187, 30.546844, 6.311600, 44.880445, 0.063634, 59.234311, 0.000000, 72.527624, 8.878824, 79.724934, 23.132389, 84.336552, 37.073054, 87.111293, 52.476766, 87.720490, 66.166895, 87.268809, 81.243664, 85.772434, 95.225096, 84.220719, 109.601327, 83.852985, 125.286847, 85.214382, 139.393513, 86.676138, 153.855215, 87.287795, 168.341188, 87.616767, 183.607961, 87.473239, 198.878917, 87.372095, 213.745002, 86.862348, 228.815056, 84.615293, 243.305659, 74.634215, 256.629147, 64.103119, 259.824539, 59.743275, 260.217777
