type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44
Type00, L, 240, 58.830815, 240.815168, 54.446770, 241.025684, 46.122907, 239.504453, 33.281314, 231.155681, 26.508374, 218.447736, 24.360092, 205.390052, 23.111328, 191.574157, 21.893178, 179.408147, 19.383253, 165.652087, 16.726563, 153.264585, 13.429352, 140.145991, 10.200794, 127.238334, 6.503121, 113.896572, 3.513463, 101.030507, 0.888114, 88.945698, 0.000000, 74.668470, 2.420024, 61.336165, 6.258017, 48.455636, 10.738136, 35.761382, 16.311972, 22.937422, 24.255347, 10.985146, 36.389390, 2.578759, 49.285048, 0.000000, 62.108626, 2.693119, 73.502599, 12.581184, 78.830194, 25.712936, 82.063869, 38.844798, 84.410917, 51.902240, 85.733727, 65.884715, 84.270589, 78.866071, 83.186451, 91.026405, 82.449348, 104.089961, 82.400063, 117.674735, 82.764165, 131.229357, 83.765311, 144.663591, 84.774798, 158.227942, 85.441704, 171.459163, 85.180761, 184.203428, 83.403374, 197.151354, 82.032090, 211.136103, 80.904379, 224.267972, 71.803115, 236.716478, 63.522405, 240.585302, 58.718421, 240.425979
Type00, L, 245, 59.466349, 245.695659, 54.834324, 245.579837, 45.051906, 243.928995, 35.039795, 232.743637, 28.911481, 219.991297, 24.607815, 207.101871, 21.623988, 192.830836, 19.244627, 179.953620, 16.649787, 167.034060, 13.719869, 153.616336, 10.806196, 140.529636, 7.769242, 127.321827, 5.035548, 114.724392, 1.893053, 100.256757, 0.000000, 87.385463, 0.102612, 73.645309, 2.254249, 60.311950, 5.665608, 47.214597, 10.451070, 33.621436, 16.699533, 20.932049, 25.437469, 9.067680, 38.232771, 1.310094, 51.191814, 0.000000, 65.566155, 3.412135, 75.280639, 15.204331, 79.297689, 28.005430, 82.829864, 41.219190, 85.287501, 54.618493, 86.047569, 67.992341, 85.555420, 81.334370, 84.374905, 94.631389, 82.885742, 108.505496, 82.180207, 122.419297, 82.806950, 135.592926, 85.012687, 148.842344, 86.155684, 162.260750, 85.385470, 175.726043, 85.013029, 189.277226, 84.793006, 202.665465, 84.408790, 216.718770, 82.179260, 230.021544, 73.482180, 242.806064, 63.903124, 245.365905, 59.492045, 245.583411
Type00, L, 255, 61.678834, 255.737322, 57.233978, 256.022971, 48.102153, 254.052753, 35.390490, 245.085092, 28.309277, 231.819326, 26.272408, 216.969090, 24.459068, 203.379337, 22.460386, 188.792920, 20.210337, 175.596636, 17.541211, 160.440941, 15.130483, 147.178878, 11.161714, 132.374833, 6.769988, 118.910764, 2.982851, 105.245718, 0.000000, 90.911003, 0.012533, 77.255950, 2.216308, 63.711533, 5.326661, 49.718321, 9.427732, 36.363070, 15.439282, 23.029486, 24.040794, 10.385015, 36.713917, 1.558223, 51.147392, 0.000000, 64.721056, 4.670740, 75.800872, 16.221421, 81.161739, 29.323526, 84.899981, 43.474786, 87.042237, 57.592426, 87.521505, 71.752756, 85.776876, 85.971975, 83.509293, 99.938894, 81.897190, 113.394876, 80.557946, 126.869215, 80.799610, 141.500485, 82.191747, 154.865838, 83.869370, 168.958228, 85.099662, 182.219628, 85.398881, 196.388211, 86.282168, 210.522866, 87.986873, 224.603877, 85.444069, 238.912997, 75.451112, 251.336567, 66.240075, 255.133907, 61.700874, 255.590836
Type00, L, 265, 68.589098, 265.405860, 63.844539, 266.250719, 53.950269, 265.912639, 39.720082, 258.481760, 31.364199, 244.857282, 27.745156, 230.291806, 24.459324, 215.343859, 22.264574, 200.845681, 19.490728, 186.503561, 17.068905, 171.771665, 13.924523, 157.520769, 10.132927, 142.695791, 6.361980, 128.230642, 3.124065, 113.720166, 0.790935, 99.179281, 0.000000, 84.660620, 1.352157, 69.927084, 4.537684, 55.882416, 9.399054, 41.709425, 15.672195, 28.249182, 23.249047, 14.704534, 34.573145, 3.883363, 49.758123, 0.000000, 64.439266, 2.122816, 76.806755, 13.467602, 83.377339, 27.082620, 87.578271, 41.593015, 90.387977, 56.164483, 92.488312, 70.389160, 92.083531, 85.780718, 88.939763, 99.164243, 86.560488, 114.854546, 86.129303, 129.096214, 86.926906, 144.091211, 88.349210, 158.194439, 89.533729, 172.844591, 89.784298, 187.267954, 91.438592, 201.503558, 92.159863, 215.788829, 92.204727, 231.022310, 90.092012, 245.674053, 83.231157, 259.012547, 73.310135, 265.214540, 68.670980, 264.770199
Type00, L, 270, 64.613071, 271.047363, 69.543423, 270.864581, 80.055889, 266.220783, 88.760192, 252.717741, 91.149953, 237.316599, 90.962531, 223.090286, 89.548412, 207.946970, 88.962941, 192.976595, 88.419101, 178.768227, 87.783684, 164.341569, 86.962194, 149.298063, 85.903208, 134.263288, 85.359163, 120.359883, 85.898724, 105.145586, 88.241238, 90.875030, 91.100844, 76.621701, 91.078533, 61.452406, 88.450708, 47.052157, 83.463057, 31.940833, 78.428667, 17.869495, 67.504436, 4.690406, 53.110681, 0.000000, 37.986455, 2.811326, 24.623165, 12.403389, 16.005517, 26.490221, 10.357378, 40.194133, 4.920752, 55.353737, 1.869691, 68.068040, 0.000000, 82.697392, 0.719051, 96.832896, 2.746548, 111.641237, 6.293853, 125.754608, 10.361754, 140.530042, 14.596234, 154.926422, 18.625920, 169.865156, 22.204295, 185.058244, 24.915147, 199.000977, 27.410376, 213.515833, 29.243751, 228.644910, 32.344085, 243.504779, 37.884931, 257.943124, 50.123134, 270.068117, 60.436872, 270.845105, 64.719000, 271.447118
Type00, L, 275, 62.458299, 275.942364, 57.557101, 275.710636, 47.563798, 273.212980, 35.179700, 260.961007, 29.636077, 246.677776, 26.782670, 232.166109, 24.878847, 216.974702, 22.857699, 201.911620, 20.229579, 187.542164, 16.882009, 172.644701, 13.413269, 157.337583, 10.030146, 143.133702, 6.483580, 127.933509, 3.486467, 113.223046, 0.909620, 98.291958, 0.000000, 82.987138, 2.227644, 67.818530, 6.405574, 53.453173, 12.178885, 38.239698, 18.167603, 24.105429, 27.490235, 10.145578, 41.508001, 1.825961, 56.927899, 0.000000, 72.106382, 5.901505, 82.254381, 19.747586, 87.343799, 33.793049, 90.990053, 48.690131, 93.289530, 63.614096, 94.638612, 78.557867, 93.478755, 94.085391, 91.518847, 108.905630, 89.704996, 124.085179, 90.120257, 138.776068, 92.360890, 154.015989, 93.877024, 169.407973, 94.126193, 184.445291, 94.075222, 199.471997, 93.889703, 214.288920, 94.493274, 229.355566, 93.164369, 244.655780, 88.657149, 260.059055, 78.444302, 273.276413, 67.202012, 275.699995, 63.301614, 275.787711
Type01, L, 230, 46.073621, 230.840168, 41.807407, 230.383786, 33.880562, 229.276038, 21.976249, 219.915278, 17.627628, 207.475232, 15.253337, 194.829426, 13.765274, 181.966053, 12.249179, 169.467769, 11.021137, 156.977502, 9.293222, 144.012298, 7.345295, 131.716705, 5.149937, 118.984546, 2.856301, 106.614574, 0.937402, 93.606382, 0.000000, 80.078242, 0.746178, 67.045888, 2.304460, 54.986539, 5.400604, 42.623663, 9.407642, 30.533456, 14.703304, 18.560321, 23.401101, 7.261195, 35.591423, 1.308691, 48.305936, 0.000000, 60.726167, 6.625740, 69.088001, 17.857633, 74.324076, 29.862210, 77.096571, 42.068450, 78.312709, 54.835275, 78.497247, 68.183942, 78.464456, 81.718106, 78.235546, 93.739973, 78.144455, 106.553588, 78.403043, 118.044637, 78.512893, 131.176310, 78.135026, 143.260849, 76.790782, 156.318108, 75.720982, 168.700038, 75.487187, 180.967729, 75.097979, 193.816979, 73.751414, 206.449833, 69.868902, 219.337805, 58.896996, 228.576493, 50.397475, 230.384592, 45.596252, 230.688048
Type01, L, 240, 53.410510, 240.851318, 49.279821, 240.932364, 40.439956, 239.752665, 27.924664, 232.441081, 21.302021, 219.523789, 19.078353, 206.485777, 17.459107, 192.750573, 16.505846, 180.219583, 14.465445, 166.493814, 11.993410, 153.371622, 9.270097, 140.238043, 6.625311, 127.242089, 4.011513, 114.038745, 2.049802, 100.845246, 0.368991, 87.428575, 0.000000, 73.363801, 0.748105, 60.417303, 3.065251, 47.133347, 6.758975, 34.550494, 12.680375, 21.870309, 20.276766, 9.973630, 32.698621, 1.915031, 45.427244, 0.000000, 58.521934, 4.175302, 69.654035, 14.343814, 75.844005, 26.570770, 79.354182, 40.132071, 80.486327, 53.416970, 80.418712, 65.687541, 79.939127, 79.293969, 79.853546, 92.985970, 79.948735, 106.524272, 79.919049, 120.040308, 80.242945, 133.729070, 80.368679, 146.718477, 80.457916, 159.931244, 80.335434, 173.197040, 80.214008, 186.593757, 79.601017, 199.447306, 78.776103, 213.429297, 75.357203, 226.068084, 66.849124, 237.884604, 57.512301, 240.424847, 53.308889, 240.806633
Type01, L, 250, 51.402244, 250.640647, 47.025399, 250.770141, 37.392406, 249.365355, 26.280462, 238.779234, 20.609783, 225.104839, 17.162859, 211.728003, 15.684953, 198.360634, 14.477638, 183.781361, 12.892136, 169.963094, 10.491215, 156.495055, 7.981678, 143.138563, 4.961610, 128.501931, 2.855089, 115.833034, 0.773536, 101.389220, 0.005784, 88.096884, 0.000000, 73.993355, 1.437307, 60.837427, 3.923502, 47.162432, 8.024041, 33.847378, 13.758878, 20.472437, 23.446956, 8.418882, 36.605976, 1.112685, 50.702856, 0.000000, 64.041753, 5.806626, 74.339978, 17.528318, 78.591254, 30.521038, 81.499654, 44.268615, 82.341953, 58.311202, 82.773546, 71.820085, 82.253304, 86.273439, 81.889055, 98.964037, 81.875426, 111.511271, 81.842977, 126.247313, 82.051153, 139.837435, 82.188242, 153.679081, 82.537159, 168.659197, 82.606821, 181.419068, 82.557616, 196.414442, 82.529292, 210.532666, 81.230222, 224.249652, 77.493150, 238.170243, 65.447226, 248.751146, 56.049871, 249.962853, 51.592453, 250.904619
Type01, L, 260, 59.794101, 260.948928, 54.145385, 260.970097, 45.337806, 259.625071, 32.305639, 249.665749, 26.433379, 235.831858, 22.882458, 221.268260, 20.746270, 207.344351, 18.248854, 192.929842, 15.643046, 179.374016, 12.879936, 165.351624, 9.836736, 150.746388, 6.850037, 136.680982, 4.261083, 123.020378, 1.976576, 108.772070, 0.426403, 95.392574, 0.000000, 80.354203, 1.902184, 66.894400, 6.165123, 52.590844, 11.290822, 38.777874, 17.055884, 25.577157, 25.198607, 12.278766, 37.744576, 2.622064, 51.969656, 0.000000, 65.830090, 3.187038, 76.477641, 15.895164, 81.681438, 28.998037, 85.865730, 43.893828, 87.425311, 57.832397, 87.824734, 71.892695, 86.832310, 86.184775, 85.380322, 99.920214, 83.969239, 114.153275, 84.135238, 129.532236, 85.639247, 142.839728, 86.874973, 157.338939, 87.416496, 171.270468, 87.655530, 186.480338, 87.505178, 201.122110, 87.387226, 215.779117, 86.837887, 230.357438, 84.331762, 244.534278, 74.260095, 257.307275, 64.058280, 260.325144, 59.772025, 260.737026
