type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45, x46, y46
Type00, L, 240, 58.675700, 240.721581, 54.501701, 240.914213, 46.557356, 239.562506, 34.263935, 231.996340, 26.954975, 220.205091, 24.525148, 207.748475, 23.204668, 194.640950, 22.146444, 182.685875, 20.173649, 170.133579, 17.498614, 157.591437, 14.811742, 145.765857, 11.435329, 132.936298, 8.386006, 120.899506, 4.800022, 107.741694, 2.419811, 96.430144, 0.000000, 83.919671, 0.426007, 70.415593, 3.128548, 57.955998, 7.036747, 45.689778, 11.391951, 33.575371, 16.964202, 21.396248, 24.895033, 10.198248, 36.525792, 2.446140, 48.892796, 0.000000, 60.942846, 2.268807, 72.348871, 11.156464, 77.876146, 23.389055, 81.482612, 36.107956, 83.486246, 48.312057, 85.626179, 61.642654, 84.571737, 74.304864, 83.515523, 86.217028, 82.465491, 97.934354, 82.298720, 111.160652, 82.282535, 123.634575, 83.045935, 137.038395, 83.955531, 149.337250, 84.941818, 162.724586, 85.274792, 174.791958, 84.767841, 187.137825, 82.825407, 199.599346, 81.906788, 212.933036, 80.141922, 225.366216, 71.012246, 237.029697, 63.201770, 240.442835, 58.517498, 240.369279
Type00, L, 245, 59.610317, 245.611082, 55.164129, 245.486935, 45.909089, 244.033992, 35.921333, 233.855971, 29.850247, 221.627163, 25.398206, 209.539959, 22.447389, 196.031706, 19.965977, 183.340497, 17.754454, 171.278399, 14.879877, 158.464174, 12.240472, 145.958499, 9.255164, 133.301735, 6.602063, 121.159293, 3.791069, 108.373697, 1.050644, 94.843190, 0.000000, 82.739446, 0.707001, 69.330540, 3.189981, 56.995029, 6.704003, 44.226479, 11.520207, 31.450989, 17.723772, 19.391010, 26.420610, 8.342030, 38.677015, 1.201787, 51.049134, 0.000000, 64.669665, 2.911261, 74.606361, 13.609707, 78.860931, 25.820983, 82.255575, 38.392330, 84.937097, 50.994447, 86.090815, 64.043165, 85.955687, 76.365999, 85.035631, 89.543085, 83.672837, 101.939123, 82.507158, 115.841970, 82.473343, 128.361083, 83.718087, 141.078219, 85.893837, 153.764719, 86.063289, 166.470712, 85.388635, 179.538751, 85.096706, 192.186887, 84.883679, 205.251395, 84.402189, 218.480245, 81.734818, 231.203159, 72.926635, 243.053844, 63.856028, 245.215820, 59.606162, 245.567069
Type00, L, 255, 61.974966, 255.670639, 57.755529, 255.914487, 49.031026, 254.210650, 36.807009, 245.946130, 29.262470, 233.803294, 26.852598, 219.526306, 25.212431, 206.584030, 23.336400, 192.640586, 21.262339, 179.972006, 18.866750, 165.954105, 16.439481, 152.610074, 13.546907, 139.314256, 9.206873, 125.496766, 5.388161, 112.981943, 1.888226, 99.486503, 0.000000, 85.962811, 0.838293, 73.199556, 3.279546, 59.988330, 6.364740, 46.867698, 10.616188, 34.084299, 16.597568, 21.459816, 25.175218, 9.563429, 37.354140, 1.484504, 51.124049, 0.000000, 64.055912, 4.120054, 75.032473, 14.681807, 80.773297, 27.068629, 84.474987, 40.413169, 86.940921, 53.902786, 87.864865, 67.438068, 86.839975, 80.861987, 84.670985, 94.496038, 82.832027, 107.342430, 81.477706, 120.164174, 80.710789, 133.577529, 81.680852, 147.114710, 83.057651, 159.975397, 84.697602, 173.292381, 85.512891, 185.950281, 85.794860, 199.711548, 86.946737, 212.982523, 88.235456, 226.598079, 85.007427, 240.050681, 75.074904, 251.674448, 66.354108, 255.013954, 61.976249, 255.589197
Type00, L, 265, 68.422886, 265.268980, 63.956936, 266.156744, 54.426872, 265.742214, 40.886187, 259.372140, 31.946131, 246.650066, 28.308716, 233.002331, 24.892643, 218.604756, 22.799436, 204.763073, 20.202528, 191.110995, 17.833972, 177.017002, 15.185996, 163.522020, 11.779014, 149.292781, 8.082225, 135.705934, 4.731728, 121.458470, 1.880740, 108.088836, 0.224270, 93.787206, 0.000000, 80.255017, 1.936930, 66.011446, 5.233997, 52.923955, 10.246588, 39.258347, 16.294397, 26.618512, 23.816044, 13.681102, 34.773914, 3.708630, 49.276940, 0.000000, 63.211658, 1.687761, 75.460809, 11.800854, 82.326849, 24.753409, 86.670592, 38.311767, 89.564088, 52.474808, 91.823874, 65.742758, 92.406650, 80.497957, 90.156595, 93.657206, 87.202483, 107.720184, 86.026601, 122.124144, 86.244082, 135.898860, 87.309425, 149.951743, 88.769907, 163.422378, 89.410308, 177.527638, 90.027695, 191.039437, 91.545512, 204.765735, 92.060191, 218.348918, 91.898527, 233.110089, 89.475648, 246.725177, 82.445291, 259.532822, 72.894968, 264.981016, 68.551852, 264.749148
Type00, L, 270, 64.374084, 270.963936, 69.106882, 270.738009, 79.054580, 266.609187, 87.987630, 253.918417, 90.706839, 239.438197, 90.923503, 225.513468, 89.598683, 211.593866, 88.846655, 196.805995, 88.402209, 183.455443, 87.752068, 169.509338, 87.173182, 155.701468, 86.073145, 140.996502, 85.413764, 127.294082, 85.090979, 113.913967, 86.526053, 98.843748, 88.992067, 86.384838, 91.303529, 71.526131, 90.241413, 57.971264, 87.380938, 43.604518, 82.355705, 29.642762, 77.320999, 16.052185, 66.162011, 4.113367, 52.599310, 0.000000, 38.070286, 2.698269, 25.301224, 11.487589, 16.566453, 24.770068, 11.047443, 37.778579, 5.707212, 52.200825, 2.273276, 64.709796, 0.178694, 78.131506, 0.000000, 91.731847, 1.606994, 105.813637, 4.349441, 119.331673, 8.122565, 133.245445, 12.114730, 147.155384, 16.053595, 160.960555, 19.832071, 175.535552, 22.888488, 189.558612, 25.420749, 202.883344, 27.622788, 216.893113, 29.458115, 231.402110, 32.736312, 245.384797, 38.541166, 259.189395, 50.723207, 270.102899, 60.329455, 270.756873, 64.564017, 271.363022
Type00, L, 275, 62.137978, 275.862907, 57.407848, 275.627840, 48.021020, 273.389397, 35.775333, 262.170064, 29.899621, 248.568747, 26.883828, 234.869624, 24.980006, 220.379168, 23.129576, 206.080747, 20.828778, 191.992862, 17.850799, 178.348221, 14.510994, 163.449358, 11.299096, 149.760167, 7.945297, 135.609537, 4.772496, 121.371252, 2.071635, 107.213302, 0.000000, 92.988273, 0.076172, 78.164714, 2.850103, 64.134495, 7.195273, 50.163670, 12.826069, 35.827742, 18.690363, 22.353012, 28.126505, 9.323159, 41.514464, 1.745614, 56.275816, 0.000000, 70.688545, 5.227173, 81.075077, 17.934417, 86.208776, 31.473726, 90.104091, 45.367359, 92.317275, 59.839900, 94.190383, 73.800020, 93.661321, 88.694659, 92.046361, 102.940255, 90.011909, 117.302767, 89.314097, 131.565529, 90.750906, 145.662176, 92.847758, 160.459677, 93.705873, 174.886005, 93.810902, 189.340679, 93.653166, 203.432906, 93.686978, 217.797481, 94.110258, 232.005918, 92.358154, 246.815638, 87.598660, 261.278624, 77.316991, 273.557261, 66.672207, 275.519117, 62.981214, 275.803057
Type01, L, 230, 45.913024, 230.800602, 41.784724, 230.353600, 34.372328, 229.363708, 22.710739, 220.907884, 17.862456, 209.214517, 15.480526, 197.112206, 13.918195, 184.993119, 12.489923, 172.754882, 11.263938, 161.211236, 9.819762, 148.622137, 8.000066, 136.921866, 6.050935, 124.798527, 3.816827, 112.966861, 1.819728, 100.836269, 0.194268, 88.345970, 0.000000, 75.260831, 0.936784, 63.430504, 2.827935, 51.740311, 5.998593, 40.063687, 10.026911, 28.523583, 15.356728, 17.147349, 24.074976, 6.656458, 35.724704, 1.292041, 47.814731, 0.000000, 59.765464, 6.011856, 68.056483, 16.414976, 73.477786, 27.905020, 76.453118, 39.384798, 77.959832, 51.564697, 78.295479, 63.939248, 78.352673, 77.184099, 78.127187, 88.889263, 78.031881, 100.899363, 78.022043, 112.445391, 78.400072, 123.912028, 78.192345, 136.412810, 77.615557, 147.853609, 76.115926, 160.506784, 75.496126, 172.005572, 75.245674, 183.868479, 74.757950, 196.197916, 73.252597, 208.147887, 68.875519, 220.411904, 58.066412, 228.607964, 50.063789, 230.440300, 45.378837, 230.562823
Type01, L, 240, 53.309826, 240.785524, 49.401914, 240.897364, 40.939709, 239.743115, 28.950688, 233.308592, 21.755151, 221.292121, 19.408440, 208.942162, 17.573577, 195.743879, 16.829356, 183.776722, 15.008445, 170.838017, 12.952368, 158.234619, 10.221709, 145.596300, 7.845466, 133.280537, 5.145463, 120.743600, 3.035770, 108.086246, 1.213181, 95.658229, 0.000000, 82.322599, 0.026449, 69.418599, 1.125343, 56.906290, 3.618996, 44.436974, 7.531434, 32.410483, 13.366914, 20.374996, 20.963288, 9.232208, 32.927519, 1.844448, 45.034267, 0.000000, 57.496235, 3.714025, 68.442184, 12.937793, 74.936617, 24.484711, 78.677869, 37.158475, 80.260776, 50.030645, 80.393059, 62.044208, 80.019914, 74.042865, 79.717699, 88.025707, 79.858979, 99.975967, 79.784943, 113.775776, 79.989525, 126.159230, 80.198320, 139.129994, 80.329420, 151.774057, 80.330224, 163.810498, 80.215249, 177.300617, 80.019592, 189.167815, 79.368591, 202.190895, 78.415285, 215.060734, 74.600866, 227.243380, 66.154502, 238.078648, 57.170774, 240.360981, 53.260988, 240.763090
Type01, L, 250, 51.533341, 250.599369, 47.307127, 250.682680, 38.273195, 249.525652, 27.208475, 239.843034, 21.436266, 227.048515, 17.736738, 214.036421, 16.139232, 201.621626, 14.876148, 187.703900, 13.702152, 174.444654, 11.432204, 161.300173, 9.317199, 148.945951, 6.351592, 135.051286, 4.086031, 122.328689, 1.931254, 109.455475, 0.515269, 96.022802, 0.000000, 83.169892, 0.446188, 69.903196, 2.101116, 57.336302, 4.787713, 44.297102, 8.970905, 31.624944, 14.818182, 18.923756, 24.478366, 7.746071, 37.037542, 1.070095, 50.531712, 0.000000, 63.188851, 5.238747, 73.549864, 15.966698, 78.142603, 28.400930, 81.137982, 41.188843, 82.348518, 54.860692, 82.790931, 67.459427, 82.663329, 81.400778, 82.031977, 93.934783, 82.064845, 105.856418, 81.905566, 118.786326, 82.103702, 132.789675, 82.184776, 145.347033, 82.463519, 159.292022, 82.695211, 172.882433, 82.724439, 185.313862, 82.684837, 199.831511, 82.520747, 213.001905, 81.019170, 226.141344, 76.771472, 239.330809, 64.776861, 248.799638, 56.058847, 249.976216, 51.627012, 250.827106
Type01, L, 260, 59.764420, 260.820842, 54.299330, 260.827336, 46.016840, 259.654743, 33.265565, 250.632689, 27.046314, 237.713429, 23.366111, 223.815762, 21.230521, 210.459850, 18.887933, 196.815343, 16.506352, 183.592985, 13.851120, 170.551208, 11.133791, 156.749488, 8.117314, 142.944608, 5.566898, 129.981376, 3.094509, 116.566732, 1.311326, 103.272649, 0.000000, 90.311968, 0.367059, 75.728138, 2.736146, 63.508507, 7.241401, 49.233346, 12.080275, 36.681836, 17.862032, 23.760776, 25.950083, 11.428422, 38.055549, 2.412472, 51.613601, 0.000000, 64.792535, 2.642143, 75.468161, 14.115942, 80.892873, 26.782385, 85.066835, 40.480611, 87.176609, 54.378918, 87.735015, 67.271392, 87.262340, 81.279866, 85.931676, 94.251135, 84.461501, 107.677100, 83.821969, 121.886544, 84.697350, 135.788203, 86.252889, 148.573864, 87.037969, 162.522286, 87.518373, 175.876416, 87.574506, 190.634730, 87.452003, 204.266656, 87.273837, 218.472518, 86.637226, 232.158112, 83.613407, 245.731699, 73.453520, 257.479352, 63.844337, 260.188397, 59.707140, 260.632210
