type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45, x46, y46, x47, y47, x48, y48, x49, y49
Type00, L, 240, 58.651451, 240.350010, 54.780123, 240.488092, 47.282881, 239.421886, 35.839750, 232.738853, 27.909893, 222.347731, 25.036316, 210.507804, 23.513877, 198.708634, 22.610008, 186.674388, 21.172802, 175.850070, 18.859401, 163.421043, 16.458507, 152.532250, 13.585849, 140.859483, 10.604735, 129.167198, 7.553090, 117.702644, 4.384050, 105.528716, 2.185895, 95.052976, 0.000000, 83.211601, 0.397015, 70.621369, 2.755182, 58.949693, 6.315178, 47.371224, 10.285686, 36.189380, 15.086573, 24.598956, 21.665805, 13.873405, 31.060662, 4.833446, 42.929796, 0.407679, 53.870254, 0.000000, 65.645319, 4.594794, 74.338268, 14.395834, 78.848617, 26.062010, 81.823369, 37.857595, 83.737319, 49.344902, 85.568392, 61.834062, 84.561704, 73.636496, 83.612401, 84.824394, 82.556875, 95.719562, 82.304102, 107.889182, 82.223697, 119.738269, 82.702479, 131.986614, 83.577138, 143.905854, 84.438541, 155.923972, 85.203378, 167.920277, 85.120816, 179.295466, 84.259855, 190.647902, 82.338854, 202.799902, 81.874126, 214.957426, 79.152990, 226.635107, 70.201170, 237.099102, 62.913272, 240.050559, 58.471137, 240.002138
Type00, L, 245, 59.562553, 245.514317, 55.359181, 245.388412, 46.823875, 244.157173, 36.922232, 235.302839, 30.923747, 223.867815, 26.311094, 212.704323, 23.344445, 200.377794, 20.772347, 188.053347, 18.808717, 176.757123, 16.299444, 165.073218, 13.767218, 153.170636, 11.135446, 141.483219, 8.438584, 129.699778, 5.951406, 118.417216, 3.293039, 106.154942, 0.847740, 93.706576, 0.000000, 82.332287, 0.593438, 69.825240, 2.857750, 58.219731, 5.955631, 46.394844, 10.227270, 34.348291, 15.663049, 22.929140, 22.748349, 12.122003, 33.136849, 3.616824, 44.806582, 0.000000, 56.792697, 0.630417, 69.052748, 6.041914, 76.017121, 17.446031, 79.689267, 28.530048, 82.685721, 40.617650, 85.077811, 52.203528, 86.011272, 64.581312, 85.901452, 75.900003, 85.074237, 88.447303, 83.829302, 99.745696, 82.661908, 112.925436, 82.321822, 124.591753, 83.090326, 136.733318, 84.999951, 148.225506, 86.169547, 160.490773, 85.664290, 172.123604, 85.191128, 184.602102, 84.982029, 196.152804, 84.741781, 208.719530, 84.064746, 220.841466, 80.790459, 232.780625, 71.951694, 243.346464, 63.550949, 245.049200, 59.514628, 245.559594
Type00, L, 255, 61.921866, 255.484487, 58.010642, 255.692937, 49.810391, 254.275279, 38.303344, 246.990458, 30.295466, 236.184240, 27.239497, 223.066741, 25.753612, 210.509679, 24.008749, 198.059396, 22.199680, 185.321360, 20.126327, 173.442614, 17.736641, 159.868751, 15.592178, 148.111571, 12.257864, 134.999662, 8.321271, 122.654847, 4.770908, 110.737008, 1.626318, 98.128524, 0.000000, 85.500722, 0.755284, 73.546726, 2.923178, 61.278902, 5.770450, 48.886266, 9.409793, 37.011847, 14.596119, 25.002467, 21.602854, 13.707941, 31.700446, 4.082394, 44.204700, 0.000000, 56.794204, 0.931473, 68.432990, 7.354232, 77.153274, 18.271087, 81.616131, 29.946606, 84.987198, 42.640505, 86.994948, 55.123184, 87.805749, 67.890080, 86.780201, 80.317280, 84.846056, 93.212197, 83.004303, 105.104647, 81.748943, 117.323446, 80.724884, 129.340661, 81.210915, 142.503423, 82.408007, 154.262289, 83.896856, 166.900253, 85.109789, 178.797561, 85.602719, 191.074572, 85.956720, 203.950817, 87.406013, 216.230299, 87.901468, 229.153251, 83.902921, 241.440782, 74.115252, 252.001530, 66.068680, 254.758946, 61.881776, 255.506178
Type00, L, 265, 68.409848, 265.158663, 64.318524, 266.098909, 55.264600, 265.580861, 42.692058, 260.524258, 33.167475, 249.056290, 29.258677, 236.694998, 25.828368, 222.994669, 23.658525, 210.258480, 21.381073, 197.041600, 19.056473, 184.506188, 16.812999, 171.107299, 14.051757, 158.725328, 10.745465, 145.142509, 7.302229, 132.689649, 4.290138, 119.181923, 1.686359, 106.861724, 0.249931, 93.331798, 0.000000, 80.804645, 1.686628, 67.404030, 4.573741, 55.136258, 8.965296, 42.383897, 14.335191, 30.362356, 20.889072, 18.306555, 29.444606, 7.408240, 41.998853, 1.124678, 55.342374, 0.000000, 68.172962, 4.549924, 77.915427, 15.716963, 83.494603, 27.762697, 87.214320, 40.733577, 89.832911, 53.805465, 91.865831, 66.313987, 92.346801, 80.014014, 90.427126, 92.531467, 87.572893, 105.278544, 86.206420, 119.126816, 86.048211, 131.726848, 86.939185, 145.131441, 88.102800, 157.694997, 89.320452, 170.650331, 89.453011, 183.728860, 90.746159, 196.188305, 91.717537, 209.192302, 92.147443, 221.913220, 91.580072, 235.929381, 88.802331, 248.174461, 81.561888, 260.298571, 72.571383, 264.698356, 68.586590, 264.849790
Type00, L, 270, 64.346904, 270.270192, 68.824565, 269.976962, 77.996779, 266.533936, 87.147915, 254.877645, 90.309910, 241.731982, 91.062676, 228.187896, 89.988713, 215.732155, 89.083729, 201.632691, 88.565938, 188.951210, 88.115933, 175.971679, 87.474021, 163.290817, 86.843858, 149.742502, 85.773717, 136.489501, 85.333554, 123.548403, 85.148878, 111.125982, 86.770561, 96.837578, 88.989723, 85.478734, 91.206572, 71.389045, 90.385664, 58.769272, 87.995791, 45.432742, 83.552627, 32.163405, 79.077461, 19.582422, 70.857329, 7.226629, 58.535837, 0.288346, 45.312141, 0.000000, 32.220133, 5.206726, 21.574365, 15.469438, 14.779710, 28.130274, 9.729775, 40.327698, 4.948090, 53.944848, 2.029281, 65.239616, 0.132116, 78.162484, 0.000000, 90.634836, 1.448359, 103.961756, 3.823867, 116.510267, 7.292519, 129.548544, 10.925302, 142.489326, 14.712393, 155.462763, 18.262596, 168.710334, 21.523179, 182.338007, 24.026699, 194.844333, 26.344139, 207.672966, 28.159151, 220.804691, 30.151366, 234.506763, 33.640510, 247.284959, 39.825924, 260.239947, 51.790453, 269.481968, 60.485469, 270.113209, 64.656738, 270.613062
Type00, L, 275, 62.114733, 275.548820, 57.623479, 275.311036, 49.017739, 273.392547, 37.076760, 263.508132, 30.783325, 250.927908, 27.484120, 238.168049, 25.553354, 224.805882, 23.830398, 211.388971, 21.918678, 197.955410, 19.436230, 185.306004, 16.443788, 171.872665, 13.346752, 158.244487, 10.345338, 145.586426, 7.176101, 132.104522, 4.328670, 118.962151, 1.817848, 105.630672, 0.000000, 92.355334, 0.028417, 78.511146, 2.466774, 65.287912, 6.328211, 52.356772, 11.403351, 38.855756, 16.789803, 26.150240, 24.079290, 13.569216, 35.444081, 4.018567, 48.805794, 0.000000, 62.634260, 1.086206, 75.147678, 9.137823, 82.796581, 21.859941, 87.238707, 34.350913, 90.477632, 47.617854, 92.533313, 61.018227, 94.129884, 74.140989, 93.631514, 88.047033, 92.173304, 101.392131, 90.270356, 114.789910, 89.304062, 128.183077, 90.154684, 141.317831, 92.165572, 154.959992, 93.447212, 168.708622, 93.740977, 181.999143, 93.766051, 195.644283, 93.518498, 208.532903, 93.883959, 222.279990, 93.820166, 235.378938, 91.606113, 249.477850, 86.486087, 262.659166, 76.218031, 273.670221, 66.377440, 275.086310, 62.956175, 275.614734
Type01, L, 230, 45.887917, 230.630671, 41.991960, 230.225591, 35.145266, 229.311316, 24.037125, 222.092023, 18.443924, 211.362679, 16.063191, 200.121237, 14.300206, 188.803201, 13.068774, 177.292324, 11.735670, 166.395999, 10.628322, 155.001515, 9.044702, 143.590922, 7.311443, 132.580341, 5.417007, 121.228895, 3.313595, 110.249428, 1.529099, 98.731836, 0.108677, 87.092373, 0.000000, 74.805197, 0.898266, 63.803377, 2.504286, 52.829436, 5.450408, 41.926998, 8.867533, 31.109096, 13.653826, 20.436283, 20.264832, 10.073687, 30.694527, 2.909310, 41.512799, 0.000000, 53.330668, 1.622615, 63.062163, 9.558100, 69.973487, 19.669489, 74.245716, 30.504987, 76.786680, 41.279600, 77.972698, 52.752590, 78.273317, 64.338763, 78.320135, 76.717337, 78.119250, 87.738864, 78.020290, 98.835806, 77.962080, 109.929795, 78.291373, 120.254848, 78.264029, 132.136126, 77.927565, 142.726029, 76.806771, 154.478635, 75.700115, 165.480328, 75.361861, 176.593193, 75.138746, 187.539740, 74.392361, 199.317809, 72.707551, 210.277921, 67.601130, 221.672759, 57.225989, 228.507012, 49.760520, 230.423819, 45.329962, 230.246382
Type01, L, 240, 53.312667, 240.363727, 49.698138, 240.467516, 41.743391, 239.456434, 30.493508, 233.947907, 22.727745, 223.394731, 19.963814, 211.699100, 18.050850, 199.683727, 17.178527, 187.908703, 15.898270, 176.480706, 14.120097, 164.291701, 11.813066, 152.597956, 9.416017, 140.891015, 7.086459, 129.300451, 4.659463, 117.620330, 2.746350, 105.709760, 1.111470, 94.149185, 0.000000, 81.587244, 0.065917, 69.554727, 0.934340, 57.867262, 3.185993, 46.124243, 6.409913, 34.898137, 11.535336, 23.548752, 17.805036, 12.796242, 27.404071, 4.013920, 39.158781, 0.000000, 50.304389, 0.553913, 61.972766, 6.272483, 70.743299, 15.996829, 75.988779, 26.919270, 79.074611, 39.126260, 80.295105, 50.803024, 80.390149, 62.272082, 80.033364, 73.201239, 79.750199, 86.652310, 79.833654, 97.355368, 79.828612, 110.839271, 79.898054, 121.667451, 80.162392, 134.848409, 80.283357, 145.508036, 80.357965, 158.227920, 80.288572, 168.940470, 80.174182, 182.093084, 79.851799, 192.529434, 79.179976, 205.397256, 77.949118, 216.938354, 73.656663, 228.409711, 65.351770, 237.984572, 56.853464, 239.921353, 53.338943, 240.382650
Type01, L, 250, 51.544478, 250.706864, 47.531065, 250.752069, 39.264408, 249.846720, 28.390393, 241.402070, 22.432719, 229.746021, 18.504475, 217.418164, 16.584057, 205.910666, 15.346463, 193.265874, 14.300540, 180.535765, 12.699395, 168.257765, 10.541040, 156.216824, 8.378147, 144.466106, 5.583819, 131.248759, 3.680040, 119.867237, 1.616793, 107.385629, 0.494294, 95.075046, 0.000000, 82.953534, 0.434936, 70.576784, 1.901829, 58.834826, 4.234553, 46.635047, 7.910838, 34.773992, 12.761493, 22.857460, 20.575913, 11.668100, 31.328728, 3.544129, 43.881595, 0.000000, 56.058562, 1.738693, 67.524976, 8.907849, 75.311131, 19.864389, 78.897673, 31.480576, 81.471759, 43.662889, 82.379416, 56.385437, 82.801373, 68.106643, 82.664424, 81.261280, 82.074345, 92.871982, 82.063837, 104.284053, 81.931507, 115.772217, 82.034674, 129.200343, 82.171818, 140.965036, 82.313245, 153.500275, 82.627795, 166.801689, 82.710381, 178.376333, 82.715799, 191.197730, 82.685044, 204.202293, 82.243671, 216.638882, 80.491962, 228.729733, 75.482378, 241.048648, 63.795849, 248.926769, 55.861352, 250.241118, 51.544542, 250.803549
Type01, L, 260, 59.765645, 260.330572, 54.604528, 260.330862, 46.888199, 259.341987, 34.751509, 251.549276, 27.968651, 239.844634, 24.211027, 226.978153, 21.874209, 214.239764, 19.814139, 201.771197, 17.639631, 188.967357, 15.206984, 177.015974, 12.781935, 164.336035, 10.072378, 151.471781, 7.342863, 138.704770, 5.045527, 126.639582, 2.755270, 114.033380, 1.207376, 101.637743, 0.000000, 89.536955, 0.362381, 75.814139, 2.406250, 64.424892, 6.392687, 51.179702, 10.912909, 39.148800, 15.962436, 27.229835, 22.618590, 15.360680, 32.438016, 5.236553, 44.866480, 0.124625, 57.357306, 0.000000, 69.261906, 5.615898, 77.387478, 17.748289, 81.947910, 29.255833, 85.573020, 42.615644, 87.235247, 55.194875, 87.728352, 67.425754, 87.260590, 80.496251, 86.043026, 92.568767, 84.696136, 105.237256, 83.838630, 118.086069, 84.360796, 131.716791, 85.726238, 143.358589, 86.782226, 156.451350, 87.315786, 168.818158, 87.582791, 182.146968, 87.516554, 195.557757, 87.423896, 208.321175, 87.143221, 221.652175, 86.323027, 234.293794, 82.571423, 246.944264, 72.452634, 257.380773, 63.592762, 259.674601, 59.683920, 260.195723
