CTRL_Count,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
20,PCA_KRR,15.81426,14.69844,4.74527,1.20542,9.49662,1.68019,1.25482,519.462,0.9534,0.97611,0
21,PCA_KRR,15.00518,13.95323,4.26325,1.10486,8.80039,1.58663,0.56213,476.79819,0.9573,0.97816,0
22,PCA_KRR,14.29645,13.27554,3.96807,1.0434,8.19997,1.34205,1.15909,453.6158,0.95913,0.9791,0
23,PCA_KRR,13.66722,12.67062,3.61375,0.9994,7.79081,1.33644,0.51931,423.8527,0.95908,0.97909,0
24,PCA_KRR,13.12343,12.15381,3.38332,0.94835,7.11923,1.21012,1.09876,403.15436,0.95921,0.97914,0
25,PCA_KRR,12.6287,11.67971,3.14986,0.89216,6.82564,1.14898,0.49631,378.92879,0.96031,0.97971,0
26,PCA_KRR,12.1794,11.24946,2.97966,0.87454,6.18351,1.07206,1.05685,360.7201,0.96035,0.97973,0
27,PCA_KRR,11.76644,10.85655,2.82241,0.83251,5.95053,1.01132,0.48009,342.07085,0.9609,0.98001,0
28,PCA_KRR,11.39331,10.50638,2.6881,0.81781,5.38506,0.97875,0.99657,327.04854,0.9609,0.98001,0
29,PCA_KRR,11.0312,10.15827,2.50614,0.77553,5.18518,0.89223,0.46693,312.42049,0.96246,0.98082,0
30,PCA_KRR,10.70805,9.85607,2.44148,0.7671,4.70326,0.88453,0.90599,301.2588,0.96252,0.98085,0
31,PCA_KRR,10.39412,9.56176,2.3322,0.74555,4.53653,0.83747,0.46272,289.34669,0.96311,0.98115,0
32,PCA_KRR,10.09738,9.28023,2.19602,0.7181,4.133,0.79416,0.82545,280.17215,0.96415,0.9817,0
33,PCA_KRR,9.81856,9.01999,2.15443,0.71377,3.99199,0.78183,0.45408,270.48613,0.96458,0.98192,0
34,PCA_KRR,9.55489,8.77392,2.09858,0.69719,3.66602,0.74175,0.75959,262.83409,0.96507,0.98218,0
35,PCA_KRR,9.29948,8.53348,2.00671,0.68168,3.54431,0.72501,0.44421,255.62321,0.96608,0.9827,0
36,PCA_KRR,9.06326,8.31322,1.99138,0.67635,3.29616,0.70004,0.71044,249.57921,0.96629,0.9828,0
37,PCA_KRR,8.83221,8.09836,1.95816,0.66741,3.17822,0.67842,0.44405,243.96101,0.967,0.98317,0
38,PCA_KRR,8.61405,7.89283,1.9102,0.65444,3.00644,0.66558,0.66934,238.73204,0.96781,0.98359,0
39,PCA_KRR,8.4077,7.7032,1.90505,0.65189,2.86655,0.64942,0.44185,234.04168,0.96813,0.98375,0
40,PCA_KRR,8.21031,7.51891,1.89171,0.64884,2.78142,0.6373,0.63865,229.4613,0.96822,0.9838,0
41,PCA_KRR,8.02497,7.34649,1.85293,0.63664,2.62232,0.62888,0.43725,225.51331,0.96928,0.98435,0
42,PCA_KRR,7.93788,7.23066,1.89184,0.63766,2.85366,0.61809,0.62344,253.81975,0.96784,0.98356,0
43,PCA_KRR,7.77153,7.07878,1.89106,0.636,2.69513,0.61174,0.4404,249.19917,0.96802,0.98366,0
44,PCA_KRR,7.61098,6.93154,1.86525,0.62602,2.71978,0.60453,0.62082,245.34445,0.96883,0.98408,0
45,PCA_KRR,7.46393,6.79956,1.84983,0.62559,2.57232,0.59029,0.44901,241.22353,0.96883,0.98408,0
46,PCA_KRR,7.32425,6.67208,1.87196,0.62848,2.61844,0.59068,0.62852,238.277,0.96891,0.98412,0
47,PCA_KRR,7.18947,6.54893,1.83405,0.61696,2.48519,0.5821,0.45266,235.14185,0.96938,0.98437,0
48,PCA_KRR,7.06145,6.43273,1.82716,0.61872,2.53784,0.57276,0.63355,233.36166,0.96977,0.98457,0
49,PCA_KRR,6.94091,6.32246,1.84037,0.62389,2.41414,0.57448,0.45047,230.57472,0.96933,0.98434,0
50,PCA_KRR,6.81855,6.20947,1.81982,0.61138,2.47017,0.5648,0.64413,229.24122,0.97014,0.98476,0
20,PCA_LINEAR,15.62842,14.57072,7.7732,2.19395,15.71891,1.83257,4.47448,815.07809,0.9203,0.95829,0
21,PCA_LINEAR,14.79644,13.78025,7.58913,2.13531,15.60851,1.81931,3.65984,783.50483,0.92259,0.95957,0
22,PCA_LINEAR,14.17164,13.17757,7.04973,2.04748,14.80701,1.58028,4.12617,776.17586,0.92471,0.96072,0
23,PCA_LINEAR,14.32866,13.40218,8.35723,2.39123,17.69188,1.7076,4.92839,841.32405,0.91305,0.95433,0
24,PCA_LINEAR,13.11676,12.16052,6.81168,2.03254,13.86539,1.52141,3.89174,740.17746,0.92168,0.95907,0
25,PCA_LINEAR,13.35058,12.44869,7.84741,2.24538,16.83936,1.62458,4.79375,813.12436,0.91387,0.95478,0
26,PCA_LINEAR,12.9553,12.06169,7.79148,2.28252,16.29347,1.59997,5.18241,798.4365,0.91174,0.95359,0
27,PCA_LINEAR,12.57682,11.70004,7.89149,2.30185,16.16002,1.59616,4.69191,784.75614,0.90971,0.95249,0
28,PCA_LINEAR,12.2055,11.33589,7.5766,2.22088,15.85187,1.56922,5.08615,772.70852,0.91209,0.9538,0
29,PCA_LINEAR,11.88766,11.02456,7.69553,2.23448,15.83847,1.54747,4.64082,761.18606,0.91113,0.95325,0
30,PCA_LINEAR,11.59077,10.74529,7.73219,2.2993,15.56598,1.54447,5.00904,751.92668,0.90852,0.95183,0
31,PCA_LINEAR,11.28881,10.45217,7.63765,2.23564,15.57001,1.53379,4.6191,741.44198,0.91083,0.95308,0
32,PCA_LINEAR,11.00151,10.1717,7.50719,2.20071,15.41296,1.5195,4.9213,734.00344,0.91227,0.95386,0
33,PCA_LINEAR,10.78628,9.97035,7.79247,2.32664,15.38566,1.52264,4.59169,724.89001,0.90771,0.95137,0
34,PCA_LINEAR,10.51115,9.70292,7.53619,2.23115,15.3008,1.51844,4.83837,718.31721,0.9112,0.95327,0
35,PCA_LINEAR,10.48183,9.68548,6.92012,2.12909,12.64776,1.44537,3.66218,652.76342,0.91491,0.95528,0
36,PCA_LINEAR,10.09205,9.29803,7.65282,2.29322,15.21018,1.51499,4.76777,704.64618,0.90987,0.95254,0
37,PCA_LINEAR,10.02367,9.25545,6.90437,2.09732,12.05736,1.4457,3.62047,645.69425,0.91664,0.95626,0
38,PCA_LINEAR,9.80946,9.04915,6.91613,2.07181,12.0358,1.44392,3.86472,640.94016,0.9181,0.95705,0
39,PCA_LINEAR,9.64177,8.89021,6.969,2.1335,12.05888,1.45393,3.58951,635.02528,0.91572,0.95576,0
40,PCA_LINEAR,9.44753,8.70556,6.95237,2.09761,12.09416,1.4601,3.80354,629.72998,0.91776,0.95688,0
41,PCA_LINEAR,9.25844,8.53352,6.83039,2.0796,12.06621,1.45657,3.57045,655.12538,0.9176,0.95678,0
42,PCA_LINEAR,9.12213,8.40219,6.94023,2.10923,12.2164,1.46569,3.73738,656.22554,0.91666,0.95628,0
43,PCA_LINEAR,8.97945,8.26839,6.88691,2.10565,12.20092,1.47425,3.58509,650.888,0.9171,0.95652,0
44,PCA_LINEAR,8.83912,8.13538,6.84336,2.08087,12.2347,1.47153,3.69846,644.87341,0.91844,0.95724,0
45,PCA_LINEAR,8.72978,8.03436,6.86247,2.10367,12.26242,1.47975,3.60638,640.12293,0.91785,0.95692,0
46,PCA_LINEAR,8.6183,7.93039,6.92341,2.11055,12.28248,1.48897,3.67847,634.97793,0.91785,0.95693,0
47,PCA_LINEAR,8.49605,7.81484,6.81839,2.09103,12.31209,1.48413,3.63003,630.68571,0.91886,0.95746,0
48,PCA_LINEAR,8.3949,7.71992,6.88248,2.10346,12.30308,1.49424,3.67186,626.06987,0.91865,0.95735,0
49,PCA_LINEAR,8.29817,7.62963,6.89987,2.11837,12.36809,1.50315,3.65251,621.74687,0.9184,0.95722,0
50,PCA_LINEAR,8.18191,7.5188,6.84791,2.09554,12.33374,1.49728,3.67768,617.51572,0.91939,0.95774,0
20,PCA_SVR,15.93966,14.86264,4.89276,1.23352,8.99334,1.57517,2.25999,483.33981,0.95225,0.9755,0
21,PCA_SVR,15.03552,13.99574,4.35135,1.10087,8.40235,1.49109,1.15081,465.04858,0.95728,0.97814,0
22,PCA_SVR,14.42177,13.43738,4.1735,1.07015,7.81123,1.25428,2.11682,419.40872,0.95773,0.97837,0
23,PCA_SVR,13.67401,12.69086,3.74216,0.99872,7.66112,1.23459,1.16134,415.13447,0.95904,0.97905,0
24,PCA_SVR,13.25103,12.32399,3.63375,0.97566,6.84534,1.10625,2.04038,366.66047,0.9585,0.97876,0
25,PCA_SVR,12.65275,11.72116,3.33229,0.90763,6.72365,1.08525,1.13527,372.33748,0.96057,0.97983,0
26,PCA_SVR,12.32715,11.44303,3.26349,0.90697,5.99243,0.97368,2.00065,322.02719,0.95988,0.97947,0
27,PCA_SVR,11.77046,10.87948,3.02365,0.84636,6.14315,0.94728,1.13549,335.18434,0.96217,0.98065,0
28,PCA_SVR,11.47427,10.61995,2.9855,0.86061,5.77645,0.94065,1.83262,302.18657,0.96039,0.97973,0
29,PCA_SVR,11.01057,10.15681,2.77058,0.79098,5.65804,0.82822,1.13518,306.29944,0.9635,0.98135,0
30,PCA_SVR,10.755,9.93261,2.72745,0.79338,5.2908,0.803,1.6993,279.6062,0.96259,0.98088,0
31,PCA_SVR,10.41241,9.60342,2.64224,0.76907,5.16616,0.80025,1.14874,282.182,0.96377,0.98148,0
32,PCA_SVR,10.12685,9.3376,2.56378,0.75615,5.05351,0.74068,1.59629,261.86889,0.96368,0.98145,0
33,PCA_SVR,9.80882,9.03404,2.47554,0.72919,4.92168,0.71408,1.13442,263.00106,0.96526,0.98226,0
34,PCA_SVR,9.57253,8.81352,2.47871,0.74061,5.04097,0.70638,1.46559,255.79689,0.96482,0.98203,0
35,PCA_SVR,9.29346,8.54901,2.40143,0.70392,4.74381,0.64919,1.13222,247.16758,0.96609,0.98269,0
36,PCA_SVR,9.07439,8.34694,2.42311,0.70551,4.89575,0.63915,1.39292,241.40335,0.96628,0.9828,0
37,PCA_SVR,8.83126,8.11869,2.38453,0.69925,4.71789,0.61166,1.1672,240.17187,0.96711,0.98322,0
38,PCA_SVR,8.63806,7.93811,2.40774,0.69744,4.82519,0.60445,1.35084,232.26414,0.96692,0.98313,0
39,PCA_SVR,8.39767,7.71463,2.39305,0.6865,4.729,0.5839,1.1856,236.07739,0.96791,0.98363,0
40,PCA_SVR,8.23793,7.56452,2.39349,0.6922,4.81856,0.59484,1.29719,229.00444,0.96761,0.98348,0
41,PCA_SVR,8.02086,7.36224,2.37044,0.68157,4.68457,0.54998,1.19233,229.90911,0.96846,0.98392,0
42,PCA_SVR,7.9601,7.22493,2.4613,0.67243,10.44934,0.56062,1.32529,266.72596,0.96692,0.98306,0
43,PCA_SVR,7.78091,7.05505,2.45613,0.67772,10.38213,0.54967,1.18116,276.31308,0.96743,0.98333,0
44,PCA_SVR,7.65417,6.9407,2.42447,0.66727,10.39601,0.52737,1.33125,259.82852,0.96767,0.98345,0
45,PCA_SVR,7.49567,6.87513,2.41324,0.66197,4.80114,0.53048,1.19431,266.99366,0.96854,0.98391,0
46,PCA_SVR,7.37827,6.7707,2.39757,0.66137,4.9008,0.52268,1.33056,255.38856,0.96801,0.98363,0
47,PCA_SVR,7.22108,6.62451,2.39218,0.65583,4.73878,0.5125,1.20025,260.89333,0.96852,0.9839,0
48,PCA_SVR,7.11852,6.53692,2.36672,0.64909,4.81418,0.51122,1.33691,249.77826,0.96908,0.98419,0
49,PCA_SVR,6.97816,6.4037,2.40137,0.66105,4.73873,0.50607,1.22989,259.61555,0.96895,0.98413,0
50,PCA_SVR,6.87814,6.316,2.34708,0.64341,4.76529,0.50193,1.33743,245.05527,0.96914,0.98423,0
20,Cluster Ensemble_based_GPR,15.82506,14.70461,4.86968,1.26421,9.63481,1.69374,1.29109,533.70606,0.949,0.97379,0
21,Cluster Ensemble_based_GPR,15.00532,13.94833,4.42127,1.14792,8.98821,1.59298,0.50953,486.91236,0.95423,0.97654,0
22,Cluster Ensemble_based_GPR,14.28141,13.25748,4.07986,1.08123,8.2898,1.33301,1.18377,464.04509,0.95641,0.97767,0
23,Cluster Ensemble_based_GPR,13.66428,12.66341,3.6723,1.06171,7.94361,1.33432,0.45505,429.78551,0.95648,0.97771,0
24,Cluster Ensemble_based_GPR,13.10352,12.13041,3.38074,0.99293,7.16869,1.19452,1.09373,407.96641,0.95765,0.97832,0
25,Cluster Ensemble_based_GPR,12.60722,11.65322,3.17352,0.92364,6.94662,1.1356,0.41564,382.69605,0.95883,0.97894,0
26,Cluster Ensemble_based_GPR,12.14745,11.21351,2.9615,0.92935,6.21596,1.0578,0.99603,360.3137,0.95839,0.97871,0
27,Cluster Ensemble_based_GPR,11.73543,10.82121,2.81863,0.86916,6.0296,0.99663,0.3816,340.45801,0.95988,0.97948,0
28,Cluster Ensemble_based_GPR,11.35012,10.45829,2.68215,0.85318,5.3939,0.96805,0.91647,322.41195,0.95961,0.97934,0
29,Cluster Ensemble_based_GPR,10.99186,10.11509,2.52801,0.82636,5.27198,0.88253,0.37272,309.00252,0.96045,0.97977,0
